country,total area square miles,total area square km,total area rank
Russia,"6,592,846","17,075,400",1
Canada,"3,848,758","9,968,242",2
United States1,"3,809,525","9,866,632",3
China,"3,696,116","9,572,900",4
Brazil,"3,285,890","8,510,418",5
Australia,"2,968,401","7,688,126",6
India,"1,269,219","3,287,263",7
Kazakhstan,"1,052,084","2,724,900",8
Argentina,"1,044,325","2,704,789",9
Algeria,"919,595","2,381,741",10
Democratic Republic of the Congo,"905,409","2,345,000",11
Greenland,"836,330","2,166,086",12
Saudi Arabia,"830,000","2,149,690",13
Mexico,"758,449","1,964,375",14
Indonesia,"730,663","1,892,410",15
Sudan,"710,693","1,840,687",16
Libya,"647,183","1,676,198",17
Iran,"629,674","1,630,848",18
Mongolia,"603,908","1,564,116",19
Peru,"496,225","1,285,216",20
Chad,"495,755","1,284,000",21
Niger,"489,191","1,267,000",22
Angola,"481,353","1,246,700",23
Mali,"479,245","1,241,238",24
South Africa,"471,358","1,220,813",25
Colombia,"440,831","1,141,748",26
Ethiopia,"432,434","1,120,000",27
Bolivia,"424,164","1,098,581",28
Mauritania,"397,955","1,030,700",29
Egypt,"384,790","996,603",30
Tanzania,"365,059","945,500",31
Nigeria,"356,669","923,768",32
Venezuela,"353,841","916,445",33
Namibia,"318,261","824,292",34
Mozambique,"308,642","799,380",35
Pakistan,"307,374","796,096",36
Turkey,"297,146","769,604",37
Chile,"291,930","756,096",38
Zambia,"290,585","752,612",39
Myanmar,"261,219","676,553",40
Afghanistan,"252,073","652,867",41
South Sudan,"248,777","644,329",42
Somalia,"246,201","637,657",43
Central African Republic,"240,324","622,436",44
Ukraine,"233,032","603,549",45
Madagascar,"228,532","591,896",46
Kenya,"224,961","582,646",47
Botswana,"220,141","570,162",48
France2,"210,017","543,941",49
Thailand,"198,124","513,140",50
Spain,"195,361","505,983",51
Turkmenistan,"189,657","491,210",52
Cameroon,"179,943","466,050",53
Papua New Guinea,"178,355","461,937",54
Yemen,"175,676","455,000",55
Uzbekistan,"173,348","448,971",56
Sweden,"172,751","447,425",57
Iraq,"167,974","435,052",58
Morocco3,"160,835","415,560",59
Paraguay,"157,048","406,752",60
Zimbabwe,"150,872","390,757",61
Norway4,"148,449","384,482",62
Japan,"145,937","377,975",63
Germany,"138,208","357,596",64
Republic of the Congo,"132,047","342,000",65
Finland,"130,692","338,491",66
Côte d’Ivoire,"128,364","322,462",67
Vietnam,"127,930","331,338",68
Malaysia,"127,752","330,877",69
Poland,"120,423","311,895",70
Oman,"119,499","309,500",71
Italy,"116,629","302,069",72
Philippines,"134,240","347,681",73
Western Sahara,"105,020","272,000",74
Burkina Faso,"104,543","270,764",75
Gabon,"103,347","267,667",76
New Zealand,"102,587","265,700",77
Ecuador,"99,170","256,850",78
Guinea,"94,926","245,857",79
United Kingdom,"93,630","242,500",80
Uganda,"93,264","241,553",81
Ghana,"92,098","238,533",82
Romania,"92,046","238,397",83
Laos,"91,429","236,800",84
Guyana,"83,012","214,999",85
Belarus,"80,166","207,629",86
Kyrgyzstan,"77,199","199,945",87
Senegal,"75,973","196,768",88
Uruguay,"68,346","177,015",89
Syria,"71,498","185,180",90
Cambodia,"71,056","184,035",91
Suriname,"63,251","163,820",92
Tunisia,"63,170","163,610",93
Bangladesh,"56,977","147,570",94
Nepal,"56,827","147,181",95
Tajikistan,"54,595","141,400",96
Greece,"50,984","132,049",97
Nicaragua,"50,337","130,373",98
North Korea,"47,573","123,214",99
Eritrea,"46,757","121,100",100
Malawi,"45,854","118,760",101
Benin,"44,310","114,763",102
Honduras,"43,543","112,777",103
Bulgaria,"42,615","110,372",104
Cuba,"42,426","109,884",105
Guatemala,"42,042","108,889",106
Iceland,"39,769","103,000",107
South Korea,"38,696","100,222",108
Liberia,"37,483","97,081",109
Hungary,"35,916","93,023",110
Portugal,"35,608","92,225",111
Jordan,"34,284","88,794",112
Azerbaijan,"33,436","86,600",113
Austria,"32,388","83,884",114
French Guiana,"32,373","83,846",115
Czech Republic,"30,452","78,870",116
Serbia5,"29,957","77,589",117
Panama,"29,037","75,205",118
Sierra Leone,"28,158","72,929",119
Ireland,"27,459","71,118",120
United Arab Emirates,"27,423","71,024",121
Georgia6,"26,911","69,700",122
Sri Lanka,"25,332","65,610",123
Lithuania,"25,207","65,286",124
Latvia,"24,940","64,594",125
Togo,"21,853","56,600",126
Croatia,"21,851","56,594",127
Bosnia and Herzegovina,"19,772","51,209",128
Costa Rica,"19,730","51,100",129
Slovakia,"18,932","49,034",130
Dominican Republic,"18,619","48,223",131
Estonia,"17,506","45,339",132
Denmark,"16,585","42,956",133
Netherlands,"14,436","37,390",134
Switzerland,"15,943","41,291",135
Bhutan,"14,824","38,394",136
Taiwan,"13,976","36,197",137
Guinea-Bissau,"13,948","36,125",138
Moldova,"13,067","33,843",139
Belgium,"11,909","30,843",140
Solomon Islands,"11,740","30,407",141
Lesotho,"11,720","30,355",142
Armenia,"11,484","29,743",143
Albania,"11,100","28,748",144
Equatorial Guinea,"10,831","28,052",145
Burundi,"10,747","27,834",146
Haiti,"10,450","27,065",147
Rwanda,"10,169","26,338",148
North Macedonia,"9,821","25,436",149
Djibouti,"8,958","23,200",150
Belize,"8,867","22,965",151
Israel7,"8,522","22,072",152
El Salvador,"8,124","21,040",153
Slovenia,"7,827","20,271",154
New Caledonia,"7,169","18,567",155
Fiji,"7,055","18,272",156
Kuwait,"6,880","17,818",157
Eswatini,"6,704","17,364",158
East Timor,"5,772","14,950",159
The Bahamas,"5,382","13,939",160
Montenegro,"5,360","13,883",161
Vanuatu,"4,742","12,281",162
Qatar,"4,493","11,637",163
Jamaica,"4,227","10,949",164
Kosovo,"4,210","10,905",165
The Gambia,"4,127","10,689",166
Lebanon,"4,036","10,452",167
Cyprus8,"3,572","9,251",168
Puerto Rico,"3,424","8,868",169
Brunei,"2,226","5,765",170
West Bank9,"2,185","5,660",171
Trinidad and Tobago,"1,980","5,128",172
Cabo Verde (Cape Verde),"1,557","4,033",173
French Polynesia,"1,609","4,167",174
Samoa,"1,093","2,830",175
Luxembourg,999,"2,586",176
Réunion,970,"2,512",177
Mauritius,775,"2,007",178
Comoros,719,"1,861",179
Guadeloupe10,629,"1,628",180
Faroe Islands,539,"1,396",181
Martinique,436,"1,128",182
Hong Kong,431,"1,115",183
Sao Tome and Principe,387,"1,001",184
Kiribati,313,811,185
Bahrain,304,787,186
Dominica,290,751,187
Singapore,284,736,188
Micronesia,271,701,189
Tonga,251,650,190
Saint Lucia,242,626,191
Isle of Man,221,572,192
Guam,217,561,193
Palau,188,488,194
Northern Mariana Islands,182,472,195
Andorra,181,468,196
Seychelles,172,446,197
Curaçao11,171,444,198
Antigua and Barbuda,171,442,199
Barbados,167,432,200
Saint Vincent and the Grenadines,150,388,201
Mayotte,145,375,202
Gaza Strip,141,365,203
United States Virgin Islands,134,348,204
Grenada,133,344,205
Malta,122,315,206
Maldives,115,298,207
Saint Kitts and Nevis,101,262,208
American Samoa,77,199,209
Cayman Islands,76,197,210
Marshall Islands,70,181,211
Aruba,70,180,212
Liechtenstein,62,160,213
Jersey,46,120,214
Guernsey,30,78,215
San Marino,24,61,216
Bermuda,21,54,217
Sint Maarten,13,34,218
Macau,13,33,219
Tuvalu,10,25,220
Nauru,8,21,221
Monaco,0.8,2.1,222
Vatican City,0.17,0.44,223
