Unnamed: 0,souid,city,country,lat,lon,city_key,years_mode,years_with_data,nan_fraction,total_rows_post_threshold
49,257125,KORCA,AL,40.6,20.766666666666666,,distinct_years,53,0.0,19085
702,257104,VLORE,AL,40.46666666666667,19.482777777777777,,distinct_years,65,0.0,23560
758,100939,TIRANA,AL,41.33305555555556,19.78305555555556,,distinct_years,80,0.0,29098
884,108905,SHKODRA,AL,42.1,19.53305555555556,,distinct_years,75,0.0,27272
200,230765,OBERSIEBENBRUNN,AT,48.26638888888889,16.7,,distinct_years,61,0.0,21977
2467,224551,KARLSTIFT,AT,48.59944444444445,14.75,,distinct_years,55,0.0,19967
1043,227918,ROTHOLZ,AT,47.38805555555555,11.8,,distinct_years,80,0.0,29098
2365,235835,MICHELDORF,AT,47.88305555555556,14.134166666666664,,distinct_years,55,0.0,19967
1500,225500,HOERSCHING,AT,48.23527777777778,14.188055555555556,,distinct_years,80,0.0,29098
1475,235718,SALZBURG-FLUGHAFEN,AT,47.78916666666667,13.008055555555556,,distinct_years,80,0.0,29098
331,226891,HALLEIN,AT,47.68305555555556,13.1,,distinct_years,79,0.0,28613
1173,226527,PUCHBERG,AT,47.78305555555556,15.916666666666666,,distinct_years,77,0.0,27851
1100,236290,FLATTNITZ,AT,46.94055555555556,14.035555555555556,,distinct_years,56,0.0,20089
1783,231194,LENZING,AT,47.98305555555556,13.616666666666667,,distinct_years,72,0.0,26117
2281,229712,SILBEREGG,AT,46.84944444444445,14.5,,distinct_years,55,0.0,19967
2119,230739,SCHLEINBACH,AT,48.58305555555556,16.43305555555556,,distinct_years,55,0.0,19967
1750,232884,ST.MICHAEL IM LUNGAU,AT,47.09944444444445,13.65,,distinct_years,58,0.0,20728
1090,235367,VILLACH-STADT,AT,46.61805555555556,13.873888888888889,,distinct_years,80,0.0,29098
2206,233209,MOOSERBODEN,AT,47.15,12.716388888888888,,distinct_years,77,0.0,28002
2099,231597,HALLSTATT,AT,47.54944444444444,13.65,,distinct_years,80,0.0,29098
2358,232065,BRUCKNEUDORF/HEIDEHOF,AT,48.01416666666667,16.84638888888889,,distinct_years,80,0.0,29098
412,228776,SCHNEIDERAU,AT,47.2,12.6,,distinct_years,65,0.0,23468
796,231038,SALZBURG/LEHRERSEMINAR,AT,47.78305555555556,13.033055555555556,,distinct_years,80,0.0,29098
2289,231129,WEISSENKIRCHEN,AT,47.95,13.416666666666666,,distinct_years,78,0.0,28368
1362,231779,DUERRNBERG,AT,47.66666666666666,13.083055555555555,,distinct_years,60,0.0,21550
2648,228568,HOCHSERFAUS,AT,47.03305555555556,10.6,,distinct_years,80,0.0,29098
2691,231233,GRUENAU,AT,47.86388888888889,13.950555555555557,,distinct_years,54,0.0,19481
2435,225175,ALLERHEILIGEN,AT,48.30416666666667,14.639166666666666,,distinct_years,52,0.0,18659
1803,235068,BRAUNAU/RANSHOFEN,AT,48.22416666666667,13.028055555555556,,distinct_years,65,0.0,23619
1426,235458,ST.WOLFGANG,AT,47.73305555555556,13.45,,distinct_years,80,0.0,29098
675,234821,LINZ-STADT,AT,48.296388888888885,14.285,,distinct_years,80,0.0,29098
540,228750,KRIMML,AT,47.23305555555556,12.183055555555557,,distinct_years,73,0.0,26390
2197,236017,REICHENAU/MUEHLKREIS,AT,48.45916666666667,14.345277777777778,,distinct_years,54,0.0,19328
343,227229,POTTSCHACH,AT,47.70138888888889,16.008055555555554,,distinct_years,65,0.0,23529
899,232208,ST.ANDRAE/LAVANTTAL,AT,46.76638888888889,14.816666666666666,,distinct_years,65,0.0,23619
1711,234912,MOENICHKIRCHEN,AT,47.51083333333333,16.033055555555556,,distinct_years,72,0.0,25964
1909,227879,HAFELEKAR,AT,47.31638888888889,11.383055555555556,,distinct_years,80,0.0,29098
1261,226969,ADMONT-KAISERAU,AT,47.54944444444444,14.466388888888888,,distinct_years,80,0.0,29098
1066,229426,OBERGURGL,AT,46.8675,11.026944444444446,,distinct_years,73,0.0,26541
2534,231272,REICHRAMING,AT,47.88305555555556,14.483055555555556,,distinct_years,80,0.0,29098
2120,230882,WIEN FAVORITEN,AT,48.19305555555555,16.370555555555555,,distinct_years,80,0.0,29098
1866,230843,GUMPOLDSKIRCHEN,AT,48.03305555555556,16.283055555555556,,distinct_years,78,0.0,28247
1321,234691,KALWANG,AT,47.421388888888885,14.759166666666667,,distinct_years,60,0.0,21459
1159,235406,WEYER,AT,47.8575,14.666666666666666,,distinct_years,58,0.0,20911
1395,229660,RADENTHEIN,AT,46.78305555555556,13.7,,distinct_years,68,0.0,24411
2490,231623,ADMONT,AT,47.57277777777778,14.456666666666663,,distinct_years,67,0.0,24016
968,236667,KARLSTIFT/STADLBERG,AT,48.59805555555556,14.720277777777778,,distinct_years,55,0.0,19967
1132,233560,TRIEBEN,AT,47.48305555555556,14.5,,distinct_years,80,0.0,29098
1952,229946,VILLACHER ALPE,AT,46.60305555555556,13.673055555555557,,distinct_years,80,0.0,29098
