EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 100239) of station Larissa, GREECE (STAID:     62)

 STAID,    SOUID,    DATE,   RR, Q_RR
    62,100239,19550101,  101,    0
    62,100239,19550102,    0,    0
    62,100239,19550103,    3,    0
    62,100239,19550104,    0,    0
    62,100239,19550105,    0,    0
    62,100239,19550106,    0,    0
    62,100239,19550107,    1,    0
    62,100239,19550108,    4,    0
    62,100239,19550109,   84,    0
    62,100239,19550110,    9,    0
    62,100239,19550111,    0,    0
    62,100239,19550112,    0,    0
    62,100239,19550113,    0,    0
    62,100239,19550114,    0,    0
    62,100239,19550115,    0,    0
    62,100239,19550116,    0,    0
    62,100239,19550117,    0,    0
    62,100239,19550118,    0,    0
    62,100239,19550119,    2,    0
    62,100239,19550120,    3,    0
    62,100239,19550121,  111,    0
    62,100239,19550122,    6,    0
    62,100239,19550123,    0,    0
    62,100239,19550124,   60,    0
    62,100239,19550125,   34,    0
    62,100239,19550126,    0,    0
    62,100239,19550127,    0,    0
    62,100239,19550128,    0,    0
    62,100239,19550129,    0,    0
    62,100239,19550130,    0,    0
    62,100239,19550131,    0,    0
    62,100239,19550201,    0,    0
    62,100239,19550202,    2,    0
    62,100239,19550203,    0,    0
    62,100239,19550204,   87,    0
    62,100239,19550205,    0,    0
    62,100239,19550206,    0,    0
    62,100239,19550207,    0,    0
    62,100239,19550208,    1,    0
    62,100239,19550209,    0,    0
    62,100239,19550210,    1,    0
    62,100239,19550211,    0,    0
    62,100239,19550212,    0,    0
    62,100239,19550213,    0,    0
    62,100239,19550214,   14,    0
    62,100239,19550215,    0,    0
    62,100239,19550216,    0,    0
    62,100239,19550217,    0,    0
    62,100239,19550218,    0,    0
    62,100239,19550219,    0,    0
    62,100239,19550220,    0,    0
    62,100239,19550221,    1,    0
    62,100239,19550222,    0,    0
    62,100239,19550223,    0,    0
    62,100239,19550224,    0,    0
    62,100239,19550225,    0,    0
    62,100239,19550226,    0,    0
    62,100239,19550227,    0,    0
    62,100239,19550228,    0,    0
    62,100239,19550301,  222,    0
    62,100239,19550302,  210,    0
    62,100239,19550303,   10,    0
    62,100239,19550304,    5,    0
    62,100239,19550305,    0,    0
    62,100239,19550306,    0,    0
    62,100239,19550307,    0,    0
    62,100239,19550308,  109,    0
    62,100239,19550309,    0,    0
    62,100239,19550310,   35,    0
    62,100239,19550311,    0,    0
    62,100239,19550312,    0,    0
    62,100239,19550313,    0,    0
    62,100239,19550314,    1,    0
    62,100239,19550315,    0,    0
    62,100239,19550316,    1,    0
    62,100239,19550317,    0,    0
    62,100239,19550318,    0,    0
    62,100239,19550319,    0,    0
    62,100239,19550320,    0,    0
    62,100239,19550321,    0,    0
    62,100239,19550322,    0,    0
    62,100239,19550323,    0,    0
    62,100239,19550324,    3,    0
    62,100239,19550325,    0,    0
    62,100239,19550326,    0,    0
    62,100239,19550327,    0,    0
    62,100239,19550328,    0,    0
    62,100239,19550329,    0,    0
    62,100239,19550330,    0,    0
    62,100239,19550331,    0,    0
    62,100239,19550401,    0,    0
    62,100239,19550402,    0,    0
    62,100239,19550403,  131,    0
    62,100239,19550404,   16,    0
    62,100239,19550405,   40,    0
    62,100239,19550406,   34,    0
    62,100239,19550407,    0,    0
    62,100239,19550408,    0,    0
    62,100239,19550409,    0,    0
    62,100239,19550410,    0,    0
    62,100239,19550411,   75,    0
    62,100239,19550412,   12,    0
    62,100239,19550413,  149,    0
    62,100239,19550414,  111,    0
    62,100239,19550415,  218,    0
    62,100239,19550416,    0,    0
    62,100239,19550417,    0,    0
    62,100239,19550418,    0,    0
    62,100239,19550419,   16,    0
    62,100239,19550420,   13,    0
    62,100239,19550421,    0,    0
    62,100239,19550422,    0,    0
    62,100239,19550423,    0,    0
    62,100239,19550424,    0,    0
    62,100239,19550425,   97,    0
    62,100239,19550426,   57,    0
    62,100239,19550427,    0,    0
    62,100239,19550428,    0,    0
    62,100239,19550429,    0,    0
    62,100239,19550430,    0,    0
    62,100239,19550501,    0,    0
    62,100239,19550502,    0,    0
    62,100239,19550503,    0,    0
    62,100239,19550504,    0,    0
    62,100239,19550505,    0,    0
    62,100239,19550506,    0,    0
    62,100239,19550507,    0,    0
    62,100239,19550508,    0,    0
    62,100239,19550509,    0,    0
    62,100239,19550510,    0,    0
    62,100239,19550511,    0,    0
    62,100239,19550512,    0,    0
    62,100239,19550513,    0,    0
    62,100239,19550514,    0,    0
    62,100239,19550515,    0,    0
    62,100239,19550516,    0,    0
    62,100239,19550517,    0,    0
    62,100239,19550518,    0,    0
    62,100239,19550519,    0,    0
    62,100239,19550520,    0,    0
    62,100239,19550521,    0,    0
    62,100239,19550522,    0,    0
    62,100239,19550523,    0,    0
    62,100239,19550524,    0,    0
    62,100239,19550525,    0,    0
    62,100239,19550526,    0,    0
    62,100239,19550527,    0,    0
    62,100239,19550528,    0,    0
    62,100239,19550529,    0,    0
    62,100239,19550530,    0,    0
    62,100239,19550531,    0,    0
    62,100239,19550601,    0,    0
    62,100239,19550602,    0,    0
    62,100239,19550603,    0,    0
    62,100239,19550604,    0,    0
    62,100239,19550605,    0,    0
    62,100239,19550606,    0,    0
    62,100239,19550607,  110,    0
    62,100239,19550608,    0,    0
    62,100239,19550609,    0,    0
    62,100239,19550610,    0,    0
    62,100239,19550611,    0,    0
    62,100239,19550612,    3,    0
    62,100239,19550613,    0,    0
    62,100239,19550614,    0,    0
    62,100239,19550615,    0,    0
    62,100239,19550616,    0,    0
    62,100239,19550617,    0,    0
    62,100239,19550618,    0,    0
    62,100239,19550619,    0,    0
    62,100239,19550620,    0,    0
    62,100239,19550621,    0,    0
    62,100239,19550622,    0,    0
    62,100239,19550623,    0,    0
    62,100239,19550624,   29,    0
    62,100239,19550625,   96,    0
    62,100239,19550626,    0,    0
    62,100239,19550627,    0,    0
    62,100239,19550628,    0,    0
    62,100239,19550629,    0,    0
    62,100239,19550630,    5,    0
    62,100239,19550701,    0,    0
    62,100239,19550702,    0,    0
    62,100239,19550703,    0,    0
    62,100239,19550704,    0,    0
    62,100239,19550705,    0,    0
    62,100239,19550706,    0,    0
    62,100239,19550707,    0,    0
    62,100239,19550708,    0,    0
    62,100239,19550709,   85,    0
    62,100239,19550710,    0,    0
    62,100239,19550711,    0,    0
    62,100239,19550712,    0,    0
    62,100239,19550713,    0,    0
    62,100239,19550714,  120,    0
    62,100239,19550715,    4,    0
    62,100239,19550716,    0,    0
    62,100239,19550717,    0,    0
    62,100239,19550718,    0,    0
    62,100239,19550719,    0,    0
    62,100239,19550720,    0,    0
    62,100239,19550721,    0,    0
    62,100239,19550722,    0,    0
    62,100239,19550723,    0,    0
    62,100239,19550724,   10,    0
    62,100239,19550725,    0,    0
    62,100239,19550726,    0,    0
    62,100239,19550727,    0,    0
    62,100239,19550728,    0,    0
    62,100239,19550729,    0,    0
    62,100239,19550730,    0,    0
    62,100239,19550731,    0,    0
    62,100239,19550801,    0,    0
    62,100239,19550802,    0,    0
    62,100239,19550803,    0,    0
    62,100239,19550804,    0,    0
    62,100239,19550805,    0,    0
    62,100239,19550806,    0,    0
    62,100239,19550807,    0,    0
    62,100239,19550808,    0,    0
    62,100239,19550809,    0,    0
    62,100239,19550810,    0,    0
    62,100239,19550811,    0,    0
    62,100239,19550812,    0,    0
    62,100239,19550813,    0,    0
    62,100239,19550814,    0,    0
    62,100239,19550815,    0,    0
    62,100239,19550816,  379,    0
    62,100239,19550817,  281,    0
    62,100239,19550818,  123,    0
    62,100239,19550819,    0,    0
    62,100239,19550820,    0,    0
    62,100239,19550821,    0,    0
    62,100239,19550822,    0,    0
    62,100239,19550823,    0,    0
    62,100239,19550824,    0,    0
    62,100239,19550825,    0,    0
    62,100239,19550826,    0,    0
    62,100239,19550827,    0,    0
    62,100239,19550828,    0,    0
    62,100239,19550829,    0,    0
    62,100239,19550830,    0,    0
    62,100239,19550831,   30,    0
    62,100239,19550901,    0,    0
    62,100239,19550902,  456,    0
    62,100239,19550903,    0,    0
    62,100239,19550904,   29,    0
    62,100239,19550905,    0,    0
    62,100239,19550906,   41,    0
    62,100239,19550907,    0,    0
    62,100239,19550908,    0,    0
    62,100239,19550909,    0,    0
    62,100239,19550910,    0,    0
    62,100239,19550911,    0,    0
    62,100239,19550912,    0,    0
    62,100239,19550913,    0,    0
    62,100239,19550914,    0,    0
    62,100239,19550915,    0,    0
    62,100239,19550916,    0,    0
    62,100239,19550917,    0,    0
    62,100239,19550918,    0,    0
    62,100239,19550919,    0,    0
    62,100239,19550920,    0,    0
    62,100239,19550921,    0,    0
    62,100239,19550922,    0,    0
    62,100239,19550923,    0,    0
    62,100239,19550924,    0,    0
    62,100239,19550925,    0,    0
    62,100239,19550926,    0,    0
    62,100239,19550927,    0,    0
    62,100239,19550928,    0,    0
    62,100239,19550929,    0,    0
    62,100239,19550930,    0,    0
    62,100239,19551001,  205,    0
    62,100239,19551002,  860,    0
    62,100239,19551003,    0,    0
    62,100239,19551004,    0,    0
    62,100239,19551005,    0,    0
    62,100239,19551006,    0,    0
