EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 100244) of station Methoni, GREECE (STAID:     63)

 STAID,    SOUID,    DATE,   RR, Q_RR
    63,100244,19560101,   53,    0
    63,100244,19560102,   36,    0
    63,100244,19560103,    0,    0
    63,100244,19560104,    6,    0
    63,100244,19560105,   28,    0
    63,100244,19560106,   80,    0
    63,100244,19560107,  110,    0
    63,100244,19560108,  141,    0
    63,100244,19560109,   20,    0
    63,100244,19560110,  110,    0
    63,100244,19560111,    0,    0
    63,100244,19560112,  105,    0
    63,100244,19560113,    0,    0
    63,100244,19560114,    0,    0
    63,100244,19560115,    7,    0
    63,100244,19560116,    0,    0
    63,100244,19560117,    0,    0
    63,100244,19560118,    0,    0
    63,100244,19560119,    0,    0
    63,100244,19560120,   12,    0
    63,100244,19560121,    0,    0
    63,100244,19560122,    0,    0
    63,100244,19560123,    0,    0
    63,100244,19560124,    0,    0
    63,100244,19560125,  160,    0
    63,100244,19560126,   30,    0
    63,100244,19560127,    0,    0
    63,100244,19560128,  131,    0
    63,100244,19560129,   19,    0
    63,100244,19560130,    0,    0
    63,100244,19560131,  294,    0
    63,100244,19560201,  141,    0
    63,100244,19560202,   51,    0
    63,100244,19560203,   69,    0
    63,100244,19560204,  239,    0
    63,100244,19560205,  133,    0
    63,100244,19560206,   24,    0
    63,100244,19560207,  247,    0
    63,100244,19560208,  237,    0
    63,100244,19560209,    4,    0
    63,100244,19560210,   91,    0
    63,100244,19560211,    7,    0
    63,100244,19560212,    2,    0
    63,100244,19560213,    5,    0
    63,100244,19560214,   56,    0
    63,100244,19560215,   37,    0
    63,100244,19560216,   28,    0
    63,100244,19560217,    6,    0
    63,100244,19560218,  151,    0
    63,100244,19560219,  377,    0
    63,100244,19560220,    6,    0
    63,100244,19560221,   21,    0
    63,100244,19560222,   58,    0
    63,100244,19560223,    6,    0
    63,100244,19560224,    0,    0
    63,100244,19560225,    0,    0
    63,100244,19560226,    0,    0
    63,100244,19560227,   45,    0
    63,100244,19560228,  152,    0
    63,100244,19560229,  251,    0
    63,100244,19560301,    7,    0
    63,100244,19560302,   25,    0
    63,100244,19560303,    0,    0
    63,100244,19560304,    0,    0
    63,100244,19560305,   10,    0
    63,100244,19560306,    5,    0
    63,100244,19560307,    0,    0
    63,100244,19560308,   26,    0
    63,100244,19560309,   53,    0
    63,100244,19560310,   14,    0
    63,100244,19560311,   41,    0
    63,100244,19560312,   60,    0
    63,100244,19560313,  186,    0
    63,100244,19560314,  206,    0
    63,100244,19560315,   60,    0
    63,100244,19560316,    0,    0
    63,100244,19560317,    0,    0
    63,100244,19560318,    0,    0
    63,100244,19560319,    3,    0
    63,100244,19560320,    0,    0
    63,100244,19560321,    0,    0
    63,100244,19560322,    0,    0
    63,100244,19560323,    0,    0
    63,100244,19560324,    0,    0
    63,100244,19560325,    0,    0
    63,100244,19560326,  289,    0
    63,100244,19560327,    0,    0
    63,100244,19560328,   16,    0
    63,100244,19560329,  230,    0
    63,100244,19560330,    0,    0
    63,100244,19560331,    0,    0
    63,100244,19560401,    0,    0
    63,100244,19560402,    0,    0
    63,100244,19560403,    0,    0
    63,100244,19560404,    5,    0
    63,100244,19560405,    0,    0
    63,100244,19560406,   19,    0
    63,100244,19560407,    0,    0
    63,100244,19560408,    0,    0
    63,100244,19560409,    6,    0
    63,100244,19560410,    0,    0
    63,100244,19560411,    0,    0
    63,100244,19560412,    0,    0
    63,100244,19560413,    0,    0
    63,100244,19560414,    0,    0
    63,100244,19560415,    0,    0
    63,100244,19560416,    0,    0
    63,100244,19560417,    0,    0
    63,100244,19560418,    0,    0
    63,100244,19560419,    0,    0
    63,100244,19560420,    0,    0
    63,100244,19560421,    0,    0
    63,100244,19560422,    0,    0
    63,100244,19560423,    0,    0
    63,100244,19560424,    0,    0
    63,100244,19560425,    0,    0
    63,100244,19560426,    0,    0
    63,100244,19560427,    0,    0
    63,100244,19560428,    0,    0
    63,100244,19560429,    0,    0
    63,100244,19560430,    0,    0
    63,100244,19560501,    0,    0
    63,100244,19560502,   49,    0
    63,100244,19560503,    0,    0
    63,100244,19560504,    0,    0
    63,100244,19560505,    3,    0
    63,100244,19560506,    0,    0
    63,100244,19560507,    0,    0
    63,100244,19560508,    0,    0
    63,100244,19560509,    0,    0
    63,100244,19560510,    0,    0
    63,100244,19560511,    0,    0
    63,100244,19560512,   41,    0
    63,100244,19560513,    0,    0
    63,100244,19560514,    0,    0
    63,100244,19560515,    0,    0
    63,100244,19560516,    0,    0
    63,100244,19560517,    0,    0
    63,100244,19560518,    0,    0
    63,100244,19560519,    0,    0
    63,100244,19560520,    0,    0
    63,100244,19560521,    0,    0
    63,100244,19560522,    0,    0
    63,100244,19560523,    0,    0
    63,100244,19560524,    0,    0
    63,100244,19560525,    0,    0
    63,100244,19560526,    0,    0
    63,100244,19560527,    0,    0
    63,100244,19560528,    0,    0
    63,100244,19560529,    0,    0
    63,100244,19560530,    0,    0
    63,100244,19560531,    0,    0
    63,100244,19560601,    0,    0
    63,100244,19560602,    0,    0
    63,100244,19560603,    0,    0
    63,100244,19560604,    0,    0
    63,100244,19560605,    0,    0
    63,100244,19560606,    0,    0
    63,100244,19560607,    0,    0
    63,100244,19560608,    0,    0
    63,100244,19560609,    0,    0
    63,100244,19560610,    0,    0
    63,100244,19560611,    0,    0
    63,100244,19560612,    0,    0
    63,100244,19560613,    0,    0
    63,100244,19560614,    0,    0
    63,100244,19560615,    0,    0
    63,100244,19560616,    0,    0
    63,100244,19560617,    0,    0
    63,100244,19560618,    0,    0
    63,100244,19560619,    0,    0
    63,100244,19560620,    3,    0
    63,100244,19560621,    8,    0
    63,100244,19560622,    0,    0
    63,100244,19560623,    0,    0
    63,100244,19560624,    2,    0
    63,100244,19560625,    0,    0
    63,100244,19560626,    0,    0
    63,100244,19560627,    0,    0
    63,100244,19560628,    0,    0
    63,100244,19560629,    0,    0
    63,100244,19560630,    0,    0
    63,100244,19560701,    0,    0
    63,100244,19560702,    0,    0
    63,100244,19560703,    0,    0
