EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 100666) of station Beja, PORTUGAL (STAID:    211)

 STAID,    SOUID,    DATE,   RR, Q_RR
   211,100666,19401201,-9999,    9
   211,100666,19401202,-9999,    9
   211,100666,19401203,-9999,    9
   211,100666,19401204,-9999,    9
   211,100666,19401205,-9999,    9
   211,100666,19401206,-9999,    9
   211,100666,19401207,-9999,    9
   211,100666,19401208,-9999,    9
   211,100666,19401209,-9999,    9
   211,100666,19401210,-9999,    9
   211,100666,19401211,-9999,    9
   211,100666,19401212,-9999,    9
   211,100666,19401213,-9999,    9
   211,100666,19401214,-9999,    9
   211,100666,19401215,-9999,    9
   211,100666,19401216,-9999,    9
   211,100666,19401217,-9999,    9
   211,100666,19401218,-9999,    9
   211,100666,19401219,-9999,    9
   211,100666,19401220,-9999,    9
   211,100666,19401221,-9999,    9
   211,100666,19401222,-9999,    9
   211,100666,19401223,-9999,    9
   211,100666,19401224,-9999,    9
   211,100666,19401225,-9999,    9
   211,100666,19401226,-9999,    9
   211,100666,19401227,-9999,    9
   211,100666,19401228,-9999,    9
   211,100666,19401229,-9999,    9
   211,100666,19401230,-9999,    9
   211,100666,19401231,    0,    0
   211,100666,19410101,  250,    0
   211,100666,19410102,    0,    0
   211,100666,19410103,    0,    0
   211,100666,19410104,    0,    0
   211,100666,19410105,    0,    0
   211,100666,19410106,    0,    0
   211,100666,19410107,  151,    0
   211,100666,19410108,    1,    0
   211,100666,19410109,   80,    0
   211,100666,19410110,    0,    0
   211,100666,19410111,  150,    0
   211,100666,19410112,  170,    0
   211,100666,19410113,  107,    0
   211,100666,19410114,   18,    0
   211,100666,19410115,   70,    0
   211,100666,19410116,    0,    0
   211,100666,19410117,    0,    0
   211,100666,19410118,   35,    0
   211,100666,19410119,  110,    0
   211,100666,19410120,  320,    0
   211,100666,19410121,  150,    0
   211,100666,19410122,   82,    0
   211,100666,19410123,   52,    0
   211,100666,19410124,   50,    0
   211,100666,19410125,   45,    0
   211,100666,19410126,    0,    0
   211,100666,19410127,   20,    0
   211,100666,19410128,   30,    0
   211,100666,19410129,   15,    0
   211,100666,19410130,   20,    0
   211,100666,19410131,   85,    0
   211,100666,19410201,    0,    0
   211,100666,19410202,   65,    0
   211,100666,19410203,    0,    0
   211,100666,19410204,    0,    0
   211,100666,19410205,    0,    0
   211,100666,19410206,    0,    0
   211,100666,19410207,    0,    0
   211,100666,19410208,    0,    0
   211,100666,19410209,    0,    0
   211,100666,19410210,    0,    0
   211,100666,19410211,  100,    0
   211,100666,19410212,  118,    0
   211,100666,19410213,  120,    0
   211,100666,19410214,  120,    0
   211,100666,19410215,  150,    0
   211,100666,19410216,  150,    0
   211,100666,19410217,  110,    0
   211,100666,19410218,  120,    0
   211,100666,19410219,    0,    0
   211,100666,19410220,    0,    0
   211,100666,19410221,   85,    0
   211,100666,19410222,   80,    0
   211,100666,19410223,   70,    0
   211,100666,19410224,   30,    0
   211,100666,19410225,   20,    0
   211,100666,19410226,    0,    0
   211,100666,19410227,    0,    0
   211,100666,19410228,    0,    0
   211,100666,19410301,    0,    0
   211,100666,19410302,    0,    0
   211,100666,19410303,    0,    0
   211,100666,19410304,   40,    0
   211,100666,19410305,   45,    0
   211,100666,19410306,   36,    0
   211,100666,19410307,   20,    0
   211,100666,19410308,   30,    0
   211,100666,19410309,   40,    0
   211,100666,19410310,    0,    0
   211,100666,19410311,  125,    0
   211,100666,19410312,  140,    0
   211,100666,19410313,   45,    0
   211,100666,19410314,   30,    0
   211,100666,19410315,    0,    0
   211,100666,19410316,    0,    0
   211,100666,19410317,  135,    0
   211,100666,19410318,    0,    0
   211,100666,19410319,    0,    0
   211,100666,19410320,    0,    0
   211,100666,19410321,    0,    0
   211,100666,19410322,    0,    0
   211,100666,19410323,  117,    0
   211,100666,19410324,    0,    0
   211,100666,19410325,    0,    0
   211,100666,19410326,    0,    0
   211,100666,19410327,    0,    0
   211,100666,19410328,  170,    0
   211,100666,19410329,  170,    0
   211,100666,19410330,   60,    0
   211,100666,19410331,   35,    0
   211,100666,19410401,   34,    0
   211,100666,19410402,   40,    0
   211,100666,19410403,    0,    0
   211,100666,19410404,    0,    0
   211,100666,19410405,    0,    0
   211,100666,19410406,    0,    0
   211,100666,19410407,    0,    0
   211,100666,19410408,    0,    0
   211,100666,19410409,    0,    0
   211,100666,19410410,    0,    0
   211,100666,19410411,    0,    0
   211,100666,19410412,    0,    0
   211,100666,19410413,    0,    0
   211,100666,19410414,    0,    0
   211,100666,19410415,   15,    0
   211,100666,19410416,   73,    0
   211,100666,19410417,  345,    0
   211,100666,19410418,    0,    0
   211,100666,19410419,    0,    0
   211,100666,19410420,    0,    0
   211,100666,19410421,    0,    0
   211,100666,19410422,    0,    0
   211,100666,19410423,  150,    0
   211,100666,19410424,   35,    0
   211,100666,19410425,    0,    0
   211,100666,19410426,   45,    0
   211,100666,19410427,  130,    0
   211,100666,19410428,  160,    0
   211,100666,19410429,   80,    0
   211,100666,19410430,   65,    0
   211,100666,19410501,    0,    0
   211,100666,19410502,    0,    0
   211,100666,19410503,    0,    0
   211,100666,19410504,    0,    0
   211,100666,19410505,   15,    0
   211,100666,19410506,    0,    0
   211,100666,19410507,   18,    0
   211,100666,19410508,    0,    0
   211,100666,19410509,    0,    0
   211,100666,19410510,    0,    0
   211,100666,19410511,    0,    0
   211,100666,19410512,    0,    0
   211,100666,19410513,    0,    0
   211,100666,19410514,    0,    0
   211,100666,19410515,    0,    0
