EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 100678) of station Porto, PORTUGAL (STAID:    215)

 STAID,    SOUID,    DATE,   RR, Q_RR
   215,100678,19401201,-9999,    9
   215,100678,19401202,-9999,    9
   215,100678,19401203,-9999,    9
   215,100678,19401204,-9999,    9
   215,100678,19401205,-9999,    9
   215,100678,19401206,-9999,    9
   215,100678,19401207,-9999,    9
   215,100678,19401208,-9999,    9
   215,100678,19401209,-9999,    9
   215,100678,19401210,-9999,    9
   215,100678,19401211,-9999,    9
   215,100678,19401212,-9999,    9
   215,100678,19401213,-9999,    9
   215,100678,19401214,-9999,    9
   215,100678,19401215,-9999,    9
   215,100678,19401216,-9999,    9
   215,100678,19401217,-9999,    9
   215,100678,19401218,-9999,    9
   215,100678,19401219,-9999,    9
   215,100678,19401220,-9999,    9
   215,100678,19401221,-9999,    9
   215,100678,19401222,-9999,    9
   215,100678,19401223,-9999,    9
   215,100678,19401224,-9999,    9
   215,100678,19401225,-9999,    9
   215,100678,19401226,-9999,    9
   215,100678,19401227,-9999,    9
   215,100678,19401228,-9999,    9
   215,100678,19401229,-9999,    9
   215,100678,19401230,-9999,    9
   215,100678,19401231,  264,    0
   215,100678,19410101,  171,    0
   215,100678,19410102,    0,    0
   215,100678,19410103,    0,    0
   215,100678,19410104,    0,    0
   215,100678,19410105,    0,    0
   215,100678,19410106,    0,    0
   215,100678,19410107,    0,    0
   215,100678,19410108,    0,    0
   215,100678,19410109,    0,    0
   215,100678,19410110,    0,    0
   215,100678,19410111,    4,    0
   215,100678,19410112,    8,    0
   215,100678,19410113,    5,    0
   215,100678,19410114,   22,    0
   215,100678,19410115,   57,    0
   215,100678,19410116,   22,    0
   215,100678,19410117,   46,    0
   215,100678,19410118,  175,    0
   215,100678,19410119,  548,    0
   215,100678,19410120,  347,    0
   215,100678,19410121,   66,    0
   215,100678,19410122,  111,    0
   215,100678,19410123,    4,    0
   215,100678,19410124,   15,    0
   215,100678,19410125,   48,    0
   215,100678,19410126,   12,    0
   215,100678,19410127,  110,    0
   215,100678,19410128,  115,    0
   215,100678,19410129,   82,    0
   215,100678,19410130,   86,    0
   215,100678,19410131,  190,    0
   215,100678,19410201,    0,    0
   215,100678,19410202,  238,    0
   215,100678,19410203,    0,    0
   215,100678,19410204,    0,    0
   215,100678,19410205,   10,    0
   215,100678,19410206,    6,    0
   215,100678,19410207,    0,    0
   215,100678,19410208,    0,    0
   215,100678,19410209,    0,    0
   215,100678,19410210,    0,    0
   215,100678,19410211,  185,    0
   215,100678,19410212,   41,    0
   215,100678,19410213,  308,    0
   215,100678,19410214,   45,    0
   215,100678,19410215,  138,    0
   215,100678,19410216,  336,    0
   215,100678,19410217,  113,    0
   215,100678,19410218,   61,    0
   215,100678,19410219,   48,    0
   215,100678,19410220,   94,    0
   215,100678,19410221,   55,    0
   215,100678,19410222,  271,    0
   215,100678,19410223,  117,    0
   215,100678,19410224,  245,    0
   215,100678,19410225,  102,    0
   215,100678,19410226,   14,    0
   215,100678,19410227,   37,    0
   215,100678,19410228,   15,    0
   215,100678,19410301,    1,    0
   215,100678,19410302,   45,    0
   215,100678,19410303,   98,    0
   215,100678,19410304,   68,    0
   215,100678,19410305,    9,    0
   215,100678,19410306,  179,    0
   215,100678,19410307,  114,    0
   215,100678,19410308,  151,    0
   215,100678,19410309,   74,    0
   215,100678,19410310,    5,    0
   215,100678,19410311,  110,    0
   215,100678,19410312,    3,    0
   215,100678,19410313,   42,    0
   215,100678,19410314,   24,    0
   215,100678,19410315,    0,    0
   215,100678,19410316,    1,    0
   215,100678,19410317,    0,    0
   215,100678,19410318,    0,    0
   215,100678,19410319,    0,    0
   215,100678,19410320,    0,    0
   215,100678,19410321,   15,    0
   215,100678,19410322,    0,    0
   215,100678,19410323,    0,    0
   215,100678,19410324,    0,    0
   215,100678,19410325,    0,    0
   215,100678,19410326,   23,    0
   215,100678,19410327,   67,    0
   215,100678,19410328,  221,    0
   215,100678,19410329,  127,    0
   215,100678,19410330,    2,    0
   215,100678,19410331,  273,    0
   215,100678,19410401,   23,    0
   215,100678,19410402,   30,    0
   215,100678,19410403,    4,    0
   215,100678,19410404,    0,    0
   215,100678,19410405,  311,    0
   215,100678,19410406,  124,    0
   215,100678,19410407,    0,    0
   215,100678,19410408,    0,    0
   215,100678,19410409,    0,    0
   215,100678,19410410,    0,    0
   215,100678,19410411,    0,    0
   215,100678,19410412,    0,    0
   215,100678,19410413,    0,    0
   215,100678,19410414,    0,    0
   215,100678,19410415,    0,    0
   215,100678,19410416,   31,    0
   215,100678,19410417,   45,    0
   215,100678,19410418,   11,    0
   215,100678,19410419,  155,    0
   215,100678,19410420,    0,    0
   215,100678,19410421,    0,    0
   215,100678,19410422,   20,    0
   215,100678,19410423,  103,    0
   215,100678,19410424,    4,    0
   215,100678,19410425,    0,    0
   215,100678,19410426,   54,    0
   215,100678,19410427,  179,    0
   215,100678,19410428,  175,    0
   215,100678,19410429,   84,    0
   215,100678,19410430,  240,    0
   215,100678,19410501,    2,    0
   215,100678,19410502,   64,    0
   215,100678,19410503,   87,    0
   215,100678,19410504,    0,    0
   215,100678,19410505,    3,    0
   215,100678,19410506,  102,    0
   215,100678,19410507,    6,    0
   215,100678,19410508,    0,    0
   215,100678,19410509,    2,    0
   215,100678,19410510,    0,    0
   215,100678,19410511,    0,    0
   215,100678,19410512,    0,    0
   215,100678,19410513,    0,    0
   215,100678,19410514,    0,    0
   215,100678,19410515,    0,    0
   215,100678,19410516,    2,    0
   215,100678,19410517,    2,    0
   215,100678,19410518,  119,    0
   215,100678,19410519,   23,    0
   215,100678,19410520,    0,    0
   215,100678,19410521,    0,    0
   215,100678,19410522,   14,    0
   215,100678,19410523,    0,    0
   215,100678,19410524,    2,    0
   215,100678,19410525,   43,    0
   215,100678,19410526,    2,    0
   215,100678,19410527,  172,    0
   215,100678,19410528,   20,    0
   215,100678,19410529,    6,    0
   215,100678,19410530,  107,    0
   215,100678,19410531,  260,    0
   215,100678,19410601,   19,    0
   215,100678,19410602,    0,    0
   215,100678,19410603,   37,    0
   215,100678,19410604,    2,    0
   215,100678,19410605,   10,    0
   215,100678,19410606,   15,    0
   215,100678,19410607,   39,    0
   215,100678,19410608,  161,    0
   215,100678,19410609,   12,    0
   215,100678,19410610,    0,    0
   215,100678,19410611,   73,    0
   215,100678,19410612,   11,    0
   215,100678,19410613,    0,    0
   215,100678,19410614,    0,    0
   215,100678,19410615,    0,    0
   215,100678,19410616,    0,    0
   215,100678,19410617,    0,    0
   215,100678,19410618,    0,    0
   215,100678,19410619,    0,    0
   215,100678,19410620,    0,    0
   215,100678,19410621,    0,    0
   215,100678,19410622,    0,    0
   215,100678,19410623,    0,    0
   215,100678,19410624,    0,    0
   215,100678,19410625,    0,    0
   215,100678,19410626,    0,    0
   215,100678,19410627,    0,    0
   215,100678,19410628,    0,    0
   215,100678,19410629,    0,    0
   215,100678,19410630,    0,    0
   215,100678,19410701,    0,    0
   215,100678,19410702,    0,    0
   215,100678,19410703,    0,    0
   215,100678,19410704,    0,    0
   215,100678,19410705,    0,    0
   215,100678,19410706,    0,    0
   215,100678,19410707,    1,    0
   215,100678,19410708,   76,    0
   215,100678,19410709,  427,    0
   215,100678,19410710,    0,    0
   215,100678,19410711,  242,    0
   215,100678,19410712,   35,    0
   215,100678,19410713,   88,    0
   215,100678,19410714,    0,    0
   215,100678,19410715,    0,    0
   215,100678,19410716,    0,    0
   215,100678,19410717,    0,    0
   215,100678,19410718,    0,    0
   215,100678,19410719,    0,    0
   215,100678,19410720,    0,    0
   215,100678,19410721,    0,    0
   215,100678,19410722,    0,    0
   215,100678,19410723,    0,    0
   215,100678,19410724,   44,    0
   215,100678,19410725,    0,    0
   215,100678,19410726,    0,    0
   215,100678,19410727,    0,    0
   215,100678,19410728,    0,    0
   215,100678,19410729,    0,    0
   215,100678,19410730,    0,    0
   215,100678,19410731,   42,    0
   215,100678,19410801,    0,    0
   215,100678,19410802,    0,    0
   215,100678,19410803,    0,    0
   215,100678,19410804,    0,    0
   215,100678,19410805,    0,    0
   215,100678,19410806,    0,    0
   215,100678,19410807,    0,    0
   215,100678,19410808,    0,    0
   215,100678,19410809,    0,    0
   215,100678,19410810,    0,    0
   215,100678,19410811,    0,    0
   215,100678,19410812,    0,    0
   215,100678,19410813,    0,    0
   215,100678,19410814,    0,    0
   215,100678,19410815,   41,    0
   215,100678,19410816,    0,    0
   215,100678,19410817,    0,    0
   215,100678,19410818,    0,    0
   215,100678,19410819,    0,    0
   215,100678,19410820,    0,    0
   215,100678,19410821,    0,    0
   215,100678,19410822,    0,    0
   215,100678,19410823,    0,    0
   215,100678,19410824,    0,    0
   215,100678,19410825,    7,    0
   215,100678,19410826,    0,    0
   215,100678,19410827,    0,    0
   215,100678,19410828,    0,    0
   215,100678,19410829,    0,    0
   215,100678,19410830,    0,    0
   215,100678,19410831,    0,    0
   215,100678,19410901,    0,    0
   215,100678,19410902,    0,    0
   215,100678,19410903,    0,    0
   215,100678,19410904,    0,    0
   215,100678,19410905,    0,    0
   215,100678,19410906,    0,    0
   215,100678,19410907,    0,    0
   215,100678,19410908,    0,    0
   215,100678,19410909,    0,    0
   215,100678,19410910,    0,    0
   215,100678,19410911,    0,    0
   215,100678,19410912,    0,    0
   215,100678,19410913,    0,    0
   215,100678,19410914,    0,    0
   215,100678,19410915,    0,    0
   215,100678,19410916,    0,    0
   215,100678,19410917,    0,    0
   215,100678,19410918,    0,    0
   215,100678,19410919,   20,    0
   215,100678,19410920,    2,    0
   215,100678,19410921,   21,    0
   215,100678,19410922,   32,    0
   215,100678,19410923,   24,    0
   215,100678,19410924,    2,    0
   215,100678,19410925,    0,    0
