EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 100681) of station Tavira, PORTUGAL (STAID:    216)

 STAID,    SOUID,    DATE,   RR, Q_RR
   216,100681,19401201,-9999,    9
   216,100681,19401202,-9999,    9
   216,100681,19401203,-9999,    9
   216,100681,19401204,-9999,    9
   216,100681,19401205,-9999,    9
   216,100681,19401206,-9999,    9
   216,100681,19401207,-9999,    9
   216,100681,19401208,-9999,    9
   216,100681,19401209,-9999,    9
   216,100681,19401210,-9999,    9
   216,100681,19401211,-9999,    9
   216,100681,19401212,-9999,    9
   216,100681,19401213,-9999,    9
   216,100681,19401214,-9999,    9
   216,100681,19401215,-9999,    9
   216,100681,19401216,-9999,    9
   216,100681,19401217,-9999,    9
   216,100681,19401218,-9999,    9
   216,100681,19401219,-9999,    9
   216,100681,19401220,-9999,    9
   216,100681,19401221,-9999,    9
   216,100681,19401222,-9999,    9
   216,100681,19401223,-9999,    9
   216,100681,19401224,-9999,    9
   216,100681,19401225,-9999,    9
   216,100681,19401226,-9999,    9
   216,100681,19401227,-9999,    9
   216,100681,19401228,-9999,    9
   216,100681,19401229,-9999,    9
   216,100681,19401230,-9999,    9
   216,100681,19401231,    0,    0
   216,100681,19410101,   74,    0
   216,100681,19410102,    0,    0
   216,100681,19410103,    0,    0
   216,100681,19410104,    0,    0
   216,100681,19410105,    0,    0
