EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 100814) of station Nis, SERBIA (STAID:    262)

 STAID,    SOUID,    DATE,   RR, Q_RR
   262,100814,19401201,-9999,    9
   262,100814,19401202,-9999,    9
   262,100814,19401203,-9999,    9
   262,100814,19401204,-9999,    9
   262,100814,19401205,-9999,    9
   262,100814,19401206,-9999,    9
   262,100814,19401207,-9999,    9
   262,100814,19401208,-9999,    9
   262,100814,19401209,-9999,    9
   262,100814,19401210,-9999,    9
   262,100814,19401211,-9999,    9
   262,100814,19401212,-9999,    9
   262,100814,19401213,-9999,    9
   262,100814,19401214,-9999,    9
   262,100814,19401215,-9999,    9
   262,100814,19401216,-9999,    9
   262,100814,19401217,-9999,    9
   262,100814,19401218,-9999,    9
   262,100814,19401219,-9999,    9
   262,100814,19401220,-9999,    9
   262,100814,19401221,-9999,    9
   262,100814,19401222,-9999,    9
   262,100814,19401223,-9999,    9
   262,100814,19401224,-9999,    9
   262,100814,19401225,-9999,    9
   262,100814,19401226,-9999,    9
   262,100814,19401227,-9999,    9
   262,100814,19401228,-9999,    9
   262,100814,19401229,-9999,    9
   262,100814,19401230,-9999,    9
   262,100814,19401231,    0,    0
   262,100814,19410101,    0,    0
   262,100814,19410102,    0,    0
   262,100814,19410103,    0,    0
   262,100814,19410104,   34,    0
   262,100814,19410105,    0,    0
   262,100814,19410106,    0,    0
   262,100814,19410107,    0,    0
   262,100814,19410108,    0,    0
   262,100814,19410109,    1,    0
   262,100814,19410110,    0,    0
   262,100814,19410111,    0,    0
   262,100814,19410112,   10,    0
   262,100814,19410113,    0,    0
   262,100814,19410114,    0,    0
   262,100814,19410115,    0,    0
   262,100814,19410116,   32,    0
   262,100814,19410117,   11,    0
   262,100814,19410118,    0,    0
   262,100814,19410119,    0,    0
   262,100814,19410120,    0,    0
   262,100814,19410121,    0,    0
   262,100814,19410122,    0,    0
   262,100814,19410123,    0,    0
   262,100814,19410124,   43,    0
   262,100814,19410125,    0,    0
   262,100814,19410126,   65,    0
   262,100814,19410127,   32,    0
   262,100814,19410128,    0,    0
   262,100814,19410129,    0,    0
   262,100814,19410130,    0,    0
   262,100814,19410131,    0,    0
   262,100814,19410201,    0,    0
   262,100814,19410202,   25,    0
   262,100814,19410203,    0,    0
   262,100814,19410204,    0,    0
   262,100814,19410205,  169,    0
   262,100814,19410206,  114,    0
   262,100814,19410207,    7,    0
   262,100814,19410208,    0,    0
   262,100814,19410209,    0,    0
   262,100814,19410210,    0,    0
   262,100814,19410211,    0,    0
   262,100814,19410212,    0,    0
   262,100814,19410213,    0,    0
   262,100814,19410214,    1,    0
   262,100814,19410215,   62,    0
   262,100814,19410216,    0,    0
   262,100814,19410217,    0,    0
   262,100814,19410218,   92,    0
   262,100814,19410219,  147,    0
   262,100814,19410220,   28,    0
   262,100814,19410221,    0,    0
   262,100814,19410222,    0,    0
   262,100814,19410223,    0,    0
   262,100814,19410224,   45,    0
   262,100814,19410225,  129,    0
   262,100814,19410226,    0,    0
   262,100814,19410227,  129,    0
   262,100814,19410228,-9999,    9
   262,100814,19410301,-9999,    9
   262,100814,19410302,-9999,    9
   262,100814,19410303,-9999,    9
   262,100814,19410304,-9999,    9
   262,100814,19410305,-9999,    9
   262,100814,19410306,-9999,    9
   262,100814,19410307,-9999,    9
   262,100814,19410308,-9999,    9
   262,100814,19410309,-9999,    9
   262,100814,19410310,-9999,    9
   262,100814,19410311,-9999,    9
   262,100814,19410312,-9999,    9
   262,100814,19410313,-9999,    9
   262,100814,19410314,-9999,    9
   262,100814,19410315,-9999,    9
   262,100814,19410316,-9999,    9
   262,100814,19410317,-9999,    9
   262,100814,19410318,-9999,    9
   262,100814,19410319,-9999,    9
   262,100814,19410320,-9999,    9
   262,100814,19410321,-9999,    9
   262,100814,19410322,-9999,    9
   262,100814,19410323,-9999,    9
   262,100814,19410324,-9999,    9
   262,100814,19410325,-9999,    9
   262,100814,19410326,-9999,    9
   262,100814,19410327,-9999,    9
   262,100814,19410328,-9999,    9
   262,100814,19410329,-9999,    9
   262,100814,19410330,-9999,    9
   262,100814,19410331,-9999,    9
   262,100814,19410401,-9999,    9
   262,100814,19410402,-9999,    9
   262,100814,19410403,-9999,    9
   262,100814,19410404,-9999,    9
   262,100814,19410405,-9999,    9
   262,100814,19410406,-9999,    9
   262,100814,19410407,-9999,    9
   262,100814,19410408,-9999,    9
   262,100814,19410409,-9999,    9
   262,100814,19410410,-9999,    9
   262,100814,19410411,-9999,    9
   262,100814,19410412,-9999,    9
   262,100814,19410413,-9999,    9
   262,100814,19410414,-9999,    9
   262,100814,19410415,-9999,    9
   262,100814,19410416,-9999,    9
   262,100814,19410417,-9999,    9
   262,100814,19410418,-9999,    9
   262,100814,19410419,-9999,    9
   262,100814,19410420,-9999,    9
   262,100814,19410421,-9999,    9
   262,100814,19410422,-9999,    9
   262,100814,19410423,-9999,    9
   262,100814,19410424,-9999,    9
   262,100814,19410425,-9999,    9
   262,100814,19410426,-9999,    9
   262,100814,19410427,-9999,    9
   262,100814,19410428,-9999,    9
   262,100814,19410429,-9999,    9
   262,100814,19410430,-9999,    9
   262,100814,19410501,-9999,    9
   262,100814,19410502,-9999,    9
   262,100814,19410503,-9999,    9
   262,100814,19410504,-9999,    9
   262,100814,19410505,-9999,    9
   262,100814,19410506,-9999,    9
   262,100814,19410507,-9999,    9
   262,100814,19410508,-9999,    9
   262,100814,19410509,-9999,    9
   262,100814,19410510,-9999,    9
   262,100814,19410511,-9999,    9
   262,100814,19410512,-9999,    9
   262,100814,19410513,-9999,    9
   262,100814,19410514,-9999,    9
   262,100814,19410515,-9999,    9
   262,100814,19410516,-9999,    9
   262,100814,19410517,-9999,    9
   262,100814,19410518,-9999,    9
   262,100814,19410519,-9999,    9
   262,100814,19410520,-9999,    9
   262,100814,19410521,-9999,    9
   262,100814,19410522,-9999,    9
   262,100814,19410523,-9999,    9
   262,100814,19410524,-9999,    9
