EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 100899) of station Bucuresti Filaret, ROMANIA (STAID:    267)

 STAID,    SOUID,    DATE,   RR, Q_RR
   267,100899,18950101,    5,    0
   267,100899,18950102,    0,    0
   267,100899,18950103,    9,    0
   267,100899,18950104,    0,    0
   267,100899,18950105,   55,    0
   267,100899,18950106,   14,    0
   267,100899,18950107,    0,    0
   267,100899,18950108,    0,    0
   267,100899,18950109,    0,    0
   267,100899,18950110,   52,    0
   267,100899,18950111,   36,    0
   267,100899,18950112,    8,    0
   267,100899,18950113,   58,    0
   267,100899,18950114,    0,    0
   267,100899,18950115,    0,    0
   267,100899,18950116,    0,    0
   267,100899,18950117,    0,    0
   267,100899,18950118,    0,    0
   267,100899,18950119,   71,    0
   267,100899,18950120,    0,    0
   267,100899,18950121,    0,    0
   267,100899,18950122,    0,    0
   267,100899,18950123,   19,    0
   267,100899,18950124,  152,    0
   267,100899,18950125,   13,    0
   267,100899,18950126,    0,    0
   267,100899,18950127,    0,    0
   267,100899,18950128,  109,    0
   267,100899,18950129,  223,    0
   267,100899,18950130,   37,    0
   267,100899,18950131,    0,    0
   267,100899,18950201,   34,    0
   267,100899,18950202,  391,    0
   267,100899,18950203,   42,    0
   267,100899,18950204,  125,    0
   267,100899,18950205,  156,    0
   267,100899,18950206,    0,    0
   267,100899,18950207,    0,    0
   267,100899,18950208,   40,    0
   267,100899,18950209,   19,    0
   267,100899,18950210,    0,    0
   267,100899,18950211,    0,    0
   267,100899,18950212,   12,    0
   267,100899,18950213,   30,    0
   267,100899,18950214,  184,    0
   267,100899,18950215,  163,    0
   267,100899,18950216,    0,    0
   267,100899,18950217,   38,    0
   267,100899,18950218,    2,    0
   267,100899,18950219,   58,    0
   267,100899,18950220,    0,    0
   267,100899,18950221,    0,    0
   267,100899,18950222,    0,    0
   267,100899,18950223,    0,    0
   267,100899,18950224,    0,    0
   267,100899,18950225,    2,    0
   267,100899,18950226,    0,    0
   267,100899,18950227,   13,    0
   267,100899,18950228,   15,    0
   267,100899,18950301,   49,    0
   267,100899,18950302,    0,    0
   267,100899,18950303,    0,    0
   267,100899,18950304,   15,    0
   267,100899,18950305,    0,    0
   267,100899,18950306,    8,    0
   267,100899,18950307,   84,    0
   267,100899,18950308,   33,    0
   267,100899,18950309,    1,    0
   267,100899,18950310,    0,    0
   267,100899,18950311,    0,    0
   267,100899,18950312,    0,    0
   267,100899,18950313,    0,    0
   267,100899,18950314,    0,    0
   267,100899,18950315,    0,    0
   267,100899,18950316,    3,    0
   267,100899,18950317,    0,    0
   267,100899,18950318,    1,    0
   267,100899,18950319,    0,    0
   267,100899,18950320,    0,    0
   267,100899,18950321,    0,    0
   267,100899,18950322,    0,    0
   267,100899,18950323,    6,    0
   267,100899,18950324,   12,    0
   267,100899,18950325,    0,    0
   267,100899,18950326,    0,    0
   267,100899,18950327,    0,    0
   267,100899,18950328,    0,    0
   267,100899,18950329,    0,    0
   267,100899,18950330,    3,    0
   267,100899,18950331,   53,    0
   267,100899,18950401,    0,    0
   267,100899,18950402,   49,    0
   267,100899,18950403,   18,    0
   267,100899,18950404,   33,    0
   267,100899,18950405,    0,    0
   267,100899,18950406,    0,    0
   267,100899,18950407,    0,    0
   267,100899,18950408,    0,    0
   267,100899,18950409,    6,    0
   267,100899,18950410,    0,    0
   267,100899,18950411,    0,    0
   267,100899,18950412,    0,    0
   267,100899,18950413,    0,    0
   267,100899,18950414,  108,    0
   267,100899,18950415,   28,    0
   267,100899,18950416,    0,    0
   267,100899,18950417,    0,    0
   267,100899,18950418,    0,    0
   267,100899,18950419,    0,    0
   267,100899,18950420,    0,    0
   267,100899,18950421,    0,    0
   267,100899,18950422,    0,    0
   267,100899,18950423,    0,    0
   267,100899,18950424,    0,    0
   267,100899,18950425,    0,    0
   267,100899,18950426,    0,    0
   267,100899,18950427,    0,    0
   267,100899,18950428,    0,    0
   267,100899,18950429,    5,    0
   267,100899,18950430,   10,    0
   267,100899,18950501,   18,    0
   267,100899,18950502,   27,    0
   267,100899,18950503,    0,    0
   267,100899,18950504,    0,    0
   267,100899,18950505,   16,    0
   267,100899,18950506,    0,    0
   267,100899,18950507,   49,    0
   267,100899,18950508,    0,    0
   267,100899,18950509,    0,    0
   267,100899,18950510,   18,    0
   267,100899,18950511,    1,    0
   267,100899,18950512,   52,    0
   267,100899,18950513,   11,    0
   267,100899,18950514,    0,    0
   267,100899,18950515,    0,    0
   267,100899,18950516,   83,    0
   267,100899,18950517,    0,    0
   267,100899,18950518,    0,    0
   267,100899,18950519,    0,    0
   267,100899,18950520,    0,    0
   267,100899,18950521,    0,    0
   267,100899,18950522,    0,    0
   267,100899,18950523,    0,    0
   267,100899,18950524,    0,    0
   267,100899,18950525,    0,    0
   267,100899,18950526,    0,    0
   267,100899,18950527,   15,    0
   267,100899,18950528,    0,    0
   267,100899,18950529,  127,    0
   267,100899,18950530,    8,    0
   267,100899,18950531,    0,    0
   267,100899,18950601,    0,    0
   267,100899,18950602,    0,    0
   267,100899,18950603,    0,    0
   267,100899,18950604,    0,    0
   267,100899,18950605,    0,    0
   267,100899,18950606,    0,    0
   267,100899,18950607,   52,    0
   267,100899,18950608,    0,    0
   267,100899,18950609,   19,    0
   267,100899,18950610,    0,    0
   267,100899,18950611,    0,    0
   267,100899,18950612,   55,    0
   267,100899,18950613,   24,    0
   267,100899,18950614,   46,    0
   267,100899,18950615,   16,    0
   267,100899,18950616,    6,    0
   267,100899,18950617,    0,    0
   267,100899,18950618,    0,    0
   267,100899,18950619,    0,    0
   267,100899,18950620,    0,    0
   267,100899,18950621,    0,    0
   267,100899,18950622,    0,    0
   267,100899,18950623,    0,    0
   267,100899,18950624,    0,    0
   267,100899,18950625,    0,    0
   267,100899,18950626,    0,    0
   267,100899,18950627,   11,    0
   267,100899,18950628,    0,    0
   267,100899,18950629,    0,    0
   267,100899,18950630,    0,    0
   267,100899,18950701,    0,    0
   267,100899,18950702,    0,    0
   267,100899,18950703,   27,    0
   267,100899,18950704,    0,    0
   267,100899,18950705,    0,    0
   267,100899,18950706,   19,    0
   267,100899,18950707,   56,    0
   267,100899,18950708,   36,    0
   267,100899,18950709,  196,    0
   267,100899,18950710,    2,    0
   267,100899,18950711,    0,    0
   267,100899,18950712,    0,    0
   267,100899,18950713,    0,    0
   267,100899,18950714,   12,    0
   267,100899,18950715,    0,    0
   267,100899,18950716,    0,    0
   267,100899,18950717,    0,    0
   267,100899,18950718,    0,    0
   267,100899,18950719,    0,    0
   267,100899,18950720,    0,    0
   267,100899,18950721,    0,    0
   267,100899,18950722,    0,    0
   267,100899,18950723,    0,    0
   267,100899,18950724,    0,    0
   267,100899,18950725,    0,    0
   267,100899,18950726,    0,    0
   267,100899,18950727,    0,    0
   267,100899,18950728,    0,    0
   267,100899,18950729,    0,    0
   267,100899,18950730,    0,    0
   267,100899,18950731,    0,    0
   267,100899,18950801,    0,    0
   267,100899,18950802,    0,    0
   267,100899,18950803,    0,    0
   267,100899,18950804,    0,    0
   267,100899,18950805,    0,    0
   267,100899,18950806,    6,    0
   267,100899,18950807,    0,    0
   267,100899,18950808,    0,    0
   267,100899,18950809,    0,    0
   267,100899,18950810,   44,    0
   267,100899,18950811,    0,    0
   267,100899,18950812,    0,    0
   267,100899,18950813,    0,    0
   267,100899,18950814,    0,    0
   267,100899,18950815,    0,    0
   267,100899,18950816,    0,    0
   267,100899,18950817,    9,    0
   267,100899,18950818,   46,    0
   267,100899,18950819,    0,    0
   267,100899,18950820,    0,    0
   267,100899,18950821,    0,    0
   267,100899,18950822,    0,    0
   267,100899,18950823,    0,    0
   267,100899,18950824,    0,    0
   267,100899,18950825,    0,    0
   267,100899,18950826,    0,    0
   267,100899,18950827,   32,    0
   267,100899,18950828,    0,    0
   267,100899,18950829,    0,    0
   267,100899,18950830,    0,    0
   267,100899,18950831,    0,    0
   267,100899,18950901,    0,    0
   267,100899,18950902,    0,    0
   267,100899,18950903,    0,    0
   267,100899,18950904,    0,    0
   267,100899,18950905,    0,    0
   267,100899,18950906,    0,    0
   267,100899,18950907,    0,    0
   267,100899,18950908,    0,    0
   267,100899,18950909,    8,    0
   267,100899,18950910,   31,    0
   267,100899,18950911,    0,    0
   267,100899,18950912,    0,    0
   267,100899,18950913,    0,    0
   267,100899,18950914,   19,    0
   267,100899,18950915,    6,    0
   267,100899,18950916,   24,    0
   267,100899,18950917,    1,    0
   267,100899,18950918,    0,    0
   267,100899,18950919,    0,    0
   267,100899,18950920,    0,    0
   267,100899,18950921,    0,    0
   267,100899,18950922,   88,    0
   267,100899,18950923,    0,    0
   267,100899,18950924,    0,    0
   267,100899,18950925,    0,    0
   267,100899,18950926,    0,    0
   267,100899,18950927,    0,    0
   267,100899,18950928,    0,    0
   267,100899,18950929,    0,    0
   267,100899,18950930,    0,    0
   267,100899,18951001,    0,    0
   267,100899,18951002,    0,    0
   267,100899,18951003,    0,    0
   267,100899,18951004,   39,    0
   267,100899,18951005,    0,    0
   267,100899,18951006,   24,    0
   267,100899,18951007,   12,    0
   267,100899,18951008,    0,    0
   267,100899,18951009,    0,    0
   267,100899,18951010,    1,    0
   267,100899,18951011,    0,    0
   267,100899,18951012,  130,    0
   267,100899,18951013,    7,    0
   267,100899,18951014,    0,    0
   267,100899,18951015,    0,    0
   267,100899,18951016,    0,    0
   267,100899,18951017,    0,    0
   267,100899,18951018,  174,    0
   267,100899,18951019,   34,    0
   267,100899,18951020,   14,    0
   267,100899,18951021,    6,    0
   267,100899,18951022,   26,    0
   267,100899,18951023,    0,    0
   267,100899,18951024,    0,    0
   267,100899,18951025,   95,    0
   267,100899,18951026,    2,    0
   267,100899,18951027,    6,    0
   267,100899,18951028,    0,    0
   267,100899,18951029,    0,    0
   267,100899,18951030,    0,    0
   267,100899,18951031,    0,    0
   267,100899,18951101,    1,    0
   267,100899,18951102,    0,    0
   267,100899,18951103,    0,    0
   267,100899,18951104,    0,    0
   267,100899,18951105,    0,    0
   267,100899,18951106,    0,    0
   267,100899,18951107,    0,    0
   267,100899,18951108,    0,    0
   267,100899,18951109,    0,    0
   267,100899,18951110,    0,    0
   267,100899,18951111,    0,    0
   267,100899,18951112,    0,    0
   267,100899,18951113,    0,    0
   267,100899,18951114,    0,    0
   267,100899,18951115,    0,    0
   267,100899,18951116,    0,    0
   267,100899,18951117,    0,    0
   267,100899,18951118,    0,    0
   267,100899,18951119,    0,    0
   267,100899,18951120,    0,    0
   267,100899,18951121,   28,    0
   267,100899,18951122,  180,    0
   267,100899,18951123,  223,    0
   267,100899,18951124,    0,    0
   267,100899,18951125,    6,    0
   267,100899,18951126,   42,    0
   267,100899,18951127,    0,    0
   267,100899,18951128,    0,    0
   267,100899,18951129,  186,    0
   267,100899,18951130,   62,    0
   267,100899,18951201,   47,    0
