EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 100901) of station Calarasi, ROMANIA (STAID:    221)

 STAID,    SOUID,    DATE,   RR, Q_RR
   221,100901,19380101,    1,    0
   221,100901,19380102,   10,    0
   221,100901,19380103,   60,    0
   221,100901,19380104,    3,    0
   221,100901,19380105,    6,    0
   221,100901,19380106,    4,    0
   221,100901,19380107,    0,    0
   221,100901,19380108,    0,    0
   221,100901,19380109,    0,    0
   221,100901,19380110,    0,    0
   221,100901,19380111,    0,    0
   221,100901,19380112,    1,    0
   221,100901,19380113,    1,    0
   221,100901,19380114,    0,    0
   221,100901,19380115,   20,    0
   221,100901,19380116,    0,    0
   221,100901,19380117,    4,    0
   221,100901,19380118,    1,    0
   221,100901,19380119,    1,    0
   221,100901,19380120,    0,    0
   221,100901,19380121,    0,    0
   221,100901,19380122,    0,    0
   221,100901,19380123,    0,    0
   221,100901,19380124,    3,    0
   221,100901,19380125,    0,    0
   221,100901,19380126,   10,    0
   221,100901,19380127,    0,    0
   221,100901,19380128,    0,    0
   221,100901,19380129,    0,    0
   221,100901,19380130,    0,    0
   221,100901,19380131,   17,    0
   221,100901,19380201,   44,    0
   221,100901,19380202,    0,    0
   221,100901,19380203,    0,    0
   221,100901,19380204,    1,    0
   221,100901,19380205,    1,    0
   221,100901,19380206,    0,    0
   221,100901,19380207,    3,    0
   221,100901,19380208,    1,    0
   221,100901,19380209,    3,    0
   221,100901,19380210,    0,    0
   221,100901,19380211,    0,    0
   221,100901,19380212,    0,    0
   221,100901,19380213,   12,    0
   221,100901,19380214,    1,    0
   221,100901,19380215,    0,    0
   221,100901,19380216,    0,    0
   221,100901,19380217,    0,    0
   221,100901,19380218,    0,    0
   221,100901,19380219,    0,    0
   221,100901,19380220,    2,    0
   221,100901,19380221,    0,    0
   221,100901,19380222,    1,    0
   221,100901,19380223,    0,    0
   221,100901,19380224,    0,    0
   221,100901,19380225,    0,    0
   221,100901,19380226,    9,    0
   221,100901,19380227,    6,    0
   221,100901,19380228,    0,    0
   221,100901,19380301,    0,    0
   221,100901,19380302,    0,    0
   221,100901,19380303,   25,    0
   221,100901,19380304,    4,    0
   221,100901,19380305,    0,    0
   221,100901,19380306,    0,    0
   221,100901,19380307,    0,    0
   221,100901,19380308,    0,    0
   221,100901,19380309,    0,    0
   221,100901,19380310,    0,    0
   221,100901,19380311,    0,    0
   221,100901,19380312,    0,    0
   221,100901,19380313,    0,    0
   221,100901,19380314,    0,    0
   221,100901,19380315,    0,    0
   221,100901,19380316,    0,    0
   221,100901,19380317,    0,    0
   221,100901,19380318,    0,    0
   221,100901,19380319,    0,    0
   221,100901,19380320,    0,    0
   221,100901,19380321,    0,    0
   221,100901,19380322,    0,    0
   221,100901,19380323,    0,    0
   221,100901,19380324,    0,    0
   221,100901,19380325,    0,    0
   221,100901,19380326,    0,    0
   221,100901,19380327,    0,    0
   221,100901,19380328,   16,    0
   221,100901,19380329,    8,    0
   221,100901,19380330,    0,    0
   221,100901,19380331,    0,    0
   221,100901,19380401,    0,    0
   221,100901,19380402,    0,    0
   221,100901,19380403,    0,    0
   221,100901,19380404,    0,    0
   221,100901,19380405,   16,    0
   221,100901,19380406,    0,    0
   221,100901,19380407,    0,    0
   221,100901,19380408,    0,    0
   221,100901,19380409,   50,    0
   221,100901,19380410,   85,    0
   221,100901,19380411,    0,    0
   221,100901,19380412,   91,    0
   221,100901,19380413,    0,    0
   221,100901,19380414,    0,    0
   221,100901,19380415,    2,    0
   221,100901,19380416,   26,    0
   221,100901,19380417,    0,    0
   221,100901,19380418,    0,    0
   221,100901,19380419,    0,    0
   221,100901,19380420,    2,    0
   221,100901,19380421,    2,    0
   221,100901,19380422,    1,    0
   221,100901,19380423,    0,    0
   221,100901,19380424,    0,    0
   221,100901,19380425,    5,    0
   221,100901,19380426,    0,    0
   221,100901,19380427,    0,    0
   221,100901,19380428,    0,    0
   221,100901,19380429,    0,    0
   221,100901,19380430,    0,    0
   221,100901,19380501,   10,    0
   221,100901,19380502,   54,    0
   221,100901,19380503,    1,    0
   221,100901,19380504,   13,    0
   221,100901,19380505,   16,    0
   221,100901,19380506,   22,    0
   221,100901,19380507,    0,    0
   221,100901,19380508,    0,    0
   221,100901,19380509,    0,    0
   221,100901,19380510,    0,    0
   221,100901,19380511,   40,    0
   221,100901,19380512,  510,    0
   221,100901,19380513,   78,    0
   221,100901,19380514,    0,    0
   221,100901,19380515,    0,    0
   221,100901,19380516,    0,    0
   221,100901,19380517,    0,    0
   221,100901,19380518,    0,    0
   221,100901,19380519,  120,    0
   221,100901,19380520,    0,    0
   221,100901,19380521,    0,    0
   221,100901,19380522,    0,    0
   221,100901,19380523,    0,    0
   221,100901,19380524,    0,    0
   221,100901,19380525,   14,    0
   221,100901,19380526,    5,    0
   221,100901,19380527,    2,    0
   221,100901,19380528,    0,    0
   221,100901,19380529,    0,    0
   221,100901,19380530,    0,    0
   221,100901,19380531,    0,    0
   221,100901,19380601,    3,    0
   221,100901,19380602,    0,    0
   221,100901,19380603,    0,    0
   221,100901,19380604,    0,    0
   221,100901,19380605,    0,    0
   221,100901,19380606,    0,    0
   221,100901,19380607,    0,    0
   221,100901,19380608,    0,    0
   221,100901,19380609,    0,    0
   221,100901,19380610,    0,    0
   221,100901,19380611,    0,    0
   221,100901,19380612,    0,    0
   221,100901,19380613,    0,    0
   221,100901,19380614,    0,    0
   221,100901,19380615,    0,    0
   221,100901,19380616,    0,    0
   221,100901,19380617,   27,    0
   221,100901,19380618,    0,    0
   221,100901,19380619,    0,    0
   221,100901,19380620,    0,    0
   221,100901,19380621,    0,    0
   221,100901,19380622,    0,    0
   221,100901,19380623,    0,    0
   221,100901,19380624,    0,    0
   221,100901,19380625,   46,    0
   221,100901,19380626,    0,    0
   221,100901,19380627,    0,    0
   221,100901,19380628,    0,    0
   221,100901,19380629,    0,    0
   221,100901,19380630,    0,    0
   221,100901,19380701,    0,    0
   221,100901,19380702,    0,    0
   221,100901,19380703,   30,    0
   221,100901,19380704,    0,    0
   221,100901,19380705,  103,    0
   221,100901,19380706,    0,    0
   221,100901,19380707,    0,    0
   221,100901,19380708,    0,    0
   221,100901,19380709,    0,    0
   221,100901,19380710,    0,    0
   221,100901,19380711,    0,    0
   221,100901,19380712,    0,    0
   221,100901,19380713,    0,    0
   221,100901,19380714,    0,    0
   221,100901,19380715,    0,    0
   221,100901,19380716,    0,    0
   221,100901,19380717,    0,    0
   221,100901,19380718,    0,    0
   221,100901,19380719,    0,    0
   221,100901,19380720,   50,    0
   221,100901,19380721,    0,    0
   221,100901,19380722,    0,    0
   221,100901,19380723,    0,    0
   221,100901,19380724,    0,    0
   221,100901,19380725,    0,    0
   221,100901,19380726,    0,    0
   221,100901,19380727,    0,    0
   221,100901,19380728,    0,    0
   221,100901,19380729,    0,    0
   221,100901,19380730,    0,    0
   221,100901,19380731,    0,    0
   221,100901,19380801,    0,    0
   221,100901,19380802,    0,    0
   221,100901,19380803,    0,    0
   221,100901,19380804,    0,    0
   221,100901,19380805,    7,    0
   221,100901,19380806,    2,    0
   221,100901,19380807,    0,    0
   221,100901,19380808,    0,    0
   221,100901,19380809,    0,    0
   221,100901,19380810,    0,    0
   221,100901,19380811,    0,    0
   221,100901,19380812,   10,    0
   221,100901,19380813,    0,    0
   221,100901,19380814,    0,    0
   221,100901,19380815,    0,    0
   221,100901,19380816,    0,    0
   221,100901,19380817,    0,    0
   221,100901,19380818,    0,    0
   221,100901,19380819,   17,    0
   221,100901,19380820,    0,    0
   221,100901,19380821,    0,    0
   221,100901,19380822,    0,    0
   221,100901,19380823,    0,    0
   221,100901,19380824,    0,    0
   221,100901,19380825,    2,    0
   221,100901,19380826,    0,    0
   221,100901,19380827,    0,    0
   221,100901,19380828,    0,    0
   221,100901,19380829,   23,    0
   221,100901,19380830,    0,    0
   221,100901,19380831,    0,    0
   221,100901,19380901,    8,    0
   221,100901,19380902,  137,    0
   221,100901,19380903,  115,    0
   221,100901,19380904,    0,    0
   221,100901,19380905,    0,    0
   221,100901,19380906,    0,    0
   221,100901,19380907,  323,    0
   221,100901,19380908,    0,    0
   221,100901,19380909,    0,    0
   221,100901,19380910,    0,    0
   221,100901,19380911,    0,    0
   221,100901,19380912,   24,    0
   221,100901,19380913,    0,    0
   221,100901,19380914,    2,    0
   221,100901,19380915,    0,    0
   221,100901,19380916,    0,    0
   221,100901,19380917,    8,    0
   221,100901,19380918,   21,    0
   221,100901,19380919,    0,    0
   221,100901,19380920,    0,    0
   221,100901,19380921,    4,    0
   221,100901,19380922,    0,    0
   221,100901,19380923,    4,    0
   221,100901,19380924,    0,    0
   221,100901,19380925,  120,    0
   221,100901,19380926,    0,    0
   221,100901,19380927,    0,    0
   221,100901,19380928,    0,    0
   221,100901,19380929,    0,    0
   221,100901,19380930,    0,    0
   221,100901,19381001,    0,    0
   221,100901,19381002,    0,    0
   221,100901,19381003,    5,    0
   221,100901,19381004,    0,    0
   221,100901,19381005,    0,    0
   221,100901,19381006,    0,    0
   221,100901,19381007,   14,    0
   221,100901,19381008,    0,    0
   221,100901,19381009,   31,    0
   221,100901,19381010,    0,    0
   221,100901,19381011,    0,    0
   221,100901,19381012,    0,    0
   221,100901,19381013,    0,    0
   221,100901,19381014,    0,    0
   221,100901,19381015,    0,    0
   221,100901,19381016,    0,    0
   221,100901,19381017,    0,    0
   221,100901,19381018,    0,    0
   221,100901,19381019,    0,    0
   221,100901,19381020,    0,    0
   221,100901,19381021,   15,    0
   221,100901,19381022,   36,    0
   221,100901,19381023,  481,    0
   221,100901,19381024,    5,    0
   221,100901,19381025,    5,    0
   221,100901,19381026,    0,    0
   221,100901,19381027,    0,    0
   221,100901,19381028,    0,    0
   221,100901,19381029,    0,    0
   221,100901,19381030,    0,    0
   221,100901,19381031,    0,    0
   221,100901,19381101,    0,    0
   221,100901,19381102,    0,    0
   221,100901,19381103,   14,    0
   221,100901,19381104,   26,    0
   221,100901,19381105,    0,    0
   221,100901,19381106,    0,    0
   221,100901,19381107,    6,    0
   221,100901,19381108,    0,    0
   221,100901,19381109,    0,    0
   221,100901,19381110,    0,    0
   221,100901,19381111,    0,    0
   221,100901,19381112,    7,    0
   221,100901,19381113,    8,    0
   221,100901,19381114,    0,    0
   221,100901,19381115,    0,    0
   221,100901,19381116,    0,    0
   221,100901,19381117,    0,    0
   221,100901,19381118,    0,    0
   221,100901,19381119,    0,    0
   221,100901,19381120,   18,    0
   221,100901,19381121,    5,    0
   221,100901,19381122,    0,    0
   221,100901,19381123,    0,    0
   221,100901,19381124,    0,    0
   221,100901,19381125,    0,    0
   221,100901,19381126,    0,    0
   221,100901,19381127,    0,    0
   221,100901,19381128,    0,    0
   221,100901,19381129,    1,    0
   221,100901,19381130,   19,    0
   221,100901,19381201,    0,    0
   221,100901,19381202,    7,    0
   221,100901,19381203,    0,    0
   221,100901,19381204,    1,    0
   221,100901,19381205,   28,    0
   221,100901,19381206,    2,    0
   221,100901,19381207,    1,    0
   221,100901,19381208,    0,    0
   221,100901,19381209,    0,    0
   221,100901,19381210,    0,    0
   221,100901,19381211,    0,    0
   221,100901,19381212,    0,    0
   221,100901,19381213,    0,    0
   221,100901,19381214,    0,    0
   221,100901,19381215,    0,    0
   221,100901,19381216,    0,    0
   221,100901,19381217,    0,    0
   221,100901,19381218,   35,    0
   221,100901,19381219,   30,    0
   221,100901,19381220,   20,    0
   221,100901,19381221,   11,    0
   221,100901,19381222,  104,    0
   221,100901,19381223,  154,    0
   221,100901,19381224,   28,    0
   221,100901,19381225,   10,    0
   221,100901,19381226,    0,    0
   221,100901,19381227,   20,    0
   221,100901,19381228,   83,    0
   221,100901,19381229,    0,    0
   221,100901,19381230,    8,    0
   221,100901,19381231,    0,    0
   221,100901,19390101,   20,    0
   221,100901,19390102,    0,    0
   221,100901,19390103,    1,    0
   221,100901,19390104,    0,    0
   221,100901,19390105,    0,    0
   221,100901,19390106,   10,    0
   221,100901,19390107,    0,    0
   221,100901,19390108,    2,    0
   221,100901,19390109,    0,    0
   221,100901,19390110,    0,    0
   221,100901,19390111,    0,    0
   221,100901,19390112,    0,    0
