EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 100903) of station Drobeta Turnu Severin, ROMANIA (STAID:    223)

 STAID,    SOUID,    DATE,   RR, Q_RR
   223,100903,19250101,    0,    0
   223,100903,19250102,    0,    0
   223,100903,19250103,    0,    0
   223,100903,19250104,    0,    0
   223,100903,19250105,    0,    0
   223,100903,19250106,    0,    0
   223,100903,19250107,   26,    0
   223,100903,19250108,    0,    0
   223,100903,19250109,    0,    0
   223,100903,19250110,    0,    0
   223,100903,19250111,    0,    0
   223,100903,19250112,    0,    0
   223,100903,19250113,    0,    0
   223,100903,19250114,    0,    0
   223,100903,19250115,    0,    0
   223,100903,19250116,    0,    0
   223,100903,19250117,    0,    0
   223,100903,19250118,    0,    0
   223,100903,19250119,    0,    0
   223,100903,19250120,    0,    0
   223,100903,19250121,    0,    0
   223,100903,19250122,    0,    0
   223,100903,19250123,    0,    0
   223,100903,19250124,    0,    0
   223,100903,19250125,    0,    0
   223,100903,19250126,    0,    0
   223,100903,19250127,    0,    0
   223,100903,19250128,    0,    0
   223,100903,19250129,    0,    0
   223,100903,19250130,    0,    0
   223,100903,19250131,    0,    0
   223,100903,19250201,    0,    0
   223,100903,19250202,    0,    0
   223,100903,19250203,    0,    0
   223,100903,19250204,    0,    0
   223,100903,19250205,    0,    0
   223,100903,19250206,    0,    0
   223,100903,19250207,    0,    0
   223,100903,19250208,    0,    0
   223,100903,19250209,    0,    0
   223,100903,19250210,    0,    0
   223,100903,19250211,    0,    0
   223,100903,19250212,    0,    0
   223,100903,19250213,    0,    0
   223,100903,19250214,    0,    0
   223,100903,19250215,    0,    0
   223,100903,19250216,    0,    0
   223,100903,19250217,    0,    0
   223,100903,19250218,    0,    0
   223,100903,19250219,    0,    0
   223,100903,19250220,    0,    0
   223,100903,19250221,   78,    0
   223,100903,19250222,   90,    0
   223,100903,19250223,   30,    0
   223,100903,19250224,    0,    0
   223,100903,19250225,   80,    0
   223,100903,19250226,    0,    0
   223,100903,19250227,    0,    0
   223,100903,19250228,    0,    0
   223,100903,19250301,    0,    0
   223,100903,19250302,    0,    0
   223,100903,19250303,    0,    0
   223,100903,19250304,    0,    0
   223,100903,19250305,    0,    0
   223,100903,19250306,    0,    0
   223,100903,19250307,    0,    0
