EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 100933) of station Sarajevo, BOSNIA AND HERZEGOVINA (STAID:    276)

 STAID,    SOUID,    DATE,   RR, Q_RR
   276,100933,19010101,   44,    0
   276,100933,19010102,    0,    0
   276,100933,19010103,    0,    0
   276,100933,19010104,    0,    0
   276,100933,19010105,   16,    0
   276,100933,19010106,   12,    0
   276,100933,19010107,    0,    0
   276,100933,19010108,    0,    0
   276,100933,19010109,    0,    0
   276,100933,19010110,    1,    0
   276,100933,19010111,    1,    0
   276,100933,19010112,   37,    0
   276,100933,19010113,   11,    0
   276,100933,19010114,    0,    0
   276,100933,19010115,    0,    0
   276,100933,19010116,    0,    0
   276,100933,19010117,    0,    0
   276,100933,19010118,    0,    0
   276,100933,19010119,    0,    0
   276,100933,19010120,    0,    0
   276,100933,19010121,   18,    0
   276,100933,19010122,    0,    0
   276,100933,19010123,    0,    0
   276,100933,19010124,    0,    0
   276,100933,19010125,    0,    0
   276,100933,19010126,   10,    0
   276,100933,19010127,    0,    0
   276,100933,19010128,    0,    0
   276,100933,19010129,   20,    0
   276,100933,19010130,   99,    0
   276,100933,19010131,   25,    0
   276,100933,19010201,    2,    0
   276,100933,19010202,   33,    0
   276,100933,19010203,    0,    0
   276,100933,19010204,    0,    0
   276,100933,19010205,  154,    0
   276,100933,19010206,    0,    0
   276,100933,19010207,  125,    0
   276,100933,19010208,  155,    0
   276,100933,19010209,    0,    0
   276,100933,19010210,    0,    0
   276,100933,19010211,    0,    0
   276,100933,19010212,  100,    0
   276,100933,19010213,   68,    0
   276,100933,19010214,   12,    0
   276,100933,19010215,    0,    0
   276,100933,19010216,   28,    0
   276,100933,19010217,    0,    0
   276,100933,19010218,    2,    0
   276,100933,19010219,   90,    0
   276,100933,19010220,   12,    0
   276,100933,19010221,   58,    0
   276,100933,19010222,    0,    0
   276,100933,19010223,   37,    0
   276,100933,19010224,  108,    0
   276,100933,19010225,    0,    0
   276,100933,19010226,    0,    0
   276,100933,19010227,    0,    0
   276,100933,19010228,    0,    0
   276,100933,19010301,    0,    0
   276,100933,19010302,    0,    0
   276,100933,19010303,   67,    0
   276,100933,19010304,   83,    0
   276,100933,19010305,   32,    0
   276,100933,19010306,    0,    0
   276,100933,19010307,  120,    0
   276,100933,19010308,  162,    0
   276,100933,19010309,   11,    0
   276,100933,19010310,    0,    0
   276,100933,19010311,   20,    0
   276,100933,19010312,  212,    0
   276,100933,19010313,  100,    0
   276,100933,19010314,    0,    0
   276,100933,19010315,    0,    0
   276,100933,19010316,    0,    0
   276,100933,19010317,    0,    0
   276,100933,19010318,    0,    0
   276,100933,19010319,    0,    0
   276,100933,19010320,  413,    0
   276,100933,19010321,    0,    0
   276,100933,19010322,   67,    0
   276,100933,19010323,    0,    0
   276,100933,19010324,   12,    0
   276,100933,19010325,   19,    0
   276,100933,19010326,   19,    0
   276,100933,19010327,   15,    0
   276,100933,19010328,    4,    0
   276,100933,19010329,   12,    0
   276,100933,19010330,    0,    0
   276,100933,19010331,    0,    0
   276,100933,19010401,    0,    0
   276,100933,19010402,    0,    0
   276,100933,19010403,    3,    0
   276,100933,19010404,    0,    0
   276,100933,19010405,    9,    0
   276,100933,19010406,   28,    0
   276,100933,19010407,    0,    0
   276,100933,19010408,    0,    0
   276,100933,19010409,    0,    0
   276,100933,19010410,   10,    0
   276,100933,19010411,    0,    0
   276,100933,19010412,    0,    0
   276,100933,19010413,   15,    0
   276,100933,19010414,    0,    0
   276,100933,19010415,    0,    0
   276,100933,19010416,   66,    0
   276,100933,19010417,   52,    0
   276,100933,19010418,  263,    0
   276,100933,19010419,    0,    0
   276,100933,19010420,    0,    0
   276,100933,19010421,    0,    0
   276,100933,19010422,    0,    0
   276,100933,19010423,    0,    0
   276,100933,19010424,    0,    0
   276,100933,19010425,    0,    0
   276,100933,19010426,    3,    0
   276,100933,19010427,    0,    0
   276,100933,19010428,    0,    0
   276,100933,19010429,   53,    0
   276,100933,19010430,    2,    0
   276,100933,19010501,    0,    0
   276,100933,19010502,    0,    0
   276,100933,19010503,   63,    0
   276,100933,19010504,   26,    0
   276,100933,19010505,   39,    0
   276,100933,19010506,    0,    0
   276,100933,19010507,    0,    0
   276,100933,19010508,    0,    0
   276,100933,19010509,    0,    0
   276,100933,19010510,   48,    0
   276,100933,19010511,    6,    0
   276,100933,19010512,    0,    0
   276,100933,19010513,    0,    0
   276,100933,19010514,    0,    0
   276,100933,19010515,    0,    0
   276,100933,19010516,    1,    0
   276,100933,19010517,    0,    0
   276,100933,19010518,    3,    0
   276,100933,19010519,    0,    0
   276,100933,19010520,  182,    0
   276,100933,19010521,   19,    0
   276,100933,19010522,    2,    0
   276,100933,19010523,   53,    0
   276,100933,19010524,   45,    0
   276,100933,19010525,   65,    0
   276,100933,19010526,   75,    0
   276,100933,19010527,    9,    0
   276,100933,19010528,    2,    0
   276,100933,19010529,    2,    0
   276,100933,19010530,    7,    0
   276,100933,19010531,   17,    0
   276,100933,19010601,   96,    0
   276,100933,19010602,   43,    0
   276,100933,19010603,    3,    0
   276,100933,19010604,   75,    0
   276,100933,19010605,    7,    0
   276,100933,19010606,    0,    0
   276,100933,19010607,   10,    0
   276,100933,19010608,    0,    0
   276,100933,19010609,    0,    0
   276,100933,19010610,   30,    0
   276,100933,19010611,  133,    0
   276,100933,19010612,   26,    0
   276,100933,19010613,   93,    0
   276,100933,19010614,    0,    0
   276,100933,19010615,    0,    0
   276,100933,19010616,   44,    0
   276,100933,19010617,   11,    0
   276,100933,19010618,   26,    0
   276,100933,19010619,   99,    0
   276,100933,19010620,  507,    0
   276,100933,19010621,  142,    0
   276,100933,19010622,   69,    0
   276,100933,19010623,    2,    0
   276,100933,19010624,   41,    0
   276,100933,19010625,    0,    0
   276,100933,19010626,    0,    0
   276,100933,19010627,    0,    0
   276,100933,19010628,    0,    0
   276,100933,19010629,    0,    0
   276,100933,19010630,    0,    0
   276,100933,19010701,    0,    0
   276,100933,19010702,    0,    0
   276,100933,19010703,    0,    0
   276,100933,19010704,  203,    0
   276,100933,19010705,   73,    0
   276,100933,19010706,    5,    0
   276,100933,19010707,   30,    0
   276,100933,19010708,    5,    0
   276,100933,19010709,    8,    0
   276,100933,19010710,  115,    0
   276,100933,19010711,    0,    0
   276,100933,19010712,   50,    0
   276,100933,19010713,   71,    0
   276,100933,19010714,    0,    0
   276,100933,19010715,   14,    0
   276,100933,19010716,  178,    0
   276,100933,19010717,    8,    0
   276,100933,19010718,    0,    0
   276,100933,19010719,    0,    0
   276,100933,19010720,    0,    0
   276,100933,19010721,    0,    0
   276,100933,19010722,    0,    0
   276,100933,19010723,    4,    0
   276,100933,19010724,    0,    0
   276,100933,19010725,    0,    0
   276,100933,19010726,    0,    0
   276,100933,19010727,    0,    0
   276,100933,19010728,    0,    0
   276,100933,19010729,    0,    0
   276,100933,19010730,    0,    0
   276,100933,19010731,    0,    0
   276,100933,19010801,    0,    0
   276,100933,19010802,    5,    0
   276,100933,19010803,   39,    0
   276,100933,19010804,    0,    0
   276,100933,19010805,    8,    0
   276,100933,19010806,   12,    0
   276,100933,19010807,   90,    0
   276,100933,19010808,    0,    0
   276,100933,19010809,    0,    0
   276,100933,19010810,    0,    0
   276,100933,19010811,    0,    0
   276,100933,19010812,    0,    0
   276,100933,19010813,    0,    0
   276,100933,19010814,    7,    0
   276,100933,19010815,    0,    0
   276,100933,19010816,   23,    0
   276,100933,19010817,   10,    0
   276,100933,19010818,   10,    0
   276,100933,19010819,    0,    0
   276,100933,19010820,    0,    0
   276,100933,19010821,   56,    0
   276,100933,19010822,    0,    0
   276,100933,19010823,    0,    0
   276,100933,19010824,    0,    0
   276,100933,19010825,    0,    0
   276,100933,19010826,    0,    0
   276,100933,19010827,  153,    0
   276,100933,19010828,    9,    0
   276,100933,19010829,   65,    0
   276,100933,19010830,    0,    0
   276,100933,19010831,    0,    0
   276,100933,19010901,    0,    0
   276,100933,19010902,    0,    0
   276,100933,19010903,    0,    0
   276,100933,19010904,    0,    0
   276,100933,19010905,   60,    0
   276,100933,19010906,    0,    0
   276,100933,19010907,  172,    0
   276,100933,19010908,    0,    0
   276,100933,19010909,    0,    0
   276,100933,19010910,    0,    0
   276,100933,19010911,  222,    0
   276,100933,19010912,  231,    0
   276,100933,19010913,  219,    0
   276,100933,19010914,   17,    0
   276,100933,19010915,    0,    0
   276,100933,19010916,    4,    0
   276,100933,19010917,    0,    0
   276,100933,19010918,    8,    0
   276,100933,19010919,  123,    0
   276,100933,19010920,    0,    0
   276,100933,19010921,    0,    0
   276,100933,19010922,    2,    0
   276,100933,19010923,   58,    0
   276,100933,19010924,    0,    0
   276,100933,19010925,    8,    0
   276,100933,19010926,  105,    0
   276,100933,19010927,    0,    0
   276,100933,19010928,    0,    0
   276,100933,19010929,    0,    0
   276,100933,19010930,    0,    0
   276,100933,19011001,    0,    0
   276,100933,19011002,    0,    0
   276,100933,19011003,    0,    0
   276,100933,19011004,    0,    0
   276,100933,19011005,    1,    0
   276,100933,19011006,    0,    0
   276,100933,19011007,  252,    0
   276,100933,19011008,    0,    0
   276,100933,19011009,  183,    0
   276,100933,19011010,   72,    0
   276,100933,19011011,   97,    0
   276,100933,19011012,    3,    0
   276,100933,19011013,    0,    0
   276,100933,19011014,    0,    0
   276,100933,19011015,    0,    0
   276,100933,19011016,  204,    0
   276,100933,19011017,    0,    0
   276,100933,19011018,    7,    0
   276,100933,19011019,   28,    0
   276,100933,19011020,    0,    0
   276,100933,19011021,    0,    0
   276,100933,19011022,   56,    0
   276,100933,19011023,   97,    0
   276,100933,19011024,   36,    0
   276,100933,19011025,   25,    0
   276,100933,19011026,   15,    0
   276,100933,19011027,    0,    0
   276,100933,19011028,    0,    0
   276,100933,19011029,    2,    0
   276,100933,19011030,   35,    0
   276,100933,19011031,  174,    0
   276,100933,19011101,    0,    0
   276,100933,19011102,    0,    0
   276,100933,19011103,    0,    0
   276,100933,19011104,    0,    0
   276,100933,19011105,    0,    0
   276,100933,19011106,    0,    0
   276,100933,19011107,    0,    0
   276,100933,19011108,    0,    0
   276,100933,19011109,   35,    0
   276,100933,19011110,    0,    0
   276,100933,19011111,    0,    0
   276,100933,19011112,    0,    0
   276,100933,19011113,    0,    0
   276,100933,19011114,    0,    0
   276,100933,19011115,    0,    0
   276,100933,19011116,    0,    0
   276,100933,19011117,   34,    0
   276,100933,19011118,  177,    0
   276,100933,19011119,    0,    0
   276,100933,19011120,    0,    0
   276,100933,19011121,    0,    0
   276,100933,19011122,    0,    0
   276,100933,19011123,  142,    0
   276,100933,19011124,   51,    0
   276,100933,19011125,    6,    0
   276,100933,19011126,   53,    0
   276,100933,19011127,    9,    0
   276,100933,19011128,    0,    0
   276,100933,19011129,    0,    0
   276,100933,19011130,    0,    0
   276,100933,19011201,    6,    0
   276,100933,19011202,    0,    0
   276,100933,19011203,    0,    0
   276,100933,19011204,   88,    0
   276,100933,19011205,    0,    0
   276,100933,19011206,    0,    0
   276,100933,19011207,    0,    0
   276,100933,19011208,    0,    0
   276,100933,19011209,    0,    0
   276,100933,19011210,  128,    0
   276,100933,19011211,   34,    0
   276,100933,19011212,    0,    0
   276,100933,19011213,    4,    0
   276,100933,19011214,   77,    0
   276,100933,19011215,  174,    0
   276,100933,19011216,   21,    0
   276,100933,19011217,    1,    0
   276,100933,19011218,   10,    0
   276,100933,19011219,   11,    0
   276,100933,19011220,  123,    0
   276,100933,19011221,    0,    0
   276,100933,19011222,   52,    0
   276,100933,19011223,    4,    0
   276,100933,19011224,   48,    0
   276,100933,19011225,    0,    0
   276,100933,19011226,  163,    0
   276,100933,19011227,   83,    0
   276,100933,19011228,   57,    0
   276,100933,19011229,    0,    0
   276,100933,19011230,   14,    0
   276,100933,19011231,    0,    0
   276,100933,19020101,    0,    0
   276,100933,19020102,    0,    0
   276,100933,19020103,   66,    0
   276,100933,19020104,   15,    0
   276,100933,19020105,    0,    0
   276,100933,19020106,    0,    0
   276,100933,19020107,  108,    0
   276,100933,19020108,    8,    0
   276,100933,19020109,    0,    0
   276,100933,19020110,    0,    0
   276,100933,19020111,    0,    0
   276,100933,19020112,    0,    0
   276,100933,19020113,    0,    0
   276,100933,19020114,    2,    0
   276,100933,19020115,   16,    0
   276,100933,19020116,   61,    0
   276,100933,19020117,   16,    0
   276,100933,19020118,    0,    0
   276,100933,19020119,    0,    0
   276,100933,19020120,    0,    0
   276,100933,19020121,    0,    0
   276,100933,19020122,    0,    0
   276,100933,19020123,    0,    0
   276,100933,19020124,    0,    0
   276,100933,19020125,   13,    0
   276,100933,19020126,  132,    0
   276,100933,19020127,    2,    0
   276,100933,19020128,    0,    0
   276,100933,19020129,  106,    0
   276,100933,19020130,   28,    0
   276,100933,19020131,   19,    0
   276,100933,19020201,  139,    0
   276,100933,19020202,   16,    0
   276,100933,19020203,   39,    0
   276,100933,19020204,    0,    0
   276,100933,19020205,  201,    0
   276,100933,19020206,    0,    0
   276,100933,19020207,   20,    0
   276,100933,19020208,  136,    0
   276,100933,19020209,    1,    0
   276,100933,19020210,  100,    0
   276,100933,19020211,    6,    0
   276,100933,19020212,    0,    0
   276,100933,19020213,   94,    0
   276,100933,19020214,   22,    0
   276,100933,19020215,    0,    0
   276,100933,19020216,   48,    0
   276,100933,19020217,   47,    0
   276,100933,19020218,    1,    0
   276,100933,19020219,    9,    0
   276,100933,19020220,    0,    0
   276,100933,19020221,    0,    0
   276,100933,19020222,    0,    0
   276,100933,19020223,    0,    0
   276,100933,19020224,    0,    0
   276,100933,19020225,    0,    0
   276,100933,19020226,    0,    0
   276,100933,19020227,    0,    0
   276,100933,19020228,    0,    0
   276,100933,19020301,    0,    0
   276,100933,19020302,    4,    0
   276,100933,19020303,  706,    0
   276,100933,19020304,   76,    0
   276,100933,19020305,    3,    0
   276,100933,19020306,    0,    0
   276,100933,19020307,   61,    0
   276,100933,19020308,   77,    0
   276,100933,19020309,    3,    0
   276,100933,19020310,  103,    0
   276,100933,19020311,    1,    0
   276,100933,19020312,    3,    0
   276,100933,19020313,    0,    0
   276,100933,19020314,    0,    0
   276,100933,19020315,    0,    0
   276,100933,19020316,   84,    0
   276,100933,19020317,  106,    0
   276,100933,19020318,    0,    0
   276,100933,19020319,    0,    0
   276,100933,19020320,    0,    0
   276,100933,19020321,    0,    0
   276,100933,19020322,    0,    0
   276,100933,19020323,   60,    0
   276,100933,19020324,  174,    0
   276,100933,19020325,   23,    0
   276,100933,19020326,  108,    0
   276,100933,19020327,   19,    0
   276,100933,19020328,    0,    0
   276,100933,19020329,   72,    0
   276,100933,19020330,   72,    0
   276,100933,19020331,    4,    0
   276,100933,19020401,    0,    0
   276,100933,19020402,    0,    0
   276,100933,19020403,    4,    0
   276,100933,19020404,    0,    0
   276,100933,19020405,    0,    0
   276,100933,19020406,    5,    0
   276,100933,19020407,  111,    0
   276,100933,19020408,   19,    0
   276,100933,19020409,    0,    0
   276,100933,19020410,    0,    0
   276,100933,19020411,   50,    0
   276,100933,19020412,    0,    0
   276,100933,19020413,  154,    0
   276,100933,19020414,    0,    0
   276,100933,19020415,   23,    0
   276,100933,19020416,   15,    0
