EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 100959) of station Barcelos, PORTUGAL (STAID:    292)

 STAID,    SOUID,    DATE,   RR, Q_RR
   292,100959,19491001,    0,    0
   292,100959,19491002,    0,    0
   292,100959,19491003,    0,    0
   292,100959,19491004,    0,    0
   292,100959,19491005,    0,    0
   292,100959,19491006,   10,    0
   292,100959,19491007,  160,    0
   292,100959,19491008,  270,    0
   292,100959,19491009,   70,    0
   292,100959,19491010,  480,    0
   292,100959,19491011,    0,    0
   292,100959,19491012,    0,    0
   292,100959,19491013,    0,    0
   292,100959,19491014,    0,    0
   292,100959,19491015,    0,    0
   292,100959,19491016,   70,    0
   292,100959,19491017,    0,    0
   292,100959,19491018,    0,    0
   292,100959,19491019,    0,    0
   292,100959,19491020,  140,    0
   292,100959,19491021,  160,    0
   292,100959,19491022,    0,    0
   292,100959,19491023,  200,    0
   292,100959,19491024,  230,    0
   292,100959,19491025,  220,    0
   292,100959,19491026,   60,    0
   292,100959,19491027,    0,    0
   292,100959,19491028,    0,    0
   292,100959,19491029,    0,    0
   292,100959,19491030,    0,    0
   292,100959,19491031,    0,    0
   292,100959,19491101,    0,    0
   292,100959,19491102,    0,    0
   292,100959,19491103,    0,    0
   292,100959,19491104,    0,    0
   292,100959,19491105,    0,    0
   292,100959,19491106,   70,    0
   292,100959,19491107,  380,    0
   292,100959,19491108,   50,    0
   292,100959,19491109,   70,    0
   292,100959,19491110,  100,    0
   292,100959,19491111,    0,    0
   292,100959,19491112,   10,    0
   292,100959,19491113,    0,    0
   292,100959,19491114,    0,    0
   292,100959,19491115,    0,    0
   292,100959,19491116,    0,    0
   292,100959,19491117,    0,    0
