EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 100960) of station Amarante, PORTUGAL (STAID:    293)

 STAID,    SOUID,    DATE,   RR, Q_RR
   293,100960,19610101,   50,    0
   293,100960,19610102,   40,    0
   293,100960,19610103,  390,    0
   293,100960,19610104,   80,    0
   293,100960,19610105,   20,    0
   293,100960,19610106,    0,    0
   293,100960,19610107,   50,    0
   293,100960,19610108,   80,    0
   293,100960,19610109,   10,    0
   293,100960,19610110,   50,    0
   293,100960,19610111,   30,    0
   293,100960,19610112,    0,    0
   293,100960,19610113,    0,    0
   293,100960,19610114,    0,    0
   293,100960,19610115,    0,    0
   293,100960,19610116,    0,    0
   293,100960,19610117,    0,    0
   293,100960,19610118,    0,    0
   293,100960,19610119,   40,    0
   293,100960,19610120,    0,    0
   293,100960,19610121,   40,    0
   293,100960,19610122,  160,    0
   293,100960,19610123,  110,    0
   293,100960,19610124,   50,    0
   293,100960,19610125,   70,    0
   293,100960,19610126,   20,    0
   293,100960,19610127,   10,    0
   293,100960,19610128,  140,    0
   293,100960,19610129,    0,    0
   293,100960,19610130,    0,    0
   293,100960,19610131,   60,    0
   293,100960,19610201,   90,    0
   293,100960,19610202,   60,    0
   293,100960,19610203,   30,    0
   293,100960,19610204,    0,    0
   293,100960,19610205,    0,    0
   293,100960,19610206,    0,    0
   293,100960,19610207,    0,    0
   293,100960,19610208,    0,    0
   293,100960,19610209,    0,    0
   293,100960,19610210,    0,    0
   293,100960,19610211,    0,    0
   293,100960,19610212,    0,    0
   293,100960,19610213,    0,    0
   293,100960,19610214,    0,    0
   293,100960,19610215,    0,    0
   293,100960,19610216,    0,    0
   293,100960,19610217,    0,    0
   293,100960,19610218,    0,    0
   293,100960,19610219,    0,    0
   293,100960,19610220,    0,    0
   293,100960,19610221,    0,    0
   293,100960,19610222,    0,    0
   293,100960,19610223,    0,    0
   293,100960,19610224,   20,    0
   293,100960,19610225,  120,    0
   293,100960,19610226,  100,    0
   293,100960,19610227,    0,    0
   293,100960,19610228,   10,    0
   293,100960,19610301,    0,    0
   293,100960,19610302,    0,    0
   293,100960,19610303,    0,    0
   293,100960,19610304,    0,    0
   293,100960,19610305,    0,    0
   293,100960,19610306,    0,    0
   293,100960,19610307,    0,    0
   293,100960,19610308,    0,    0
   293,100960,19610309,    0,    0
   293,100960,19610310,    0,    0
   293,100960,19610311,    0,    0
   293,100960,19610312,    0,    0
   293,100960,19610313,    0,    0
   293,100960,19610314,    0,    0
   293,100960,19610315,    0,    0
   293,100960,19610316,    0,    0
   293,100960,19610317,    0,    0
   293,100960,19610318,    0,    0
   293,100960,19610319,    0,    0
   293,100960,19610320,  110,    0
   293,100960,19610321,    0,    0
   293,100960,19610322,    0,    0
   293,100960,19610323,   10,    0
   293,100960,19610324,    0,    0
   293,100960,19610325,    0,    0
   293,100960,19610326,    0,    0
   293,100960,19610327,   10,    0
   293,100960,19610328,    0,    0
   293,100960,19610329,    0,    0
   293,100960,19610330,    0,    0
   293,100960,19610331,    0,    0
   293,100960,19610401,    0,    0
   293,100960,19610402,    0,    0
   293,100960,19610403,    0,    0
   293,100960,19610404,    0,    0
   293,100960,19610405,  120,    0
   293,100960,19610406,   70,    0
   293,100960,19610407,   30,    0
   293,100960,19610408,    0,    0
   293,100960,19610409,    0,    0
   293,100960,19610410,    0,    0
   293,100960,19610411,    0,    0
   293,100960,19610412,    0,    0
   293,100960,19610413,   40,    0
   293,100960,19610414,  100,    0
   293,100960,19610415,   10,    0
   293,100960,19610416,   90,    0
   293,100960,19610417,  260,    0
   293,100960,19610418,    0,    0
   293,100960,19610419,   30,    0
   293,100960,19610420,    0,    0
   293,100960,19610421,    0,    0
   293,100960,19610422,  240,    0
   293,100960,19610423,  430,    0
   293,100960,19610424,   60,    0
   293,100960,19610425,  330,    0
   293,100960,19610426,   90,    0
   293,100960,19610427,    0,    0
   293,100960,19610428,    0,    0
   293,100960,19610429,    0,    0
   293,100960,19610430,    0,    0
   293,100960,19610501,    0,    0
   293,100960,19610502,    0,    0
   293,100960,19610503,    0,    0
   293,100960,19610504,    0,    0
   293,100960,19610505,  160,    0
   293,100960,19610506,    0,    0
   293,100960,19610507,    0,    0
   293,100960,19610508,    0,    0
   293,100960,19610509,    0,    0
   293,100960,19610510,    0,    0
   293,100960,19610511,    0,    0
   293,100960,19610512,    0,    0
   293,100960,19610513,    0,    0
   293,100960,19610514,    0,    0
   293,100960,19610515,    0,    0
   293,100960,19610516,   70,    0
   293,100960,19610517,   20,    0
   293,100960,19610518,    0,    0
   293,100960,19610519,    0,    0
   293,100960,19610520,    0,    0
   293,100960,19610521,    0,    0
   293,100960,19610522,    0,    0
   293,100960,19610523,   20,    0
   293,100960,19610524,  140,    0
   293,100960,19610525,  160,    0
   293,100960,19610526,   20,    0
   293,100960,19610527,   20,    0
   293,100960,19610528,   40,    0
   293,100960,19610529,    0,    0
   293,100960,19610530,  240,    0
   293,100960,19610531,  150,    0
   293,100960,19610601,   40,    0
   293,100960,19610602,   50,    0
   293,100960,19610603,    0,    0
   293,100960,19610604,    0,    0
   293,100960,19610605,    0,    0
   293,100960,19610606,   20,    0
   293,100960,19610607,    0,    0
   293,100960,19610608,    0,    0
   293,100960,19610609,    0,    0
   293,100960,19610610,    0,    0
   293,100960,19610611,    0,    0
   293,100960,19610612,    0,    0
   293,100960,19610613,    0,    0
   293,100960,19610614,    0,    0
   293,100960,19610615,    0,    0
   293,100960,19610616,    0,    0
   293,100960,19610617,    0,    0
   293,100960,19610618,    0,    0
   293,100960,19610619,    0,    0
   293,100960,19610620,    0,    0
   293,100960,19610621,    0,    0
   293,100960,19610622,    0,    0
   293,100960,19610623,  150,    0
   293,100960,19610624,  120,    0
   293,100960,19610625,   70,    0
   293,100960,19610626,   70,    0
   293,100960,19610627,    0,    0
   293,100960,19610628,    0,    0
   293,100960,19610629,    0,    0
   293,100960,19610630,    0,    0
   293,100960,19610701,   90,    0
   293,100960,19610702,    0,    0
   293,100960,19610703,   20,    0
   293,100960,19610704,    0,    0
   293,100960,19610705,    0,    0
   293,100960,19610706,    0,    0
   293,100960,19610707,    0,    0
   293,100960,19610708,    0,    0
   293,100960,19610709,    0,    0
   293,100960,19610710,    0,    0
   293,100960,19610711,    0,    0
   293,100960,19610712,   50,    0
   293,100960,19610713,    0,    0
   293,100960,19610714,    0,    0
   293,100960,19610715,   20,    0
   293,100960,19610716,    0,    0
   293,100960,19610717,    0,    0
   293,100960,19610718,    0,    0
   293,100960,19610719,    0,    0
   293,100960,19610720,    0,    0
   293,100960,19610721,    0,    0
   293,100960,19610722,    0,    0
   293,100960,19610723,    0,    0
   293,100960,19610724,    0,    0
   293,100960,19610725,    0,    0
   293,100960,19610726,   10,    0
   293,100960,19610727,  180,    0
   293,100960,19610728,    0,    0
   293,100960,19610729,    0,    0
   293,100960,19610730,    0,    0
   293,100960,19610731,   10,    0
   293,100960,19610801,    0,    0
   293,100960,19610802,    0,    0
   293,100960,19610803,    0,    0
   293,100960,19610804,    0,    0
   293,100960,19610805,    0,    0
   293,100960,19610806,    0,    0
   293,100960,19610807,    0,    0
   293,100960,19610808,   30,    0
   293,100960,19610809,    0,    0
   293,100960,19610810,    0,    0
   293,100960,19610811,    0,    0
   293,100960,19610812,    0,    0
   293,100960,19610813,    0,    0
   293,100960,19610814,    0,    0
   293,100960,19610815,    0,    0
   293,100960,19610816,    0,    0
   293,100960,19610817,    0,    0
   293,100960,19610818,    0,    0
   293,100960,19610819,    0,    0
   293,100960,19610820,    0,    0
   293,100960,19610821,    0,    0
