EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 100961) of station Campi, PORTUGAL (STAID:    294)

 STAID,    SOUID,    DATE,   RR, Q_RR
   294,100961,19310901,    0,    0
   294,100961,19310902,    0,    0
   294,100961,19310903,  110,    0
   294,100961,19310904,   60,    0
   294,100961,19310905,   20,    0
   294,100961,19310906,    0,    0
   294,100961,19310907,    0,    0
   294,100961,19310908,   40,    0
   294,100961,19310909,   10,    0
   294,100961,19310910,   30,    0
   294,100961,19310911,   60,    0
   294,100961,19310912,    0,    0
   294,100961,19310913,    0,    0
   294,100961,19310914,    0,    0
   294,100961,19310915,    0,    0
   294,100961,19310916,    0,    0
   294,100961,19310917,    0,    0
   294,100961,19310918,    0,    0
   294,100961,19310919,    0,    0
   294,100961,19310920,    0,    0
   294,100961,19310921,    0,    0
   294,100961,19310922,    0,    0
   294,100961,19310923,    0,    0
   294,100961,19310924,    0,    0
   294,100961,19310925,    0,    0
   294,100961,19310926,    0,    0
   294,100961,19310927,    0,    0
   294,100961,19310928,    0,    0
   294,100961,19310929,   40,    0
   294,100961,19310930,   30,    0
   294,100961,19311001,    0,    0
   294,100961,19311002,    0,    0
   294,100961,19311003,    0,    0
   294,100961,19311004,    0,    0
   294,100961,19311005,    0,    0
   294,100961,19311006,   40,    0
   294,100961,19311007,   70,    0
   294,100961,19311008,    0,    0
   294,100961,19311009,    0,    0
   294,100961,19311010,   10,    0
   294,100961,19311011,   30,    0
   294,100961,19311012,    0,    0
   294,100961,19311013,   10,    0
   294,100961,19311014,    0,    0
   294,100961,19311015,   60,    0
   294,100961,19311016,   20,    0
   294,100961,19311017,    0,    0
   294,100961,19311018,    0,    0
   294,100961,19311019,    0,    0
   294,100961,19311020,   20,    0
   294,100961,19311021,   90,    0
   294,100961,19311022,  220,    0
   294,100961,19311023,  290,    0
   294,100961,19311024,  360,    0
   294,100961,19311025,   20,    0
   294,100961,19311026,    0,    0
   294,100961,19311027,    0,    0
   294,100961,19311028,    0,    0
   294,100961,19311029,    0,    0
   294,100961,19311030,    0,    0
   294,100961,19311031,    0,    0
   294,100961,19311101,    0,    0
   294,100961,19311102,    0,    0
   294,100961,19311103,    0,    0
   294,100961,19311104,    0,    0
   294,100961,19311105,  560,    0
   294,100961,19311106,  440,    0
   294,100961,19311107,   70,    0
   294,100961,19311108,  430,    0
   294,100961,19311109,  100,    0
   294,100961,19311110,  790,    0
   294,100961,19311111,  190,    0
   294,100961,19311112,  420,    0
   294,100961,19311113,    0,    0
   294,100961,19311114,  350,    0
   294,100961,19311115,    0,    0
   294,100961,19311116,    0,    0
   294,100961,19311117,    0,    0
   294,100961,19311118,    0,    0
   294,100961,19311119,    0,    0
   294,100961,19311120,   10,    0
   294,100961,19311121,   90,    0
   294,100961,19311122,    0,    0
   294,100961,19311123,    0,    0
   294,100961,19311124,    0,    0
   294,100961,19311125,   30,    0
   294,100961,19311126,   80,    0
   294,100961,19311127,   80,    0
   294,100961,19311128,   10,    0
   294,100961,19311129,    0,    0
   294,100961,19311130,    0,    0
   294,100961,19311201,    0,    0
   294,100961,19311202,    0,    0
   294,100961,19311203,    0,    0
   294,100961,19311204,    0,    0
   294,100961,19311205,    0,    0
   294,100961,19311206,    0,    0
   294,100961,19311207,   20,    0
   294,100961,19311208,    0,    0
   294,100961,19311209,    0,    0
   294,100961,19311210,    0,    0
   294,100961,19311211,    0,    0
   294,100961,19311212,    0,    0
   294,100961,19311213,    0,    0
   294,100961,19311214,    0,    0
   294,100961,19311215,    0,    0
   294,100961,19311216,    0,    0
   294,100961,19311217,    0,    0
   294,100961,19311218,    0,    0
   294,100961,19311219,    0,    0
   294,100961,19311220,    0,    0
   294,100961,19311221,    0,    0
   294,100961,19311222,    0,    0
   294,100961,19311223,    0,    0
   294,100961,19311224,    0,    0
   294,100961,19311225,    0,    0
   294,100961,19311226,    0,    0
   294,100961,19311227,    0,    0
   294,100961,19311228,    0,    0
   294,100961,19311229,    0,    0
   294,100961,19311230,   10,    0
   294,100961,19311231,    0,    0
   294,100961,19320101,    0,    0
   294,100961,19320102,    0,    0
   294,100961,19320103,    0,    0
   294,100961,19320104,    0,    0
   294,100961,19320105,    0,    0
   294,100961,19320106,   30,    0
   294,100961,19320107,  340,    0
   294,100961,19320108,  290,    0
   294,100961,19320109,   40,    0
   294,100961,19320110,   60,    0
   294,100961,19320111,  410,    0
   294,100961,19320112,  140,    0
   294,100961,19320113,   80,    0
   294,100961,19320114,   90,    0
   294,100961,19320115,   20,    0
   294,100961,19320116,    0,    0
   294,100961,19320117,    0,    0
   294,100961,19320118,    0,    0
   294,100961,19320119,    0,    0
   294,100961,19320120,    0,    0
   294,100961,19320121,    0,    0
   294,100961,19320122,    0,    0
   294,100961,19320123,    0,    0
   294,100961,19320124,    0,    0
   294,100961,19320125,    0,    0
   294,100961,19320126,    0,    0
   294,100961,19320127,    0,    0
   294,100961,19320128,   20,    0
   294,100961,19320129,    0,    0
   294,100961,19320130,    0,    0
   294,100961,19320131,    0,    0
   294,100961,19320201,    0,    0
   294,100961,19320202,    0,    0
   294,100961,19320203,    0,    0
   294,100961,19320204,    0,    0
   294,100961,19320205,   10,    0
   294,100961,19320206,   20,    0
   294,100961,19320207,    0,    0
   294,100961,19320208,    0,    0
   294,100961,19320209,    0,    0
   294,100961,19320210,    0,    0
   294,100961,19320211,    0,    0
   294,100961,19320212,   30,    0
   294,100961,19320213,    0,    0
   294,100961,19320214,  100,    0
   294,100961,19320215,    0,    0
   294,100961,19320216,    0,    0
   294,100961,19320217,    0,    0
   294,100961,19320218,    0,    0
   294,100961,19320219,    0,    0
   294,100961,19320220,    0,    0
   294,100961,19320221,    0,    0
   294,100961,19320222,    0,    0
   294,100961,19320223,    0,    0
   294,100961,19320224,    0,    0
   294,100961,19320225,    0,    0
   294,100961,19320226,    0,    0
   294,100961,19320227,    0,    0
   294,100961,19320228,    0,    0
   294,100961,19320229,   80,    0
   294,100961,19320301,  170,    0
   294,100961,19320302,   40,    0
   294,100961,19320303,  110,    0
   294,100961,19320304,  220,    0
   294,100961,19320305,   20,    0
   294,100961,19320306,    0,    0
   294,100961,19320307,    0,    0
   294,100961,19320308,    0,    0
   294,100961,19320309,    0,    0
   294,100961,19320310,    0,    0
   294,100961,19320311,    0,    0
   294,100961,19320312,   90,    0
   294,100961,19320313,   60,    0
   294,100961,19320314,   70,    0
   294,100961,19320315,    0,    0
   294,100961,19320316,   40,    0
   294,100961,19320317,   10,    0
   294,100961,19320318,    0,    0
   294,100961,19320319,    0,    0
   294,100961,19320320,    0,    0
   294,100961,19320321,    0,    0
   294,100961,19320322,    0,    0
   294,100961,19320323,    0,    0
   294,100961,19320324,    0,    0
   294,100961,19320325,    0,    0
   294,100961,19320326,  170,    0
   294,100961,19320327,   20,    0
   294,100961,19320328,  240,    0
   294,100961,19320329,   90,    0
   294,100961,19320330,   10,    0
   294,100961,19320331,  340,    0
   294,100961,19320401,  100,    0
   294,100961,19320402,   10,    0
   294,100961,19320403,  290,    0
   294,100961,19320404,   80,    0
   294,100961,19320405,   70,    0
   294,100961,19320406,   30,    0
   294,100961,19320407,    0,    0
   294,100961,19320408,    0,    0
   294,100961,19320409,    0,    0
   294,100961,19320410,    0,    0
   294,100961,19320411,    0,    0
   294,100961,19320412,    0,    0
   294,100961,19320413,    0,    0
   294,100961,19320414,    0,    0
   294,100961,19320415,    0,    0
   294,100961,19320416,   60,    0
   294,100961,19320417,   70,    0
   294,100961,19320418,   10,    0
   294,100961,19320419,   40,    0
   294,100961,19320420,    0,    0
   294,100961,19320421,    0,    0
   294,100961,19320422,    0,    0
   294,100961,19320423,   10,    0
   294,100961,19320424,    0,    0
   294,100961,19320425,    0,    0
   294,100961,19320426,    0,    0
   294,100961,19320427,    0,    0
   294,100961,19320428,  230,    0
   294,100961,19320429,   80,    0
   294,100961,19320430,  350,    0
   294,100961,19320501,  300,    0
   294,100961,19320502,   20,    0
   294,100961,19320503,    0,    0
   294,100961,19320504,    0,    0
   294,100961,19320505,   70,    0
   294,100961,19320506,   60,    0
   294,100961,19320507,    0,    0
   294,100961,19320508,   40,    0
   294,100961,19320509,   20,    0
   294,100961,19320510,    0,    0
   294,100961,19320511,    0,    0
   294,100961,19320512,    0,    0
   294,100961,19320513,    0,    0
   294,100961,19320514,   50,    0
   294,100961,19320515,  130,    0
   294,100961,19320516,   30,    0
   294,100961,19320517,    0,    0
   294,100961,19320518,    0,    0
   294,100961,19320519,    0,    0
   294,100961,19320520,    0,    0
   294,100961,19320521,  250,    0
   294,100961,19320522,   30,    0
   294,100961,19320523,    0,    0
   294,100961,19320524,    0,    0
   294,100961,19320525,    0,    0
   294,100961,19320526,    0,    0
   294,100961,19320527,  110,    0
   294,100961,19320528,   30,    0
   294,100961,19320529,    0,    0
   294,100961,19320530,    0,    0
   294,100961,19320531,    0,    0
   294,100961,19320601,  250,    0
   294,100961,19320602,   50,    0
   294,100961,19320603,    0,    0
   294,100961,19320604,   10,    0
   294,100961,19320605,  130,    0
   294,100961,19320606,   90,    0
   294,100961,19320607,    0,    0
   294,100961,19320608,    0,    0
   294,100961,19320609,    0,    0
   294,100961,19320610,    0,    0
   294,100961,19320611,    0,    0
   294,100961,19320612,    0,    0
   294,100961,19320613,   30,    0
   294,100961,19320614,  140,    0
   294,100961,19320615,   30,    0
   294,100961,19320616,   10,    0
   294,100961,19320617,    0,    0
   294,100961,19320618,    0,    0
   294,100961,19320619,    0,    0
   294,100961,19320620,  510,    0
   294,100961,19320621,   10,    0
   294,100961,19320622,    0,    0
   294,100961,19320623,    0,    0
   294,100961,19320624,    0,    0
   294,100961,19320625,    0,    0
   294,100961,19320626,    0,    0
   294,100961,19320627,    0,    0
   294,100961,19320628,   70,    0
   294,100961,19320629,    0,    0
   294,100961,19320630,    0,    0
   294,100961,19320701,  170,    0
   294,100961,19320702,   80,    0
   294,100961,19320703,    0,    0
   294,100961,19320704,    0,    0
   294,100961,19320705,    0,    0
   294,100961,19320706,    0,    0
   294,100961,19320707,    0,    0
   294,100961,19320708,    0,    0
   294,100961,19320709,    0,    0
   294,100961,19320710,    0,    0
   294,100961,19320711,    0,    0
   294,100961,19320712,    0,    0
   294,100961,19320713,    0,    0
   294,100961,19320714,  100,    0
   294,100961,19320715,  120,    0
   294,100961,19320716,   10,    0
   294,100961,19320717,   50,    0
   294,100961,19320718,    0,    0
   294,100961,19320719,    0,    0
   294,100961,19320720,    0,    0
   294,100961,19320721,    0,    0
   294,100961,19320722,    0,    0
   294,100961,19320723,    0,    0
   294,100961,19320724,    0,    0
   294,100961,19320725,    0,    0
   294,100961,19320726,    0,    0
   294,100961,19320727,    0,    0
   294,100961,19320728,    0,    0
   294,100961,19320729,    0,    0
   294,100961,19320730,    0,    0
   294,100961,19320731,    0,    0
   294,100961,19320801,    0,    0
   294,100961,19320802,    0,    0
   294,100961,19320803,    0,    0
   294,100961,19320804,    0,    0
   294,100961,19320805,    0,    0
   294,100961,19320806,    0,    0
   294,100961,19320807,    0,    0
   294,100961,19320808,    0,    0
   294,100961,19320809,    0,    0
   294,100961,19320810,    0,    0
   294,100961,19320811,    0,    0
   294,100961,19320812,    0,    0
   294,100961,19320813,    0,    0
   294,100961,19320814,    0,    0
   294,100961,19320815,    0,    0
   294,100961,19320816,    0,    0
   294,100961,19320817,   10,    0
   294,100961,19320818,   20,    0
   294,100961,19320819,    0,    0
   294,100961,19320820,   10,    0
   294,100961,19320821,    0,    0
   294,100961,19320822,    0,    0
   294,100961,19320823,    0,    0
   294,100961,19320824,    0,    0
   294,100961,19320825,    0,    0
   294,100961,19320826,   30,    0
   294,100961,19320827,    0,    0
   294,100961,19320828,    0,    0
   294,100961,19320829,    0,    0
   294,100961,19320830,   10,    0
   294,100961,19320831,    0,    0
   294,100961,19320901,    0,    0
   294,100961,19320902,    0,    0
   294,100961,19320903,    0,    0
   294,100961,19320904,    0,    0
   294,100961,19320905,    0,    0
   294,100961,19320906,    0,    0
   294,100961,19320907,    0,    0
   294,100961,19320908,    0,    0
   294,100961,19320909,  190,    0
   294,100961,19320910,   30,    0
   294,100961,19320911,   10,    0
   294,100961,19320912,    0,    0
   294,100961,19320913,    0,    0
   294,100961,19320914,    0,    0
   294,100961,19320915,    0,    0
   294,100961,19320916,    0,    0
   294,100961,19320917,    0,    0
   294,100961,19320918,    0,    0
   294,100961,19320919,    0,    0
   294,100961,19320920,   60,    0
   294,100961,19320921,  310,    0
   294,100961,19320922,  100,    0
   294,100961,19320923,  280,    0
   294,100961,19320924,   80,    0
   294,100961,19320925,  370,    0
   294,100961,19320926,   40,    0
   294,100961,19320927,   20,    0
   294,100961,19320928,    0,    0
   294,100961,19320929,   10,    0
   294,100961,19320930,  100,    0
   294,100961,19321001,    0,    0
   294,100961,19321002,   50,    0
   294,100961,19321003,    0,    0
   294,100961,19321004,    0,    0
   294,100961,19321005,    0,    0
   294,100961,19321006,    0,    0
   294,100961,19321007,    0,    0
