EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 100963) of station Almeidinha, PORTUGAL (STAID:    296)

 STAID,    SOUID,    DATE,   RR, Q_RR
   296,100963,19591001,    0,    0
   296,100963,19591002,    0,    0
   296,100963,19591003,    0,    0
   296,100963,19591004,   40,    0
   296,100963,19591005,   60,    0
   296,100963,19591006,   90,    0
   296,100963,19591007,    0,    0
   296,100963,19591008,    0,    0
   296,100963,19591009,    0,    0
   296,100963,19591010,   10,    0
   296,100963,19591011,    0,    0
   296,100963,19591012,    0,    0
   296,100963,19591013,    0,    0
   296,100963,19591014,    0,    0
   296,100963,19591015,  150,    0
   296,100963,19591016,  100,    0
   296,100963,19591017,   10,    0
   296,100963,19591018,  110,    0
   296,100963,19591019,   80,    0
   296,100963,19591020,    0,    0
   296,100963,19591021,    0,    0
   296,100963,19591022,    0,    0
   296,100963,19591023,    0,    0
   296,100963,19591024,    0,    0
   296,100963,19591025,   10,    0
   296,100963,19591026,    0,    0
   296,100963,19591027,    0,    0
   296,100963,19591028,   20,    0
   296,100963,19591029,    0,    0
   296,100963,19591030,    0,    0
   296,100963,19591031,    0,    0
   296,100963,19591101,    0,    0
   296,100963,19591102,    0,    0
   296,100963,19591103,    0,    0
   296,100963,19591104,   20,    0
   296,100963,19591105,    0,    0
   296,100963,19591106,    0,    0
   296,100963,19591107,    0,    0
   296,100963,19591108,    0,    0
   296,100963,19591109,    0,    0
   296,100963,19591110,    0,    0
   296,100963,19591111,    0,    0
   296,100963,19591112,   10,    0
   296,100963,19591113,    0,    0
   296,100963,19591114,   60,    0
   296,100963,19591115,   20,    0
   296,100963,19591116,   60,    0
   296,100963,19591117,  180,    0
   296,100963,19591118,  120,    0
   296,100963,19591119,  450,    0
   296,100963,19591120,  280,    0
   296,100963,19591121,  140,    0
   296,100963,19591122,    0,    0
   296,100963,19591123,    0,    0
   296,100963,19591124,    0,    0
   296,100963,19591125,    0,    0
   296,100963,19591126,  150,    0
   296,100963,19591127,   80,    0
   296,100963,19591128,   10,    0
   296,100963,19591129,    0,    0
   296,100963,19591130,  180,    0
   296,100963,19591201,  300,    0
   296,100963,19591202,    0,    0
   296,100963,19591203,    0,    0
   296,100963,19591204,   20,    0
   296,100963,19591205,    0,    0
   296,100963,19591206,   10,    0
   296,100963,19591207,  160,    0
   296,100963,19591208,  100,    0
   296,100963,19591209,   80,    0
   296,100963,19591210,  220,    0
   296,100963,19591211,   40,    0
   296,100963,19591212,    0,    0
   296,100963,19591213,    0,    0
   296,100963,19591214,    0,    0
   296,100963,19591215,   60,    0
   296,100963,19591216,   60,    0
   296,100963,19591217,    0,    0
   296,100963,19591218,    0,    0
   296,100963,19591219,    0,    0
   296,100963,19591220,    0,    0
   296,100963,19591221,   20,    0
   296,100963,19591222,   60,    0
   296,100963,19591223,  150,    0
   296,100963,19591224,  160,    0
   296,100963,19591225,   50,    0
   296,100963,19591226,   20,    0
   296,100963,19591227,  150,    0
   296,100963,19591228,   50,    0
   296,100963,19591229,    0,    0
   296,100963,19591230,    0,    0
   296,100963,19591231,    0,    0
   296,100963,19600101,   10,    0
   296,100963,19600102,    0,    0
   296,100963,19600103,   20,    0
   296,100963,19600104,    0,    0
   296,100963,19600105,    0,    0
   296,100963,19600106,    0,    0
   296,100963,19600107,    0,    0
   296,100963,19600108,    0,    0
   296,100963,19600109,    0,    0
   296,100963,19600110,    0,    0
   296,100963,19600111,    0,    0
   296,100963,19600112,    0,    0
   296,100963,19600113,    0,    0
   296,100963,19600114,    0,    0
   296,100963,19600115,    0,    0
   296,100963,19600116,    0,    0
   296,100963,19600117,    0,    0
   296,100963,19600118,    0,    0
   296,100963,19600119,   80,    0
   296,100963,19600120,    0,    0
   296,100963,19600121,    0,    0
   296,100963,19600122,    0,    0
   296,100963,19600123,   20,    0
   296,100963,19600124,   70,    0
   296,100963,19600125,   90,    0
   296,100963,19600126,  120,    0
   296,100963,19600127,  150,    0
   296,100963,19600128,   70,    0
   296,100963,19600129,    0,    0
   296,100963,19600130,    0,    0
   296,100963,19600131,    0,    0
   296,100963,19600201,    0,    0
   296,100963,19600202,    0,    0
   296,100963,19600203,    0,    0
   296,100963,19600204,    0,    0
   296,100963,19600205,   40,    0
   296,100963,19600206,  190,    0
   296,100963,19600207,   20,    0
   296,100963,19600208,    0,    0
   296,100963,19600209,   10,    0
   296,100963,19600210,   40,    0
   296,100963,19600211,   60,    0
   296,100963,19600212,   80,    0
   296,100963,19600213,  120,    0
   296,100963,19600214,    0,    0
   296,100963,19600215,    0,    0
   296,100963,19600216,   20,    0
   296,100963,19600217,  420,    0
   296,100963,19600218,  120,    0
   296,100963,19600219,   80,    0
   296,100963,19600220,    0,    0
   296,100963,19600221,   70,    0
   296,100963,19600222,  160,    0
   296,100963,19600223,   80,    0
   296,100963,19600224,  100,    0
   296,100963,19600225,   90,    0
   296,100963,19600226,    0,    0
   296,100963,19600227,    0,    0
   296,100963,19600228,    0,    0
   296,100963,19600229,   20,    0
   296,100963,19600301,   10,    0
   296,100963,19600302,    0,    0
   296,100963,19600303,    0,    0
   296,100963,19600304,    0,    0
   296,100963,19600305,    0,    0
   296,100963,19600306,    0,    0
   296,100963,19600307,   20,    0
   296,100963,19600308,  110,    0
   296,100963,19600309,   60,    0
   296,100963,19600310,  140,    0
   296,100963,19600311,   40,    0
   296,100963,19600312,   40,    0
   296,100963,19600313,   40,    0
   296,100963,19600314,   80,    0
   296,100963,19600315,  260,    0
   296,100963,19600316,    0,    0
   296,100963,19600317,    0,    0
   296,100963,19600318,    0,    0
   296,100963,19600319,    0,    0
   296,100963,19600320,    0,    0
   296,100963,19600321,    0,    0
   296,100963,19600322,    0,    0
   296,100963,19600323,    0,    0
   296,100963,19600324,    0,    0
   296,100963,19600325,   50,    0
   296,100963,19600326,   30,    0
   296,100963,19600327,   20,    0
   296,100963,19600328,   60,    0
   296,100963,19600329,    0,    0
   296,100963,19600330,    0,    0
   296,100963,19600331,   20,    0
   296,100963,19600401,   20,    0
   296,100963,19600402,    0,    0
   296,100963,19600403,  340,    0
   296,100963,19600404,   40,    0
   296,100963,19600405,    0,    0
   296,100963,19600406,    0,    0
   296,100963,19600407,    0,    0
   296,100963,19600408,    0,    0
   296,100963,19600409,    0,    0
   296,100963,19600410,    0,    0
   296,100963,19600411,    0,    0
   296,100963,19600412,    0,    0
   296,100963,19600413,    0,    0
   296,100963,19600414,    0,    0
   296,100963,19600415,    0,    0
   296,100963,19600416,    0,    0
   296,100963,19600417,    0,    0
   296,100963,19600418,    0,    0
   296,100963,19600419,    0,    0
   296,100963,19600420,    0,    0
   296,100963,19600421,    0,    0
   296,100963,19600422,    0,    0
   296,100963,19600423,    0,    0
   296,100963,19600424,    0,    0
   296,100963,19600425,    0,    0
   296,100963,19600426,    0,    0
   296,100963,19600427,    0,    0
   296,100963,19600428,    0,    0
   296,100963,19600429,    0,    0
   296,100963,19600430,    0,    0
   296,100963,19600501,  120,    0
   296,100963,19600502,   40,    0
   296,100963,19600503,    0,    0
   296,100963,19600504,    0,    0
   296,100963,19600505,    0,    0
   296,100963,19600506,    0,    0
   296,100963,19600507,    0,    0
   296,100963,19600508,    0,    0
   296,100963,19600509,    0,    0
   296,100963,19600510,    0,    0
   296,100963,19600511,   60,    0
   296,100963,19600512,  150,    0
   296,100963,19600513,  190,    0
   296,100963,19600514,  370,    0
   296,100963,19600515,    0,    0
   296,100963,19600516,    0,    0
   296,100963,19600517,    0,    0
   296,100963,19600518,   30,    0
   296,100963,19600519,   20,    0
   296,100963,19600520,    0,    0
   296,100963,19600521,    0,    0
   296,100963,19600522,    0,    0
   296,100963,19600523,    0,    0
   296,100963,19600524,    0,    0
   296,100963,19600525,    0,    0
   296,100963,19600526,    0,    0
   296,100963,19600527,    0,    0
   296,100963,19600528,    0,    0
   296,100963,19600529,    0,    0
   296,100963,19600530,    0,    0
   296,100963,19600531,    0,    0
   296,100963,19600601,   20,    0
   296,100963,19600602,    0,    0
   296,100963,19600603,   30,    0
   296,100963,19600604,   10,    0
   296,100963,19600605,   30,    0
   296,100963,19600606,    0,    0
   296,100963,19600607,    0,    0
   296,100963,19600608,    0,    0
   296,100963,19600609,    0,    0
   296,100963,19600610,    0,    0
   296,100963,19600611,    0,    0
   296,100963,19600612,    0,    0
   296,100963,19600613,    0,    0
   296,100963,19600614,    0,    0
   296,100963,19600615,    0,    0
   296,100963,19600616,    0,    0
   296,100963,19600617,    0,    0
