EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 101035) of station ALICANTE-ELCHE AEROPUERTO, SPAIN (STAID:    309)

 STAID,    SOUID,    DATE,   RR, Q_RR
   309,101035,19670101,-9999,    9
   309,101035,19670102,-9999,    9
   309,101035,19670103,-9999,    9
   309,101035,19670104,-9999,    9
   309,101035,19670105,-9999,    9
   309,101035,19670106,-9999,    9
   309,101035,19670107,-9999,    9
   309,101035,19670108,-9999,    9
   309,101035,19670109,-9999,    9
   309,101035,19670110,-9999,    9
   309,101035,19670111,-9999,    9
   309,101035,19670112,-9999,    9
   309,101035,19670113,-9999,    9
   309,101035,19670114,-9999,    9
   309,101035,19670115,-9999,    9
   309,101035,19670116,-9999,    9
   309,101035,19670117,-9999,    9
   309,101035,19670118,-9999,    9
   309,101035,19670119,-9999,    9
   309,101035,19670120,-9999,    9
   309,101035,19670121,-9999,    9
   309,101035,19670122,-9999,    9
   309,101035,19670123,-9999,    9
   309,101035,19670124,-9999,    9
   309,101035,19670125,-9999,    9
   309,101035,19670126,-9999,    9
   309,101035,19670127,-9999,    9
   309,101035,19670128,-9999,    9
   309,101035,19670129,-9999,    9
   309,101035,19670130,-9999,    9
   309,101035,19670131,-9999,    9
   309,101035,19670201,-9999,    9
   309,101035,19670202,-9999,    9
   309,101035,19670203,-9999,    9
   309,101035,19670204,-9999,    9
   309,101035,19670205,-9999,    9
   309,101035,19670206,-9999,    9
   309,101035,19670207,-9999,    9
   309,101035,19670208,-9999,    9
   309,101035,19670209,-9999,    9
   309,101035,19670210,-9999,    9
   309,101035,19670211,-9999,    9
   309,101035,19670212,-9999,    9
   309,101035,19670213,-9999,    9
   309,101035,19670214,-9999,    9
   309,101035,19670215,-9999,    9
   309,101035,19670216,-9999,    9
   309,101035,19670217,-9999,    9
   309,101035,19670218,-9999,    9
   309,101035,19670219,-9999,    9
   309,101035,19670220,-9999,    9
   309,101035,19670221,-9999,    9
   309,101035,19670222,-9999,    9
   309,101035,19670223,-9999,    9
   309,101035,19670224,-9999,    9
   309,101035,19670225,-9999,    9
   309,101035,19670226,-9999,    9
   309,101035,19670227,-9999,    9
   309,101035,19670228,-9999,    9
   309,101035,19670301,    0,    0
   309,101035,19670302,    0,    0
   309,101035,19670303,    0,    0
   309,101035,19670304,    0,    0
   309,101035,19670305,-9999,    9
   309,101035,19670306,-9999,    9
   309,101035,19670307,   37,    0
   309,101035,19670308,-9999,    9
   309,101035,19670309,   52,    0
   309,101035,19670310,    0,    0
   309,101035,19670311,    0,    0
   309,101035,19670312,    0,    0
   309,101035,19670313,    0,    0
   309,101035,19670314,    0,    0
   309,101035,19670315,    0,    0
   309,101035,19670316,    0,    0
   309,101035,19670317,    0,    0
   309,101035,19670318,    0,    0
   309,101035,19670319,    0,    0
   309,101035,19670320,    0,    0
   309,101035,19670321,    0,    0
   309,101035,19670322,    0,    0
   309,101035,19670323,    0,    0
   309,101035,19670324,    0,    0
   309,101035,19670325,    0,    0
   309,101035,19670326,    0,    0
   309,101035,19670327,    0,    0
   309,101035,19670328,   13,    0
   309,101035,19670329,    0,    0
   309,101035,19670330,    0,    0
   309,101035,19670331,    0,    0
   309,101035,19670401,    0,    0
   309,101035,19670402,    0,    0
   309,101035,19670403,    0,    0
   309,101035,19670404,    0,    0
   309,101035,19670405,    0,    0
   309,101035,19670406,    0,    0
   309,101035,19670407,-9999,    9
   309,101035,19670408,-9999,    9
   309,101035,19670409,    0,    0
   309,101035,19670410,    0,    0
   309,101035,19670411,-9999,    9
   309,101035,19670412,   83,    0
   309,101035,19670413,    4,    0
   309,101035,19670414,-9999,    9
   309,101035,19670415,   28,    0
   309,101035,19670416,-9999,    9
   309,101035,19670417,   37,    0
   309,101035,19670418,    0,    0
   309,101035,19670419,    0,    0
   309,101035,19670420,   40,    0
   309,101035,19670421,    2,    0
   309,101035,19670422,    0,    0
   309,101035,19670423,    0,    0
   309,101035,19670424,    0,    0
   309,101035,19670425,   23,    0
   309,101035,19670426,   82,    0
   309,101035,19670427,    0,    0
   309,101035,19670428,    0,    0
   309,101035,19670429,    0,    0
   309,101035,19670430,    0,    0
   309,101035,19670501,    0,    0
   309,101035,19670502,    0,    0
   309,101035,19670503,    0,    0
   309,101035,19670504,    3,    0
   309,101035,19670505,    0,    0
   309,101035,19670506,    0,    0
   309,101035,19670507,    0,    0
   309,101035,19670508,   22,    0
   309,101035,19670509,-9999,    9
   309,101035,19670510,    0,    0
   309,101035,19670511,    0,    0
   309,101035,19670512,-9999,    9
   309,101035,19670513,    0,    0
   309,101035,19670514,-9999,    9
   309,101035,19670515,    0,    0
   309,101035,19670516,    0,    0
   309,101035,19670517,    0,    0
   309,101035,19670518,    0,    0
   309,101035,19670519,    0,    0
   309,101035,19670520,    0,    0
   309,101035,19670521,    0,    0
   309,101035,19670522,    0,    0
   309,101035,19670523,    0,    0
   309,101035,19670524,    0,    0
   309,101035,19670525,    0,    0
   309,101035,19670526,    0,    0
   309,101035,19670527,    0,    0
   309,101035,19670528,    0,    0
   309,101035,19670529,    0,    0
   309,101035,19670530,    0,    0
   309,101035,19670531,    0,    0
   309,101035,19670601,    0,    0
   309,101035,19670602,    0,    0
   309,101035,19670603,   50,    0
   309,101035,19670604,   42,    0
   309,101035,19670605,   25,    0
   309,101035,19670606,    0,    0
   309,101035,19670607,    0,    0
   309,101035,19670608,    0,    0
   309,101035,19670609,    0,    0
   309,101035,19670610,    0,    0
   309,101035,19670611,    0,    0
   309,101035,19670612,    0,    0
   309,101035,19670613,    0,    0
   309,101035,19670614,    0,    0
   309,101035,19670615,-9999,    9
   309,101035,19670616,   93,    0
   309,101035,19670617,-9999,    9
   309,101035,19670618,  112,    0
   309,101035,19670619,    7,    0
   309,101035,19670620,    0,    0
   309,101035,19670621,    0,    0
   309,101035,19670622,    0,    0
   309,101035,19670623,    0,    0
   309,101035,19670624,    0,    0
   309,101035,19670625,    0,    0
   309,101035,19670626,    0,    0
   309,101035,19670627,    0,    0
   309,101035,19670628,    0,    0
   309,101035,19670629,    0,    0
   309,101035,19670630,    0,    0
   309,101035,19670701,    0,    0
   309,101035,19670702,-9999,    9
   309,101035,19670703,    0,    0
   309,101035,19670704,    0,    0
   309,101035,19670705,    0,    0
   309,101035,19670706,    0,    0
   309,101035,19670707,    0,    0
   309,101035,19670708,    0,    0
   309,101035,19670709,    0,    0
   309,101035,19670710,    0,    0
   309,101035,19670711,    0,    0
   309,101035,19670712,    0,    0
   309,101035,19670713,    0,    0
   309,101035,19670714,    0,    0
   309,101035,19670715,    0,    0
   309,101035,19670716,    0,    0
   309,101035,19670717,    0,    0
   309,101035,19670718,    0,    0
   309,101035,19670719,    0,    0
   309,101035,19670720,    0,    0
   309,101035,19670721,    0,    0
   309,101035,19670722,    0,    0
   309,101035,19670723,    0,    0
   309,101035,19670724,-9999,    9
   309,101035,19670725,    0,    0
   309,101035,19670726,    0,    0
   309,101035,19670727,    0,    0
   309,101035,19670728,    0,    0
   309,101035,19670729,    0,    0
   309,101035,19670730,    0,    0
   309,101035,19670731,    0,    0
   309,101035,19670801,    0,    0
   309,101035,19670802,    0,    0
   309,101035,19670803,    0,    0
   309,101035,19670804,    7,    0
   309,101035,19670805,    0,    0
   309,101035,19670806,    0,    0
   309,101035,19670807,    0,    0
   309,101035,19670808,    0,    0
   309,101035,19670809,    0,    0
   309,101035,19670810,    0,    0
   309,101035,19670811,    0,    0
   309,101035,19670812,    0,    0
   309,101035,19670813,  123,    0
   309,101035,19670814,-9999,    9
   309,101035,19670815,    0,    0
   309,101035,19670816,    0,    0
   309,101035,19670817,    0,    0
   309,101035,19670818,    0,    0
   309,101035,19670819,    0,    0
   309,101035,19670820,    0,    0
   309,101035,19670821,    0,    0
   309,101035,19670822,    0,    0
   309,101035,19670823,-9999,    9
   309,101035,19670824,   13,    0
   309,101035,19670825,   14,    0
   309,101035,19670826,    0,    0
   309,101035,19670827,    0,    0
   309,101035,19670828,    0,    0
   309,101035,19670829,    0,    0
   309,101035,19670830,    0,    0
   309,101035,19670831,    0,    0
   309,101035,19670901,    0,    0
   309,101035,19670902,    0,    0
   309,101035,19670903,    0,    0
   309,101035,19670904,    0,    0
   309,101035,19670905,    0,    0
   309,101035,19670906,    0,    0
   309,101035,19670907,    7,    0
   309,101035,19670908,  217,    0
   309,101035,19670909,   10,    0
   309,101035,19670910,    0,    0
   309,101035,19670911,    0,    0
   309,101035,19670912,    0,    0
   309,101035,19670913,    0,    0
   309,101035,19670914,    0,    0
   309,101035,19670915,    0,    0
   309,101035,19670916,    0,    0
   309,101035,19670917,    0,    0
   309,101035,19670918,    0,    0
   309,101035,19670919,    0,    0
   309,101035,19670920,    0,    0
   309,101035,19670921,    0,    0
   309,101035,19670922,    0,    0
   309,101035,19670923,    0,    0
   309,101035,19670924,    0,    0
   309,101035,19670925,    0,    0
   309,101035,19670926,    0,    0
   309,101035,19670927,    0,    0
   309,101035,19670928,    0,    0
   309,101035,19670929,    0,    0
   309,101035,19670930,    0,    0
   309,101035,19671001,    0,    0
   309,101035,19671002,    0,    0
   309,101035,19671003,    0,    0
   309,101035,19671004,    0,    0
   309,101035,19671005,    0,    0
   309,101035,19671006,    0,    0
   309,101035,19671007,    0,    0
   309,101035,19671008,    0,    0
   309,101035,19671009,    0,    0
   309,101035,19671010,    0,    0
   309,101035,19671011,    0,    0
   309,101035,19671012,    0,    0
   309,101035,19671013,-9999,    9
   309,101035,19671014,-9999,    9
   309,101035,19671015,    0,    0
   309,101035,19671016,    0,    0
   309,101035,19671017,    0,    0
   309,101035,19671018,    0,    0
   309,101035,19671019,    0,    0
   309,101035,19671020,    0,    0
   309,101035,19671021,    0,    0
   309,101035,19671022,-9999,    9
   309,101035,19671023,-9999,    9
   309,101035,19671024,-9999,    9
   309,101035,19671025,    0,    0
   309,101035,19671026,    0,    0
   309,101035,19671027,    0,    0
   309,101035,19671028,    0,    0
   309,101035,19671029,  133,    0
   309,101035,19671030,    0,    0
   309,101035,19671031,    0,    0
   309,101035,19671101,    0,    0
   309,101035,19671102,    0,    0
   309,101035,19671103,    0,    0
   309,101035,19671104,    0,    0
   309,101035,19671105,    0,    0
   309,101035,19671106,    0,    0
   309,101035,19671107,    2,    0
   309,101035,19671108,  186,    0
   309,101035,19671109,    8,    0
   309,101035,19671110,    0,    0
   309,101035,19671111,    0,    0
   309,101035,19671112,    0,    0
   309,101035,19671113,    0,    0
   309,101035,19671114,    6,    0
   309,101035,19671115,    2,    0
   309,101035,19671116,   56,    0
   309,101035,19671117,   65,    0
   309,101035,19671118,    0,    0
   309,101035,19671119,   50,    0
   309,101035,19671120,    0,    0
   309,101035,19671121,-9999,    9
   309,101035,19671122,    0,    0
   309,101035,19671123,    0,    0
   309,101035,19671124,    0,    0
   309,101035,19671125,    0,    0
   309,101035,19671126,    3,    0
   309,101035,19671127,   17,    0
   309,101035,19671128,    0,    0
   309,101035,19671129,    0,    0
   309,101035,19671130,    2,    0
   309,101035,19671201,    0,    0
   309,101035,19671202,-9999,    9
   309,101035,19671203,    0,    0
   309,101035,19671204,    0,    0
   309,101035,19671205,    0,    0
   309,101035,19671206,    0,    0
   309,101035,19671207,    0,    0
   309,101035,19671208,    0,    0
   309,101035,19671209,    0,    0
   309,101035,19671210,    7,    0
   309,101035,19671211,    0,    0
   309,101035,19671212,    0,    0
   309,101035,19671213,    0,    0
   309,101035,19671214,    0,    0
   309,101035,19671215,-9999,    9
   309,101035,19671216,    0,    0
   309,101035,19671217,    0,    0
   309,101035,19671218,    0,    0
   309,101035,19671219,-9999,    9
   309,101035,19671220,    0,    0
   309,101035,19671221,    0,    0
   309,101035,19671222,    0,    0
   309,101035,19671223,    0,    0
   309,101035,19671224,-9999,    9
   309,101035,19671225,    0,    0
   309,101035,19671226,    0,    0
   309,101035,19671227,    0,    0
   309,101035,19671228,    0,    0
   309,101035,19671229,    0,    0
   309,101035,19671230,    0,    0
   309,101035,19671231,    0,    0
   309,101035,19680101,    0,    0
   309,101035,19680102,    0,    0
   309,101035,19680103,    0,    0
   309,101035,19680104,    0,    0
   309,101035,19680105,    0,    0
   309,101035,19680106,    0,    0
   309,101035,19680107,    0,    0
   309,101035,19680108,    0,    0
   309,101035,19680109,    0,    0
   309,101035,19680110,    0,    0
   309,101035,19680111,    0,    0
   309,101035,19680112,    0,    0
   309,101035,19680113,    0,    0
   309,101035,19680114,    0,    0
   309,101035,19680115,    0,    0
   309,101035,19680116,    0,    0
   309,101035,19680117,    0,    0
   309,101035,19680118,    0,    0
   309,101035,19680119,    0,    0
   309,101035,19680120,    0,    0
   309,101035,19680121,    0,    0
   309,101035,19680122,    0,    0
   309,101035,19680123,    0,    0
   309,101035,19680124,    0,    0
   309,101035,19680125,    0,    0
   309,101035,19680126,    0,    0
   309,101035,19680127,    0,    0
   309,101035,19680128,    0,    0
   309,101035,19680129,   66,    0
   309,101035,19680130,   66,    0
   309,101035,19680131,  508,    0
   309,101035,19680201,    0,    0
   309,101035,19680202,    0,    0
   309,101035,19680203,-9999,    9
   309,101035,19680204,    0,    0
   309,101035,19680205,    0,    0
   309,101035,19680206,    0,    0
   309,101035,19680207,    0,    0
   309,101035,19680208,    0,    0
   309,101035,19680209,    0,    0
   309,101035,19680210,    0,    0
   309,101035,19680211,    0,    0
   309,101035,19680212,    0,    0
   309,101035,19680213,    0,    0
   309,101035,19680214,    0,    0
   309,101035,19680215,    0,    0
   309,101035,19680216,    0,    0
   309,101035,19680217,    1,    0
   309,101035,19680218,   72,    0
   309,101035,19680219,    0,    0
   309,101035,19680220,   33,    0
   309,101035,19680221,   41,    0
   309,101035,19680222,    8,    0
   309,101035,19680223,   61,    0
   309,101035,19680224,    0,    0
   309,101035,19680225,-9999,    9
   309,101035,19680226,    0,    0
   309,101035,19680227,    0,    0
   309,101035,19680228,    0,    0
   309,101035,19680229,   44,    0
   309,101035,19680301,  176,    0
   309,101035,19680302,    8,    0
   309,101035,19680303,    0,    0
   309,101035,19680304,   70,    0
   309,101035,19680305,    0,    0
   309,101035,19680306,    0,    0
   309,101035,19680307,   42,    0
   309,101035,19680308,-9999,    9
   309,101035,19680309,    0,    0
   309,101035,19680310,    0,    0
   309,101035,19680311,    0,    0
   309,101035,19680312,    0,    0
   309,101035,19680313,    0,    0
   309,101035,19680314,    0,    0
   309,101035,19680315,    0,    0
   309,101035,19680316,-9999,    9
   309,101035,19680317,    0,    0
   309,101035,19680318,    0,    0
   309,101035,19680319,    0,    0
   309,101035,19680320,    0,    0
   309,101035,19680321,    0,    0
   309,101035,19680322,    0,    0
   309,101035,19680323,    0,    0
   309,101035,19680324,    0,    0
   309,101035,19680325,    0,    0
   309,101035,19680326,    0,    0
   309,101035,19680327,    0,    0
   309,101035,19680328,   10,    0
   309,101035,19680329,   38,    0
   309,101035,19680330,    0,    0
   309,101035,19680331,-9999,    9
   309,101035,19680401,    5,    0
   309,101035,19680402,    0,    0
   309,101035,19680403,    0,    0
   309,101035,19680404,    0,    0
   309,101035,19680405,-9999,    9
   309,101035,19680406,    0,    0
   309,101035,19680407,    0,    0
   309,101035,19680408,    0,    0
   309,101035,19680409,    1,    0
   309,101035,19680410,   21,    0
   309,101035,19680411,    0,    0
   309,101035,19680412,   19,    0
   309,101035,19680413,  228,    0
   309,101035,19680414,    0,    0
   309,101035,19680415,-9999,    9
   309,101035,19680416,    0,    0
   309,101035,19680417,    0,    0
   309,101035,19680418,    0,    0
   309,101035,19680419,    0,    0
   309,101035,19680420,    2,    0
   309,101035,19680421,-9999,    9
   309,101035,19680422,    8,    0
   309,101035,19680423,    2,    0
   309,101035,19680424,    0,    0
   309,101035,19680425,    0,    0
   309,101035,19680426,    0,    0
   309,101035,19680427,    2,    0
   309,101035,19680428,    0,    0
   309,101035,19680429,    0,    0
   309,101035,19680430,    0,    0
   309,101035,19680501,    0,    0
   309,101035,19680502,    0,    0
