EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 101057) of station In-Amenas, ALGERIA (STAID:    312)

 STAID,    SOUID,    DATE,   RR, Q_RR
   312,101057,19581001,    0,    0
   312,101057,19581002,    0,    0
   312,101057,19581003,    0,    0
   312,101057,19581004,    0,    0
   312,101057,19581005,    0,    0
   312,101057,19581006,    0,    0
   312,101057,19581007,    0,    0
   312,101057,19581008,    0,    0
   312,101057,19581009,    0,    0
   312,101057,19581010,    0,    0
   312,101057,19581011,    0,    0
   312,101057,19581012,    0,    0
   312,101057,19581013,    0,    0
   312,101057,19581014,    0,    0
   312,101057,19581015,    0,    0
   312,101057,19581016,    0,    0
   312,101057,19581017,    0,    0
   312,101057,19581018,    0,    0
   312,101057,19581019,    0,    0
   312,101057,19581020,    0,    0
   312,101057,19581021,    0,    0
   312,101057,19581022,    0,    0
   312,101057,19581023,    0,    0
   312,101057,19581024,    0,    0
   312,101057,19581025,    0,    0
   312,101057,19581026,    0,    0
   312,101057,19581027,    0,    0
   312,101057,19581028,    0,    0
   312,101057,19581029,    0,    0
   312,101057,19581030,    0,    0
   312,101057,19581031,    0,    0
   312,101057,19581101,    0,    0
   312,101057,19581102,    0,    0
   312,101057,19581103,    0,    0
   312,101057,19581104,-9999,    9
   312,101057,19581105,    0,    0
   312,101057,19581106,    0,    0
   312,101057,19581107,    0,    0
   312,101057,19581108,-9999,    9
   312,101057,19581109,    0,    0
   312,101057,19581110,    0,    0
   312,101057,19581111,-9999,    9
   312,101057,19581112,    0,    0
   312,101057,19581113,    0,    0
   312,101057,19581114,    0,    0
   312,101057,19581115,    0,    0
   312,101057,19581116,    0,    0
   312,101057,19581117,    0,    0
   312,101057,19581118,    0,    0
   312,101057,19581119,    0,    0
   312,101057,19581120,    0,    0
   312,101057,19581121,    0,    0
   312,101057,19581122,    0,    0
   312,101057,19581123,    0,    0
   312,101057,19581124,    0,    0
   312,101057,19581125,    0,    0
   312,101057,19581126,    0,    0
   312,101057,19581127,    0,    0
   312,101057,19581128,    0,    0
   312,101057,19581129,    0,    0
   312,101057,19581130,    0,    0
   312,101057,19581201,    0,    0
   312,101057,19581202,    0,    0
   312,101057,19581203,    0,    0
   312,101057,19581204,    0,    0
   312,101057,19581205,-9999,    9
   312,101057,19581206,    0,    0
   312,101057,19581207,    0,    0
   312,101057,19581208,    0,    0
   312,101057,19581209,    0,    0
   312,101057,19581210,    0,    0
   312,101057,19581211,    0,    0
   312,101057,19581212,    0,    0
   312,101057,19581213,    0,    0
   312,101057,19581214,    0,    0
   312,101057,19581215,    0,    0
   312,101057,19581216,    0,    0
   312,101057,19581217,    0,    0
   312,101057,19581218,    0,    0
   312,101057,19581219,    0,    0
   312,101057,19581220,    0,    0
   312,101057,19581221,    0,    0
   312,101057,19581222,    0,    0
