EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 105182) of station Gospic, CROATIA (STAID:   1684)

 STAID,    SOUID,    DATE,   RR, Q_RR
  1684,105182,18711101,-9999,    9
  1684,105182,18711102,-9999,    9
  1684,105182,18711103,-9999,    9
  1684,105182,18711104,-9999,    9
  1684,105182,18711105,-9999,    9
  1684,105182,18711106,-9999,    9
  1684,105182,18711107,-9999,    9
  1684,105182,18711108,-9999,    9
  1684,105182,18711109,-9999,    9
  1684,105182,18711110,-9999,    9
  1684,105182,18711111,-9999,    9
  1684,105182,18711112,-9999,    9
  1684,105182,18711113,-9999,    9
  1684,105182,18711114,-9999,    9
  1684,105182,18711115,-9999,    9
  1684,105182,18711116,-9999,    9
  1684,105182,18711117,-9999,    9
  1684,105182,18711118,-9999,    9
  1684,105182,18711119,-9999,    9
  1684,105182,18711120,-9999,    9
  1684,105182,18711121,-9999,    9
  1684,105182,18711122,-9999,    9
  1684,105182,18711123,-9999,    9
  1684,105182,18711124,-9999,    9
  1684,105182,18711125,-9999,    9
  1684,105182,18711126,-9999,    9
  1684,105182,18711127,-9999,    9
  1684,105182,18711128,-9999,    9
  1684,105182,18711129,-9999,    9
  1684,105182,18711130,-9999,    9
  1684,105182,18711201,-9999,    9
  1684,105182,18711202,-9999,    9
  1684,105182,18711203,-9999,    9
  1684,105182,18711204,-9999,    9
  1684,105182,18711205,-9999,    9
  1684,105182,18711206,-9999,    9
  1684,105182,18711207,-9999,    9
  1684,105182,18711208,-9999,    9
  1684,105182,18711209,-9999,    9
  1684,105182,18711210,-9999,    9
  1684,105182,18711211,-9999,    9
  1684,105182,18711212,-9999,    9
  1684,105182,18711213,-9999,    9
  1684,105182,18711214,-9999,    9
  1684,105182,18711215,-9999,    9
  1684,105182,18711216,-9999,    9
  1684,105182,18711217,-9999,    9
  1684,105182,18711218,-9999,    9
  1684,105182,18711219,-9999,    9
  1684,105182,18711220,-9999,    9
  1684,105182,18711221,-9999,    9
  1684,105182,18711222,-9999,    9
  1684,105182,18711223,-9999,    9
  1684,105182,18711224,    0,    0
  1684,105182,18711225,-9999,    9
  1684,105182,18711226,-9999,    9
  1684,105182,18711227,-9999,    9
  1684,105182,18711228,-9999,    9
  1684,105182,18711229,-9999,    9
  1684,105182,18711230,-9999,    9
  1684,105182,18711231,-9999,    9
  1684,105182,18720101,-9999,    9
  1684,105182,18720102,-9999,    9
  1684,105182,18720103,-9999,    9
  1684,105182,18720104,-9999,    9
  1684,105182,18720105,-9999,    9
  1684,105182,18720106,-9999,    9
  1684,105182,18720107,-9999,    9
  1684,105182,18720108,-9999,    9
  1684,105182,18720109,-9999,    9
  1684,105182,18720110,-9999,    9
  1684,105182,18720111,-9999,    9
  1684,105182,18720112,-9999,    9
  1684,105182,18720113,-9999,    9
  1684,105182,18720114,-9999,    9
  1684,105182,18720115,-9999,    9
  1684,105182,18720116,-9999,    9
  1684,105182,18720117,-9999,    9
  1684,105182,18720118,-9999,    9
  1684,105182,18720119,-9999,    9
  1684,105182,18720120,-9999,    9
  1684,105182,18720121,-9999,    9
  1684,105182,18720122,-9999,    9
  1684,105182,18720123,-9999,    9
  1684,105182,18720124,-9999,    9
  1684,105182,18720125,-9999,    9
  1684,105182,18720126,-9999,    9
  1684,105182,18720127,-9999,    9
  1684,105182,18720128,-9999,    9
  1684,105182,18720129,-9999,    9
  1684,105182,18720130,-9999,    9
  1684,105182,18720131,-9999,    9
  1684,105182,18720201,-9999,    9
  1684,105182,18720202,-9999,    9
  1684,105182,18720203,-9999,    9
  1684,105182,18720204,-9999,    9
  1684,105182,18720205,-9999,    9
  1684,105182,18720206,-9999,    9
  1684,105182,18720207,-9999,    9
  1684,105182,18720208,-9999,    9
  1684,105182,18720209,-9999,    9
  1684,105182,18720210,-9999,    9
  1684,105182,18720211,-9999,    9
  1684,105182,18720212,-9999,    9
  1684,105182,18720213,-9999,    9
  1684,105182,18720214,-9999,    9
  1684,105182,18720215,-9999,    9
  1684,105182,18720216,-9999,    9
  1684,105182,18720217,-9999,    9
  1684,105182,18720218,-9999,    9
  1684,105182,18720219,-9999,    9
  1684,105182,18720220,-9999,    9
  1684,105182,18720221,-9999,    9
  1684,105182,18720222,-9999,    9
  1684,105182,18720223,-9999,    9
  1684,105182,18720224,-9999,    9
  1684,105182,18720225,-9999,    9
  1684,105182,18720226,-9999,    9
  1684,105182,18720227,-9999,    9
  1684,105182,18720228,-9999,    9
  1684,105182,18720229,-9999,    9
  1684,105182,18720301,-9999,    9
  1684,105182,18720302,-9999,    9
  1684,105182,18720303,-9999,    9
  1684,105182,18720304,-9999,    9
  1684,105182,18720305,-9999,    9
  1684,105182,18720306,-9999,    9
  1684,105182,18720307,-9999,    9
  1684,105182,18720308,-9999,    9
  1684,105182,18720309,-9999,    9
  1684,105182,18720310,-9999,    9
  1684,105182,18720311,-9999,    9
  1684,105182,18720312,-9999,    9
  1684,105182,18720313,-9999,    9
  1684,105182,18720314,-9999,    9
  1684,105182,18720315,-9999,    9
  1684,105182,18720316,-9999,    9
  1684,105182,18720317,-9999,    9
  1684,105182,18720318,-9999,    9
  1684,105182,18720319,-9999,    9
  1684,105182,18720320,-9999,    9
  1684,105182,18720321,-9999,    9
  1684,105182,18720322,-9999,    9
  1684,105182,18720323,-9999,    9
  1684,105182,18720324,-9999,    9
  1684,105182,18720325,-9999,    9
  1684,105182,18720326,-9999,    9
  1684,105182,18720327,-9999,    9
  1684,105182,18720328,-9999,    9
  1684,105182,18720329,-9999,    9
  1684,105182,18720330,-9999,    9
