EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 105189) of station Hvar, CROATIA (STAID:   1686)

 STAID,    SOUID,    DATE,   RR, Q_RR
  1686,105189,18571101,-9999,    9
  1686,105189,18571102,-9999,    9
  1686,105189,18571103,-9999,    9
  1686,105189,18571104,-9999,    9
  1686,105189,18571105,-9999,    9
  1686,105189,18571106,-9999,    9
  1686,105189,18571107,-9999,    9
  1686,105189,18571108,-9999,    9
  1686,105189,18571109,-9999,    9
  1686,105189,18571110,-9999,    9
  1686,105189,18571111,-9999,    9
  1686,105189,18571112,-9999,    9
  1686,105189,18571113,-9999,    9
  1686,105189,18571114,-9999,    9
  1686,105189,18571115,-9999,    9
  1686,105189,18571116,-9999,    9
  1686,105189,18571117,-9999,    9
  1686,105189,18571118,-9999,    9
  1686,105189,18571119,-9999,    9
  1686,105189,18571120,-9999,    9
  1686,105189,18571121,-9999,    9
  1686,105189,18571122,-9999,    9
  1686,105189,18571123,-9999,    9
  1686,105189,18571124,-9999,    9
  1686,105189,18571125,-9999,    9
  1686,105189,18571126,-9999,    9
  1686,105189,18571127,-9999,    9
  1686,105189,18571128,-9999,    9
  1686,105189,18571129,-9999,    9
  1686,105189,18571130,-9999,    9
  1686,105189,18571201,-9999,    9
  1686,105189,18571202,-9999,    9
  1686,105189,18571203,-9999,    9
  1686,105189,18571204,-9999,    9
  1686,105189,18571205,-9999,    9
  1686,105189,18571206,-9999,    9
  1686,105189,18571207,-9999,    9
  1686,105189,18571208,-9999,    9
  1686,105189,18571209,-9999,    9
  1686,105189,18571210,-9999,    9
  1686,105189,18571211,-9999,    9
  1686,105189,18571212,-9999,    9
  1686,105189,18571213,-9999,    9
  1686,105189,18571214,-9999,    9
  1686,105189,18571215,-9999,    9
  1686,105189,18571216,-9999,    9
  1686,105189,18571217,-9999,    9
  1686,105189,18571218,-9999,    9
  1686,105189,18571219,-9999,    9
  1686,105189,18571220,-9999,    9
  1686,105189,18571221,-9999,    9
  1686,105189,18571222,-9999,    9
  1686,105189,18571223,-9999,    9
  1686,105189,18571224,-9999,    9
  1686,105189,18571225,-9999,    9
  1686,105189,18571226,-9999,    9
  1686,105189,18571227,-9999,    9
  1686,105189,18571228,-9999,    9
  1686,105189,18571229,-9999,    9
  1686,105189,18571230,    0,    0
  1686,105189,18571231,-9999,    9
  1686,105189,18580101,-9999,    9
  1686,105189,18580102,-9999,    9
  1686,105189,18580103,-9999,    9
  1686,105189,18580104,-9999,    9
  1686,105189,18580105,-9999,    9
  1686,105189,18580106,-9999,    9
  1686,105189,18580107,-9999,    9
  1686,105189,18580108,-9999,    9
  1686,105189,18580109,-9999,    9
  1686,105189,18580110,-9999,    9
  1686,105189,18580111,-9999,    9
  1686,105189,18580112,-9999,    9
  1686,105189,18580113,-9999,    9
  1686,105189,18580114,-9999,    9
  1686,105189,18580115,-9999,    9
  1686,105189,18580116,-9999,    9
  1686,105189,18580117,-9999,    9
  1686,105189,18580118,-9999,    9
  1686,105189,18580119,-9999,    9
  1686,105189,18580120,-9999,    9
  1686,105189,18580121,-9999,    9
  1686,105189,18580122,-9999,    9
  1686,105189,18580123,-9999,    9
  1686,105189,18580124,-9999,    9
  1686,105189,18580125,-9999,    9
  1686,105189,18580126,-9999,    9
  1686,105189,18580127,-9999,    9
  1686,105189,18580128,-9999,    9
  1686,105189,18580129,-9999,    9
  1686,105189,18580130,-9999,    9
  1686,105189,18580131,-9999,    9
  1686,105189,18580201,-9999,    9
  1686,105189,18580202,-9999,    9
  1686,105189,18580203,-9999,    9
  1686,105189,18580204,-9999,    9
  1686,105189,18580205,-9999,    9
  1686,105189,18580206,-9999,    9
  1686,105189,18580207,-9999,    9
  1686,105189,18580208,-9999,    9
  1686,105189,18580209,-9999,    9
  1686,105189,18580210,-9999,    9
  1686,105189,18580211,-9999,    9
  1686,105189,18580212,-9999,    9
  1686,105189,18580213,-9999,    9
  1686,105189,18580214,-9999,    9
  1686,105189,18580215,-9999,    9
  1686,105189,18580216,-9999,    9
  1686,105189,18580217,-9999,    9
  1686,105189,18580218,-9999,    9
  1686,105189,18580219,-9999,    9
  1686,105189,18580220,-9999,    9
  1686,105189,18580221,-9999,    9
  1686,105189,18580222,-9999,    9
  1686,105189,18580223,-9999,    9
  1686,105189,18580224,-9999,    9
  1686,105189,18580225,-9999,    9
  1686,105189,18580226,-9999,    9
  1686,105189,18580227,-9999,    9
  1686,105189,18580228,    0,    0
  1686,105189,18580301,    0,    0
  1686,105189,18580302,    2,    0
  1686,105189,18580303,    0,    0
  1686,105189,18580304,   50,    0
  1686,105189,18580305,    2,    0
  1686,105189,18580306,  112,    0
  1686,105189,18580307,   18,    0
  1686,105189,18580308,    0,    0
  1686,105189,18580309,    6,    0
  1686,105189,18580310,   14,    0
  1686,105189,18580311,   40,    0
  1686,105189,18580312,    0,    0
  1686,105189,18580313,    0,    0
  1686,105189,18580314,    0,    0
  1686,105189,18580315,    0,    0
  1686,105189,18580316,    0,    0
  1686,105189,18580317,    0,    0
  1686,105189,18580318,    0,    0
  1686,105189,18580319,    0,    0
  1686,105189,18580320,    0,    0
  1686,105189,18580321,    0,    0
  1686,105189,18580322,    0,    0
  1686,105189,18580323,    0,    0
  1686,105189,18580324,    0,    0
  1686,105189,18580325,    0,    0
  1686,105189,18580326,    0,    0
  1686,105189,18580327,    0,    0
  1686,105189,18580328,    0,    0
  1686,105189,18580329,    3,    0
  1686,105189,18580330,    0,    0
  1686,105189,18580331,    1,    0
  1686,105189,18580401,   66,    0
  1686,105189,18580402,    0,    0
  1686,105189,18580403,    0,    0
  1686,105189,18580404,    0,    0
  1686,105189,18580405,    0,    0
  1686,105189,18580406,    6,    0
  1686,105189,18580407,    0,    0
  1686,105189,18580408,    0,    0
  1686,105189,18580409,    0,    0
  1686,105189,18580410,    0,    0
  1686,105189,18580411,  132,    0
  1686,105189,18580412,    0,    0
  1686,105189,18580413,    0,    0
  1686,105189,18580414,    0,    0
  1686,105189,18580415,    0,    0
  1686,105189,18580416,    0,    0
  1686,105189,18580417,    0,    0
  1686,105189,18580418,    0,    0
  1686,105189,18580419,    0,    0
  1686,105189,18580420,    0,    0
  1686,105189,18580421,    0,    0
  1686,105189,18580422,    0,    0
  1686,105189,18580423,    0,    0
  1686,105189,18580424,    0,    0
  1686,105189,18580425,    0,    0
  1686,105189,18580426,    0,    0
  1686,105189,18580427,   49,    0
  1686,105189,18580428,    0,    0
  1686,105189,18580429,    0,    0
  1686,105189,18580430,    0,    0
  1686,105189,18580501,    0,    0
  1686,105189,18580502,    0,    0
  1686,105189,18580503,    0,    0
  1686,105189,18580504,    0,    0
  1686,105189,18580505,    0,    0
  1686,105189,18580506,    0,    0
  1686,105189,18580507,    0,    0
  1686,105189,18580508,  108,    0
  1686,105189,18580509,    0,    0
  1686,105189,18580510,    0,    0
  1686,105189,18580511,   16,    0
  1686,105189,18580512,    0,    0
  1686,105189,18580513,  313,    0
  1686,105189,18580514,    0,    0
  1686,105189,18580515,    0,    0
  1686,105189,18580516,    0,    0
  1686,105189,18580517,    0,    0
  1686,105189,18580518,    0,    0
  1686,105189,18580519,    0,    0
  1686,105189,18580520,   86,    0
  1686,105189,18580521,    0,    0
  1686,105189,18580522,    0,    0
  1686,105189,18580523,    0,    0
  1686,105189,18580524,   39,    0
  1686,105189,18580525,   96,    0
  1686,105189,18580526,    0,    0
  1686,105189,18580527,    0,    0
  1686,105189,18580528,    0,    0
  1686,105189,18580529,   30,    0
  1686,105189,18580530,    0,    0
  1686,105189,18580531,    0,    0
  1686,105189,18580601,    0,    0
  1686,105189,18580602,    0,    0
  1686,105189,18580603,   14,    0
  1686,105189,18580604,    0,    0
  1686,105189,18580605,    0,    0
  1686,105189,18580606,   23,    0
  1686,105189,18580607,    0,    0
  1686,105189,18580608,    0,    0
  1686,105189,18580609,    0,    0
  1686,105189,18580610,    0,    0
  1686,105189,18580611,    0,    0
  1686,105189,18580612,    0,    0
  1686,105189,18580613,    0,    0
  1686,105189,18580614,    0,    0
  1686,105189,18580615,    0,    0
  1686,105189,18580616,    0,    0
  1686,105189,18580617,    0,    0
  1686,105189,18580618,    0,    0
  1686,105189,18580619,    0,    0
  1686,105189,18580620,    0,    0
  1686,105189,18580621,   80,    0
  1686,105189,18580622,  245,    0
  1686,105189,18580623,   68,    0
  1686,105189,18580624,    0,    0
  1686,105189,18580625,    0,    0
  1686,105189,18580626,    0,    0
  1686,105189,18580627,    0,    0
  1686,105189,18580628,    0,    0
  1686,105189,18580629,    0,    0
  1686,105189,18580630,    0,    0
  1686,105189,18580701,    0,    0
  1686,105189,18580702,    0,    0
  1686,105189,18580703,    0,    0
  1686,105189,18580704,    0,    0
  1686,105189,18580705,    0,    0
  1686,105189,18580706,    0,    0
  1686,105189,18580707,    0,    0
  1686,105189,18580708,    0,    0
  1686,105189,18580709,    0,    0
  1686,105189,18580710,    0,    0
  1686,105189,18580711,   46,    0
  1686,105189,18580712,    3,    0
  1686,105189,18580713,    0,    0
  1686,105189,18580714,    0,    0
  1686,105189,18580715,    0,    0
  1686,105189,18580716,    0,    0
  1686,105189,18580717,    0,    0
  1686,105189,18580718,    0,    0
  1686,105189,18580719,    0,    0
  1686,105189,18580720,    0,    0
  1686,105189,18580721,    0,    0
  1686,105189,18580722,    0,    0
  1686,105189,18580723,    0,    0
  1686,105189,18580724,    0,    0
  1686,105189,18580725,    0,    0
  1686,105189,18580726,    0,    0
  1686,105189,18580727,    0,    0
  1686,105189,18580728,   23,    0
  1686,105189,18580729,    0,    0
  1686,105189,18580730,    0,    0
  1686,105189,18580731,    0,    0
  1686,105189,18580801,    0,    0
  1686,105189,18580802,   28,    0
  1686,105189,18580803,    0,    0
  1686,105189,18580804,    0,    0
  1686,105189,18580805,    0,    0
  1686,105189,18580806,   23,    0
  1686,105189,18580807,    0,    0
  1686,105189,18580808,   68,    0
  1686,105189,18580809,    0,    0
  1686,105189,18580810,    0,    0
  1686,105189,18580811,    0,    0
  1686,105189,18580812,    0,    0
  1686,105189,18580813,    0,    0
  1686,105189,18580814,    0,    0
  1686,105189,18580815,    0,    0
  1686,105189,18580816,    0,    0
  1686,105189,18580817,    0,    0
  1686,105189,18580818,    0,    0
  1686,105189,18580819,    0,    0
  1686,105189,18580820,   26,    0
  1686,105189,18580821,  353,    0
  1686,105189,18580822,    0,    0
  1686,105189,18580823,    0,    0
  1686,105189,18580824,   27,    0
  1686,105189,18580825,  118,    0
  1686,105189,18580826,  297,    0
  1686,105189,18580827,    0,    0
  1686,105189,18580828,    0,    0
  1686,105189,18580829,    8,    0
  1686,105189,18580830,    0,    0
  1686,105189,18580831,  136,    0
  1686,105189,18580901,    0,    0
  1686,105189,18580902,    0,    0
  1686,105189,18580903,    0,    0
  1686,105189,18580904,    0,    0
  1686,105189,18580905,    0,    0
  1686,105189,18580906,    0,    0
  1686,105189,18580907,    0,    0
  1686,105189,18580908,   30,    0
  1686,105189,18580909,    0,    0
  1686,105189,18580910,   32,    0
  1686,105189,18580911,   27,    0
