EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 105196) of station Lastovo, CROATIA (STAID:   1682)

 STAID,    SOUID,    DATE,   RR, Q_RR
  1682,105196,19471201,-9999,    9
  1682,105196,19471202,-9999,    9
  1682,105196,19471203,-9999,    9
  1682,105196,19471204,-9999,    9
  1682,105196,19471205,-9999,    9
  1682,105196,19471206,-9999,    9
  1682,105196,19471207,-9999,    9
  1682,105196,19471208,-9999,    9
  1682,105196,19471209,-9999,    9
  1682,105196,19471210,-9999,    9
  1682,105196,19471211,-9999,    9
  1682,105196,19471212,-9999,    9
  1682,105196,19471213,-9999,    9
  1682,105196,19471214,-9999,    9
  1682,105196,19471215,-9999,    9
  1682,105196,19471216,-9999,    9
  1682,105196,19471217,-9999,    9
  1682,105196,19471218,-9999,    9
  1682,105196,19471219,-9999,    9
  1682,105196,19471220,-9999,    9
  1682,105196,19471221,-9999,    9
  1682,105196,19471222,-9999,    9
  1682,105196,19471223,-9999,    9
  1682,105196,19471224,-9999,    9
  1682,105196,19471225,-9999,    9
  1682,105196,19471226,-9999,    9
  1682,105196,19471227,-9999,    9
  1682,105196,19471228,-9999,    9
  1682,105196,19471229,-9999,    9
  1682,105196,19471230,-9999,    9
  1682,105196,19471231,    0,    0
  1682,105196,19480101,    0,    0
  1682,105196,19480102,    0,    0
  1682,105196,19480103,    0,    0
  1682,105196,19480104,    0,    0
  1682,105196,19480105,   14,    0
  1682,105196,19480106,    0,    0
  1682,105196,19480107,    0,    0
  1682,105196,19480108,   13,    0
  1682,105196,19480109,   18,    0
  1682,105196,19480110,    0,    0
  1682,105196,19480111,    0,    0
  1682,105196,19480112,    0,    0
  1682,105196,19480113,    0,    0
  1682,105196,19480114,    0,    0
  1682,105196,19480115,    0,    0
