EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 105217) of station Split Marjan, CROATIA (STAID:   1681)

 STAID,    SOUID,    DATE,   RR, Q_RR
  1681,105217,19471201,-9999,    9
  1681,105217,19471202,-9999,    9
  1681,105217,19471203,-9999,    9
  1681,105217,19471204,-9999,    9
  1681,105217,19471205,-9999,    9
  1681,105217,19471206,-9999,    9
  1681,105217,19471207,-9999,    9
  1681,105217,19471208,-9999,    9
  1681,105217,19471209,-9999,    9
  1681,105217,19471210,-9999,    9
  1681,105217,19471211,-9999,    9
  1681,105217,19471212,-9999,    9
  1681,105217,19471213,-9999,    9
  1681,105217,19471214,-9999,    9
  1681,105217,19471215,-9999,    9
  1681,105217,19471216,-9999,    9
  1681,105217,19471217,-9999,    9
  1681,105217,19471218,-9999,    9
  1681,105217,19471219,-9999,    9
  1681,105217,19471220,-9999,    9
  1681,105217,19471221,-9999,    9
  1681,105217,19471222,-9999,    9
  1681,105217,19471223,-9999,    9
  1681,105217,19471224,-9999,    9
  1681,105217,19471225,-9999,    9
  1681,105217,19471226,-9999,    9
  1681,105217,19471227,-9999,    9
  1681,105217,19471228,-9999,    9
  1681,105217,19471229,-9999,    9
  1681,105217,19471230,-9999,    9
  1681,105217,19471231,    0,    0
  1681,105217,19480101,    0,    0
  1681,105217,19480102,    0,    0
  1681,105217,19480103,    0,    0
  1681,105217,19480104,    0,    0
  1681,105217,19480105,   41,    0
  1681,105217,19480106,  136,    0
  1681,105217,19480107,   22,    0
  1681,105217,19480108,  110,    0
  1681,105217,19480109,    0,    0
  1681,105217,19480110,    0,    0
  1681,105217,19480111,    0,    0
  1681,105217,19480112,    0,    0
  1681,105217,19480113,    0,    0
  1681,105217,19480114,    0,    0
  1681,105217,19480115,    0,    0
  1681,105217,19480116,    4,    0
  1681,105217,19480117,  137,    0
  1681,105217,19480118,   16,    0
  1681,105217,19480119,   48,    0
  1681,105217,19480120,  148,    0
  1681,105217,19480121,   35,    0
  1681,105217,19480122,   32,    0
  1681,105217,19480123,    0,    0
  1681,105217,19480124,   10,    0
  1681,105217,19480125,  264,    0
  1681,105217,19480126,    0,    0
  1681,105217,19480127,  318,    0
  1681,105217,19480128,   12,    0
  1681,105217,19480129,    7,    0
  1681,105217,19480130,    6,    0
  1681,105217,19480131,    0,    0
  1681,105217,19480201,  136,    0
  1681,105217,19480202,    0,    0
  1681,105217,19480203,    0,    0
  1681,105217,19480204,   50,    0
  1681,105217,19480205,    0,    0
  1681,105217,19480206,    0,    0
  1681,105217,19480207,   14,    0
  1681,105217,19480208,    0,    0
  1681,105217,19480209,    4,    0
  1681,105217,19480210,    0,    0
  1681,105217,19480211,    0,    0
  1681,105217,19480212,    0,    0
  1681,105217,19480213,    0,    0
  1681,105217,19480214,    0,    0
  1681,105217,19480215,    0,    0
  1681,105217,19480216,    5,    0
  1681,105217,19480217,    0,    0
  1681,105217,19480218,    0,    0
  1681,105217,19480219,    0,    0
  1681,105217,19480220,   13,    0
  1681,105217,19480221,  138,    0
  1681,105217,19480222,   57,    0
  1681,105217,19480223,   26,    0
  1681,105217,19480224,    0,    0
  1681,105217,19480225,    0,    0
  1681,105217,19480226,    0,    0
  1681,105217,19480227,    0,    0
  1681,105217,19480228,    0,    0
  1681,105217,19480229,    0,    0
  1681,105217,19480301,    0,    0
  1681,105217,19480302,    0,    0
  1681,105217,19480303,    0,    0
  1681,105217,19480304,    0,    0
  1681,105217,19480305,    0,    0
  1681,105217,19480306,    0,    0
  1681,105217,19480307,    0,    0
  1681,105217,19480308,    0,    0
  1681,105217,19480309,    0,    0
  1681,105217,19480310,    0,    0
  1681,105217,19480311,    0,    0
  1681,105217,19480312,    0,    0
  1681,105217,19480313,    0,    0
  1681,105217,19480314,    0,    0
  1681,105217,19480315,    0,    0
  1681,105217,19480316,    0,    0
  1681,105217,19480317,    0,    0
  1681,105217,19480318,    0,    0
  1681,105217,19480319,    7,    0
  1681,105217,19480320,    0,    0
  1681,105217,19480321,    0,    0
  1681,105217,19480322,    0,    0
  1681,105217,19480323,    0,    0
  1681,105217,19480324,    0,    0
  1681,105217,19480325,    0,    0
  1681,105217,19480326,    0,    0
  1681,105217,19480327,    0,    0
  1681,105217,19480328,    0,    0
  1681,105217,19480329,    0,    0
  1681,105217,19480330,    0,    0
  1681,105217,19480331,    0,    0
  1681,105217,19480401,   41,    0
  1681,105217,19480402,   85,    0
  1681,105217,19480403,    0,    0
  1681,105217,19480404,    0,    0
  1681,105217,19480405,   39,    0
  1681,105217,19480406,  269,    0
  1681,105217,19480407,  160,    0
  1681,105217,19480408,    0,    0
  1681,105217,19480409,    0,    0
  1681,105217,19480410,    0,    0
  1681,105217,19480411,    1,    0
  1681,105217,19480412,    0,    0
  1681,105217,19480413,    0,    0
  1681,105217,19480414,    0,    0
  1681,105217,19480415,    0,    0
  1681,105217,19480416,    1,    0
  1681,105217,19480417,    0,    0
  1681,105217,19480418,    7,    0
  1681,105217,19480419,    0,    0
  1681,105217,19480420,    0,    0
  1681,105217,19480421,    0,    0
  1681,105217,19480422,    0,    0
  1681,105217,19480423,  258,    0
  1681,105217,19480424,   69,    0
  1681,105217,19480425,    6,    0
  1681,105217,19480426,    0,    0
  1681,105217,19480427,    0,    0
  1681,105217,19480428,    0,    0
  1681,105217,19480429,    0,    0
  1681,105217,19480430,   89,    0
  1681,105217,19480501,    0,    0
  1681,105217,19480502,    0,    0
  1681,105217,19480503,    0,    0
  1681,105217,19480504,    1,    0
  1681,105217,19480505,    1,    0
