EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 105227) of station Zavizan, CROATIA (STAID:   1687)

 STAID,    SOUID,    DATE,   RR, Q_RR
  1687,105227,19521201,-9999,    9
  1687,105227,19521202,-9999,    9
  1687,105227,19521203,-9999,    9
  1687,105227,19521204,-9999,    9
  1687,105227,19521205,-9999,    9
  1687,105227,19521206,-9999,    9
  1687,105227,19521207,-9999,    9
  1687,105227,19521208,-9999,    9
  1687,105227,19521209,-9999,    9
  1687,105227,19521210,-9999,    9
  1687,105227,19521211,-9999,    9
  1687,105227,19521212,-9999,    9
  1687,105227,19521213,-9999,    9
  1687,105227,19521214,-9999,    9
  1687,105227,19521215,-9999,    9
  1687,105227,19521216,-9999,    9
  1687,105227,19521217,-9999,    9
  1687,105227,19521218,-9999,    9
  1687,105227,19521219,-9999,    9
  1687,105227,19521220,-9999,    9
  1687,105227,19521221,-9999,    9
  1687,105227,19521222,-9999,    9
  1687,105227,19521223,-9999,    9
  1687,105227,19521224,-9999,    9
  1687,105227,19521225,-9999,    9
  1687,105227,19521226,-9999,    9
  1687,105227,19521227,-9999,    9
  1687,105227,19521228,-9999,    9
  1687,105227,19521229,-9999,    9
  1687,105227,19521230,-9999,    9
  1687,105227,19521231,    0,    1
  1687,105227,19530101,    0,    1
  1687,105227,19530102,    0,    1
  1687,105227,19530103,    0,    1
  1687,105227,19530104,    0,    1
  1687,105227,19530105,    0,    1
  1687,105227,19530106,    0,    1
  1687,105227,19530107,    0,    1
  1687,105227,19530108,    0,    1
  1687,105227,19530109,    0,    1
  1687,105227,19530110,    0,    1
  1687,105227,19530111,    0,    1
  1687,105227,19530112,    0,    1
  1687,105227,19530113,    0,    1
  1687,105227,19530114,    0,    1
  1687,105227,19530115,    0,    1
  1687,105227,19530116,    0,    1
  1687,105227,19530117,    0,    1
  1687,105227,19530118,    0,    1
  1687,105227,19530119,    0,    1
  1687,105227,19530120,    0,    1
  1687,105227,19530121,    0,    1
  1687,105227,19530122,    0,    1
