EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 105235) of station Argostoli, GREECE (STAID:    497)

 STAID,    SOUID,    DATE,   RR, Q_RR
   497,105235,19580101,   10,    0
   497,105235,19580102,    0,    0
   497,105235,19580103,    0,    0
   497,105235,19580104,    0,    0
   497,105235,19580105,    0,    0
   497,105235,19580106,   49,    0
   497,105235,19580107,   33,    0
   497,105235,19580108,    3,    0
   497,105235,19580109,  116,    0
   497,105235,19580110,   40,    0
   497,105235,19580111,  263,    0
   497,105235,19580112,  358,    0
   497,105235,19580113,   42,    0
   497,105235,19580114,  144,    0
   497,105235,19580115,  133,    0
   497,105235,19580116,    6,    0
   497,105235,19580117,   20,    0
   497,105235,19580118,  105,    0
   497,105235,19580119,  103,    0
   497,105235,19580120,    0,    0
   497,105235,19580121,    0,    0
   497,105235,19580122,  155,    0
   497,105235,19580123,  390,    0
   497,105235,19580124,  190,    0
   497,105235,19580125,   86,    0
   497,105235,19580126,   16,    0
   497,105235,19580127,    0,    0
   497,105235,19580128,    0,    0
   497,105235,19580129,    0,    0
   497,105235,19580130,    0,    0
   497,105235,19580131,    0,    0
   497,105235,19580201,    3,    0
   497,105235,19580202,    0,    0
   497,105235,19580203,    0,    0
   497,105235,19580204,    0,    0
   497,105235,19580205,    0,    0
   497,105235,19580206,    0,    0
   497,105235,19580207,    5,    0
   497,105235,19580208,    0,    0
   497,105235,19580209,    0,    0
   497,105235,19580210,    0,    0
   497,105235,19580211,    0,    0
   497,105235,19580212,    0,    0
   497,105235,19580213,    0,    0
   497,105235,19580214,    0,    0
   497,105235,19580215,    0,    0
   497,105235,19580216,    0,    0
   497,105235,19580217,    0,    0
   497,105235,19580218,    0,    0
   497,105235,19580219,   30,    0
   497,105235,19580220,   23,    0
   497,105235,19580221,   53,    0
   497,105235,19580222,   14,    0
   497,105235,19580223,   20,    0
   497,105235,19580224,    0,    0
   497,105235,19580225,    0,    0
   497,105235,19580226,    0,    0
   497,105235,19580227,    5,    0
   497,105235,19580228,  176,    0
   497,105235,19580301,   71,    0
   497,105235,19580302,   51,    0
   497,105235,19580303,   45,    0
   497,105235,19580304,   15,    0
   497,105235,19580305,    0,    0
   497,105235,19580306,   32,    0
   497,105235,19580307,  200,    0
   497,105235,19580308,    4,    0
   497,105235,19580309,   72,    0
   497,105235,19580310,   12,    0
   497,105235,19580311,   36,    0
   497,105235,19580312,   58,    0
   497,105235,19580313,   52,    0
   497,105235,19580314,   40,    0
   497,105235,19580315,   10,    0
   497,105235,19580316,    0,    0
   497,105235,19580317,    0,    0
   497,105235,19580318,   15,    0
   497,105235,19580319,   25,    0
   497,105235,19580320,    0,    0
   497,105235,19580321,   33,    0
   497,105235,19580322,    0,    0
   497,105235,19580323,   13,    0
   497,105235,19580324,    8,    0
   497,105235,19580325,   28,    0
   497,105235,19580326,   20,    0
   497,105235,19580327,    7,    0
   497,105235,19580328,    0,    0
   497,105235,19580329,    0,    0
   497,105235,19580330,    0,    0
   497,105235,19580331,    8,    0
   497,105235,19580401,   20,    0
   497,105235,19580402,   24,    0
   497,105235,19580403,   10,    0
   497,105235,19580404,    0,    0
   497,105235,19580405,    0,    0
   497,105235,19580406,   16,    0
   497,105235,19580407,    0,    0
   497,105235,19580408,   55,    0
   497,105235,19580409,   56,    0
   497,105235,19580410,  150,    0
   497,105235,19580411,    0,    0
   497,105235,19580412,    0,    0
   497,105235,19580413,    0,    0
   497,105235,19580414,    0,    0
   497,105235,19580415,    9,    0
   497,105235,19580416,    0,    0
   497,105235,19580417,    0,    0
   497,105235,19580418,   68,    0
   497,105235,19580419,  180,    0
   497,105235,19580420,  165,    0
   497,105235,19580421,    0,    0
   497,105235,19580422,    0,    0
   497,105235,19580423,   38,    0
   497,105235,19580424,    0,    0
   497,105235,19580425,    0,    0
   497,105235,19580426,    0,    0
   497,105235,19580427,    3,    0
   497,105235,19580428,    0,    0
   497,105235,19580429,  176,    0
   497,105235,19580430,  115,    0
   497,105235,19580501,    0,    0
   497,105235,19580502,    0,    0
   497,105235,19580503,    0,    0
   497,105235,19580504,    0,    0
   497,105235,19580505,    0,    0
   497,105235,19580506,    0,    0
   497,105235,19580507,    0,    0
   497,105235,19580508,    0,    0
   497,105235,19580509,    0,    0
   497,105235,19580510,    0,    0
   497,105235,19580511,    0,    0
   497,105235,19580512,    0,    0
   497,105235,19580513,    0,    0
   497,105235,19580514,    0,    0
   497,105235,19580515,    0,    0
   497,105235,19580516,    0,    0
   497,105235,19580517,    3,    0
   497,105235,19580518,   75,    0
   497,105235,19580519,    5,    0
   497,105235,19580520,    0,    0
   497,105235,19580521,    5,    0
   497,105235,19580522,    0,    0
   497,105235,19580523,    0,    0
   497,105235,19580524,    0,    0
   497,105235,19580525,    0,    0
   497,105235,19580526,    0,    0
   497,105235,19580527,    0,    0
   497,105235,19580528,    0,    0
   497,105235,19580529,    0,    0
   497,105235,19580530,    0,    0
   497,105235,19580531,    0,    0
   497,105235,19580601,    0,    0
