EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 105250) of station Palermo, ITALY (STAID:    381)

 STAID,    SOUID,    DATE,   RR, Q_RR
   381,105250,17970101,    0,    0
   381,105250,17970102,    0,    0
   381,105250,17970103,   11,    0
   381,105250,17970104,    0,    0
   381,105250,17970105,   35,    0
   381,105250,17970106,   27,    0
   381,105250,17970107,    0,    0
   381,105250,17970108,   41,    0
   381,105250,17970109,    0,    0
   381,105250,17970110,    0,    0
   381,105250,17970111,   61,    0
   381,105250,17970112,    0,    0
   381,105250,17970113,    0,    0
   381,105250,17970114,   86,    0
   381,105250,17970115,    3,    0
   381,105250,17970116,    0,    0
   381,105250,17970117,    2,    0
   381,105250,17970118,   86,    0
   381,105250,17970119,    0,    0
   381,105250,17970120,    0,    0
   381,105250,17970121,    0,    0
   381,105250,17970122,    0,    0
   381,105250,17970123,    0,    0
   381,105250,17970124,    0,    0
   381,105250,17970125,    0,    0
   381,105250,17970126,    0,    0
   381,105250,17970127,    0,    0
   381,105250,17970128,    0,    0
   381,105250,17970129,    0,    0
   381,105250,17970130,    0,    0
   381,105250,17970131,    7,    0
   381,105250,17970201,   81,    0
   381,105250,17970202,   30,    0
   381,105250,17970203,    0,    0
   381,105250,17970204,    0,    0
   381,105250,17970205,    0,    0
   381,105250,17970206,    0,    0
   381,105250,17970207,    0,    0
   381,105250,17970208,    0,    0
   381,105250,17970209,    0,    0
   381,105250,17970210,    0,    0
   381,105250,17970211,    0,    0
   381,105250,17970212,    0,    0
   381,105250,17970213,   15,    0
   381,105250,17970214,    0,    0
   381,105250,17970215,    0,    0
   381,105250,17970216,   35,    0
   381,105250,17970217,  148,    0
