EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 108892) of station Constanta, ROMANIA (STAID:   2062)

 STAID,    SOUID,    DATE,   RR, Q_RR
  2062,108892,19610101,    0,    0
  2062,108892,19610102,    0,    0
  2062,108892,19610103,    0,    0
  2062,108892,19610104,    0,    0
  2062,108892,19610105,    0,    0
  2062,108892,19610106,   25,    0
  2062,108892,19610107,   46,    0
  2062,108892,19610108,   99,    0
  2062,108892,19610109,   12,    0
  2062,108892,19610110,    6,    0
  2062,108892,19610111,   47,    0
  2062,108892,19610112,    0,    0
  2062,108892,19610113,   27,    0
  2062,108892,19610114,    3,    0
  2062,108892,19610115,    0,    0
  2062,108892,19610116,    0,    0
  2062,108892,19610117,    0,    0
  2062,108892,19610118,    0,    0
  2062,108892,19610119,    0,    0
  2062,108892,19610120,    0,    0
  2062,108892,19610121,    0,    0
  2062,108892,19610122,    0,    0
  2062,108892,19610123,    0,    0
  2062,108892,19610124,    0,    0
  2062,108892,19610125,   35,    0
  2062,108892,19610126,    9,    0
  2062,108892,19610127,    0,    0
  2062,108892,19610128,    0,    0
  2062,108892,19610129,    0,    0
  2062,108892,19610130,    0,    0
  2062,108892,19610131,    0,    0
  2062,108892,19610201,    0,    0
  2062,108892,19610202,   14,    0
  2062,108892,19610203,   12,    0
  2062,108892,19610204,   51,    0
  2062,108892,19610205,    0,    0
  2062,108892,19610206,    0,    0
  2062,108892,19610207,    0,    0
  2062,108892,19610208,    0,    0
  2062,108892,19610209,    0,    0
  2062,108892,19610210,    0,    0
  2062,108892,19610211,    0,    0
  2062,108892,19610212,    0,    0
  2062,108892,19610213,    0,    0
  2062,108892,19610214,    0,    0
  2062,108892,19610215,    0,    0
  2062,108892,19610216,    0,    0
  2062,108892,19610217,    0,    0
  2062,108892,19610218,    0,    0
  2062,108892,19610219,    0,    0
  2062,108892,19610220,    0,    0
  2062,108892,19610221,    0,    0
  2062,108892,19610222,    0,    0
  2062,108892,19610223,    0,    0
  2062,108892,19610224,    0,    0
  2062,108892,19610225,    0,    0
  2062,108892,19610226,    0,    0
  2062,108892,19610227,    0,    0
  2062,108892,19610228,    0,    0
  2062,108892,19610301,    0,    0
  2062,108892,19610302,    0,    0
  2062,108892,19610303,    0,    0
  2062,108892,19610304,    0,    0
  2062,108892,19610305,    0,    0
  2062,108892,19610306,    0,    0
  2062,108892,19610307,    0,    0
  2062,108892,19610308,    0,    0
  2062,108892,19610309,    0,    0
  2062,108892,19610310,    0,    0
  2062,108892,19610311,    0,    0
  2062,108892,19610312,    0,    0
  2062,108892,19610313,    0,    0
  2062,108892,19610314,   20,    0
  2062,108892,19610315,    0,    0
  2062,108892,19610316,    0,    0
  2062,108892,19610317,   28,    0
  2062,108892,19610318,    0,    0
  2062,108892,19610319,    0,    0
  2062,108892,19610320,    0,    0
  2062,108892,19610321,  127,    0
  2062,108892,19610322,  224,    0
  2062,108892,19610323,   90,    0
  2062,108892,19610324,    0,    0
  2062,108892,19610325,    0,    0
  2062,108892,19610326,    0,    0
  2062,108892,19610327,    0,    0
  2062,108892,19610328,   25,    0
  2062,108892,19610329,    1,    0
  2062,108892,19610330,    0,    0
  2062,108892,19610331,    0,    0
  2062,108892,19610401,    0,    0
  2062,108892,19610402,    0,    0
  2062,108892,19610403,    0,    0
  2062,108892,19610404,    0,    0
  2062,108892,19610405,    0,    0
  2062,108892,19610406,    0,    0
  2062,108892,19610407,    0,    0
  2062,108892,19610408,    0,    0
  2062,108892,19610409,    0,    0
  2062,108892,19610410,   14,    0
  2062,108892,19610411,    0,    0
  2062,108892,19610412,    0,    0
  2062,108892,19610413,    0,    0
  2062,108892,19610414,    0,    0
  2062,108892,19610415,    0,    0
  2062,108892,19610416,    0,    0
  2062,108892,19610417,    0,    0
  2062,108892,19610418,    0,    0
  2062,108892,19610419,    0,    0
  2062,108892,19610420,   83,    0
  2062,108892,19610421,   12,    0
  2062,108892,19610422,    3,    0
  2062,108892,19610423,    2,    0
  2062,108892,19610424,    0,    0
  2062,108892,19610425,   88,    0
  2062,108892,19610426,    2,    0
  2062,108892,19610427,    0,    0
  2062,108892,19610428,    1,    0
  2062,108892,19610429,    0,    0
  2062,108892,19610430,   14,    0
  2062,108892,19610501,   25,    0
  2062,108892,19610502,    0,    0
  2062,108892,19610503,    2,    0
  2062,108892,19610504,    0,    0
  2062,108892,19610505,    0,    0
  2062,108892,19610506,    0,    0
  2062,108892,19610507,    0,    0
  2062,108892,19610508,   54,    0
  2062,108892,19610509,   28,    0
  2062,108892,19610510,   73,    0
  2062,108892,19610511,    1,    0
  2062,108892,19610512,    1,    0
  2062,108892,19610513,    0,    0
  2062,108892,19610514,   45,    0
  2062,108892,19610515,   21,    0
  2062,108892,19610516,    0,    0
  2062,108892,19610517,   12,    0
  2062,108892,19610518,   12,    0
  2062,108892,19610519,    0,    0
