EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 108893) of station Craiova, ROMANIA (STAID:   2061)

 STAID,    SOUID,    DATE,   RR, Q_RR
  2061,108893,19610101,    2,    0
  2061,108893,19610102,    0,    0
  2061,108893,19610103,    0,    0
  2061,108893,19610104,    0,    0
  2061,108893,19610105,    5,    0
  2061,108893,19610106,    0,    0
  2061,108893,19610107,    3,    0
  2061,108893,19610108,    0,    0
  2061,108893,19610109,    0,    0
  2061,108893,19610110,   28,    0
  2061,108893,19610111,    0,    0
  2061,108893,19610112,    0,    0
  2061,108893,19610113,   25,    0
  2061,108893,19610114,    0,    0
  2061,108893,19610115,    0,    0
  2061,108893,19610116,    2,    0
  2061,108893,19610117,    0,    0
  2061,108893,19610118,    0,    0
  2061,108893,19610119,    0,    0
  2061,108893,19610120,    0,    0
  2061,108893,19610121,    0,    0
  2061,108893,19610122,    0,    0
  2061,108893,19610123,    0,    0
  2061,108893,19610124,    0,    0
  2061,108893,19610125,   15,    0
  2061,108893,19610126,    6,    0
  2061,108893,19610127,    0,    0
  2061,108893,19610128,    0,    0
  2061,108893,19610129,    0,    0
  2061,108893,19610130,    0,    0
  2061,108893,19610131,    0,    0
  2061,108893,19610201,    5,    0
  2061,108893,19610202,   40,    0
  2061,108893,19610203,    0,    0
  2061,108893,19610204,    0,    0
  2061,108893,19610205,    0,    0
  2061,108893,19610206,    3,    0
  2061,108893,19610207,    0,    0
  2061,108893,19610208,    0,    0
  2061,108893,19610209,    0,    0
  2061,108893,19610210,    0,    0
  2061,108893,19610211,    0,    0
  2061,108893,19610212,    1,    0
  2061,108893,19610213,    0,    0
  2061,108893,19610214,    0,    0
  2061,108893,19610215,    0,    0
  2061,108893,19610216,    0,    0
  2061,108893,19610217,    0,    0
  2061,108893,19610218,    0,    0
  2061,108893,19610219,    0,    0
  2061,108893,19610220,    0,    0
  2061,108893,19610221,    0,    0
  2061,108893,19610222,    0,    0
  2061,108893,19610223,    0,    0
  2061,108893,19610224,    0,    0
  2061,108893,19610225,    0,    0
  2061,108893,19610226,    0,    0
  2061,108893,19610227,    0,    0
  2061,108893,19610228,    0,    0
  2061,108893,19610301,    0,    0
  2061,108893,19610302,   20,    0
  2061,108893,19610303,    2,    0
  2061,108893,19610304,    1,    0
  2061,108893,19610305,    0,    0
  2061,108893,19610306,    0,    0
  2061,108893,19610307,    0,    0
  2061,108893,19610308,    0,    0
  2061,108893,19610309,    0,    0
  2061,108893,19610310,    0,    0
  2061,108893,19610311,    0,    0
  2061,108893,19610312,    0,    0
  2061,108893,19610313,    0,    0
  2061,108893,19610314,    0,    0
  2061,108893,19610315,    0,    0
  2061,108893,19610316,    0,    0
  2061,108893,19610317,    0,    0
  2061,108893,19610318,    0,    0
  2061,108893,19610319,    0,    0
  2061,108893,19610320,    0,    0
  2061,108893,19610321,    0,    0
  2061,108893,19610322,    8,    0
  2061,108893,19610323,   94,    0
  2061,108893,19610324,    0,    0
  2061,108893,19610325,    0,    0
  2061,108893,19610326,    0,    0
  2061,108893,19610327,    0,    0
  2061,108893,19610328,    0,    0
  2061,108893,19610329,    0,    0
  2061,108893,19610330,    0,    0
  2061,108893,19610331,    0,    0
  2061,108893,19610401,    0,    0
  2061,108893,19610402,    0,    0
  2061,108893,19610403,    0,    0
  2061,108893,19610404,    0,    0
  2061,108893,19610405,    0,    0
  2061,108893,19610406,    0,    0
  2061,108893,19610407,    0,    0
  2061,108893,19610408,    0,    0
  2061,108893,19610409,    0,    0
  2061,108893,19610410,    0,    0
  2061,108893,19610411,    0,    0
  2061,108893,19610412,    2,    0
  2061,108893,19610413,    2,    0
  2061,108893,19610414,    0,    0
  2061,108893,19610415,    0,    0
  2061,108893,19610416,    0,    0
  2061,108893,19610417,    0,    0
  2061,108893,19610418,    0,    0
  2061,108893,19610419,    9,    0
  2061,108893,19610420,    0,    0
  2061,108893,19610421,    0,    0
  2061,108893,19610422,    0,    0
  2061,108893,19610423,   20,    0
  2061,108893,19610424,   62,    0
  2061,108893,19610425,  189,    0
  2061,108893,19610426,    2,    0
  2061,108893,19610427,    0,    0
  2061,108893,19610428,   15,    0
  2061,108893,19610429,    0,    0
  2061,108893,19610430,  193,    0
  2061,108893,19610501,    2,    0
  2061,108893,19610502,    0,    0
  2061,108893,19610503,    0,    0
  2061,108893,19610504,    6,    0
  2061,108893,19610505,    0,    0
  2061,108893,19610506,    0,    0
  2061,108893,19610507,    0,    0
  2061,108893,19610508,    0,    0
  2061,108893,19610509,    0,    0
  2061,108893,19610510,   85,    0
  2061,108893,19610511,  138,    0
  2061,108893,19610512,    1,    0
  2061,108893,19610513,    0,    0
  2061,108893,19610514,    0,    0
  2061,108893,19610515,    4,    0
  2061,108893,19610516,   28,    0
  2061,108893,19610517,   59,    0
  2061,108893,19610518,   56,    0
  2061,108893,19610519,    0,    0
  2061,108893,19610520,  104,    0
  2061,108893,19610521,  104,    0
  2061,108893,19610522,    0,    0
  2061,108893,19610523,    6,    0
  2061,108893,19610524,    0,    0
  2061,108893,19610525,  485,    0
  2061,108893,19610526,   39,    0
  2061,108893,19610527,    0,    0
  2061,108893,19610528,    0,    0
  2061,108893,19610529,    0,    0
  2061,108893,19610530,    0,    0
  2061,108893,19610531,    0,    0
  2061,108893,19610601,    0,    0
  2061,108893,19610602,  174,    0
  2061,108893,19610603,   48,    0
  2061,108893,19610604,  177,    0
  2061,108893,19610605,    0,    0
  2061,108893,19610606,   48,    0
  2061,108893,19610607,   52,    0
  2061,108893,19610608,    0,    0
  2061,108893,19610609,   34,    0
  2061,108893,19610610,    0,    0
  2061,108893,19610611,   19,    0
  2061,108893,19610612,    8,    0
  2061,108893,19610613,    0,    0
  2061,108893,19610614,    0,    0
  2061,108893,19610615,    0,    0
  2061,108893,19610616,    0,    0
  2061,108893,19610617,   38,    0
  2061,108893,19610618,   16,    0
  2061,108893,19610619,    0,    0
  2061,108893,19610620,    0,    0
  2061,108893,19610621,    0,    0
  2061,108893,19610622,    0,    0
  2061,108893,19610623,   73,    0
  2061,108893,19610624,    0,    0
  2061,108893,19610625,    0,    0
  2061,108893,19610626,    0,    0
  2061,108893,19610627,    0,    0
  2061,108893,19610628,    8,    0
  2061,108893,19610629,   27,    0
  2061,108893,19610630,    0,    0
  2061,108893,19610701,   18,    0
  2061,108893,19610702,    6,    0
  2061,108893,19610703,    0,    0
  2061,108893,19610704,    0,    0
  2061,108893,19610705,    0,    0
  2061,108893,19610706,    0,    0
  2061,108893,19610707,  265,    0
  2061,108893,19610708,    0,    0
  2061,108893,19610709,    9,    0
  2061,108893,19610710,    0,    0
  2061,108893,19610711,    0,    0
  2061,108893,19610712,    0,    0
  2061,108893,19610713,   35,    0
  2061,108893,19610714,    0,    0
  2061,108893,19610715,    0,    0
  2061,108893,19610716,    0,    0
  2061,108893,19610717,    0,    0
  2061,108893,19610718,  153,    0
  2061,108893,19610719,    1,    0
  2061,108893,19610720,    0,    0
  2061,108893,19610721,    0,    0
  2061,108893,19610722,    0,    0
  2061,108893,19610723,    1,    0
  2061,108893,19610724,  124,    0
  2061,108893,19610725,    0,    0
  2061,108893,19610726,    0,    0
  2061,108893,19610727,    0,    0
  2061,108893,19610728,    0,    0
  2061,108893,19610729,    0,    0
  2061,108893,19610730,   35,    0
  2061,108893,19610731,   13,    0
  2061,108893,19610801,    0,    0
  2061,108893,19610802,    0,    0
  2061,108893,19610803,    0,    0
  2061,108893,19610804,    0,    0
  2061,108893,19610805,    0,    0
  2061,108893,19610806,    0,    0
  2061,108893,19610807,    0,    0
  2061,108893,19610808,    0,    0
  2061,108893,19610809,    0,    0
  2061,108893,19610810,    0,    0
  2061,108893,19610811,    0,    0
  2061,108893,19610812,    0,    0
  2061,108893,19610813,    0,    0
  2061,108893,19610814,    4,    0
  2061,108893,19610815,  136,    0
  2061,108893,19610816,    0,    0
  2061,108893,19610817,   16,    0
  2061,108893,19610818,   11,    0
  2061,108893,19610819,    0,    0
  2061,108893,19610820,    0,    0
  2061,108893,19610821,    0,    0
  2061,108893,19610822,    0,    0
  2061,108893,19610823,    0,    0
  2061,108893,19610824,    0,    0
  2061,108893,19610825,    0,    0
  2061,108893,19610826,    0,    0
  2061,108893,19610827,    0,    0
  2061,108893,19610828,    0,    0
  2061,108893,19610829,    0,    0
  2061,108893,19610830,    0,    0
  2061,108893,19610831,    0,    0
  2061,108893,19610901,    0,    0
  2061,108893,19610902,    0,    0
  2061,108893,19610903,    0,    0
  2061,108893,19610904,    0,    0
  2061,108893,19610905,    0,    0
  2061,108893,19610906,    0,    0
  2061,108893,19610907,    0,    0
  2061,108893,19610908,    0,    0
  2061,108893,19610909,    6,    0
  2061,108893,19610910,   30,    0
  2061,108893,19610911,   13,    0
  2061,108893,19610912,    0,    0
  2061,108893,19610913,    0,    0
  2061,108893,19610914,    0,    0
  2061,108893,19610915,    0,    0
  2061,108893,19610916,    0,    0
  2061,108893,19610917,    0,    0
  2061,108893,19610918,    0,    0
  2061,108893,19610919,    0,    0
  2061,108893,19610920,    0,    0
  2061,108893,19610921,    0,    0
  2061,108893,19610922,    0,    0
  2061,108893,19610923,    0,    0
  2061,108893,19610924,    0,    0
  2061,108893,19610925,    0,    0
  2061,108893,19610926,    0,    0
  2061,108893,19610927,    0,    0
  2061,108893,19610928,    0,    0
  2061,108893,19610929,    0,    0
  2061,108893,19610930,    0,    0
  2061,108893,19611001,    0,    0
  2061,108893,19611002,    0,    0
  2061,108893,19611003,    0,    0
  2061,108893,19611004,    0,    0
  2061,108893,19611005,    0,    0
  2061,108893,19611006,    0,    0
  2061,108893,19611007,    0,    0
  2061,108893,19611008,    0,    0
