EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 108900) of station ROSIORI DE VEDE, ROMANIA (STAID:    972)

 STAID,    SOUID,    DATE,   RR, Q_RR
   972,108900,19610101,    0,    0
   972,108900,19610102,    0,    0
   972,108900,19610103,    0,    0
   972,108900,19610104,    0,    0
   972,108900,19610105,    0,    0
   972,108900,19610106,   26,    0
   972,108900,19610107,    0,    0
   972,108900,19610108,    0,    0
   972,108900,19610109,    0,    0
   972,108900,19610110,  135,    0
   972,108900,19610111,   10,    0
   972,108900,19610112,    0,    0
   972,108900,19610113,   93,    0
   972,108900,19610114,    0,    0
   972,108900,19610115,    0,    0
   972,108900,19610116,    1,    0
   972,108900,19610117,    1,    0
   972,108900,19610118,   14,    0
   972,108900,19610119,    0,    0
   972,108900,19610120,    0,    0
   972,108900,19610121,    0,    0
   972,108900,19610122,    0,    0
   972,108900,19610123,    0,    0
   972,108900,19610124,    0,    0
   972,108900,19610125,    0,    0
   972,108900,19610126,   12,    0
   972,108900,19610127,    0,    0
   972,108900,19610128,    0,    0
   972,108900,19610129,    0,    0
   972,108900,19610130,    0,    0
   972,108900,19610131,    0,    0
   972,108900,19610201,    0,    0
   972,108900,19610202,   23,    0
   972,108900,19610203,    0,    0
   972,108900,19610204,    0,    0
   972,108900,19610205,    0,    0
   972,108900,19610206,    2,    0
   972,108900,19610207,    0,    0
   972,108900,19610208,    0,    0
   972,108900,19610209,    0,    0
   972,108900,19610210,    0,    0
   972,108900,19610211,    0,    0
   972,108900,19610212,    0,    0
   972,108900,19610213,    0,    0
   972,108900,19610214,    6,    0
   972,108900,19610215,    0,    0
   972,108900,19610216,    0,    0
   972,108900,19610217,    0,    0
   972,108900,19610218,    0,    0
   972,108900,19610219,    0,    0
   972,108900,19610220,    0,    0
   972,108900,19610221,    0,    0
   972,108900,19610222,    0,    0
   972,108900,19610223,    0,    0
   972,108900,19610224,    0,    0
   972,108900,19610225,    0,    0
   972,108900,19610226,    0,    0
   972,108900,19610227,    0,    0
   972,108900,19610228,    0,    0
   972,108900,19610301,    0,    0
   972,108900,19610302,   21,    0
   972,108900,19610303,    0,    0
   972,108900,19610304,    0,    0
   972,108900,19610305,    0,    0
   972,108900,19610306,    0,    0
   972,108900,19610307,    0,    0
   972,108900,19610308,    0,    0
   972,108900,19610309,    0,    0
   972,108900,19610310,    0,    0
   972,108900,19610311,    0,    0
   972,108900,19610312,    0,    0
   972,108900,19610313,    0,    0
   972,108900,19610314,    0,    0
   972,108900,19610315,    0,    0
   972,108900,19610316,    0,    0
   972,108900,19610317,    0,    0
   972,108900,19610318,    0,    0
   972,108900,19610319,    0,    0
   972,108900,19610320,    0,    0
   972,108900,19610321,    0,    0
   972,108900,19610322,    0,    0
   972,108900,19610323,   62,    0
   972,108900,19610324,    0,    0
   972,108900,19610325,    0,    0
   972,108900,19610326,    0,    0
   972,108900,19610327,    0,    0
   972,108900,19610328,    1,    0
   972,108900,19610329,    0,    0
   972,108900,19610330,    0,    0
   972,108900,19610331,    0,    0
   972,108900,19610401,    0,    0
   972,108900,19610402,    0,    0
   972,108900,19610403,    0,    0
   972,108900,19610404,    0,    0
   972,108900,19610405,    0,    0
   972,108900,19610406,    0,    0
   972,108900,19610407,    0,    0
   972,108900,19610408,    0,    0
   972,108900,19610409,    0,    0
   972,108900,19610410,    0,    0
   972,108900,19610411,    0,    0
   972,108900,19610412,    0,    0
   972,108900,19610413,    0,    0
   972,108900,19610414,    0,    0
   972,108900,19610415,    0,    0
   972,108900,19610416,    0,    0
   972,108900,19610417,    0,    0
   972,108900,19610418,    0,    0
   972,108900,19610419,    0,    0
   972,108900,19610420,    7,    0
   972,108900,19610421,    0,    0
   972,108900,19610422,    0,    0
   972,108900,19610423,    0,    0
   972,108900,19610424,   50,    0
   972,108900,19610425,  328,    0
   972,108900,19610426,    2,    0
   972,108900,19610427,  128,    0
   972,108900,19610428,   24,    0
   972,108900,19610429,    5,    0
   972,108900,19610430,   12,    0
   972,108900,19610501,  111,    0
   972,108900,19610502,   14,    0
   972,108900,19610503,   51,    0
   972,108900,19610504,  115,    0
   972,108900,19610505,   63,    0
   972,108900,19610506,    0,    0
   972,108900,19610507,    0,    0
   972,108900,19610508,    0,    0
   972,108900,19610509,    0,    0
   972,108900,19610510,  103,    0
   972,108900,19610511,  134,    0
   972,108900,19610512,   18,    0
   972,108900,19610513,    0,    0
   972,108900,19610514,    0,    0
   972,108900,19610515,    0,    0
   972,108900,19610516,    4,    0
   972,108900,19610517,   10,    0
   972,108900,19610518,  136,    0
   972,108900,19610519,    0,    0
   972,108900,19610520,   14,    0
   972,108900,19610521,   27,    0
   972,108900,19610522,    0,    0
   972,108900,19610523,   72,    0
   972,108900,19610524,    0,    0
   972,108900,19610525,  286,    0
   972,108900,19610526,   17,    0
   972,108900,19610527,    0,    0
   972,108900,19610528,    0,    0
   972,108900,19610529,    0,    0
   972,108900,19610530,    0,    0
   972,108900,19610531,    0,    0
   972,108900,19610601,    0,    0
   972,108900,19610602,    0,    0
   972,108900,19610603,    0,    0
   972,108900,19610604,    0,    0
   972,108900,19610605,   40,    0
   972,108900,19610606,    0,    0
   972,108900,19610607,    0,    0
   972,108900,19610608,    0,    0
   972,108900,19610609,    0,    0
   972,108900,19610610,    0,    0
   972,108900,19610611,   35,    0
   972,108900,19610612,    0,    0
   972,108900,19610613,    0,    0
   972,108900,19610614,    0,    0
   972,108900,19610615,   14,    0
   972,108900,19610616,    0,    0
   972,108900,19610617,   45,    0
   972,108900,19610618,    0,    0
   972,108900,19610619,   10,    0
   972,108900,19610620,    0,    0
   972,108900,19610621,    0,    0
   972,108900,19610622,    0,    0
   972,108900,19610623,   28,    0
   972,108900,19610624,    8,    0
   972,108900,19610625,    0,    0
   972,108900,19610626,    0,    0
   972,108900,19610627,    0,    0
   972,108900,19610628,    0,    0
   972,108900,19610629,   40,    0
   972,108900,19610630,    5,    0
