EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 108905) of station Shkodra, ALBANIA (STAID:   1679)

 STAID,    SOUID,    DATE,   RR, Q_RR
  1679,108905,19510101,   69,    0
  1679,108905,19510102,  159,    0
  1679,108905,19510103,    5,    0
  1679,108905,19510104,    0,    0
  1679,108905,19510105,    0,    0
  1679,108905,19510106,    0,    0
  1679,108905,19510107,    0,    0
  1679,108905,19510108,    0,    0
  1679,108905,19510109,    0,    0
  1679,108905,19510110,    0,    0
  1679,108905,19510111,    0,    0
  1679,108905,19510112,    7,    0
  1679,108905,19510113,    3,    0
  1679,108905,19510114,    0,    0
  1679,108905,19510115,    0,    0
  1679,108905,19510116,    0,    0
  1679,108905,19510117,    0,    0
  1679,108905,19510118,   90,    0
  1679,108905,19510119,  101,    0
  1679,108905,19510120,    0,    0
  1679,108905,19510121,    0,    0
  1679,108905,19510122,    0,    0
  1679,108905,19510123,    0,    0
  1679,108905,19510124,    0,    0
  1679,108905,19510125,   33,    0
  1679,108905,19510126,  323,    0
  1679,108905,19510127,  157,    0
  1679,108905,19510128,    1,    0
  1679,108905,19510129,   48,    0
  1679,108905,19510130,   50,    0
  1679,108905,19510131,    0,    0
  1679,108905,19510201,    1,    0
  1679,108905,19510202,    0,    0
  1679,108905,19510203,   27,    0
  1679,108905,19510204,   86,    0
  1679,108905,19510205,    0,    0
  1679,108905,19510206,    0,    0
  1679,108905,19510207,    0,    0
  1679,108905,19510208,    0,    0
  1679,108905,19510209,    0,    0
  1679,108905,19510210,    0,    0
  1679,108905,19510211,    0,    0
  1679,108905,19510212,    0,    0
  1679,108905,19510213,  214,    0
  1679,108905,19510214,   94,    0
  1679,108905,19510215,   31,    0
  1679,108905,19510216,  104,    0
  1679,108905,19510217,    0,    0
  1679,108905,19510218,   43,    0
  1679,108905,19510219,  140,    0
  1679,108905,19510220,    6,    0
  1679,108905,19510221,  448,    0
  1679,108905,19510222,   78,    0
  1679,108905,19510223,   24,    0
  1679,108905,19510224,   40,    0
  1679,108905,19510225,    0,    0
  1679,108905,19510226,  183,    0
  1679,108905,19510227,  214,    0
  1679,108905,19510228,   21,    0
  1679,108905,19510301,    0,    0
  1679,108905,19510302,    0,    0
  1679,108905,19510303,   67,    0
  1679,108905,19510304,    0,    0
  1679,108905,19510305,   15,    0
  1679,108905,19510306,    0,    0
  1679,108905,19510307,  314,    0
  1679,108905,19510308,  829,    0
