EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 112212) of station VIGNA DI VALLE, ITALY (STAID:   2945)

 STAID,    SOUID,    DATE,   RR, Q_RR
  2945,112212,19541001,-9999,    9
  2945,112212,19541002,    0,    0
  2945,112212,19541003,    0,    0
  2945,112212,19541004,    0,    0
  2945,112212,19541005,    0,    0
  2945,112212,19541006,    0,    0
  2945,112212,19541007,    1,    0
  2945,112212,19541008,    0,    0
  2945,112212,19541009,    0,    0
  2945,112212,19541010,    0,    0
  2945,112212,19541011,    0,    0
  2945,112212,19541012,    0,    0
  2945,112212,19541013,    0,    0
  2945,112212,19541014,    0,    0
  2945,112212,19541015,    0,    0
  2945,112212,19541016,    0,    0
  2945,112212,19541017,    0,    0
  2945,112212,19541018,    0,    0
  2945,112212,19541019,    0,    0
  2945,112212,19541020,    0,    0
  2945,112212,19541021,    0,    0
  2945,112212,19541022,    0,    0
  2945,112212,19541023,    0,    0
  2945,112212,19541024,    0,    0
  2945,112212,19541025,    7,    0
  2945,112212,19541026,    0,    0
  2945,112212,19541027,    0,    0
  2945,112212,19541028,    0,    0
  2945,112212,19541029,    0,    0
  2945,112212,19541030,    0,    0
  2945,112212,19541031,-9999,    9
  2945,112212,19541101,    0,    0
  2945,112212,19541102,    0,    0
  2945,112212,19541103,    1,    0
  2945,112212,19541104,    0,    0
  2945,112212,19541105,    0,    0
  2945,112212,19541106,    0,    0
  2945,112212,19541107,    5,    0
  2945,112212,19541108,    9,    0
  2945,112212,19541109,   42,    0
  2945,112212,19541110,    7,    0
  2945,112212,19541111,    0,    0
  2945,112212,19541112,    0,    0
  2945,112212,19541113,    0,    0
  2945,112212,19541114,    0,    0
  2945,112212,19541115,    0,    0
  2945,112212,19541116,    0,    0
  2945,112212,19541117,    0,    0
  2945,112212,19541118,    0,    0
  2945,112212,19541119,    0,    0
