EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 112217) of station MONTE S. ANGELO, ITALY (STAID:   2946)

 STAID,    SOUID,    DATE,   RR, Q_RR
  2946,112217,19511101,-9999,    9
  2946,112217,19511102,-9999,    9
  2946,112217,19511103,-9999,    9
  2946,112217,19511104,-9999,    9
  2946,112217,19511105,-9999,    9
  2946,112217,19511106,-9999,    9
  2946,112217,19511107,    0,    0
  2946,112217,19511108,-9999,    9
  2946,112217,19511109,-9999,    9
  2946,112217,19511110,-9999,    9
  2946,112217,19511111,-9999,    9
  2946,112217,19511112,-9999,    9
  2946,112217,19511113,-9999,    9
  2946,112217,19511114,-9999,    9
  2946,112217,19511115,-9999,    9
  2946,112217,19511116,-9999,    9
  2946,112217,19511117,-9999,    9
  2946,112217,19511118,-9999,    9
  2946,112217,19511119,-9999,    9
  2946,112217,19511120,-9999,    9
  2946,112217,19511121,-9999,    9
  2946,112217,19511122,-9999,    9
  2946,112217,19511123,-9999,    9
  2946,112217,19511124,-9999,    9
  2946,112217,19511125,-9999,    9
  2946,112217,19511126,-9999,    9
  2946,112217,19511127,-9999,    9
  2946,112217,19511128,-9999,    9
  2946,112217,19511129,-9999,    9
  2946,112217,19511130,-9999,    9
  2946,112217,19511201,-9999,    9
  2946,112217,19511202,-9999,    9
  2946,112217,19511203,-9999,    9
  2946,112217,19511204,-9999,    9
