EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 112257) of station SEBHA, LIBYAN ARAB JAMAHIRIYA (STAID:   2952)

 STAID,    SOUID,    DATE,   RR, Q_RR
  2952,112257,19611201,-9999,    9
  2952,112257,19611202,-9999,    9
  2952,112257,19611203,-9999,    9
  2952,112257,19611204,-9999,    9
  2952,112257,19611205,    0,    0
  2952,112257,19611206,    0,    0
  2952,112257,19611207,    0,    0
  2952,112257,19611208,    0,    0
  2952,112257,19611209,    0,    0
  2952,112257,19611210,    0,    0
  2952,112257,19611211,    0,    0
  2952,112257,19611212,    0,    0
  2952,112257,19611213,    0,    0
  2952,112257,19611214,    0,    0
  2952,112257,19611215,    0,    0
  2952,112257,19611216,    0,    0
  2952,112257,19611217,    0,    0
  2952,112257,19611218,    0,    0
  2952,112257,19611219,    0,    0
  2952,112257,19611220,    0,    0
  2952,112257,19611221,    0,    0
  2952,112257,19611222,    0,    0
  2952,112257,19611223,    0,    0
  2952,112257,19611224,    0,    0
  2952,112257,19611225,    0,    0
  2952,112257,19611226,    0,    0
  2952,112257,19611227,    0,    0
  2952,112257,19611228,    0,    0
  2952,112257,19611229,    0,    0
  2952,112257,19611230,    0,    0
  2952,112257,19611231,    0,    0
  2952,112257,19620101,    0,    0
  2952,112257,19620102,    0,    0
  2952,112257,19620103,    0,    0
  2952,112257,19620104,    0,    0
  2952,112257,19620105,    0,    0
  2952,112257,19620106,    0,    0
  2952,112257,19620107,    0,    0
  2952,112257,19620108,    0,    0
  2952,112257,19620109,    0,    0
  2952,112257,19620110,    0,    0
  2952,112257,19620111,    0,    0
  2952,112257,19620112,    0,    0
  2952,112257,19620113,    0,    0
  2952,112257,19620114,    0,    0
  2952,112257,19620115,    0,    0
  2952,112257,19620116,    0,    0
  2952,112257,19620117,    0,    0
  2952,112257,19620118,    0,    0
  2952,112257,19620119,    0,    0
  2952,112257,19620120,    0,    0
  2952,112257,19620121,    0,    0
  2952,112257,19620122,    0,    0
  2952,112257,19620123,    0,    0
  2952,112257,19620124,    0,    0
  2952,112257,19620125,    0,    0
  2952,112257,19620126,    0,    0
  2952,112257,19620127,    0,    0
  2952,112257,19620128,    0,    0
  2952,112257,19620129,    0,    0
  2952,112257,19620130,    0,    0
  2952,112257,19620131,    0,    0
  2952,112257,19620201,    0,    0
  2952,112257,19620202,    0,    0
  2952,112257,19620203,    0,    0
  2952,112257,19620204,    0,    0
  2952,112257,19620205,    0,    0
  2952,112257,19620206,    0,    0
  2952,112257,19620207,    0,    0
  2952,112257,19620208,    0,    0
  2952,112257,19620209,    0,    0
  2952,112257,19620210,    0,    0
  2952,112257,19620211,    0,    0
