EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 112262) of station HON, LIBYAN ARAB JAMAHIRIYA (STAID:   2953)

 STAID,    SOUID,    DATE,   RR, Q_RR
  2953,112262,19560101,    0,    0
  2953,112262,19560102,    0,    0
  2953,112262,19560103,    0,    0
  2953,112262,19560104,    0,    0
  2953,112262,19560105,    0,    0
  2953,112262,19560106,    0,    0
  2953,112262,19560107,    0,    0
  2953,112262,19560108,    0,    0
  2953,112262,19560109,    0,    0
  2953,112262,19560110,    0,    0
  2953,112262,19560111,    0,    0
  2953,112262,19560112,    0,    0
  2953,112262,19560113,    0,    0
  2953,112262,19560114,    0,    0
  2953,112262,19560115,    0,    0
  2953,112262,19560116,    0,    0
  2953,112262,19560117,    0,    0
  2953,112262,19560118,    0,    0
  2953,112262,19560119,    0,    0
  2953,112262,19560120,    0,    0
  2953,112262,19560121,    0,    0
  2953,112262,19560122,    0,    0
  2953,112262,19560123,    0,    0
  2953,112262,19560124,    0,    0
  2953,112262,19560125,    0,    0
  2953,112262,19560126,    0,    0
  2953,112262,19560127,    0,    0
  2953,112262,19560128,    0,    0
  2953,112262,19560129,    0,    0
  2953,112262,19560130,    0,    0
  2953,112262,19560131,    0,    0
  2953,112262,19560201,    0,    0
  2953,112262,19560202,    0,    0
  2953,112262,19560203,    0,    0
  2953,112262,19560204,    0,    0
  2953,112262,19560205,    0,    0
  2953,112262,19560206,    0,    0
  2953,112262,19560207,    0,    0
  2953,112262,19560208,    0,    0
  2953,112262,19560209,    0,    0
  2953,112262,19560210,    0,    0
  2953,112262,19560211,    0,    0
  2953,112262,19560212,    0,    0
  2953,112262,19560213,    0,    0
  2953,112262,19560214,    0,    0
  2953,112262,19560215,    0,    0
  2953,112262,19560216,    0,    0
  2953,112262,19560217,   79,    0
  2953,112262,19560218,   30,    0
  2953,112262,19560219,    0,    0
  2953,112262,19560220,    0,    0
  2953,112262,19560221,    0,    0
  2953,112262,19560222,    0,    0
  2953,112262,19560223,    0,    0
  2953,112262,19560224,    0,    0
  2953,112262,19560225,    0,    0
  2953,112262,19560226,    0,    0
  2953,112262,19560227,    0,    0
  2953,112262,19560228,    0,    0
  2953,112262,19560229,    0,    0
  2953,112262,19560301,    0,    0
  2953,112262,19560302,    0,    0
  2953,112262,19560303,    0,    0
  2953,112262,19560304,   10,    0
  2953,112262,19560305,    0,    0
  2953,112262,19560306,    0,    0
  2953,112262,19560307,    0,    0
  2953,112262,19560308,    0,    0
  2953,112262,19560309,    0,    0
  2953,112262,19560310,   20,    0
  2953,112262,19560311,    0,    0
  2953,112262,19560312,    0,    0
  2953,112262,19560313,    0,    0
  2953,112262,19560314,    0,    0
  2953,112262,19560315,    0,    0
  2953,112262,19560316,    0,    0
  2953,112262,19560317,   41,    0
  2953,112262,19560318,    0,    0
  2953,112262,19560319,    0,    0
  2953,112262,19560320,    0,    0
  2953,112262,19560321,    0,    0
  2953,112262,19560322,    0,    0
  2953,112262,19560323,    0,    0
  2953,112262,19560324,    0,    0
  2953,112262,19560325,    0,    0
  2953,112262,19560326,    0,    0
  2953,112262,19560327,    0,    0
  2953,112262,19560328,    0,    0
  2953,112262,19560329,    0,    0
  2953,112262,19560330,    0,    0
  2953,112262,19560331,    0,    0
  2953,112262,19560401,    0,    0
  2953,112262,19560402,    0,    0
  2953,112262,19560403,    0,    0
  2953,112262,19560404,    0,    0
  2953,112262,19560405,    0,    0
  2953,112262,19560406,    0,    0
  2953,112262,19560407,    0,    0
  2953,112262,19560408,   20,    0
  2953,112262,19560409,    0,    0
  2953,112262,19560410,    0,    0
  2953,112262,19560411,    0,    0
  2953,112262,19560412,    0,    0
  2953,112262,19560413,    0,    0
  2953,112262,19560414,    0,    0
  2953,112262,19560415,    0,    0
  2953,112262,19560416,    0,    0
  2953,112262,19560417,    0,    0
  2953,112262,19560418,    0,    0
  2953,112262,19560419,    0,    0
  2953,112262,19560420,    0,    0
  2953,112262,19560421,    0,    0
  2953,112262,19560422,    0,    0
  2953,112262,19560423,    0,    0
  2953,112262,19560424,    0,    0
  2953,112262,19560425,    0,    0
  2953,112262,19560426,    0,    0
  2953,112262,19560427,    0,    0
  2953,112262,19560428,    0,    0
  2953,112262,19560429,    0,    0
  2953,112262,19560430,    0,    0
  2953,112262,19560501,    0,    0
  2953,112262,19560502,    0,    0
  2953,112262,19560503,    0,    0
  2953,112262,19560504,    0,    0
  2953,112262,19560505,    0,    0
  2953,112262,19560506,    0,    0
  2953,112262,19560507,    0,    0
  2953,112262,19560508,    0,    0
  2953,112262,19560509,    0,    0
  2953,112262,19560510,    0,    0
  2953,112262,19560511,-9999,    9
  2953,112262,19560512,-9999,    9
  2953,112262,19560513,    0,    0
  2953,112262,19560514,-9999,    9
  2953,112262,19560515,    3,    0
  2953,112262,19560516,    0,    0
  2953,112262,19560517,    0,    0
  2953,112262,19560518,    0,    0
  2953,112262,19560519,    0,    0
  2953,112262,19560520,    0,    0
  2953,112262,19560521,    0,    0
  2953,112262,19560522,    0,    0
  2953,112262,19560523,    0,    0
  2953,112262,19560524,    0,    0
  2953,112262,19560525,    0,    0
  2953,112262,19560526,    0,    0
  2953,112262,19560527,    0,    0
  2953,112262,19560528,    0,    0
  2953,112262,19560529,    0,    0
  2953,112262,19560530,    0,    0
  2953,112262,19560531,    0,    0
  2953,112262,19560601,    0,    0
  2953,112262,19560602,    0,    0
  2953,112262,19560603,    0,    0
  2953,112262,19560604,    0,    0
  2953,112262,19560605,    0,    0
  2953,112262,19560606,    0,    0
  2953,112262,19560607,    0,    0
  2953,112262,19560608,    0,    0
  2953,112262,19560609,    0,    0
  2953,112262,19560610,    0,    0
  2953,112262,19560611,    0,    0
  2953,112262,19560612,    0,    0
  2953,112262,19560613,    0,    0
  2953,112262,19560614,    0,    0
  2953,112262,19560615,    0,    0
  2953,112262,19560616,    0,    0
  2953,112262,19560617,    0,    0
  2953,112262,19560618,    0,    0
  2953,112262,19560619,    0,    0
  2953,112262,19560620,    0,    0
  2953,112262,19560621,    0,    0
  2953,112262,19560622,    0,    0
  2953,112262,19560623,    0,    0
  2953,112262,19560624,    0,    0
  2953,112262,19560625,    0,    0
  2953,112262,19560626,    0,    0
  2953,112262,19560627,    0,    0
  2953,112262,19560628,    0,    0
  2953,112262,19560629,    0,    0
  2953,112262,19560630,    0,    0
  2953,112262,19560701,    0,    0
  2953,112262,19560702,    0,    0
  2953,112262,19560703,    0,    0
  2953,112262,19560704,    0,    0
  2953,112262,19560705,    0,    0
  2953,112262,19560706,    0,    0
  2953,112262,19560707,    0,    0
  2953,112262,19560708,    0,    0
  2953,112262,19560709,    0,    0
  2953,112262,19560710,    0,    0
  2953,112262,19560711,    0,    0
  2953,112262,19560712,    0,    0
  2953,112262,19560713,    0,    0
  2953,112262,19560714,    0,    0
  2953,112262,19560715,    0,    0
  2953,112262,19560716,    0,    0
  2953,112262,19560717,    0,    0
  2953,112262,19560718,    0,    0
  2953,112262,19560719,    0,    0
  2953,112262,19560720,    0,    0
  2953,112262,19560721,    0,    0
  2953,112262,19560722,    0,    0
  2953,112262,19560723,    0,    0
  2953,112262,19560724,    0,    0
  2953,112262,19560725,    0,    0
  2953,112262,19560726,    0,    0
  2953,112262,19560727,    0,    0
  2953,112262,19560728,    0,    0
  2953,112262,19560729,    0,    0
  2953,112262,19560730,    0,    0
  2953,112262,19560731,    0,    0
  2953,112262,19560801,    0,    0
  2953,112262,19560802,    0,    0
  2953,112262,19560803,    0,    0
  2953,112262,19560804,    0,    0
  2953,112262,19560805,    0,    0
  2953,112262,19560806,    0,    0
  2953,112262,19560807,    0,    0
  2953,112262,19560808,    0,    0
  2953,112262,19560809,    0,    0
  2953,112262,19560810,    0,    0
  2953,112262,19560811,    0,    0
  2953,112262,19560812,    0,    0
  2953,112262,19560813,    0,    0
  2953,112262,19560814,    0,    0
  2953,112262,19560815,    0,    0
  2953,112262,19560816,    0,    0
  2953,112262,19560817,    0,    0
  2953,112262,19560818,    0,    0
  2953,112262,19560819,    0,    0
  2953,112262,19560820,    0,    0
  2953,112262,19560821,    0,    0
  2953,112262,19560822,    0,    0
  2953,112262,19560823,    0,    0
  2953,112262,19560824,    0,    0
  2953,112262,19560825,    0,    0
