EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 112282) of station Midelt, MOROCCO (STAID:   2156)

 STAID,    SOUID,    DATE,   RR, Q_RR
  2156,112282,19650901,-9999,    9
  2156,112282,19650902,-9999,    9
  2156,112282,19650903,-9999,    9
  2156,112282,19650904,-9999,    9
  2156,112282,19650905,-9999,    9
  2156,112282,19650906,-9999,    9
  2156,112282,19650907,-9999,    9
  2156,112282,19650908,-9999,    9
  2156,112282,19650909,-9999,    9
  2156,112282,19650910,-9999,    9
  2156,112282,19650911,-9999,    9
  2156,112282,19650912,-9999,    9
  2156,112282,19650913,-9999,    9
  2156,112282,19650914,-9999,    9
  2156,112282,19650915,-9999,    9
  2156,112282,19650916,-9999,    9
  2156,112282,19650917,-9999,    9
  2156,112282,19650918,-9999,    9
  2156,112282,19650919,-9999,    9
  2156,112282,19650920,-9999,    9
  2156,112282,19650921,-9999,    9
  2156,112282,19650922,-9999,    9
  2156,112282,19650923,-9999,    9
  2156,112282,19650924,-9999,    9
  2156,112282,19650925,-9999,    9
  2156,112282,19650926,-9999,    9
  2156,112282,19650927,-9999,    9
  2156,112282,19650928,-9999,    9
  2156,112282,19650929,-9999,    9
  2156,112282,19650930,-9999,    9
  2156,112282,19651001,-9999,    9
  2156,112282,19651002,-9999,    9
  2156,112282,19651003,-9999,    9
  2156,112282,19651004,-9999,    9
  2156,112282,19651005,-9999,    9
  2156,112282,19651006,-9999,    9
  2156,112282,19651007,-9999,    9
