EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 112552) of station Jendouba, TUNISIA (STAID:   2168)

 STAID,    SOUID,    DATE,   RR, Q_RR
  2168,112552,19430701,    0,    0
  2168,112552,19430702,    0,    0
  2168,112552,19430703,    0,    0
  2168,112552,19430704,    0,    0
  2168,112552,19430705,    0,    0
  2168,112552,19430706,    0,    0
  2168,112552,19430707,    0,    0
  2168,112552,19430708,    0,    0
  2168,112552,19430709,    0,    0
  2168,112552,19430710,    0,    0
  2168,112552,19430711,    0,    0
  2168,112552,19430712,    0,    0
  2168,112552,19430713,    0,    0
  2168,112552,19430714,    0,    0
  2168,112552,19430715,    0,    0
  2168,112552,19430716,    0,    0
  2168,112552,19430717,    0,    0
  2168,112552,19430718,    0,    0
  2168,112552,19430719,    0,    0
  2168,112552,19430720,    0,    0
  2168,112552,19430721,    0,    0
  2168,112552,19430722,    0,    0
  2168,112552,19430723,    0,    0
  2168,112552,19430724,    0,    0
  2168,112552,19430725,    0,    0
  2168,112552,19430726,    0,    0
  2168,112552,19430727,    0,    0
  2168,112552,19430728,    0,    0
  2168,112552,19430729,    0,    0
  2168,112552,19430730,    0,    0
  2168,112552,19430731,    0,    0
  2168,112552,19430801,    0,    0
  2168,112552,19430802,    0,    0
  2168,112552,19430803,    0,    0
  2168,112552,19430804,    0,    0
  2168,112552,19430805,    0,    0
  2168,112552,19430806,    0,    0
  2168,112552,19430807,    0,    0
  2168,112552,19430808,    0,    0
  2168,112552,19430809,    0,    0
  2168,112552,19430810,    0,    0
  2168,112552,19430811,    0,    0
  2168,112552,19430812,    0,    0
  2168,112552,19430813,    0,    0
  2168,112552,19430814,    0,    0
  2168,112552,19430815,    0,    0
  2168,112552,19430816,    0,    0
