EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 118429) of station WHEELUS, LIBYAN ARAB JAMAHIRIYA (STAID:   3767)

 STAID,    SOUID,    DATE,   RR, Q_RR
  3767,118429,19460201,-9999,    9
  3767,118429,19460202,-9999,    9
  3767,118429,19460203,-9999,    9
  3767,118429,19460204,-9999,    9
  3767,118429,19460205,-9999,    9
  3767,118429,19460206,-9999,    9
  3767,118429,19460207,-9999,    9
  3767,118429,19460208,-9999,    9
  3767,118429,19460209,-9999,    9
  3767,118429,19460210,-9999,    9
  3767,118429,19460211,-9999,    9
  3767,118429,19460212,-9999,    9
  3767,118429,19460213,-9999,    9
  3767,118429,19460214,-9999,    9
  3767,118429,19460215,-9999,    9
  3767,118429,19460216,-9999,    9
  3767,118429,19460217,-9999,    9
  3767,118429,19460218,-9999,    9
  3767,118429,19460219,-9999,    9
  3767,118429,19460220,-9999,    9
  3767,118429,19460221,-9999,    9
  3767,118429,19460222,-9999,    9
  3767,118429,19460223,-9999,    9
  3767,118429,19460224,-9999,    9
  3767,118429,19460225,    0,    0
  3767,118429,19460226,    0,    0
  3767,118429,19460227,    0,    0
  3767,118429,19460228,    0,    0
  3767,118429,19460301,-9999,    9
  3767,118429,19460302,-9999,    9
  3767,118429,19460303,-9999,    9
  3767,118429,19460304,-9999,    9
  3767,118429,19460305,-9999,    9
  3767,118429,19460306,-9999,    9
  3767,118429,19460307,-9999,    9
  3767,118429,19460308,-9999,    9
  3767,118429,19460309,-9999,    9
  3767,118429,19460310,-9999,    9
  3767,118429,19460311,-9999,    9
  3767,118429,19460312,-9999,    9
  3767,118429,19460313,-9999,    9
  3767,118429,19460314,-9999,    9
  3767,118429,19460315,-9999,    9
  3767,118429,19460316,-9999,    9
  3767,118429,19460317,-9999,    9
  3767,118429,19460318,-9999,    9
  3767,118429,19460319,-9999,    9
  3767,118429,19460320,-9999,    9
  3767,118429,19460321,-9999,    9
  3767,118429,19460322,-9999,    9
  3767,118429,19460323,-9999,    9
  3767,118429,19460324,-9999,    9
  3767,118429,19460325,-9999,    9
  3767,118429,19460326,-9999,    9
  3767,118429,19460327,-9999,    9
  3767,118429,19460328,-9999,    9
  3767,118429,19460329,-9999,    9
  3767,118429,19460330,-9999,    9
  3767,118429,19460331,-9999,    9
  3767,118429,19460401,-9999,    9
  3767,118429,19460402,-9999,    9
  3767,118429,19460403,-9999,    9
  3767,118429,19460404,-9999,    9
  3767,118429,19460405,-9999,    9
