EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 118445) of station SIDI SLIMANE, MOROCCO (STAID:   3769)

 STAID,    SOUID,    DATE,   RR, Q_RR
  3769,118445,19510901,-9999,    9
  3769,118445,19510902,-9999,    9
  3769,118445,19510903,-9999,    9
  3769,118445,19510904,-9999,    9
  3769,118445,19510905,-9999,    9
  3769,118445,19510906,-9999,    9
  3769,118445,19510907,-9999,    9
  3769,118445,19510908,-9999,    9
  3769,118445,19510909,-9999,    9
  3769,118445,19510910,-9999,    9
  3769,118445,19510911,-9999,    9
  3769,118445,19510912,-9999,    9
  3769,118445,19510913,    0,    0
  3769,118445,19510914,    0,    0
  3769,118445,19510915,    0,    0
  3769,118445,19510916,    0,    0
  3769,118445,19510917,    0,    0
  3769,118445,19510918,    0,    0
  3769,118445,19510919,    0,    0
  3769,118445,19510920,    0,    0
  3769,118445,19510921,    0,    0
  3769,118445,19510922,    0,    0
  3769,118445,19510923,    0,    0
  3769,118445,19510924,    0,    0
  3769,118445,19510925,    0,    0
  3769,118445,19510926,    0,    0
  3769,118445,19510927,    0,    0
  3769,118445,19510928,    0,    0
  3769,118445,19510929,    0,    0
  3769,118445,19510930,    0,    0
  3769,118445,19511001,    0,    0
  3769,118445,19511002,    0,    0
  3769,118445,19511003,    3,    0
  3769,118445,19511004,    0,    0
  3769,118445,19511005,    0,    0
  3769,118445,19511006,    0,    0
  3769,118445,19511007,    0,    0
  3769,118445,19511008,    0,    0
  3769,118445,19511009,   20,    0
  3769,118445,19511010,    0,    0
  3769,118445,19511011,    0,    0
  3769,118445,19511012,   53,    0
  3769,118445,19511013,   30,    0
  3769,118445,19511014,   20,    0
  3769,118445,19511015,    0,    0
  3769,118445,19511016,    0,    0
  3769,118445,19511017,    0,    0
  3769,118445,19511018,    0,    0
  3769,118445,19511019,    0,    0
  3769,118445,19511020,   66,    0
  3769,118445,19511021,    0,    0
  3769,118445,19511022,    0,    0
  3769,118445,19511023,    0,    0
  3769,118445,19511024,    0,    0
  3769,118445,19511025,    0,    0
  3769,118445,19511026,    0,    0
  3769,118445,19511027,    0,    0
  3769,118445,19511028,    0,    0
  3769,118445,19511029,    0,    0
  3769,118445,19511030,    0,    0
  3769,118445,19511031,    0,    0
  3769,118445,19511101,    0,    0
  3769,118445,19511102,    0,    0
  3769,118445,19511103,    0,    0
  3769,118445,19511104,    0,    0
  3769,118445,19511105,    0,    0
  3769,118445,19511106,    3,    0
  3769,118445,19511107,   97,    0
  3769,118445,19511108,   28,    0
  3769,118445,19511109,  445,    0
  3769,118445,19511110,  178,    0
  3769,118445,19511111,   86,    0
  3769,118445,19511112,   13,    0
  3769,118445,19511113,    0,    0
  3769,118445,19511114,    0,    0
  3769,118445,19511115,    0,    0
  3769,118445,19511116,    0,    0
  3769,118445,19511117,-9999,    9
  3769,118445,19511118,    0,    0
  3769,118445,19511119,  221,    0
  3769,118445,19511120,    0,    0
  3769,118445,19511121,   20,    0
  3769,118445,19511122,   25,    0
  3769,118445,19511123,    0,    0
  3769,118445,19511124,    0,    0
  3769,118445,19511125,    0,    0
  3769,118445,19511126,    0,    0
  3769,118445,19511127,    0,    0
  3769,118445,19511128,    0,    0
  3769,118445,19511129,    0,    0
  3769,118445,19511130,    0,    0
  3769,118445,19511201,    0,    0
  3769,118445,19511202,    0,    0
  3769,118445,19511203,    0,    0
  3769,118445,19511204,    0,    0
  3769,118445,19511205,    0,    0
  3769,118445,19511206,    0,    0
  3769,118445,19511207,   30,    0
  3769,118445,19511208,    0,    0
  3769,118445,19511209,    0,    0
  3769,118445,19511210,    0,    0
  3769,118445,19511211,    0,    0
  3769,118445,19511212,   13,    0
  3769,118445,19511213,    0,    0
  3769,118445,19511214,   25,    0
  3769,118445,19511215,    0,    0
  3769,118445,19511216,    0,    0
  3769,118445,19511217,    0,    0
  3769,118445,19511218,    0,    0
  3769,118445,19511219,    0,    0
  3769,118445,19511220,  173,    0
  3769,118445,19511221,   71,    0
  3769,118445,19511222,    0,    0
  3769,118445,19511223,    0,    0
  3769,118445,19511224,    0,    0
  3769,118445,19511225,    0,    0
  3769,118445,19511226,    0,    0
  3769,118445,19511227,    0,    0
  3769,118445,19511228,   20,    0
  3769,118445,19511229,    5,    0
  3769,118445,19511230,    0,    0
  3769,118445,19511231,    0,    0
  3769,118445,19520101,    0,    0
  3769,118445,19520102,    0,    0
  3769,118445,19520103,    0,    0
  3769,118445,19520104,    0,    0
  3769,118445,19520105,    0,    0
  3769,118445,19520106,    0,    0
  3769,118445,19520107,    0,    0
  3769,118445,19520108,    0,    0
  3769,118445,19520109,    5,    0
  3769,118445,19520110,    0,    0
  3769,118445,19520111,    0,    0
  3769,118445,19520112,    0,    0
  3769,118445,19520113,  328,    0
  3769,118445,19520114,    0,    0
  3769,118445,19520115,    0,    0
  3769,118445,19520116,    0,    0
  3769,118445,19520117,    0,    0
  3769,118445,19520118,   30,    0
  3769,118445,19520119,    0,    0
  3769,118445,19520120,    0,    0
  3769,118445,19520121,  155,    0
  3769,118445,19520122,    5,    0
  3769,118445,19520123,    0,    0
  3769,118445,19520124,  295,    0
  3769,118445,19520125,  104,    0
  3769,118445,19520126,    0,    0
  3769,118445,19520127,   48,    0
  3769,118445,19520128,    0,    0
  3769,118445,19520129,    8,    0
  3769,118445,19520130,   86,    0
  3769,118445,19520131,    0,    0
  3769,118445,19520201,    8,    0
  3769,118445,19520202,    0,    0
  3769,118445,19520203,    0,    0
  3769,118445,19520204,    0,    0
  3769,118445,19520205,    0,    0
  3769,118445,19520206,    0,    0
  3769,118445,19520207,    0,    0
  3769,118445,19520208,    0,    0
  3769,118445,19520209,    0,    0
  3769,118445,19520210,    0,    0
  3769,118445,19520211,    0,    0
  3769,118445,19520212,   15,    0
  3769,118445,19520213,   61,    0
  3769,118445,19520214,    8,    0
  3769,118445,19520215,    0,    0
  3769,118445,19520216,    0,    0
  3769,118445,19520217,    0,    0
  3769,118445,19520218,    0,    0
  3769,118445,19520219,    0,    0
  3769,118445,19520220,    0,    0
  3769,118445,19520221,    0,    0
  3769,118445,19520222,    0,    0
  3769,118445,19520223,    0,    0
  3769,118445,19520224,    0,    0
  3769,118445,19520225,    0,    0
  3769,118445,19520226,    0,    0
  3769,118445,19520227,    0,    0
  3769,118445,19520228,    0,    0
  3769,118445,19520229,    0,    0
  3769,118445,19520301,    0,    0
  3769,118445,19520302,    0,    0
  3769,118445,19520303,    0,    0
  3769,118445,19520304,    0,    0
  3769,118445,19520305,    0,    0
  3769,118445,19520306,    0,    0
  3769,118445,19520307,    0,    0
  3769,118445,19520308,    0,    0
  3769,118445,19520309,    0,    0
  3769,118445,19520310,    0,    0
  3769,118445,19520311,   56,    0
  3769,118445,19520312,    0,    0
  3769,118445,19520313,    0,    0
  3769,118445,19520314,    0,    0
  3769,118445,19520315,    3,    0
  3769,118445,19520316,    0,    0
  3769,118445,19520317,    0,    0
  3769,118445,19520318,    0,    0
  3769,118445,19520319,    0,    0
  3769,118445,19520320,    0,    0
  3769,118445,19520321,    0,    0
  3769,118445,19520322,    0,    0
  3769,118445,19520323,    0,    0
  3769,118445,19520324,    0,    0
  3769,118445,19520325,    0,    0
  3769,118445,19520326,    0,    0
  3769,118445,19520327,    0,    0
  3769,118445,19520328,   61,    0
  3769,118445,19520329,  155,    0
  3769,118445,19520330,    0,    0
  3769,118445,19520331,    0,    0
  3769,118445,19520401,   56,    0
  3769,118445,19520402,   89,    0
  3769,118445,19520403,   74,    0
  3769,118445,19520404,    0,    0
  3769,118445,19520405,    0,    0
  3769,118445,19520406,    0,    0
  3769,118445,19520407,    0,    0
  3769,118445,19520408,    0,    0
  3769,118445,19520409,    0,    0
  3769,118445,19520410,    0,    0
  3769,118445,19520411,    0,    0
  3769,118445,19520412,    0,    0
  3769,118445,19520413,   74,    0
  3769,118445,19520414,  114,    0
  3769,118445,19520415,    0,    0
  3769,118445,19520416,    0,    0
  3769,118445,19520417,    0,    0
  3769,118445,19520418,   15,    0
  3769,118445,19520419,    0,    0
  3769,118445,19520420,    0,    0
  3769,118445,19520421,    0,    0
  3769,118445,19520422,    0,    0
  3769,118445,19520423,    0,    0
  3769,118445,19520424,    0,    0
  3769,118445,19520425,    0,    0
  3769,118445,19520426,    0,    0
  3769,118445,19520427,    0,    0
  3769,118445,19520428,    0,    0
  3769,118445,19520429,   46,    0
  3769,118445,19520430,   66,    0
  3769,118445,19520501,   97,    0
  3769,118445,19520502,    0,    0
  3769,118445,19520503,    0,    0
  3769,118445,19520504,   20,    0
  3769,118445,19520505,   18,    0
  3769,118445,19520506,   43,    0
  3769,118445,19520507,    0,    0
  3769,118445,19520508,    0,    0
  3769,118445,19520509,    0,    0
  3769,118445,19520510,    0,    0
  3769,118445,19520511,    0,    0
  3769,118445,19520512,    0,    0
  3769,118445,19520513,    0,    0
  3769,118445,19520514,    0,    0
  3769,118445,19520515,    0,    0
  3769,118445,19520516,    0,    0
  3769,118445,19520517,    0,    0
  3769,118445,19520518,    0,    0
  3769,118445,19520519,    0,    0
  3769,118445,19520520,    0,    0
  3769,118445,19520521,    0,    0
  3769,118445,19520522,    0,    0
  3769,118445,19520523,    0,    0
  3769,118445,19520524,    0,    0
  3769,118445,19520525,    3,    0
  3769,118445,19520526,   58,    0
  3769,118445,19520527,    3,    0
  3769,118445,19520528,  109,    0
  3769,118445,19520529,    0,    0
  3769,118445,19520530,    0,    0
  3769,118445,19520531,    0,    0
  3769,118445,19520601,    0,    0
  3769,118445,19520602,    0,    0
  3769,118445,19520603,    0,    0
  3769,118445,19520604,    0,    0
  3769,118445,19520605,    0,    0
  3769,118445,19520606,    0,    0
  3769,118445,19520607,    0,    0
  3769,118445,19520608,    0,    0
  3769,118445,19520609,    0,    0
  3769,118445,19520610,    0,    0
  3769,118445,19520611,    0,    0
  3769,118445,19520612,    0,    0
  3769,118445,19520613,    0,    0
  3769,118445,19520614,    0,    0
  3769,118445,19520615,    0,    0
  3769,118445,19520616,    0,    0
  3769,118445,19520617,    0,    0
  3769,118445,19520618,    0,    0
  3769,118445,19520619,    0,    0
  3769,118445,19520620,    0,    0
  3769,118445,19520621,    0,    0
  3769,118445,19520622,    0,    0
  3769,118445,19520623,    0,    0
  3769,118445,19520624,    0,    0
  3769,118445,19520625,    0,    0
  3769,118445,19520626,    0,    0
  3769,118445,19520627,    0,    0
  3769,118445,19520628,    0,    0
  3769,118445,19520629,    0,    0
  3769,118445,19520630,    0,    0
  3769,118445,19520701,    0,    0
  3769,118445,19520702,    0,    0
  3769,118445,19520703,    0,    0
  3769,118445,19520704,    0,    0
  3769,118445,19520705,    0,    0
  3769,118445,19520706,    0,    0
  3769,118445,19520707,    0,    0
  3769,118445,19520708,    0,    0
  3769,118445,19520709,    0,    0
  3769,118445,19520710,    0,    0
  3769,118445,19520711,    0,    0
  3769,118445,19520712,    0,    0
  3769,118445,19520713,    0,    0
  3769,118445,19520714,    0,    0
  3769,118445,19520715,    0,    0
  3769,118445,19520716,    0,    0
  3769,118445,19520717,    0,    0
  3769,118445,19520718,    0,    0
  3769,118445,19520719,    0,    0
  3769,118445,19520720,    0,    0
  3769,118445,19520721,    0,    0
  3769,118445,19520722,    0,    0
  3769,118445,19520723,    0,    0
  3769,118445,19520724,    0,    0
  3769,118445,19520725,    0,    0
  3769,118445,19520726,    0,    0
  3769,118445,19520727,    0,    0
  3769,118445,19520728,    0,    0
  3769,118445,19520729,    0,    0
  3769,118445,19520730,    0,    0
  3769,118445,19520731,    0,    0
  3769,118445,19520801,    0,    0
  3769,118445,19520802,    0,    0
  3769,118445,19520803,    0,    0
  3769,118445,19520804,    0,    0
  3769,118445,19520805,    0,    0
  3769,118445,19520806,    0,    0
  3769,118445,19520807,    0,    0
  3769,118445,19520808,    0,    0
  3769,118445,19520809,    0,    0
  3769,118445,19520810,    0,    0
  3769,118445,19520811,    0,    0
  3769,118445,19520812,   18,    0
  3769,118445,19520813,    0,    0
  3769,118445,19520814,    0,    0
  3769,118445,19520815,    0,    0
  3769,118445,19520816,    0,    0
  3769,118445,19520817,    0,    0
  3769,118445,19520818,    0,    0
  3769,118445,19520819,    0,    0
  3769,118445,19520820,    0,    0
  3769,118445,19520821,    0,    0
  3769,118445,19520822,    0,    0
  3769,118445,19520823,    0,    0
  3769,118445,19520824,    0,    0
  3769,118445,19520825,    0,    0
  3769,118445,19520826,    0,    0
  3769,118445,19520827,   18,    0
  3769,118445,19520828,    0,    0
  3769,118445,19520829,    0,    0
  3769,118445,19520830,    0,    0
  3769,118445,19520831,    0,    0
  3769,118445,19520901,   48,    0
  3769,118445,19520902,    0,    0
  3769,118445,19520903,    0,    0
  3769,118445,19520904,    0,    0
  3769,118445,19520905,    0,    0
  3769,118445,19520906,    0,    0
  3769,118445,19520907,    0,    0
  3769,118445,19520908,    0,    0
  3769,118445,19520909,    0,    0
  3769,118445,19520910,  107,    0
  3769,118445,19520911,    0,    0
  3769,118445,19520912,    0,    0
  3769,118445,19520913,   18,    0
  3769,118445,19520914,    0,    0
  3769,118445,19520915,    0,    0
  3769,118445,19520916,    0,    0
  3769,118445,19520917,    0,    0
  3769,118445,19520918,    0,    0
  3769,118445,19520919,    0,    0
  3769,118445,19520920,    0,    0
  3769,118445,19520921,    0,    0
  3769,118445,19520922,    0,    0
  3769,118445,19520923,    0,    0
  3769,118445,19520924,    0,    0
  3769,118445,19520925,    0,    0
  3769,118445,19520926,    0,    0
  3769,118445,19520927,    0,    0
  3769,118445,19520928,    5,    0
  3769,118445,19520929,    0,    0
  3769,118445,19520930,    0,    0
  3769,118445,19521001,   43,    0
  3769,118445,19521002,    0,    0
  3769,118445,19521003,    0,    0
  3769,118445,19521004,    0,    0
  3769,118445,19521005,    0,    0
  3769,118445,19521006,    0,    0
  3769,118445,19521007,    0,    0
  3769,118445,19521008,    0,    0
  3769,118445,19521009,    0,    0
  3769,118445,19521010,    0,    0
  3769,118445,19521011,    0,    0
  3769,118445,19521012,    0,    0
  3769,118445,19521013,    0,    0
  3769,118445,19521014,    0,    0
  3769,118445,19521015,    0,    0
  3769,118445,19521016,    0,    0
  3769,118445,19521017,    0,    0
  3769,118445,19521018,    0,    0
  3769,118445,19521019,  114,    0
  3769,118445,19521020,    8,    0
  3769,118445,19521021,   15,    0
  3769,118445,19521022,    0,    0
  3769,118445,19521023,    0,    0
  3769,118445,19521024,    0,    0
  3769,118445,19521025,    0,    0
  3769,118445,19521026,    0,    0
  3769,118445,19521027,    0,    0
  3769,118445,19521028,    0,    0
  3769,118445,19521029,    0,    0
  3769,118445,19521030,    0,    0
  3769,118445,19521031,    0,    0
  3769,118445,19521101,    0,    0
  3769,118445,19521102,    0,    0
  3769,118445,19521103,    0,    0
  3769,118445,19521104,    0,    0
  3769,118445,19521105,    0,    0
  3769,118445,19521106,    0,    0
  3769,118445,19521107,    0,    0
  3769,118445,19521108,    0,    0
  3769,118445,19521109,    0,    0
  3769,118445,19521110,    0,    0
  3769,118445,19521111,    0,    0
  3769,118445,19521112,    0,    0
  3769,118445,19521113,    0,    0
  3769,118445,19521114,    0,    0
  3769,118445,19521115,    0,    0
  3769,118445,19521116,    0,    0
  3769,118445,19521117,   23,    0
  3769,118445,19521118,  178,    0
  3769,118445,19521119,    0,    0
  3769,118445,19521120,    0,    0
  3769,118445,19521121,    0,    0
  3769,118445,19521122,    0,    0
  3769,118445,19521123,    0,    0
  3769,118445,19521124,    0,    0
  3769,118445,19521125,    0,    0
  3769,118445,19521126,  124,    0
  3769,118445,19521127,  109,    0
  3769,118445,19521128,   15,    0
  3769,118445,19521129,   28,    0
  3769,118445,19521130,   13,    0
  3769,118445,19521201,    0,    0
  3769,118445,19521202,  140,    0
  3769,118445,19521203,    0,    0
  3769,118445,19521204,    0,    0
  3769,118445,19521205,    0,    0
  3769,118445,19521206,    0,    0
  3769,118445,19521207,    0,    0
  3769,118445,19521208,    0,    0
  3769,118445,19521209,    0,    0
  3769,118445,19521210,    0,    0
  3769,118445,19521211,    0,    0
  3769,118445,19521212,    0,    0
