EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 119738) of station VITORIA AERODROMO, SPAIN (STAID:   3904)

 STAID,    SOUID,    DATE,   RR, Q_RR
  3904,119738,19430301,    0,    0
  3904,119738,19430302,    0,    0
  3904,119738,19430303,    0,    0
  3904,119738,19430304,    2,    0
  3904,119738,19430305,    0,    0
  3904,119738,19430306,    0,    0
  3904,119738,19430307,    0,    0
  3904,119738,19430308,    0,    0
  3904,119738,19430309,    0,    0
  3904,119738,19430310,    0,    0
  3904,119738,19430311,    0,    0
  3904,119738,19430312,    0,    0
  3904,119738,19430313,    0,    0
  3904,119738,19430314,    0,    0
  3904,119738,19430315,    0,    0
  3904,119738,19430316,    0,    0
  3904,119738,19430317,    0,    0
  3904,119738,19430318,    0,    0
  3904,119738,19430319,    0,    0
  3904,119738,19430320,    0,    0
  3904,119738,19430321,    0,    0
  3904,119738,19430322,    0,    0
  3904,119738,19430323,    0,    0
  3904,119738,19430324,   80,    0
  3904,119738,19430325,    0,    0
  3904,119738,19430326,    1,    0
  3904,119738,19430327,    2,    0
  3904,119738,19430328,   45,    0
  3904,119738,19430329,    0,    0
  3904,119738,19430330,    0,    0
  3904,119738,19430331,    3,    0
  3904,119738,19430401,    0,    0
  3904,119738,19430402,    2,    0
  3904,119738,19430403,    4,    0
  3904,119738,19430404,    0,    0
  3904,119738,19430405,    0,    0
  3904,119738,19430406,    0,    0
  3904,119738,19430407,    0,    0
  3904,119738,19430408,   25,    0
  3904,119738,19430409,    0,    0
  3904,119738,19430410,    0,    0
  3904,119738,19430411,    0,    0
  3904,119738,19430412,    0,    0
  3904,119738,19430413,    0,    0
  3904,119738,19430414,    0,    0
  3904,119738,19430415,    0,    0
  3904,119738,19430416,   23,    0
  3904,119738,19430417,    1,    0
  3904,119738,19430418,    0,    0
  3904,119738,19430419,   22,    0
  3904,119738,19430420,   41,    0
  3904,119738,19430421,  115,    0
  3904,119738,19430422,    0,    0
  3904,119738,19430423,    0,    0
  3904,119738,19430424,    0,    0
  3904,119738,19430425,    0,    0
  3904,119738,19430426,    0,    0
  3904,119738,19430427,    0,    0
  3904,119738,19430428,    0,    0
  3904,119738,19430429,    0,    0
  3904,119738,19430430,   68,    0
  3904,119738,19430501,   14,    0
  3904,119738,19430502,    6,    0
  3904,119738,19430503,  212,    0
  3904,119738,19430504,   63,    0
  3904,119738,19430505,   16,    0
  3904,119738,19430506,    3,    0
  3904,119738,19430507,   28,    0
  3904,119738,19430508,    0,    0
  3904,119738,19430509,   29,    0
  3904,119738,19430510,    0,    0
  3904,119738,19430511,    0,    0
  3904,119738,19430512,    0,    0
  3904,119738,19430513,    0,    0
  3904,119738,19430514,    0,    0
  3904,119738,19430515,    0,    0
  3904,119738,19430516,    0,    0
  3904,119738,19430517,    0,    0
  3904,119738,19430518,    0,    0
  3904,119738,19430519,    0,    0
  3904,119738,19430520,    0,    0
  3904,119738,19430521,    4,    0
  3904,119738,19430522,    0,    0
  3904,119738,19430523,    0,    0
  3904,119738,19430524,    0,    0
  3904,119738,19430525,    0,    0
  3904,119738,19430526,    0,    0
  3904,119738,19430527,    0,    0
  3904,119738,19430528,    0,    0
  3904,119738,19430529,    0,    0
  3904,119738,19430530,    4,    0
  3904,119738,19430531,    0,    0
  3904,119738,19430601,    0,    0
  3904,119738,19430602,    0,    0
  3904,119738,19430603,    9,    0
  3904,119738,19430604,    0,    0
  3904,119738,19430605,    0,    0
  3904,119738,19430606,    0,    0
  3904,119738,19430607,    0,    0
  3904,119738,19430608,    0,    0
  3904,119738,19430609,   66,    0
  3904,119738,19430610,    0,    0
  3904,119738,19430611,    0,    0
  3904,119738,19430612,    0,    0
  3904,119738,19430613,    0,    0
  3904,119738,19430614,   21,    0
  3904,119738,19430615,    4,    0
  3904,119738,19430616,    0,    0
  3904,119738,19430617,    0,    0
  3904,119738,19430618,    0,    0
  3904,119738,19430619,    0,    0
  3904,119738,19430620,  132,    0
  3904,119738,19430621,   52,    0
  3904,119738,19430622,    0,    0
  3904,119738,19430623,    0,    0
  3904,119738,19430624,    0,    0
  3904,119738,19430625,    0,    0
  3904,119738,19430626,    0,    0
  3904,119738,19430627,    0,    0
  3904,119738,19430628,    0,    0
