EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 119765) of station ALBACETE BASE AEREA, SPAIN (STAID:    336)

 STAID,    SOUID,    DATE,   RR, Q_RR
   336,119765,19391201,    0,    0
   336,119765,19391202,    0,    0
   336,119765,19391203,    0,    0
   336,119765,19391204,    0,    0
   336,119765,19391205,    0,    0
   336,119765,19391206,    0,    0
   336,119765,19391207,    0,    0
   336,119765,19391208,    0,    0
   336,119765,19391209,    0,    0
   336,119765,19391210,    0,    0
   336,119765,19391211,    0,    0
   336,119765,19391212,    0,    0
   336,119765,19391213,    0,    0
   336,119765,19391214,    0,    0
   336,119765,19391215,    0,    0
   336,119765,19391216,   84,    0
   336,119765,19391217,    0,    0
   336,119765,19391218,    0,    0
   336,119765,19391219,   61,    0
   336,119765,19391220,    0,    0
   336,119765,19391221,    0,    0
   336,119765,19391222,   10,    0
   336,119765,19391223,    0,    0
   336,119765,19391224,    8,    0
   336,119765,19391225,   60,    0
   336,119765,19391226,    6,    0
   336,119765,19391227,    0,    0
   336,119765,19391228,    0,    0
   336,119765,19391229,    0,    0
   336,119765,19391230,    0,    0
   336,119765,19391231,    0,    0
   336,119765,19400101,    7,    0
   336,119765,19400102,    5,    0
   336,119765,19400103,   12,    0
   336,119765,19400104,    0,    0
   336,119765,19400105,   50,    0
   336,119765,19400106,    0,    0
   336,119765,19400107,    0,    0
   336,119765,19400108,    0,    0
   336,119765,19400109,    0,    0
   336,119765,19400110,    0,    0
   336,119765,19400111,   60,    0
   336,119765,19400112,   63,    0
   336,119765,19400113,  210,    0
   336,119765,19400114,    4,    0
   336,119765,19400115,    0,    0
   336,119765,19400116,    0,    0
   336,119765,19400117,    3,    0
   336,119765,19400118,    0,    0
   336,119765,19400119,    7,    0
   336,119765,19400120,    0,    0
   336,119765,19400121,   80,    0
   336,119765,19400122,  170,    0
   336,119765,19400123,    0,    0
   336,119765,19400124,    0,    0
   336,119765,19400125,    0,    0
   336,119765,19400126,    0,    0
   336,119765,19400127,    0,    0
   336,119765,19400128,    0,    0
   336,119765,19400129,    0,    0
   336,119765,19400130,    0,    0
   336,119765,19400131,    0,    0
   336,119765,19400201,   80,    0
   336,119765,19400202,    3,    0
   336,119765,19400203,   20,    0
   336,119765,19400204,   23,    0
   336,119765,19400205,   40,    0
   336,119765,19400206,    0,    0
   336,119765,19400207,    0,    0
   336,119765,19400208,    0,    0
   336,119765,19400209,   10,    0
   336,119765,19400210,    0,    0
   336,119765,19400211,    0,    0
   336,119765,19400212,    0,    0
   336,119765,19400213,    0,    0
   336,119765,19400214,    0,    0
   336,119765,19400215,    0,    0
   336,119765,19400216,    0,    0
   336,119765,19400217,    0,    0
   336,119765,19400218,    0,    0
   336,119765,19400219,    0,    0
   336,119765,19400220,    0,    0
   336,119765,19400221,    0,    0
   336,119765,19400222,    0,    0
   336,119765,19400223,    0,    0
   336,119765,19400224,    0,    0
