EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 119909) of station BURGOS AEROPUERTO, SPAIN (STAID:    414)

 STAID,    SOUID,    DATE,   RR, Q_RR
   414,119909,19430801,-9999,    9
   414,119909,19430802,-9999,    9
   414,119909,19430803,-9999,    9
   414,119909,19430804,-9999,    9
   414,119909,19430805,-9999,    9
   414,119909,19430806,-9999,    9
   414,119909,19430807,-9999,    9
   414,119909,19430808,-9999,    9
   414,119909,19430809,-9999,    9
   414,119909,19430810,-9999,    9
   414,119909,19430811,-9999,    9
   414,119909,19430812,-9999,    9
   414,119909,19430813,-9999,    9
   414,119909,19430814,-9999,    9
   414,119909,19430815,-9999,    9
   414,119909,19430816,-9999,    9
   414,119909,19430817,-9999,    9
   414,119909,19430818,-9999,    9
   414,119909,19430819,-9999,    9
   414,119909,19430820,-9999,    9
   414,119909,19430821,-9999,    9
   414,119909,19430822,-9999,    9
   414,119909,19430823,-9999,    9
   414,119909,19430824,-9999,    9
   414,119909,19430825,-9999,    9
   414,119909,19430826,-9999,    9
   414,119909,19430827,-9999,    9
   414,119909,19430828,-9999,    9
   414,119909,19430829,-9999,    9
   414,119909,19430830,-9999,    9
   414,119909,19430831,-9999,    9
   414,119909,19430901,-9999,    9
   414,119909,19430902,-9999,    9
   414,119909,19430903,-9999,    9
   414,119909,19430904,-9999,    9
   414,119909,19430905,-9999,    9
   414,119909,19430906,-9999,    9
   414,119909,19430907,-9999,    9
   414,119909,19430908,-9999,    9
   414,119909,19430909,-9999,    9
   414,119909,19430910,-9999,    9
   414,119909,19430911,-9999,    9
   414,119909,19430912,-9999,    9
   414,119909,19430913,-9999,    9
   414,119909,19430914,-9999,    9
   414,119909,19430915,-9999,    9
   414,119909,19430916,-9999,    9
   414,119909,19430917,-9999,    9
   414,119909,19430918,-9999,    9
   414,119909,19430919,-9999,    9
   414,119909,19430920,-9999,    9
   414,119909,19430921,-9999,    9
   414,119909,19430922,-9999,    9
   414,119909,19430923,-9999,    9
   414,119909,19430924,-9999,    9
   414,119909,19430925,-9999,    9
   414,119909,19430926,-9999,    9
   414,119909,19430927,-9999,    9
   414,119909,19430928,-9999,    9
   414,119909,19430929,-9999,    9
   414,119909,19430930,-9999,    9
   414,119909,19431001,-9999,    9
   414,119909,19431002,-9999,    9
   414,119909,19431003,-9999,    9
   414,119909,19431004,-9999,    9
   414,119909,19431005,-9999,    9
   414,119909,19431006,-9999,    9
   414,119909,19431007,-9999,    9
   414,119909,19431008,-9999,    9
   414,119909,19431009,-9999,    9
   414,119909,19431010,-9999,    9
   414,119909,19431011,-9999,    9
   414,119909,19431012,-9999,    9
   414,119909,19431013,-9999,    9
   414,119909,19431014,-9999,    9
   414,119909,19431015,-9999,    9
   414,119909,19431016,-9999,    9
   414,119909,19431017,-9999,    9
   414,119909,19431018,-9999,    9
   414,119909,19431019,-9999,    9
   414,119909,19431020,-9999,    9
   414,119909,19431021,-9999,    9
   414,119909,19431022,-9999,    9
   414,119909,19431023,-9999,    9
   414,119909,19431024,-9999,    9
   414,119909,19431025,-9999,    9
   414,119909,19431026,-9999,    9
   414,119909,19431027,-9999,    9
   414,119909,19431028,-9999,    9
   414,119909,19431029,-9999,    9
   414,119909,19431030,-9999,    9
   414,119909,19431031,-9999,    9
   414,119909,19431101,-9999,    9
   414,119909,19431102,-9999,    9
   414,119909,19431103,-9999,    9
   414,119909,19431104,-9999,    9
   414,119909,19431105,-9999,    9
   414,119909,19431106,-9999,    9
   414,119909,19431107,-9999,    9
   414,119909,19431108,-9999,    9
   414,119909,19431109,-9999,    9
   414,119909,19431110,-9999,    9
   414,119909,19431111,-9999,    9
   414,119909,19431112,-9999,    9
   414,119909,19431113,-9999,    9
   414,119909,19431114,-9999,    9
   414,119909,19431115,-9999,    9
   414,119909,19431116,-9999,    9
   414,119909,19431117,-9999,    9
   414,119909,19431118,-9999,    9
   414,119909,19431119,-9999,    9
   414,119909,19431120,-9999,    9
   414,119909,19431121,-9999,    9
   414,119909,19431122,-9999,    9
   414,119909,19431123,-9999,    9
   414,119909,19431124,-9999,    9
   414,119909,19431125,-9999,    9
   414,119909,19431126,-9999,    9
   414,119909,19431127,-9999,    9
   414,119909,19431128,-9999,    9
