EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 119936) of station CADIZ, SPAIN (STAID:    415)

 STAID,    SOUID,    DATE,   RR, Q_RR
   415,119936,19351101,    0,    0
   415,119936,19351102,    0,    0
   415,119936,19351103,    0,    0
   415,119936,19351104,    0,    0
   415,119936,19351105,    0,    0
   415,119936,19351106,    1,    0
   415,119936,19351107,    3,    0
   415,119936,19351108,  130,    0
   415,119936,19351109,    0,    0
   415,119936,19351110,  195,    0
   415,119936,19351111,    0,    0
   415,119936,19351112,    5,    0
   415,119936,19351113,    1,    0
   415,119936,19351114,    0,    0
   415,119936,19351115,    0,    0
   415,119936,19351116,   15,    0
   415,119936,19351117,    7,    0
   415,119936,19351118,   30,    0
   415,119936,19351119,   45,    0
   415,119936,19351120,  142,    0
   415,119936,19351121,    0,    0
   415,119936,19351122,    0,    0
   415,119936,19351123,  118,    0
   415,119936,19351124,   39,    0
   415,119936,19351125,    5,    0
   415,119936,19351126,    0,    0
   415,119936,19351127,    0,    0
   415,119936,19351128,    1,    0
   415,119936,19351129,    0,    0
   415,119936,19351130,    0,    0
   415,119936,19351201,    0,    0
   415,119936,19351202,    0,    0
   415,119936,19351203,    0,    0
   415,119936,19351204,    1,    0
   415,119936,19351205,    0,    0
   415,119936,19351206,    0,    0
   415,119936,19351207,    0,    0
   415,119936,19351208,    0,    0
   415,119936,19351209,    0,    0
   415,119936,19351210,    0,    0
   415,119936,19351211,    0,    0
   415,119936,19351212,    0,    0
   415,119936,19351213,    0,    0
   415,119936,19351214,    0,    0
   415,119936,19351215,    0,    0
   415,119936,19351216,    0,    0
   415,119936,19351217,    0,    0
   415,119936,19351218,    0,    0
   415,119936,19351219,    0,    0
   415,119936,19351220,    0,    0
   415,119936,19351221,    0,    0
   415,119936,19351222,   50,    0
   415,119936,19351223,   45,    0
   415,119936,19351224,   40,    0
   415,119936,19351225,  198,    0
   415,119936,19351226,  113,    0
   415,119936,19351227,    9,    0
   415,119936,19351228,  373,    0
   415,119936,19351229,   36,    0
   415,119936,19351230,    0,    0
   415,119936,19351231,   65,    0
   415,119936,19360101,  245,    0
