EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 119963) of station TARIFA, SPAIN (STAID:   1406)

 STAID,    SOUID,    DATE,   RR, Q_RR
  1406,119963,19450501,    0,    0
  1406,119963,19450502,    0,    0
  1406,119963,19450503,    0,    0
  1406,119963,19450504,    0,    0
  1406,119963,19450505,    0,    0
  1406,119963,19450506,    0,    0
  1406,119963,19450507,    0,    0
  1406,119963,19450508,    0,    0
  1406,119963,19450509,    0,    0
  1406,119963,19450510,    0,    0
  1406,119963,19450511,    2,    0
  1406,119963,19450512,    0,    0
  1406,119963,19450513,   12,    0
  1406,119963,19450514,   13,    0
  1406,119963,19450515,    0,    0
  1406,119963,19450516,    0,    0
  1406,119963,19450517,    0,    0
  1406,119963,19450518,    0,    0
  1406,119963,19450519,    0,    0
  1406,119963,19450520,    0,    0
  1406,119963,19450521,    0,    0
  1406,119963,19450522,    0,    0
  1406,119963,19450523,    0,    0
  1406,119963,19450524,    0,    0
  1406,119963,19450525,    0,    0
  1406,119963,19450526,    0,    0
  1406,119963,19450527,    0,    0
  1406,119963,19450528,   43,    0
  1406,119963,19450529,   31,    0
  1406,119963,19450530,    0,    0
  1406,119963,19450531,    0,    0
  1406,119963,19450601,-9999,    9
  1406,119963,19450602,-9999,    9
  1406,119963,19450603,-9999,    9
  1406,119963,19450604,-9999,    9
  1406,119963,19450605,-9999,    9
  1406,119963,19450606,-9999,    9
  1406,119963,19450607,-9999,    9
  1406,119963,19450608,-9999,    9
  1406,119963,19450609,-9999,    9
  1406,119963,19450610,-9999,    9
  1406,119963,19450611,-9999,    9
  1406,119963,19450612,-9999,    9
  1406,119963,19450613,-9999,    9
  1406,119963,19450614,-9999,    9
  1406,119963,19450615,-9999,    9
  1406,119963,19450616,-9999,    9
  1406,119963,19450617,-9999,    9
  1406,119963,19450618,-9999,    9
  1406,119963,19450619,-9999,    9
  1406,119963,19450620,-9999,    9
  1406,119963,19450621,-9999,    9
  1406,119963,19450622,-9999,    9
  1406,119963,19450623,-9999,    9
  1406,119963,19450624,-9999,    9
  1406,119963,19450625,-9999,    9
  1406,119963,19450626,-9999,    9
  1406,119963,19450627,-9999,    9
  1406,119963,19450628,-9999,    9
  1406,119963,19450629,-9999,    9
  1406,119963,19450630,-9999,    9
  1406,119963,19450701,    0,    0
  1406,119963,19450702,    0,    0
  1406,119963,19450703,    0,    0
  1406,119963,19450704,    0,    0
  1406,119963,19450705,    0,    0
  1406,119963,19450706,    0,    0
  1406,119963,19450707,    0,    0
  1406,119963,19450708,    0,    0
  1406,119963,19450709,    0,    0
  1406,119963,19450710,-9999,    9
  1406,119963,19450711,    0,    0
  1406,119963,19450712,    0,    0
  1406,119963,19450713,    0,    0
  1406,119963,19450714,    0,    0
  1406,119963,19450715,    0,    0
  1406,119963,19450716,    0,    0
  1406,119963,19450717,    0,    0
  1406,119963,19450718,    0,    0
  1406,119963,19450719,    0,    0
  1406,119963,19450720,    0,    0
  1406,119963,19450721,    0,    0
  1406,119963,19450722,    0,    0
  1406,119963,19450723,    0,    0
  1406,119963,19450724,    0,    0
  1406,119963,19450725,    0,    0
  1406,119963,19450726,    0,    0
  1406,119963,19450727,    0,    0
  1406,119963,19450728,    0,    0
  1406,119963,19450729,    0,    0
  1406,119963,19450730,    0,    0
  1406,119963,19450731,    0,    0
  1406,119963,19450801,    0,    0
  1406,119963,19450802,    0,    0
  1406,119963,19450803,    0,    0
  1406,119963,19450804,    0,    0
  1406,119963,19450805,    0,    0
  1406,119963,19450806,    0,    0
  1406,119963,19450807,    0,    0
  1406,119963,19450808,    0,    0
  1406,119963,19450809,    0,    0
  1406,119963,19450810,    0,    0
  1406,119963,19450811,    6,    0
  1406,119963,19450812,    0,    0
  1406,119963,19450813,    0,    0
  1406,119963,19450814,    0,    0
  1406,119963,19450815,    0,    0
  1406,119963,19450816,    0,    0
  1406,119963,19450817,    0,    0
  1406,119963,19450818,    0,    0
  1406,119963,19450819,    0,    0
  1406,119963,19450820,    0,    0
  1406,119963,19450821,    0,    0
  1406,119963,19450822,    0,    0
  1406,119963,19450823,    0,    0
  1406,119963,19450824,    0,    0
  1406,119963,19450825,    0,    0
  1406,119963,19450826,    0,    0
  1406,119963,19450827,    0,    0
  1406,119963,19450828,    0,    0
  1406,119963,19450829,    0,    0
  1406,119963,19450830,    0,    0
  1406,119963,19450831,    0,    0
  1406,119963,19450901,    0,    0
  1406,119963,19450902,    0,    0
  1406,119963,19450903,    0,    0
  1406,119963,19450904,    0,    0
  1406,119963,19450905,    0,    0
  1406,119963,19450906,    0,    0
  1406,119963,19450907,    0,    0
  1406,119963,19450908,    0,    0
  1406,119963,19450909,    0,    0
  1406,119963,19450910,    0,    0
  1406,119963,19450911,    0,    0
  1406,119963,19450912,    0,    0
  1406,119963,19450913,    0,    0
  1406,119963,19450914,    0,    0
  1406,119963,19450915,    0,    0
  1406,119963,19450916,    0,    0
  1406,119963,19450917,    0,    0
  1406,119963,19450918,    0,    0
  1406,119963,19450919,    0,    0
  1406,119963,19450920,    0,    0
  1406,119963,19450921,    0,    0
  1406,119963,19450922,    0,    0
  1406,119963,19450923,    0,    0
  1406,119963,19450924,    0,    0
  1406,119963,19450925,    0,    0
  1406,119963,19450926,    0,    0
  1406,119963,19450927,    0,    0
  1406,119963,19450928,    0,    0
  1406,119963,19450929,    0,    0
  1406,119963,19450930,    0,    0
  1406,119963,19451001,    0,    0
  1406,119963,19451002,    0,    0
  1406,119963,19451003,    0,    0
  1406,119963,19451004,    0,    0
  1406,119963,19451005,    0,    0
  1406,119963,19451006,    0,    0
  1406,119963,19451007,    0,    0
  1406,119963,19451008,    0,    0
  1406,119963,19451009,    0,    0
  1406,119963,19451010,    0,    0
  1406,119963,19451011,    0,    0
  1406,119963,19451012,    0,    0
  1406,119963,19451013,    0,    0
  1406,119963,19451014,    0,    0
  1406,119963,19451015,    0,    0
  1406,119963,19451016,    0,    0
  1406,119963,19451017,    0,    0
  1406,119963,19451018,  178,    0
  1406,119963,19451019,   43,    0
  1406,119963,19451020,    0,    0
  1406,119963,19451021,    0,    0
  1406,119963,19451022,    0,    0
  1406,119963,19451023,    0,    0
  1406,119963,19451024,    0,    0
  1406,119963,19451025,    0,    0
  1406,119963,19451026,    0,    0
  1406,119963,19451027,    0,    0
  1406,119963,19451028,  143,    0
  1406,119963,19451029,    0,    0
  1406,119963,19451030,    0,    0
  1406,119963,19451031,    0,    0
  1406,119963,19451101,-9999,    9
  1406,119963,19451102,-9999,    9
  1406,119963,19451103,-9999,    9
  1406,119963,19451104,-9999,    9
  1406,119963,19451105,-9999,    9
  1406,119963,19451106,-9999,    9
  1406,119963,19451107,-9999,    9
  1406,119963,19451108,-9999,    9
  1406,119963,19451109,-9999,    9
  1406,119963,19451110,-9999,    9
  1406,119963,19451111,-9999,    9
  1406,119963,19451112,-9999,    9
  1406,119963,19451113,-9999,    9
  1406,119963,19451114,-9999,    9
  1406,119963,19451115,-9999,    9
  1406,119963,19451116,-9999,    9
  1406,119963,19451117,-9999,    9
  1406,119963,19451118,-9999,    9
  1406,119963,19451119,-9999,    9
  1406,119963,19451120,-9999,    9
  1406,119963,19451121,-9999,    9
  1406,119963,19451122,-9999,    9
  1406,119963,19451123,-9999,    9
  1406,119963,19451124,-9999,    9
  1406,119963,19451125,-9999,    9
  1406,119963,19451126,-9999,    9
  1406,119963,19451127,-9999,    9
  1406,119963,19451128,-9999,    9
  1406,119963,19451129,-9999,    9
  1406,119963,19451130,-9999,    9
  1406,119963,19451201,   14,    0
  1406,119963,19451202,    0,    0
  1406,119963,19451203,    0,    0
  1406,119963,19451204,    0,    0
  1406,119963,19451205,    0,    0
  1406,119963,19451206,    0,    0
  1406,119963,19451207,    0,    0
  1406,119963,19451208,    0,    0
  1406,119963,19451209,    0,    0
  1406,119963,19451210,  386,    0
  1406,119963,19451211,    4,    0
  1406,119963,19451212,    0,    0
  1406,119963,19451213,    0,    0
  1406,119963,19451214,    0,    0
  1406,119963,19451215,    0,    0
  1406,119963,19451216,    0,    0
  1406,119963,19451217,  612,    0
  1406,119963,19451218,  350,    0
  1406,119963,19451219,  205,    0
  1406,119963,19451220,  467,    0
  1406,119963,19451221,   45,    0
  1406,119963,19451222,   68,    0
  1406,119963,19451223,    0,    0
  1406,119963,19451224,   34,    0
  1406,119963,19451225,    0,    0
  1406,119963,19451226,    0,    0
  1406,119963,19451227,    0,    0
  1406,119963,19451228,    0,    0
  1406,119963,19451229,    0,    0
  1406,119963,19451230,    0,    0
  1406,119963,19451231,-9999,    9
  1406,119963,19460101,-9999,    9
  1406,119963,19460102,-9999,    9
  1406,119963,19460103,-9999,    9
  1406,119963,19460104,-9999,    9
  1406,119963,19460105,-9999,    9
  1406,119963,19460106,-9999,    9
  1406,119963,19460107,-9999,    9
  1406,119963,19460108,-9999,    9
  1406,119963,19460109,-9999,    9
  1406,119963,19460110,-9999,    9
  1406,119963,19460111,-9999,    9
  1406,119963,19460112,-9999,    9
  1406,119963,19460113,-9999,    9
  1406,119963,19460114,-9999,    9
  1406,119963,19460115,-9999,    9
  1406,119963,19460116,-9999,    9
  1406,119963,19460117,-9999,    9
  1406,119963,19460118,-9999,    9
  1406,119963,19460119,-9999,    9
  1406,119963,19460120,-9999,    9
  1406,119963,19460121,-9999,    9
  1406,119963,19460122,-9999,    9
  1406,119963,19460123,-9999,    9
  1406,119963,19460124,-9999,    9
  1406,119963,19460125,-9999,    9
  1406,119963,19460126,-9999,    9
  1406,119963,19460127,-9999,    9
  1406,119963,19460128,-9999,    9
  1406,119963,19460129,-9999,    9
  1406,119963,19460130,-9999,    9
  1406,119963,19460131,-9999,    9
  1406,119963,19460201,    0,    0
  1406,119963,19460202,   12,    0
  1406,119963,19460203,    0,    0
  1406,119963,19460204,    0,    0
  1406,119963,19460205,    0,    0
  1406,119963,19460206,    0,    0
  1406,119963,19460207,    0,    0
  1406,119963,19460208,    0,    0
  1406,119963,19460209,    0,    0
  1406,119963,19460210,    0,    0
  1406,119963,19460211,    0,    0
  1406,119963,19460212,    0,    0
  1406,119963,19460213,    0,    0
  1406,119963,19460214,    0,    0
  1406,119963,19460215,    4,    0
  1406,119963,19460216,    0,    0
  1406,119963,19460217,    0,    0
  1406,119963,19460218,    0,    0
  1406,119963,19460219,    0,    0
