EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 120053) of station CORDOBA AEROPUERTO, SPAIN (STAID:    337)

 STAID,    SOUID,    DATE,   RR, Q_RR
   337,120053,19590401,    0,    0
   337,120053,19590402,    0,    0
   337,120053,19590403,    0,    0
   337,120053,19590404,   58,    0
   337,120053,19590405,   87,    0
   337,120053,19590406,    0,    0
   337,120053,19590407,    0,    0
   337,120053,19590408,    0,    0
   337,120053,19590409,    0,    0
   337,120053,19590410,    0,    0
   337,120053,19590411,    0,    0
   337,120053,19590412,    0,    0
   337,120053,19590413,   66,    0
   337,120053,19590414,   56,    0
   337,120053,19590415,    0,    0
   337,120053,19590416,    0,    0
   337,120053,19590417,    0,    0
   337,120053,19590418,    0,    0
   337,120053,19590419,    0,    0
   337,120053,19590420,    0,    0
   337,120053,19590421,    0,    0
   337,120053,19590422,    0,    0
   337,120053,19590423,    0,    0
   337,120053,19590424,    0,    0
   337,120053,19590425,    0,    0
   337,120053,19590426,-9999,    9
   337,120053,19590427,    0,    0
   337,120053,19590428,    0,    0
   337,120053,19590429,    0,    0
   337,120053,19590430,    0,    0
   337,120053,19590501,    0,    0
   337,120053,19590502,    0,    0
   337,120053,19590503,    0,    0
   337,120053,19590504,    0,    0
   337,120053,19590505,    0,    0
   337,120053,19590506,    0,    0
   337,120053,19590507,   90,    0
   337,120053,19590508,    0,    0
   337,120053,19590509,  106,    0
   337,120053,19590510,   12,    0
   337,120053,19590511,   40,    0
   337,120053,19590512,    0,    0
   337,120053,19590513,    0,    0
   337,120053,19590514,    0,    0
   337,120053,19590515,    0,    0
   337,120053,19590516,    0,    0
   337,120053,19590517,    0,    0
   337,120053,19590518,    0,    0
   337,120053,19590519,  150,    0
   337,120053,19590520,   86,    0
   337,120053,19590521,   66,    0
   337,120053,19590522,    0,    0
   337,120053,19590523,   10,    0
   337,120053,19590524,    0,    0
   337,120053,19590525,    0,    0
   337,120053,19590526,   76,    0
   337,120053,19590527,   20,    0
   337,120053,19590528,    0,    0
   337,120053,19590529,   65,    0
   337,120053,19590530,   90,    0
   337,120053,19590531,    0,    0
   337,120053,19590601,    0,    0
   337,120053,19590602,   10,    0
   337,120053,19590603,    0,    0
   337,120053,19590604,    0,    0
   337,120053,19590605,    0,    0
   337,120053,19590606,    0,    0
   337,120053,19590607,    0,    0
   337,120053,19590608,    0,    0
   337,120053,19590609,    0,    0
   337,120053,19590610,    0,    0
   337,120053,19590611,    0,    0
   337,120053,19590612,    0,    0
   337,120053,19590613,    0,    0
   337,120053,19590614,    0,    0
   337,120053,19590615,    0,    0
   337,120053,19590616,    0,    0
   337,120053,19590617,    0,    0
   337,120053,19590618,    0,    0
   337,120053,19590619,    0,    0
   337,120053,19590620,    0,    0
   337,120053,19590621,    0,    0
   337,120053,19590622,    0,    0
   337,120053,19590623,    0,    0
   337,120053,19590624,    0,    0
   337,120053,19590625,    0,    0
   337,120053,19590626,    0,    0
   337,120053,19590627,    0,    0
   337,120053,19590628,    0,    0
   337,120053,19590629,    0,    0
   337,120053,19590630,    0,    0
   337,120053,19590701,    0,    0
   337,120053,19590702,    0,    0
   337,120053,19590703,    0,    0
   337,120053,19590704,    0,    0
   337,120053,19590705,    0,    0
   337,120053,19590706,    0,    0
   337,120053,19590707,    0,    0
   337,120053,19590708,    0,    0
   337,120053,19590709,    0,    0
   337,120053,19590710,    0,    0
   337,120053,19590711,    0,    0
   337,120053,19590712,    0,    0
   337,120053,19590713,    0,    0
   337,120053,19590714,    0,    0
   337,120053,19590715,    0,    0
   337,120053,19590716,    0,    0
   337,120053,19590717,    0,    0
   337,120053,19590718,    0,    0
   337,120053,19590719,    0,    0
   337,120053,19590720,    0,    0
   337,120053,19590721,    0,    0
   337,120053,19590722,-9999,    9
   337,120053,19590723,    0,    0
   337,120053,19590724,    0,    0
   337,120053,19590725,    0,    0
   337,120053,19590726,    0,    0
   337,120053,19590727,    0,    0
   337,120053,19590728,    0,    0
   337,120053,19590729,    0,    0
   337,120053,19590730,    0,    0
   337,120053,19590731,    0,    0
   337,120053,19590801,    0,    0
   337,120053,19590802,    0,    0
   337,120053,19590803,    0,    0
   337,120053,19590804,    0,    0
   337,120053,19590805,    0,    0
   337,120053,19590806,    0,    0
   337,120053,19590807,    0,    0
   337,120053,19590808,    0,    0
   337,120053,19590809,    0,    0
   337,120053,19590810,    0,    0
   337,120053,19590811,    0,    0
   337,120053,19590812,    0,    0
   337,120053,19590813,    0,    0
   337,120053,19590814,    0,    0
   337,120053,19590815,    0,    0
   337,120053,19590816,    0,    0
   337,120053,19590817,    0,    0
   337,120053,19590818,    0,    0
   337,120053,19590819,    0,    0
   337,120053,19590820,    0,    0
   337,120053,19590821,    0,    0
   337,120053,19590822,    0,    0
   337,120053,19590823,    0,    0
   337,120053,19590824,    0,    0
   337,120053,19590825,    0,    0
   337,120053,19590826,    0,    0
   337,120053,19590827,    0,    0
   337,120053,19590828,    0,    0
   337,120053,19590829,    0,    0
   337,120053,19590830,    0,    0
   337,120053,19590831,    0,    0
   337,120053,19590901,-9999,    9
   337,120053,19590902,    0,    0
   337,120053,19590903,    0,    0
   337,120053,19590904,    0,    0
   337,120053,19590905,    0,    0
   337,120053,19590906,    0,    0
   337,120053,19590907,    0,    0
   337,120053,19590908,    0,    0
   337,120053,19590909,    0,    0
   337,120053,19590910,    0,    0
   337,120053,19590911,-9999,    9
   337,120053,19590912,    0,    0
   337,120053,19590913,    0,    0
   337,120053,19590914,    0,    0
   337,120053,19590915,    0,    0
   337,120053,19590916,    0,    0
   337,120053,19590917,    0,    0
   337,120053,19590918,    0,    0
   337,120053,19590919,    0,    0
   337,120053,19590920,-9999,    9
   337,120053,19590921,   12,    0
   337,120053,19590922,    0,    0
   337,120053,19590923,-9999,    9
   337,120053,19590924,-9999,    9
   337,120053,19590925,    0,    0
   337,120053,19590926,    0,    0
   337,120053,19590927,   96,    0
   337,120053,19590928,  174,    0
   337,120053,19590929,    0,    0
   337,120053,19590930,    0,    0
   337,120053,19591001,    0,    0
   337,120053,19591002,    0,    0
   337,120053,19591003,   74,    0
   337,120053,19591004,  166,    0
   337,120053,19591005,-9999,    9
   337,120053,19591006,    0,    0
   337,120053,19591007,    0,    0
   337,120053,19591008,    0,    0
   337,120053,19591009,    8,    0
   337,120053,19591010,    0,    0
   337,120053,19591011,    0,    0
   337,120053,19591012,    0,    0
   337,120053,19591013,    0,    0
   337,120053,19591014,    0,    0
   337,120053,19591015,   68,    0
   337,120053,19591016,   28,    0
   337,120053,19591017,    0,    0
   337,120053,19591018,-9999,    9
   337,120053,19591019,-9999,    9
   337,120053,19591020,    0,    0
   337,120053,19591021,    0,    0
   337,120053,19591022,    0,    0
   337,120053,19591023,    0,    0
   337,120053,19591024,   97,    0
   337,120053,19591025,   88,    0
   337,120053,19591026,    0,    0
   337,120053,19591027,   66,    0
   337,120053,19591028,    0,    0
   337,120053,19591029,    0,    0
   337,120053,19591030,    0,    0
   337,120053,19591031,    0,    0
   337,120053,19591101,    0,    0
   337,120053,19591102,    0,    0
   337,120053,19591103,    0,    0
   337,120053,19591104,    0,    0
   337,120053,19591105,    0,    0
   337,120053,19591106,    0,    0
   337,120053,19591107,-9999,    9
   337,120053,19591108,    0,    0
   337,120053,19591109,    0,    0
   337,120053,19591110,    0,    0
   337,120053,19591111,    0,    0
   337,120053,19591112,    0,    0
   337,120053,19591113,-9999,    9
   337,120053,19591114,-9999,    9
   337,120053,19591115,    0,    0
   337,120053,19591116,  296,    0
   337,120053,19591117,   66,    0
   337,120053,19591118,-9999,    9
   337,120053,19591119,    0,    0
   337,120053,19591120,  157,    0
   337,120053,19591121,-9999,    9
   337,120053,19591122,    0,    0
   337,120053,19591123,    0,    0
   337,120053,19591124,    0,    0
   337,120053,19591125,    0,    0
   337,120053,19591126,   60,    0
   337,120053,19591127,    8,    0
   337,120053,19591128,    0,    0
   337,120053,19591129,   64,    0
   337,120053,19591130,  244,    0
   337,120053,19591201,   64,    0
   337,120053,19591202,-9999,    9
   337,120053,19591203,    0,    0
   337,120053,19591204,    0,    0
   337,120053,19591205,    0,    0
   337,120053,19591206,   76,    0
   337,120053,19591207,   22,    0
   337,120053,19591208,-9999,    9
   337,120053,19591209,  226,    0
   337,120053,19591210,   16,    0
   337,120053,19591211,    0,    0
   337,120053,19591212,    0,    0
   337,120053,19591213,    0,    0
   337,120053,19591214,  126,    0
   337,120053,19591215,-9999,    9
   337,120053,19591216,-9999,    9
   337,120053,19591217,    0,    0
   337,120053,19591218,    0,    0
   337,120053,19591219,    0,    0
   337,120053,19591220,   16,    0
   337,120053,19591221,   52,    0
   337,120053,19591222,-9999,    9
   337,120053,19591223,   95,    0
   337,120053,19591224,    3,    0
   337,120053,19591225,    0,    0
   337,120053,19591226,-9999,    9
   337,120053,19591227,   56,    0
   337,120053,19591228,    0,    0
   337,120053,19591229,    0,    0
   337,120053,19591230,    0,    0
   337,120053,19591231,    0,    0
   337,120053,19600101,    0,    0
   337,120053,19600102,    0,    0
   337,120053,19600103,    0,    0
   337,120053,19600104,    0,    0
   337,120053,19600105,    0,    0
   337,120053,19600106,    0,    0
   337,120053,19600107,    0,    0
   337,120053,19600108,    0,    0
   337,120053,19600109,  220,    0
