EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 120062) of station CUENCA, SPAIN (STAID:   3929)

 STAID,    SOUID,    DATE,   RR, Q_RR
  3929,120062,19510101,  164,    0
  3929,120062,19510102,  212,    0
  3929,120062,19510103,    0,    0
  3929,120062,19510104,    0,    0
  3929,120062,19510105,    0,    0
  3929,120062,19510106,    0,    0
  3929,120062,19510107,    0,    0
  3929,120062,19510108,    0,    0
  3929,120062,19510109,    0,    0
  3929,120062,19510110,   60,    0
  3929,120062,19510111,    0,    0
  3929,120062,19510112,    0,    0
  3929,120062,19510113,   50,    0
  3929,120062,19510114,   40,    0
  3929,120062,19510115,    0,    0
  3929,120062,19510116,    0,    0
  3929,120062,19510117,    0,    0
  3929,120062,19510118,    0,    0
  3929,120062,19510119,    0,    0
  3929,120062,19510120,    0,    0
  3929,120062,19510121,    0,    0
  3929,120062,19510122,    0,    0
  3929,120062,19510123,    7,    0
  3929,120062,19510124,   76,    0
  3929,120062,19510125,    5,    0
  3929,120062,19510126,  124,    0
  3929,120062,19510127,   80,    0
  3929,120062,19510128,    0,    0
  3929,120062,19510129,    0,    0
  3929,120062,19510130,    0,    0
  3929,120062,19510131,-9999,    9
  3929,120062,19510201,    0,    0
  3929,120062,19510202,    0,    0
  3929,120062,19510203,   49,    0
  3929,120062,19510204,   40,    0
