EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 120098) of station GRANADA BASE AEREA, SPAIN (STAID:    417)

 STAID,    SOUID,    DATE,   RR, Q_RR
   417,120098,19371201,-9999,    9
   417,120098,19371202,-9999,    9
   417,120098,19371203,-9999,    9
   417,120098,19371204,-9999,    9
   417,120098,19371205,-9999,    9
   417,120098,19371206,-9999,    9
   417,120098,19371207,-9999,    9
   417,120098,19371208,-9999,    9
   417,120098,19371209,-9999,    9
   417,120098,19371210,-9999,    9
   417,120098,19371211,-9999,    9
   417,120098,19371212,-9999,    9
   417,120098,19371213,-9999,    9
   417,120098,19371214,-9999,    9
   417,120098,19371215,-9999,    9
   417,120098,19371216,-9999,    9
   417,120098,19371217,-9999,    9
   417,120098,19371218,-9999,    9
   417,120098,19371219,-9999,    9
   417,120098,19371220,-9999,    9
   417,120098,19371221,-9999,    9
   417,120098,19371222,-9999,    9
   417,120098,19371223,-9999,    9
   417,120098,19371224,-9999,    9
   417,120098,19371225,-9999,    9
   417,120098,19371226,-9999,    9
   417,120098,19371227,-9999,    9
   417,120098,19371228,-9999,    9
   417,120098,19371229,-9999,    9
   417,120098,19371230,-9999,    9
   417,120098,19371231,-9999,    9
   417,120098,19380101,    0,    0
   417,120098,19380102,    0,    0
   417,120098,19380103,    0,    0
   417,120098,19380104,    0,    0
   417,120098,19380105,    0,    0
   417,120098,19380106,    0,    0
   417,120098,19380107,    0,    0
   417,120098,19380108,    0,    0
   417,120098,19380109,    0,    0
   417,120098,19380110,    0,    0
   417,120098,19380111,    0,    0
   417,120098,19380112,    0,    0
   417,120098,19380113,    0,    0
   417,120098,19380114,    0,    0
   417,120098,19380115,    0,    0
   417,120098,19380116,    0,    0
   417,120098,19380117,    0,    0
   417,120098,19380118,    0,    0
   417,120098,19380119,    0,    0
   417,120098,19380120,    0,    0
   417,120098,19380121,    0,    0
   417,120098,19380122,    0,    0
   417,120098,19380123,    0,    0
   417,120098,19380124,    0,    0
   417,120098,19380125,    0,    0
   417,120098,19380126,    0,    0
   417,120098,19380127,    0,    0
   417,120098,19380128,    0,    0
   417,120098,19380129,    0,    0
   417,120098,19380130,    0,    0
   417,120098,19380131,    0,    0
   417,120098,19380201,    0,    0
   417,120098,19380202,    0,    0
   417,120098,19380203,    0,    0
   417,120098,19380204,    0,    0
   417,120098,19380205,    0,    0
   417,120098,19380206,    0,    0
   417,120098,19380207,    0,    0
   417,120098,19380208,    0,    0
   417,120098,19380209,    0,    0
   417,120098,19380210,    0,    0
   417,120098,19380211,    0,    0
   417,120098,19380212,    0,    0
   417,120098,19380213,    0,    0
   417,120098,19380214,    0,    0
   417,120098,19380215,    0,    0
   417,120098,19380216,    0,    0
   417,120098,19380217,    0,    0
   417,120098,19380218,    0,    0
   417,120098,19380219,    0,    0
   417,120098,19380220,    0,    0
   417,120098,19380221,    0,    0
   417,120098,19380222,    0,    0
   417,120098,19380223,    0,    0
   417,120098,19380224,    0,    0
   417,120098,19380225,    0,    0
   417,120098,19380226,    0,    0
   417,120098,19380227,    0,    0
   417,120098,19380228,    0,    0
   417,120098,19380301,    0,    0
   417,120098,19380302,    0,    0
   417,120098,19380303,    0,    0
   417,120098,19380304,    0,    0
   417,120098,19380305,    0,    0
   417,120098,19380306,    0,    0
   417,120098,19380307,    0,    0
   417,120098,19380308,    0,    0
   417,120098,19380309,    0,    0
   417,120098,19380310,    0,    0
   417,120098,19380311,    0,    0
   417,120098,19380312,    0,    0
   417,120098,19380313,    0,    0
   417,120098,19380314,    0,    0
   417,120098,19380315,    0,    0
   417,120098,19380316,    0,    0
   417,120098,19380317,    0,    0
   417,120098,19380318,    0,    0
   417,120098,19380319,    0,    0
   417,120098,19380320,    0,    0
   417,120098,19380321,    0,    0
   417,120098,19380322,    0,    0
   417,120098,19380323,    0,    0
   417,120098,19380324,    0,    0
   417,120098,19380325,    0,    0
   417,120098,19380326,    0,    0
   417,120098,19380327,    0,    0
   417,120098,19380328,    0,    0
   417,120098,19380329,    0,    0
   417,120098,19380330,    0,    0
   417,120098,19380331,    0,    0
   417,120098,19380401,    0,    0
   417,120098,19380402,    0,    0
   417,120098,19380403,    0,    0
   417,120098,19380404,    0,    0
   417,120098,19380405,    0,    0
   417,120098,19380406,    0,    0
   417,120098,19380407,    0,    0
   417,120098,19380408,    0,    0
   417,120098,19380409,    0,    0
   417,120098,19380410,    0,    0
   417,120098,19380411,    0,    0
   417,120098,19380412,    0,    0
   417,120098,19380413,    0,    0
   417,120098,19380414,    0,    0
   417,120098,19380415,    0,    0
   417,120098,19380416,    0,    0
   417,120098,19380417,    0,    0
   417,120098,19380418,    0,    0
   417,120098,19380419,    0,    0
   417,120098,19380420,    0,    0
   417,120098,19380421,    0,    0
   417,120098,19380422,    0,    0
   417,120098,19380423,    0,    0
   417,120098,19380424,    0,    0
   417,120098,19380425,    0,    0
   417,120098,19380426,    0,    0
   417,120098,19380427,    0,    0
   417,120098,19380428,    0,    0
   417,120098,19380429,    0,    0
   417,120098,19380430,    0,    0
   417,120098,19380501,    0,    0
   417,120098,19380502,    0,    0
   417,120098,19380503,    0,    0
   417,120098,19380504,    0,    0
   417,120098,19380505,    0,    0
   417,120098,19380506,    0,    0
   417,120098,19380507,    0,    0
   417,120098,19380508,    0,    0
   417,120098,19380509,    0,    0
   417,120098,19380510,    0,    0
   417,120098,19380511,    0,    0
   417,120098,19380512,    0,    0
   417,120098,19380513,    0,    0
   417,120098,19380514,    0,    0
   417,120098,19380515,    0,    0
   417,120098,19380516,    0,    0
   417,120098,19380517,    0,    0
   417,120098,19380518,    0,    0
   417,120098,19380519,    0,    0
   417,120098,19380520,    0,    0
   417,120098,19380521,    0,    0
   417,120098,19380522,    0,    0
   417,120098,19380523,    0,    0
   417,120098,19380524,    0,    0
   417,120098,19380525,    0,    0
   417,120098,19380526,    0,    0
   417,120098,19380527,    0,    0
   417,120098,19380528,    0,    0
   417,120098,19380529,    0,    0
   417,120098,19380530,    0,    0
   417,120098,19380531,    0,    0
   417,120098,19380601,    0,    0
   417,120098,19380602,    0,    0
   417,120098,19380603,    0,    0
   417,120098,19380604,    0,    0
   417,120098,19380605,  115,    0
   417,120098,19380606,    0,    0
   417,120098,19380607,    0,    0
   417,120098,19380608,    0,    0
   417,120098,19380609,    0,    0
   417,120098,19380610,    0,    0
   417,120098,19380611,    0,    0
   417,120098,19380612,    0,    0
   417,120098,19380613,    0,    0
   417,120098,19380614,    0,    0
   417,120098,19380615,    0,    0
   417,120098,19380616,    0,    0
   417,120098,19380617,    0,    0
   417,120098,19380618,    0,    0
   417,120098,19380619,    0,    0
   417,120098,19380620,    0,    0
   417,120098,19380621,    0,    0
   417,120098,19380622,    0,    0
   417,120098,19380623,    0,    0
   417,120098,19380624,    0,    0
   417,120098,19380625,    0,    0
   417,120098,19380626,    0,    0
   417,120098,19380627,    0,    0
   417,120098,19380628,    0,    0
   417,120098,19380629,    0,    0
   417,120098,19380630,    0,    0
   417,120098,19380701,    0,    0
   417,120098,19380702,    0,    0
   417,120098,19380703,    0,    0
   417,120098,19380704,    0,    0
   417,120098,19380705,    0,    0
   417,120098,19380706,    0,    0
   417,120098,19380707,    0,    0
   417,120098,19380708,    0,    0
   417,120098,19380709,    0,    0
   417,120098,19380710,    0,    0
   417,120098,19380711,    0,    0
   417,120098,19380712,    0,    0
   417,120098,19380713,    0,    0
   417,120098,19380714,    0,    0
   417,120098,19380715,    0,    0
   417,120098,19380716,    0,    0
   417,120098,19380717,    0,    0
   417,120098,19380718,    0,    0
   417,120098,19380719,    0,    0
   417,120098,19380720,    0,    0
   417,120098,19380721,    0,    0
   417,120098,19380722,    0,    0
   417,120098,19380723,    0,    0
   417,120098,19380724,    0,    0
   417,120098,19380725,    0,    0
   417,120098,19380726,    0,    0
   417,120098,19380727,    0,    0
   417,120098,19380728,    0,    0
   417,120098,19380729,    0,    0
   417,120098,19380730,    0,    0
   417,120098,19380731,    0,    0
   417,120098,19380801,    0,    0
   417,120098,19380802,    0,    0
   417,120098,19380803,    0,    0
   417,120098,19380804,    0,    0
   417,120098,19380805,    0,    0
   417,120098,19380806,    0,    0
   417,120098,19380807,    0,    0
   417,120098,19380808,    0,    0
   417,120098,19380809,    0,    0
   417,120098,19380810,    0,    0
   417,120098,19380811,    0,    0
   417,120098,19380812,    0,    0
   417,120098,19380813,    0,    0
   417,120098,19380814,    0,    0
   417,120098,19380815,    0,    0
   417,120098,19380816,    0,    0
   417,120098,19380817,    0,    0
   417,120098,19380818,    0,    0
   417,120098,19380819,    0,    0
   417,120098,19380820,    0,    0
   417,120098,19380821,    0,    0
   417,120098,19380822,    0,    0
   417,120098,19380823,    0,    0
   417,120098,19380824,    0,    0
   417,120098,19380825,    0,    0
   417,120098,19380826,    0,    0
   417,120098,19380827,    0,    0
   417,120098,19380828,    0,    0
   417,120098,19380829,    0,    0
   417,120098,19380830,    0,    0
   417,120098,19380831,    0,    0
   417,120098,19380901,    0,    0
   417,120098,19380902,    0,    0
   417,120098,19380903,    0,    0
   417,120098,19380904,    0,    0
   417,120098,19380905,    0,    0
   417,120098,19380906,    0,    0
   417,120098,19380907,    0,    0
   417,120098,19380908,    0,    0
   417,120098,19380909,    0,    0
   417,120098,19380910,    0,    0
   417,120098,19380911,    0,    0
   417,120098,19380912,    0,    0
   417,120098,19380913,    0,    0
   417,120098,19380914,    0,    0
   417,120098,19380915,    0,    0
   417,120098,19380916,    0,    0
   417,120098,19380917,    0,    0
   417,120098,19380918,    0,    0
   417,120098,19380919,    0,    0
   417,120098,19380920,    0,    0
   417,120098,19380921,    0,    0
   417,120098,19380922,    0,    0
   417,120098,19380923,    0,    0
   417,120098,19380924,    0,    0
   417,120098,19380925,    0,    0
   417,120098,19380926,    0,    0
   417,120098,19380927,    0,    0
   417,120098,19380928,    0,    0
   417,120098,19380929,    0,    0
   417,120098,19380930,    0,    0
   417,120098,19381001,-9999,    9
   417,120098,19381002,-9999,    9
   417,120098,19381003,-9999,    9
   417,120098,19381004,-9999,    9
   417,120098,19381005,-9999,    9
   417,120098,19381006,-9999,    9
   417,120098,19381007,-9999,    9
   417,120098,19381008,-9999,    9
   417,120098,19381009,-9999,    9
   417,120098,19381010,-9999,    9
   417,120098,19381011,-9999,    9
   417,120098,19381012,-9999,    9
   417,120098,19381013,-9999,    9
   417,120098,19381014,-9999,    9
   417,120098,19381015,-9999,    9
   417,120098,19381016,-9999,    9
   417,120098,19381017,-9999,    9
   417,120098,19381018,-9999,    9
   417,120098,19381019,-9999,    9
   417,120098,19381020,-9999,    9
   417,120098,19381021,-9999,    9
   417,120098,19381022,-9999,    9
   417,120098,19381023,-9999,    9
