EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 120152) of station HUELVA, SPAIN (STAID:   3937)

 STAID,    SOUID,    DATE,   RR, Q_RR
  3937,120152,19200101,   21,    0
  3937,120152,19200102,    0,    0
  3937,120152,19200103,    3,    0
  3937,120152,19200104,   57,    0
  3937,120152,19200105,    0,    0
  3937,120152,19200106,    0,    0
  3937,120152,19200107,    0,    0
  3937,120152,19200108,    0,    0
  3937,120152,19200109,    0,    0
  3937,120152,19200110,    0,    0
  3937,120152,19200111,    0,    0
  3937,120152,19200112,    0,    0
  3937,120152,19200113,    0,    0
  3937,120152,19200114,    0,    0
  3937,120152,19200115,    0,    0
  3937,120152,19200116,    0,    0
  3937,120152,19200117,    0,    0
  3937,120152,19200118,    0,    0
  3937,120152,19200119,    0,    0
  3937,120152,19200120,    0,    0
  3937,120152,19200121,    0,    0
  3937,120152,19200122,    0,    0
  3937,120152,19200123,    0,    0
  3937,120152,19200124,    0,    0
  3937,120152,19200125,    2,    0
  3937,120152,19200126,    0,    0
  3937,120152,19200127,    0,    0
  3937,120152,19200128,   10,    0
  3937,120152,19200129,    0,    0
  3937,120152,19200130,    0,    0
  3937,120152,19200131,    0,    0
  3937,120152,19200201,    0,    0
  3937,120152,19200202,    0,    0
  3937,120152,19200203,    0,    0
  3937,120152,19200204,    0,    0
  3937,120152,19200205,    0,    0
  3937,120152,19200206,    0,    0
  3937,120152,19200207,    0,    0
  3937,120152,19200208,    0,    0
  3937,120152,19200209,    0,    0
  3937,120152,19200210,    0,    0
  3937,120152,19200211,    0,    0
  3937,120152,19200212,    0,    0
  3937,120152,19200213,    0,    0
  3937,120152,19200214,   24,    0
  3937,120152,19200215,   17,    0
  3937,120152,19200216,    0,    0
  3937,120152,19200217,   46,    0
  3937,120152,19200218,  164,    0
  3937,120152,19200219,   84,    0
  3937,120152,19200220,   74,    0
  3937,120152,19200221,   60,    0
  3937,120152,19200222,    0,    0
  3937,120152,19200223,    0,    0
  3937,120152,19200224,  120,    0
  3937,120152,19200225,  100,    0
  3937,120152,19200226,  109,    0
  3937,120152,19200227,   25,    0
  3937,120152,19200228,  188,    0
  3937,120152,19200229,    9,    0
  3937,120152,19200301,    7,    0
  3937,120152,19200302,    0,    0
  3937,120152,19200303,  116,    0
  3937,120152,19200304,    0,    0
  3937,120152,19200305,    0,    0
  3937,120152,19200306,   55,    0
  3937,120152,19200307,   63,    0
  3937,120152,19200308,    0,    0
  3937,120152,19200309,    0,    0
  3937,120152,19200310,    0,    0
  3937,120152,19200311,    0,    0
  3937,120152,19200312,    0,    0
  3937,120152,19200313,    0,    0
  3937,120152,19200314,    0,    0
  3937,120152,19200315,   11,    0
  3937,120152,19200316,    0,    0
  3937,120152,19200317,    0,    0
  3937,120152,19200318,    0,    0
  3937,120152,19200319,    0,    0
  3937,120152,19200320,    0,    0
  3937,120152,19200321,    0,    0
  3937,120152,19200322,    0,    0
  3937,120152,19200323,    0,    0
  3937,120152,19200324,    0,    0
  3937,120152,19200325,    0,    0
  3937,120152,19200326,    0,    0
  3937,120152,19200327,    0,    0
  3937,120152,19200328,    0,    0
  3937,120152,19200329,    0,    0
  3937,120152,19200330,   17,    0
  3937,120152,19200331,   10,    0
  3937,120152,19200401,    0,    0
  3937,120152,19200402,    0,    0
  3937,120152,19200403,    0,    0
  3937,120152,19200404,    0,    0
  3937,120152,19200405,    0,    0
  3937,120152,19200406,    0,    0
  3937,120152,19200407,    0,    0
  3937,120152,19200408,    0,    0
  3937,120152,19200409,   74,    0
  3937,120152,19200410,   84,    0
  3937,120152,19200411,    0,    0
  3937,120152,19200412,    0,    0
  3937,120152,19200413,   40,    0
  3937,120152,19200414,    0,    0
  3937,120152,19200415,    0,    0
  3937,120152,19200416,   13,    0
  3937,120152,19200417,   13,    0
  3937,120152,19200418,    0,    0
  3937,120152,19200419,    0,    0
  3937,120152,19200420,    0,    0
  3937,120152,19200421,    0,    0
  3937,120152,19200422,    0,    0
  3937,120152,19200423,    0,    0
  3937,120152,19200424,    0,    0
  3937,120152,19200425,    0,    0
  3937,120152,19200426,    0,    0
  3937,120152,19200427,    0,    0
  3937,120152,19200428,    0,    0
  3937,120152,19200429,    0,    0
  3937,120152,19200430,    0,    0
  3937,120152,19200501,    0,    0
  3937,120152,19200502,    8,    0
  3937,120152,19200503,    0,    0
  3937,120152,19200504,    0,    0
  3937,120152,19200505,    0,    0
  3937,120152,19200506,    0,    0
  3937,120152,19200507,    0,    0
  3937,120152,19200508,    0,    0
  3937,120152,19200509,    0,    0
  3937,120152,19200510,    0,    0
  3937,120152,19200511,    0,    0
  3937,120152,19200512,    0,    0
  3937,120152,19200513,    0,    0
  3937,120152,19200514,   60,    0
  3937,120152,19200515,   29,    0
  3937,120152,19200516,  404,    0
  3937,120152,19200517,  161,    0
  3937,120152,19200518,    0,    0
  3937,120152,19200519,    0,    0
  3937,120152,19200520,    0,    0
  3937,120152,19200521,  394,    0
  3937,120152,19200522,    0,    0
  3937,120152,19200523,    0,    0
  3937,120152,19200524,    7,    0
  3937,120152,19200525,    0,    0
  3937,120152,19200526,    0,    0
  3937,120152,19200527,    0,    0
  3937,120152,19200528,    0,    0
  3937,120152,19200529,    0,    0
  3937,120152,19200530,    0,    0
  3937,120152,19200531,    0,    0
  3937,120152,19200601,    0,    0
  3937,120152,19200602,    0,    0
  3937,120152,19200603,    0,    0
  3937,120152,19200604,    0,    0
  3937,120152,19200605,    0,    0
  3937,120152,19200606,    0,    0
  3937,120152,19200607,    0,    0
  3937,120152,19200608,    0,    0
  3937,120152,19200609,    0,    0
  3937,120152,19200610,    0,    0
  3937,120152,19200611,    0,    0
  3937,120152,19200612,    0,    0
  3937,120152,19200613,    0,    0
  3937,120152,19200614,    0,    0
  3937,120152,19200615,    0,    0
  3937,120152,19200616,    0,    0
  3937,120152,19200617,    0,    0
  3937,120152,19200618,    0,    0
  3937,120152,19200619,    0,    0
  3937,120152,19200620,    0,    0
  3937,120152,19200621,    0,    0
  3937,120152,19200622,    0,    0
  3937,120152,19200623,    0,    0
  3937,120152,19200624,    0,    0
  3937,120152,19200625,    0,    0
  3937,120152,19200626,    0,    0
  3937,120152,19200627,    0,    0
  3937,120152,19200628,    0,    0
  3937,120152,19200629,    0,    0
  3937,120152,19200630,    0,    0
  3937,120152,19200701,    0,    0
  3937,120152,19200702,    0,    0
  3937,120152,19200703,    0,    0
  3937,120152,19200704,    0,    0
  3937,120152,19200705,    0,    0
  3937,120152,19200706,    0,    0
  3937,120152,19200707,    0,    0
  3937,120152,19200708,    0,    0
  3937,120152,19200709,    0,    0
  3937,120152,19200710,    0,    0
  3937,120152,19200711,    0,    0
  3937,120152,19200712,    0,    0
  3937,120152,19200713,    0,    0
  3937,120152,19200714,    0,    0
  3937,120152,19200715,    0,    0
  3937,120152,19200716,    0,    0
  3937,120152,19200717,    0,    0
  3937,120152,19200718,    0,    0
  3937,120152,19200719,    0,    0
  3937,120152,19200720,    0,    0
  3937,120152,19200721,    0,    0
  3937,120152,19200722,    0,    0
  3937,120152,19200723,    0,    0
  3937,120152,19200724,    0,    0
  3937,120152,19200725,    0,    0
  3937,120152,19200726,    0,    0
  3937,120152,19200727,    0,    0
  3937,120152,19200728,    0,    0
  3937,120152,19200729,    0,    0
  3937,120152,19200730,    0,    0
  3937,120152,19200731,    0,    0
  3937,120152,19200801,    0,    0
  3937,120152,19200802,    0,    0
  3937,120152,19200803,    0,    0
  3937,120152,19200804,    0,    0
  3937,120152,19200805,    0,    0
  3937,120152,19200806,    0,    0
  3937,120152,19200807,    0,    0
  3937,120152,19200808,    0,    0
  3937,120152,19200809,    0,    0
  3937,120152,19200810,    0,    0
  3937,120152,19200811,    0,    0
  3937,120152,19200812,    0,    0
  3937,120152,19200813,    0,    0
  3937,120152,19200814,    0,    0
  3937,120152,19200815,    0,    0
  3937,120152,19200816,    0,    0
  3937,120152,19200817,    0,    0
  3937,120152,19200818,    0,    0
  3937,120152,19200819,    0,    0
  3937,120152,19200820,    0,    0
  3937,120152,19200821,    0,    0
  3937,120152,19200822,    0,    0
  3937,120152,19200823,    0,    0
  3937,120152,19200824,    0,    0
  3937,120152,19200825,    0,    0
  3937,120152,19200826,    0,    0
  3937,120152,19200827,    0,    0
  3937,120152,19200828,    0,    0
  3937,120152,19200829,    0,    0
  3937,120152,19200830,    0,    0
  3937,120152,19200831,    0,    0
  3937,120152,19200901,    0,    0
  3937,120152,19200902,    0,    0
  3937,120152,19200903,    0,    0
  3937,120152,19200904,    0,    0
  3937,120152,19200905,    0,    0
  3937,120152,19200906,    0,    0
  3937,120152,19200907,    4,    0
  3937,120152,19200908,    0,    0
  3937,120152,19200909,    0,    0
  3937,120152,19200910,    0,    0
  3937,120152,19200911,    0,    0
  3937,120152,19200912,    0,    0
  3937,120152,19200913,    0,    0
  3937,120152,19200914,    0,    0
  3937,120152,19200915,    0,    0
  3937,120152,19200916,    0,    0
  3937,120152,19200917,    0,    0
  3937,120152,19200918,    0,    0
  3937,120152,19200919,    0,    0
  3937,120152,19200920,    7,    0
  3937,120152,19200921,    0,    0
  3937,120152,19200922,    0,    0
