EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 120188) of station Logrono Aeropuerto, SPAIN (STAID:   1398)

 STAID,    SOUID,    DATE,   RR, Q_RR
  1398,120188,19481101,-9999,    9
  1398,120188,19481102,-9999,    9
  1398,120188,19481103,-9999,    9
  1398,120188,19481104,-9999,    9
  1398,120188,19481105,-9999,    9
  1398,120188,19481106,-9999,    9
  1398,120188,19481107,-9999,    9
  1398,120188,19481108,-9999,    9
  1398,120188,19481109,-9999,    9
  1398,120188,19481110,-9999,    9
  1398,120188,19481111,-9999,    9
  1398,120188,19481112,-9999,    9
  1398,120188,19481113,-9999,    9
  1398,120188,19481114,-9999,    9
  1398,120188,19481115,-9999,    9
  1398,120188,19481116,-9999,    9
  1398,120188,19481117,-9999,    9
  1398,120188,19481118,-9999,    9
  1398,120188,19481119,-9999,    9
  1398,120188,19481120,-9999,    9
  1398,120188,19481121,-9999,    9
  1398,120188,19481122,-9999,    9
  1398,120188,19481123,-9999,    9
  1398,120188,19481124,-9999,    9
  1398,120188,19481125,-9999,    9
  1398,120188,19481126,-9999,    9
  1398,120188,19481127,-9999,    9
  1398,120188,19481128,-9999,    9
  1398,120188,19481129,-9999,    9
  1398,120188,19481130,-9999,    9
  1398,120188,19481201,-9999,    9
  1398,120188,19481202,-9999,    9
  1398,120188,19481203,-9999,    9
  1398,120188,19481204,-9999,    9
  1398,120188,19481205,-9999,    9
  1398,120188,19481206,-9999,    9
  1398,120188,19481207,-9999,    9
  1398,120188,19481208,-9999,    9
  1398,120188,19481209,-9999,    9
  1398,120188,19481210,-9999,    9
  1398,120188,19481211,-9999,    9
  1398,120188,19481212,-9999,    9
  1398,120188,19481213,-9999,    9
  1398,120188,19481214,-9999,    9
  1398,120188,19481215,-9999,    9
  1398,120188,19481216,-9999,    9
  1398,120188,19481217,-9999,    9
  1398,120188,19481218,-9999,    9
  1398,120188,19481219,-9999,    9
  1398,120188,19481220,-9999,    9
  1398,120188,19481221,-9999,    9
  1398,120188,19481222,-9999,    9
  1398,120188,19481223,-9999,    9
  1398,120188,19481224,-9999,    9
  1398,120188,19481225,-9999,    9
  1398,120188,19481226,-9999,    9
  1398,120188,19481227,-9999,    9
  1398,120188,19481228,-9999,    9
  1398,120188,19481229,-9999,    9
  1398,120188,19481230,-9999,    9
  1398,120188,19481231,-9999,    9
  1398,120188,19490101,-9999,    9
  1398,120188,19490102,-9999,    9
  1398,120188,19490103,-9999,    9
  1398,120188,19490104,-9999,    9
  1398,120188,19490105,-9999,    9
  1398,120188,19490106,-9999,    9
  1398,120188,19490107,-9999,    9
  1398,120188,19490108,-9999,    9
  1398,120188,19490109,-9999,    9
  1398,120188,19490110,-9999,    9
  1398,120188,19490111,-9999,    9
  1398,120188,19490112,-9999,    9
  1398,120188,19490113,-9999,    9
  1398,120188,19490114,-9999,    9
  1398,120188,19490115,-9999,    9
  1398,120188,19490116,-9999,    9
  1398,120188,19490117,-9999,    9
  1398,120188,19490118,-9999,    9
  1398,120188,19490119,-9999,    9
  1398,120188,19490120,-9999,    9
  1398,120188,19490121,-9999,    9
  1398,120188,19490122,-9999,    9
  1398,120188,19490123,-9999,    9
  1398,120188,19490124,-9999,    9
  1398,120188,19490125,-9999,    9
  1398,120188,19490126,-9999,    9
  1398,120188,19490127,-9999,    9
  1398,120188,19490128,-9999,    9
  1398,120188,19490129,-9999,    9
  1398,120188,19490130,-9999,    9
  1398,120188,19490131,-9999,    9
  1398,120188,19490201,-9999,    9
  1398,120188,19490202,-9999,    9
  1398,120188,19490203,-9999,    9
