EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 120233) of station PONFERRADA, SPAIN (STAID:   1396)

 STAID,    SOUID,    DATE,   RR, Q_RR
  1396,120233,19510101,  226,    0
  1396,120233,19510102,   25,    0
  1396,120233,19510103,    0,    0
  1396,120233,19510104,    0,    0
  1396,120233,19510105,    0,    0
  1396,120233,19510106,   18,    0
  1396,120233,19510107,-9999,    9
  1396,120233,19510108,   56,    0
  1396,120233,19510109,   56,    0
  1396,120233,19510110,    0,    0
  1396,120233,19510111,   47,    0
  1396,120233,19510112,   70,    0
  1396,120233,19510113,  132,    0
  1396,120233,19510114,    6,    0
  1396,120233,19510115,    8,    0
  1396,120233,19510116,    0,    0
  1396,120233,19510117,    0,    0
  1396,120233,19510118,    0,    0
  1396,120233,19510119,    0,    0
  1396,120233,19510120,    0,    0
  1396,120233,19510121,    0,    0
  1396,120233,19510122,   28,    0
  1396,120233,19510123,   12,    0
  1396,120233,19510124,    0,    0
  1396,120233,19510125,   50,    0
  1396,120233,19510126,    8,    0
  1396,120233,19510127,  266,    0
  1396,120233,19510128,   33,    0
  1396,120233,19510129,    0,    0
  1396,120233,19510130,    6,    0
  1396,120233,19510131,   25,    0
  1396,120233,19510201,    0,    0
  1396,120233,19510202,   23,    0
  1396,120233,19510203,   38,    0
  1396,120233,19510204,  214,    0
  1396,120233,19510205,   30,    0
  1396,120233,19510206,  185,    0
