EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 120260) of station LUGO AEROPUERTO, SPAIN (STAID:   3944)

 STAID,    SOUID,    DATE,   RR, Q_RR
  3944,120260,19510101,   91,    0
  3944,120260,19510102,   18,    0
  3944,120260,19510103,    2,    0
  3944,120260,19510104,    2,    0
  3944,120260,19510105,    0,    0
  3944,120260,19510106,    0,    0
  3944,120260,19510107,   11,    0
  3944,120260,19510108,   59,    0
  3944,120260,19510109,   64,    0
  3944,120260,19510110,   78,    0
  3944,120260,19510111,   81,    0
  3944,120260,19510112,  113,    0
  3944,120260,19510113,   79,    0
  3944,120260,19510114,   27,    0
  3944,120260,19510115,   28,    0
  3944,120260,19510116,    0,    0
  3944,120260,19510117,    0,    0
  3944,120260,19510118,    1,    0
  3944,120260,19510119,    2,    0
  3944,120260,19510120,    2,    0
  3944,120260,19510121,  177,    0
  3944,120260,19510122,    1,    0
  3944,120260,19510123,   67,    0
  3944,120260,19510124,  116,    0
  3944,120260,19510125,   28,    0
  3944,120260,19510126,   91,    0
  3944,120260,19510127,  143,    0
  3944,120260,19510128,   62,    0
  3944,120260,19510129,   26,    0
  3944,120260,19510130,   26,    0
  3944,120260,19510131,   40,    0
  3944,120260,19510201,   25,    0
  3944,120260,19510202,    4,    0
  3944,120260,19510203,   64,    0
  3944,120260,19510204,  174,    0
  3944,120260,19510205,   75,    0
  3944,120260,19510206,  110,    0
  3944,120260,19510207,   45,    0
  3944,120260,19510208,   63,    0
  3944,120260,19510209,   65,    0
  3944,120260,19510210,   71,    0
  3944,120260,19510211,    4,    0
  3944,120260,19510212,    8,    0
  3944,120260,19510213,   17,    0
  3944,120260,19510214,    3,    0
  3944,120260,19510215,    0,    0
  3944,120260,19510216,  281,    0
  3944,120260,19510217,   56,    0
  3944,120260,19510218,  199,    0
  3944,120260,19510219,   14,    0
  3944,120260,19510220,  115,    0
  3944,120260,19510221,   98,    0
  3944,120260,19510222,   85,    0
  3944,120260,19510223,  281,    0
  3944,120260,19510224,   38,    0
  3944,120260,19510225,  104,    0
  3944,120260,19510226,    7,    0
  3944,120260,19510227,   32,    0
  3944,120260,19510228,    0,    0
  3944,120260,19510301,    0,    0
  3944,120260,19510302,    0,    0
  3944,120260,19510303,-9999,    9
  3944,120260,19510304,-9999,    9
  3944,120260,19510305,-9999,    9
  3944,120260,19510306,    0,    0
  3944,120260,19510307,   10,    0
  3944,120260,19510308,    0,    0
  3944,120260,19510309,   10,    0
  3944,120260,19510310,    0,    0
  3944,120260,19510311,    0,    0
  3944,120260,19510312,    0,    0
  3944,120260,19510313,    0,    0
  3944,120260,19510314,   40,    0
  3944,120260,19510315,    0,    0
  3944,120260,19510316,    0,    0
  3944,120260,19510317,    0,    0
  3944,120260,19510318,    0,    0
  3944,120260,19510319,   35,    0
  3944,120260,19510320,    0,    0
  3944,120260,19510321,    0,    0
  3944,120260,19510322,    0,    0
  3944,120260,19510323,    0,    0
  3944,120260,19510324,    5,    0
  3944,120260,19510325,    0,    0
  3944,120260,19510326,    0,    0
  3944,120260,19510327,    0,    0
  3944,120260,19510328,    0,    0
  3944,120260,19510329,   10,    0
  3944,120260,19510330,    0,    0
  3944,120260,19510331,    3,    0
  3944,120260,19510401,   10,    0
  3944,120260,19510402,    0,    0
  3944,120260,19510403,    0,    0
  3944,120260,19510404,    0,    0
  3944,120260,19510405,   45,    0
  3944,120260,19510406,    7,    0
  3944,120260,19510407,    0,    0
  3944,120260,19510408,   11,    0
  3944,120260,19510409,   96,    0
  3944,120260,19510410,    9,    0
  3944,120260,19510411,    4,    0
  3944,120260,19510412,    0,    0
  3944,120260,19510413,    0,    0
  3944,120260,19510414,    0,    0
  3944,120260,19510415,    5,    0
  3944,120260,19510416,    3,    0
  3944,120260,19510417,   27,    0
  3944,120260,19510418,   37,    0
  3944,120260,19510419,   20,    0
  3944,120260,19510420,   80,    0
  3944,120260,19510421,   42,    0
  3944,120260,19510422,    0,    0
  3944,120260,19510423,    0,    0
  3944,120260,19510424,    0,    0
  3944,120260,19510425,    3,    0
  3944,120260,19510426,    0,    0
  3944,120260,19510427,    2,    0
  3944,120260,19510428,    0,    0
  3944,120260,19510429,    0,    0
  3944,120260,19510430,    0,    0
  3944,120260,19510501,    7,    0
  3944,120260,19510502,    1,    0
  3944,120260,19510503,   42,    0
  3944,120260,19510504,  215,    0
  3944,120260,19510505,  122,    0
  3944,120260,19510506,  174,    0
  3944,120260,19510507,   97,    0
  3944,120260,19510508,   22,    0
  3944,120260,19510509,   40,    0
  3944,120260,19510510,    2,    0
  3944,120260,19510511,   18,    0
  3944,120260,19510512,    0,    0
  3944,120260,19510513,    0,    0
  3944,120260,19510514,    0,    0
  3944,120260,19510515,    0,    0
  3944,120260,19510516,    0,    0
  3944,120260,19510517,    0,    0
  3944,120260,19510518,   13,    0
  3944,120260,19510519,   28,    0
  3944,120260,19510520,   31,    0
  3944,120260,19510521,   20,    0
  3944,120260,19510522,   30,    0
  3944,120260,19510523,    1,    0
  3944,120260,19510524,   38,    0
  3944,120260,19510525,    1,    0
  3944,120260,19510526,   50,    0
  3944,120260,19510527,   29,    0
  3944,120260,19510528,   32,    0
  3944,120260,19510529,   19,    0
  3944,120260,19510530,   17,    0
  3944,120260,19510531,   22,    0
  3944,120260,19510601,    0,    0
  3944,120260,19510602,   24,    0
  3944,120260,19510603,   64,    0
  3944,120260,19510604,   37,    0
  3944,120260,19510605,  104,    0
  3944,120260,19510606,   31,    0
  3944,120260,19510607,   54,    0
  3944,120260,19510608,   41,    0
  3944,120260,19510609,    0,    0
  3944,120260,19510610,   15,    0
  3944,120260,19510611,    1,    0
  3944,120260,19510612,    0,    0
  3944,120260,19510613,    0,    0
  3944,120260,19510614,    0,    0
  3944,120260,19510615,    0,    0
  3944,120260,19510616,    0,    0
  3944,120260,19510617,    0,    0
  3944,120260,19510618,    0,    0
  3944,120260,19510619,    0,    0
  3944,120260,19510620,   28,    0
  3944,120260,19510621,    0,    0
  3944,120260,19510622,   63,    0
  3944,120260,19510623,   11,    0
  3944,120260,19510624,    0,    0
  3944,120260,19510625,    0,    0
  3944,120260,19510626,    0,    0
  3944,120260,19510627,    0,    0
  3944,120260,19510628,    0,    0
  3944,120260,19510629,    0,    0
  3944,120260,19510630,    0,    0
  3944,120260,19510701,    0,    0
  3944,120260,19510702,    0,    0
  3944,120260,19510703,    0,    0
  3944,120260,19510704,    0,    0
  3944,120260,19510705,   28,    0
  3944,120260,19510706,    6,    0
  3944,120260,19510707,  100,    0
  3944,120260,19510708,    0,    0
  3944,120260,19510709,    5,    0
  3944,120260,19510710,    0,    0
  3944,120260,19510711,    0,    0
  3944,120260,19510712,   41,    0
  3944,120260,19510713,    3,    0
  3944,120260,19510714,   44,    0
  3944,120260,19510715,    0,    0
  3944,120260,19510716,    0,    0
  3944,120260,19510717,    0,    0
  3944,120260,19510718,    0,    0
  3944,120260,19510719,    0,    0
  3944,120260,19510720,    0,    0
  3944,120260,19510721,    9,    0
  3944,120260,19510722,    0,    0
  3944,120260,19510723,    0,    0
  3944,120260,19510724,    0,    0
  3944,120260,19510725,    0,    0
  3944,120260,19510726,    0,    0
  3944,120260,19510727,   22,    0
  3944,120260,19510728,    0,    0
  3944,120260,19510729,    0,    0
  3944,120260,19510730,   38,    0
  3944,120260,19510731,    0,    0
  3944,120260,19510801,    5,    0
  3944,120260,19510802,    1,    0
  3944,120260,19510803,    0,    0
  3944,120260,19510804,   12,    0
  3944,120260,19510805,   16,    0
  3944,120260,19510806,    3,    0
  3944,120260,19510807,    4,    0
  3944,120260,19510808,   46,    0
  3944,120260,19510809,    2,    0
  3944,120260,19510810,    0,    0
  3944,120260,19510811,    0,    0
  3944,120260,19510812,    0,    0
  3944,120260,19510813,    0,    0
  3944,120260,19510814,    0,    0
  3944,120260,19510815,    0,    0
  3944,120260,19510816,    0,    0
  3944,120260,19510817,    3,    0
  3944,120260,19510818,    0,    0
  3944,120260,19510819,   10,    0
  3944,120260,19510820,    0,    0
  3944,120260,19510821,    0,    0
  3944,120260,19510822,    0,    0
  3944,120260,19510823,    0,    0
  3944,120260,19510824,    0,    0
  3944,120260,19510825,    1,    0
  3944,120260,19510826,    9,    0
  3944,120260,19510827,    0,    0
  3944,120260,19510828,  344,    0
  3944,120260,19510829,  179,    0
  3944,120260,19510830,    0,    0
