EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 120296) of station GETAFE, SPAIN (STAID:   3948)

 STAID,    SOUID,    DATE,   RR, Q_RR
  3948,120296,19510101,   10,    0
  3948,120296,19510102,  354,    0
  3948,120296,19510103,    0,    0
  3948,120296,19510104,    0,    0
  3948,120296,19510105,    0,    0
  3948,120296,19510106,    0,    0
  3948,120296,19510107,    0,    0
  3948,120296,19510108,    0,    0
  3948,120296,19510109,    0,    0
  3948,120296,19510110,   90,    0
  3948,120296,19510111,    0,    0
  3948,120296,19510112,   15,    0
  3948,120296,19510113,   42,    0
  3948,120296,19510114,    0,    0
  3948,120296,19510115,    0,    0
  3948,120296,19510116,    0,    0
  3948,120296,19510117,    0,    0
  3948,120296,19510118,    0,    0
  3948,120296,19510119,    0,    0
  3948,120296,19510120,    0,    0
  3948,120296,19510121,    0,    0
  3948,120296,19510122,    0,    0
  3948,120296,19510123,  123,    0
  3948,120296,19510124,   22,    0
  3948,120296,19510125,    0,    0
  3948,120296,19510126,   61,    0
  3948,120296,19510127,   48,    0
  3948,120296,19510128,    0,    0
  3948,120296,19510129,    0,    0
  3948,120296,19510130,    0,    0
  3948,120296,19510131,    0,    0
  3948,120296,19510201,    0,    0
  3948,120296,19510202,    0,    0
  3948,120296,19510203,   21,    0
  3948,120296,19510204,   34,    0
  3948,120296,19510205,  139,    0
  3948,120296,19510206,   22,    0
  3948,120296,19510207,   28,    0
  3948,120296,19510208,-9999,    9
  3948,120296,19510209,   43,    0
  3948,120296,19510210,   76,    0
  3948,120296,19510211,   62,    0
  3948,120296,19510212,  152,    0
  3948,120296,19510213,    2,    0
  3948,120296,19510214,   22,    0
  3948,120296,19510215,    0,    0
  3948,120296,19510216,    0,    0
  3948,120296,19510217,    0,    0
  3948,120296,19510218,-9999,    9
  3948,120296,19510219,-9999,    9
  3948,120296,19510220,-9999,    9
  3948,120296,19510221,   56,    0
  3948,120296,19510222,    0,    0
  3948,120296,19510223,   13,    0
  3948,120296,19510224,   70,    0
  3948,120296,19510225,    0,    0
  3948,120296,19510226,    0,    0
  3948,120296,19510227,    0,    0
  3948,120296,19510228,    0,    0
  3948,120296,19510301,    0,    0
  3948,120296,19510302,    0,    0
  3948,120296,19510303,    0,    0
  3948,120296,19510304,    0,    0
  3948,120296,19510305,    2,    0
  3948,120296,19510306,   18,    0
  3948,120296,19510307,   10,    0
