EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 120305) of station TORREJON DE ARDOZ, SPAIN (STAID:   3839)

 STAID,    SOUID,    DATE,   RR, Q_RR
  3839,120305,19610101,    0,    0
  3839,120305,19610102,-9999,    9
  3839,120305,19610103,   45,    0
  3839,120305,19610104,    0,    0
  3839,120305,19610105,    0,    0
  3839,120305,19610106,    0,    0
  3839,120305,19610107,    0,    0
  3839,120305,19610108,    7,    0
  3839,120305,19610109,    0,    0
  3839,120305,19610110,   22,    0
  3839,120305,19610111,    0,    0
  3839,120305,19610112,    0,    0
  3839,120305,19610113,    0,    0
  3839,120305,19610114,    0,    0
  3839,120305,19610115,    0,    0
  3839,120305,19610116,    0,    0
  3839,120305,19610117,    0,    0
  3839,120305,19610118,    5,    0
  3839,120305,19610119,   41,    0
  3839,120305,19610120,    0,    0
  3839,120305,19610121,   98,    0
  3839,120305,19610122,   14,    0
  3839,120305,19610123,    8,    0
  3839,120305,19610124,    4,    0
  3839,120305,19610125,    0,    0
  3839,120305,19610126,    0,    0
  3839,120305,19610127,    0,    0
  3839,120305,19610128,-9999,    9
  3839,120305,19610129,    0,    0
  3839,120305,19610130,    0,    0
  3839,120305,19610131,-9999,    9
  3839,120305,19610201,    0,    0
  3839,120305,19610202,    0,    0
  3839,120305,19610203,    0,    0
  3839,120305,19610204,    0,    0
  3839,120305,19610205,    0,    0
  3839,120305,19610206,    0,    0
  3839,120305,19610207,    0,    0
  3839,120305,19610208,    0,    0
  3839,120305,19610209,    0,    0
  3839,120305,19610210,    0,    0
  3839,120305,19610211,    0,    0
  3839,120305,19610212,    0,    0
  3839,120305,19610213,    0,    0
  3839,120305,19610214,    0,    0
  3839,120305,19610215,    0,    0
  3839,120305,19610216,    0,    0
  3839,120305,19610217,    0,    0
  3839,120305,19610218,    0,    0
  3839,120305,19610219,  172,    0
  3839,120305,19610220,-9999,    9
  3839,120305,19610221,    0,    0
  3839,120305,19610222,    0,    0
  3839,120305,19610223,    0,    0
  3839,120305,19610224,   10,    0
  3839,120305,19610225,    0,    0
  3839,120305,19610226,    0,    0
  3839,120305,19610227,    0,    0
  3839,120305,19610228,    0,    0
  3839,120305,19610301,    0,    0
  3839,120305,19610302,    0,    0
  3839,120305,19610303,    0,    0
  3839,120305,19610304,    0,    0
  3839,120305,19610305,    0,    0
  3839,120305,19610306,    0,    0
  3839,120305,19610307,    0,    0
  3839,120305,19610308,    0,    0
  3839,120305,19610309,    0,    0
  3839,120305,19610310,    0,    0
  3839,120305,19610311,    0,    0
  3839,120305,19610312,    0,    0
  3839,120305,19610313,    0,    0
  3839,120305,19610314,    0,    0
  3839,120305,19610315,    0,    0
  3839,120305,19610316,    0,    0
  3839,120305,19610317,    0,    0
  3839,120305,19610318,    0,    0
  3839,120305,19610319,   13,    0
  3839,120305,19610320,   73,    0
  3839,120305,19610321,    4,    0
  3839,120305,19610322,   12,    0
  3839,120305,19610323,    0,    0
  3839,120305,19610324,    0,    0
  3839,120305,19610325,    0,    0
  3839,120305,19610326,    0,    0
  3839,120305,19610327,    0,    0
  3839,120305,19610328,    0,    0
  3839,120305,19610329,    0,    0
  3839,120305,19610330,    0,    0
  3839,120305,19610331,    0,    0
  3839,120305,19610401,    0,    0
  3839,120305,19610402,    0,    0
  3839,120305,19610403,    0,    0
  3839,120305,19610404,    0,    0
  3839,120305,19610405,   32,    0
  3839,120305,19610406,   70,    0
  3839,120305,19610407,   22,    0
  3839,120305,19610408,    0,    0
  3839,120305,19610409,   12,    0
  3839,120305,19610410,    0,    0
  3839,120305,19610411,    0,    0
  3839,120305,19610412,    0,    0
  3839,120305,19610413,    0,    0
  3839,120305,19610414,    0,    0
  3839,120305,19610415,   10,    0
  3839,120305,19610416,   62,    0
  3839,120305,19610417,-9999,    9
  3839,120305,19610418,    0,    0
  3839,120305,19610419,    0,    0
  3839,120305,19610420,   12,    0
  3839,120305,19610421,-9999,    9
  3839,120305,19610422,   45,    0
  3839,120305,19610423,    0,    0
  3839,120305,19610424,    0,    0
  3839,120305,19610425,-9999,    9
  3839,120305,19610426,    0,    0
  3839,120305,19610427,   20,    0
  3839,120305,19610428,-9999,    9
  3839,120305,19610429,    0,    0
  3839,120305,19610430,    0,    0
  3839,120305,19610501,    0,    0
  3839,120305,19610502,    0,    0
  3839,120305,19610503,    0,    0
  3839,120305,19610504,    0,    0
  3839,120305,19610505,   13,    0
  3839,120305,19610506,    0,    0
  3839,120305,19610507,    0,    0
  3839,120305,19610508,    0,    0
  3839,120305,19610509,    0,    0
  3839,120305,19610510,    0,    0
  3839,120305,19610511,    0,    0
  3839,120305,19610512,    0,    0
  3839,120305,19610513,    0,    0
  3839,120305,19610514,    0,    0
  3839,120305,19610515,-9999,    9
  3839,120305,19610516,    0,    0
  3839,120305,19610517,    0,    0
  3839,120305,19610518,    0,    0
  3839,120305,19610519,    0,    0
  3839,120305,19610520,    0,    0
  3839,120305,19610521,    0,    0
  3839,120305,19610522,-9999,    9
  3839,120305,19610523,   39,    0
  3839,120305,19610524,   17,    0
  3839,120305,19610525,    4,    0
  3839,120305,19610526,   14,    0
  3839,120305,19610527,    0,    0
  3839,120305,19610528,   75,    0
  3839,120305,19610529,    9,    0
  3839,120305,19610530,   56,    0
  3839,120305,19610531,   75,    0
  3839,120305,19610601,    0,    0
  3839,120305,19610602,-9999,    9
  3839,120305,19610603,    2,    0
  3839,120305,19610604,    0,    0
  3839,120305,19610605,   16,    0
  3839,120305,19610606,    0,    0
  3839,120305,19610607,    0,    0
  3839,120305,19610608,-9999,    9
  3839,120305,19610609,    0,    0
  3839,120305,19610610,    0,    0
  3839,120305,19610611,    0,    0
  3839,120305,19610612,    0,    0
  3839,120305,19610613,    0,    0
  3839,120305,19610614,    0,    0
  3839,120305,19610615,    0,    0
  3839,120305,19610616,    0,    0
  3839,120305,19610617,    0,    0
  3839,120305,19610618,    0,    0
  3839,120305,19610619,    0,    0
  3839,120305,19610620,    0,    0
  3839,120305,19610621,    0,    0
  3839,120305,19610622,    0,    0
  3839,120305,19610623,    0,    0
  3839,120305,19610624,    0,    0
  3839,120305,19610625,   45,    0
  3839,120305,19610626,    0,    0
  3839,120305,19610627,-9999,    9
  3839,120305,19610628,    2,    0
  3839,120305,19610629,    0,    0
  3839,120305,19610630,   78,    0
  3839,120305,19610701,-9999,    9
  3839,120305,19610702,    0,    0
  3839,120305,19610703,    0,    0
  3839,120305,19610704,    0,    0
  3839,120305,19610705,    0,    0
  3839,120305,19610706,    0,    0
  3839,120305,19610707,    0,    0
  3839,120305,19610708,    0,    0
  3839,120305,19610709,    0,    0
  3839,120305,19610710,    0,    0
  3839,120305,19610711,    0,    0
  3839,120305,19610712,    0,    0
  3839,120305,19610713,    0,    0
  3839,120305,19610714,    0,    0
  3839,120305,19610715,    0,    0
  3839,120305,19610716,    0,    0
  3839,120305,19610717,    0,    0
  3839,120305,19610718,    0,    0
  3839,120305,19610719,    0,    0
  3839,120305,19610720,    0,    0
  3839,120305,19610721,    0,    0
  3839,120305,19610722,   10,    0
  3839,120305,19610723,    0,    0
  3839,120305,19610724,    0,    0
  3839,120305,19610725,    2,    0
  3839,120305,19610726,    8,    0
  3839,120305,19610727,    0,    0
  3839,120305,19610728,    0,    0
  3839,120305,19610729,    0,    0
  3839,120305,19610730,   83,    0
  3839,120305,19610731,   52,    0
  3839,120305,19610801,    0,    0
  3839,120305,19610802,    8,    0
  3839,120305,19610803,    0,    0
  3839,120305,19610804,    0,    0
  3839,120305,19610805,    0,    0
  3839,120305,19610806,    0,    0
  3839,120305,19610807,    0,    0
  3839,120305,19610808,    0,    0
  3839,120305,19610809,  169,    0
  3839,120305,19610810,  150,    0
  3839,120305,19610811,    0,    0
  3839,120305,19610812,    0,    0
  3839,120305,19610813,    0,    0
  3839,120305,19610814,    0,    0
  3839,120305,19610815,    0,    0
  3839,120305,19610816,    0,    0
  3839,120305,19610817,    0,    0
  3839,120305,19610818,    0,    0
  3839,120305,19610819,    4,    0
  3839,120305,19610820,    0,    0
  3839,120305,19610821,    0,    0
  3839,120305,19610822,    0,    0
  3839,120305,19610823,    0,    0
  3839,120305,19610824,    0,    0
  3839,120305,19610825,    0,    0
  3839,120305,19610826,    0,    0
  3839,120305,19610827,    0,    0
  3839,120305,19610828,    0,    0
  3839,120305,19610829,    0,    0
  3839,120305,19610830,    0,    0
  3839,120305,19610831,    0,    0
  3839,120305,19610901,-9999,    9
  3839,120305,19610902,    5,    0
  3839,120305,19610903,-9999,    9
  3839,120305,19610904,   15,    0
  3839,120305,19610905,    0,    0
  3839,120305,19610906,    0,    0
  3839,120305,19610907,    0,    0
  3839,120305,19610908,    0,    0
  3839,120305,19610909,    0,    0
  3839,120305,19610910,    0,    0
  3839,120305,19610911,    0,    0
  3839,120305,19610912,    0,    0
  3839,120305,19610913,    0,    0
  3839,120305,19610914,    0,    0
  3839,120305,19610915,    0,    0
  3839,120305,19610916,    0,    0
  3839,120305,19610917,  123,    0
  3839,120305,19610918,   50,    0
  3839,120305,19610919,    0,    0
  3839,120305,19610920,    0,    0
  3839,120305,19610921,    0,    0
  3839,120305,19610922,    0,    0
  3839,120305,19610923,    0,    0
  3839,120305,19610924,    0,    0
  3839,120305,19610925,    0,    0
  3839,120305,19610926,    0,    0
  3839,120305,19610927,   30,    0
  3839,120305,19610928,  230,    0
  3839,120305,19610929,-9999,    9
  3839,120305,19610930,    0,    0
  3839,120305,19611001,    0,    0
  3839,120305,19611002,    0,    0
  3839,120305,19611003,    0,    0
  3839,120305,19611004,    0,    0
  3839,120305,19611005,    0,    0
  3839,120305,19611006,  110,    0
  3839,120305,19611007,    0,    0
  3839,120305,19611008,    0,    0
  3839,120305,19611009,    0,    0
  3839,120305,19611010,    0,    0
  3839,120305,19611011,    0,    0
  3839,120305,19611012,    0,    0
  3839,120305,19611013,    0,    0
  3839,120305,19611014,  190,    0
  3839,120305,19611015,    5,    0
  3839,120305,19611016,    0,    0
  3839,120305,19611017,    0,    0
  3839,120305,19611018,    0,    0
  3839,120305,19611019,    0,    0
  3839,120305,19611020,    0,    0
  3839,120305,19611021,    0,    0
  3839,120305,19611022,    0,    0
  3839,120305,19611023,-9999,    9
  3839,120305,19611024,    0,    0
  3839,120305,19611025,    0,    0
  3839,120305,19611026,-9999,    9
  3839,120305,19611027,    0,    0
  3839,120305,19611028,    0,    0
  3839,120305,19611029,   68,    0
  3839,120305,19611030,    0,    0
  3839,120305,19611031,    0,    0
  3839,120305,19611101,-9999,    9
  3839,120305,19611102,    0,    0
  3839,120305,19611103,    0,    0
  3839,120305,19611104,    0,    0
  3839,120305,19611105,    0,    0
  3839,120305,19611106,    0,    0
  3839,120305,19611107,    0,    0
  3839,120305,19611108,    0,    0
  3839,120305,19611109,-9999,    9
  3839,120305,19611110,-9999,    9
  3839,120305,19611111,   50,    0
  3839,120305,19611112,-9999,    9
  3839,120305,19611113,    0,    0
  3839,120305,19611114,    3,    0
  3839,120305,19611115,   32,    0
  3839,120305,19611116,   34,    0
  3839,120305,19611117,    0,    0
  3839,120305,19611118,    0,    0
  3839,120305,19611119,   58,    0
  3839,120305,19611120,  302,    0
  3839,120305,19611121,   94,    0
  3839,120305,19611122,   70,    0
  3839,120305,19611123,    2,    0
  3839,120305,19611124,   90,    0
  3839,120305,19611125,  163,    0
  3839,120305,19611126,-9999,    9
  3839,120305,19611127,   68,    0
