EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 120350) of station PAMPLONA, SPAIN (STAID:   3950)

 STAID,    SOUID,    DATE,   RR, Q_RR
  3950,120350,19530901,    0,    0
  3950,120350,19530902,    0,    0
  3950,120350,19530903,    0,    0
  3950,120350,19530904,    0,    0
  3950,120350,19530905,    0,    0
  3950,120350,19530906,    0,    0
  3950,120350,19530907,    0,    0
  3950,120350,19530908,    0,    0
  3950,120350,19530909,    0,    0
  3950,120350,19530910,    1,    0
  3950,120350,19530911,-9999,    9
  3950,120350,19530912,    0,    0
  3950,120350,19530913,    0,    0
  3950,120350,19530914,    0,    0
  3950,120350,19530915,   46,    0
  3950,120350,19530916,   27,    0
  3950,120350,19530917,    3,    0
  3950,120350,19530918,   12,    0
  3950,120350,19530919,   44,    0
  3950,120350,19530920,   71,    0
  3950,120350,19530921,-9999,    9
  3950,120350,19530922,    0,    0
  3950,120350,19530923,    0,    0
  3950,120350,19530924,    0,    0
  3950,120350,19530925,  174,    0
  3950,120350,19530926,   56,    0
  3950,120350,19530927,   63,    0
  3950,120350,19530928,   50,    0
  3950,120350,19530929,-9999,    9
  3950,120350,19530930,    0,    0
  3950,120350,19531001,    0,    0
  3950,120350,19531002,    0,    0
  3950,120350,19531003,-9999,    9
  3950,120350,19531004,    0,    0
  3950,120350,19531005,    8,    0
  3950,120350,19531006,    0,    0
  3950,120350,19531007,    0,    0
  3950,120350,19531008,    0,    0
  3950,120350,19531009,    0,    0
  3950,120350,19531010,    0,    0
  3950,120350,19531011,    2,    0
  3950,120350,19531012,   88,    0
  3950,120350,19531013,  235,    0
  3950,120350,19531014,  201,    0
  3950,120350,19531015,  791,    0
  3950,120350,19531016,-9999,    9
  3950,120350,19531017,    2,    0
  3950,120350,19531018,    0,    0
  3950,120350,19531019,-9999,    9
  3950,120350,19531020,    0,    0
  3950,120350,19531021,    0,    0
  3950,120350,19531022,    0,    0
  3950,120350,19531023,    0,    0
  3950,120350,19531024,    0,    0
  3950,120350,19531025,  110,    0
  3950,120350,19531026,   22,    0
  3950,120350,19531027,   27,    0
  3950,120350,19531028,   13,    0
  3950,120350,19531029,    0,    0
  3950,120350,19531030,    0,    0
  3950,120350,19531031,    0,    0
  3950,120350,19531101,   27,    0
  3950,120350,19531102,   29,    0
  3950,120350,19531103,  125,    0
  3950,120350,19531104,    6,    0
  3950,120350,19531105,   33,    0
  3950,120350,19531106,-9999,    9
  3950,120350,19531107,    0,    0
  3950,120350,19531108,    0,    0
  3950,120350,19531109,    0,    0
  3950,120350,19531110,    0,    0
  3950,120350,19531111,    0,    0
  3950,120350,19531112,    0,    0
  3950,120350,19531113,    0,    0
  3950,120350,19531114,    0,    0
  3950,120350,19531115,    0,    0
  3950,120350,19531116,    0,    0
  3950,120350,19531117,    0,    0
  3950,120350,19531118,    0,    0
  3950,120350,19531119,    0,    0
  3950,120350,19531120,    0,    0
  3950,120350,19531121,    0,    0
  3950,120350,19531122,    0,    0
  3950,120350,19531123,    0,    0
  3950,120350,19531124,    0,    0
  3950,120350,19531125,    0,    0
  3950,120350,19531126,    0,    0
  3950,120350,19531127,    0,    0
  3950,120350,19531128,-9999,    9
  3950,120350,19531129,    0,    0
  3950,120350,19531130,    0,    0
  3950,120350,19531201,-9999,    9
  3950,120350,19531202,-9999,    9
  3950,120350,19531203,-9999,    9
  3950,120350,19531204,    0,    0
  3950,120350,19531205,  192,    0
  3950,120350,19531206,   63,    0
  3950,120350,19531207,    0,    0
  3950,120350,19531208,   39,    0
  3950,120350,19531209,   42,    0
  3950,120350,19531210,    0,    0
  3950,120350,19531211,    0,    0
  3950,120350,19531212,    0,    0
  3950,120350,19531213,    2,    0
  3950,120350,19531214,   12,    0
  3950,120350,19531215,   25,    0
  3950,120350,19531216,    0,    0
  3950,120350,19531217,    0,    0
  3950,120350,19531218,    0,    0
  3950,120350,19531219,    5,    0
  3950,120350,19531220,-9999,    9
  3950,120350,19531221,    0,    0
  3950,120350,19531222,    0,    0
  3950,120350,19531223,    0,    0
  3950,120350,19531224,    0,    0
  3950,120350,19531225,-9999,    9
  3950,120350,19531226,   12,    0
  3950,120350,19531227,   13,    0
  3950,120350,19531228,-9999,    9
  3950,120350,19531229,-9999,    9
  3950,120350,19531230,    3,    0
  3950,120350,19531231,   32,    0
  3950,120350,19540101,-9999,    9
  3950,120350,19540102,-9999,    9
  3950,120350,19540103,    0,    0
  3950,120350,19540104,   82,    0
  3950,120350,19540105,-9999,    9
  3950,120350,19540106,   22,    0
  3950,120350,19540107,  181,    0
  3950,120350,19540108,-9999,    9
  3950,120350,19540109,    0,    0
  3950,120350,19540110,   97,    0
  3950,120350,19540111,-9999,    9
  3950,120350,19540112,-9999,    9
  3950,120350,19540113,    0,    0
  3950,120350,19540114,  153,    0
  3950,120350,19540115,  123,    0
  3950,120350,19540116,    0,    0
  3950,120350,19540117,    0,    0
  3950,120350,19540118,    0,    0
  3950,120350,19540119,    0,    0
  3950,120350,19540120,    0,    0
  3950,120350,19540121,    0,    0
  3950,120350,19540122,    0,    0
  3950,120350,19540123,    0,    0
  3950,120350,19540124,    0,    0
  3950,120350,19540125,    0,    0
  3950,120350,19540126,   66,    0
  3950,120350,19540127,  163,    0
  3950,120350,19540128,   23,    0
  3950,120350,19540129,  147,    0
  3950,120350,19540130,   82,    0
  3950,120350,19540131,    6,    0
  3950,120350,19540201,    0,    0
  3950,120350,19540202,-9999,    9
  3950,120350,19540203,-9999,    9
  3950,120350,19540204,-9999,    9
  3950,120350,19540205,    0,    0
  3950,120350,19540206,-9999,    9
  3950,120350,19540207,-9999,    9
  3950,120350,19540208,  101,    0
  3950,120350,19540209,  143,    0
  3950,120350,19540210,   61,    0
  3950,120350,19540211,-9999,    9
  3950,120350,19540212,   23,    0
  3950,120350,19540213,  119,    0
  3950,120350,19540214,   28,    0
  3950,120350,19540215,  153,    0
  3950,120350,19540216,-9999,    9
  3950,120350,19540217,-9999,    9
  3950,120350,19540218,    0,    0
  3950,120350,19540219,   43,    0
  3950,120350,19540220,  172,    0
  3950,120350,19540221,  158,    0
  3950,120350,19540222,    6,    0
  3950,120350,19540223,    0,    0
  3950,120350,19540224,    0,    0
  3950,120350,19540225,    0,    0
  3950,120350,19540226,    0,    0
  3950,120350,19540227,    0,    0
  3950,120350,19540228,    6,    0
  3950,120350,19540301,    0,    0
  3950,120350,19540302,-9999,    9
  3950,120350,19540303,    0,    0
  3950,120350,19540304,  138,    0
  3950,120350,19540305,   92,    0
  3950,120350,19540306,    1,    0
  3950,120350,19540307,    0,    0
  3950,120350,19540308,    5,    0
  3950,120350,19540309,   34,    0
  3950,120350,19540310,-9999,    9
  3950,120350,19540311,    0,    0
  3950,120350,19540312,    1,    0
  3950,120350,19540313,  126,    0
  3950,120350,19540314,    0,    0
  3950,120350,19540315,    0,    0
  3950,120350,19540316,    0,    0
  3950,120350,19540317,  176,    0
  3950,120350,19540318,    0,    0
  3950,120350,19540319,   40,    0
  3950,120350,19540320,   17,    0
  3950,120350,19540321,    0,    0
  3950,120350,19540322,    0,    0
  3950,120350,19540323,   32,    0
  3950,120350,19540324,   51,    0
  3950,120350,19540325,    0,    0
  3950,120350,19540326,    0,    0
  3950,120350,19540327,    0,    0
  3950,120350,19540328,    0,    0
  3950,120350,19540329,    0,    0
  3950,120350,19540330,-9999,    9
  3950,120350,19540331,   27,    0
  3950,120350,19540401,-9999,    9
  3950,120350,19540402,    0,    0
  3950,120350,19540403,    0,    0
  3950,120350,19540404,    0,    0
  3950,120350,19540405,-9999,    9
  3950,120350,19540406,-9999,    9
  3950,120350,19540407,-9999,    9
  3950,120350,19540408,    0,    0
  3950,120350,19540409,-9999,    9
  3950,120350,19540410,   10,    0
  3950,120350,19540411,    0,    0
  3950,120350,19540412,    0,    0
  3950,120350,19540413,    0,    0
  3950,120350,19540414,    0,    0
  3950,120350,19540415,    0,    0
  3950,120350,19540416,    0,    0
  3950,120350,19540417,    0,    0
  3950,120350,19540418,    0,    0
  3950,120350,19540419,    0,    0
  3950,120350,19540420,    0,    0
  3950,120350,19540421,    0,    0
  3950,120350,19540422,    0,    0
  3950,120350,19540423,-9999,    9
  3950,120350,19540424,   30,    0
  3950,120350,19540425,-9999,    9
  3950,120350,19540426,   48,    0
  3950,120350,19540427,   23,    0
  3950,120350,19540428,   31,    0
  3950,120350,19540429,    0,    0
  3950,120350,19540430,    0,    0
  3950,120350,19540501,    9,    0
  3950,120350,19540502,   20,    0
  3950,120350,19540503,   70,    0
  3950,120350,19540504,  102,    0
  3950,120350,19540505,   50,    0
  3950,120350,19540506,-9999,    9
  3950,120350,19540507,    0,    0
  3950,120350,19540508,    0,    0
  3950,120350,19540509,    0,    0
  3950,120350,19540510,   24,    0
  3950,120350,19540511,    0,    0
  3950,120350,19540512,    0,    0
  3950,120350,19540513,-9999,    9
  3950,120350,19540514,-9999,    9
  3950,120350,19540515,   54,    0
  3950,120350,19540516,  181,    0
  3950,120350,19540517,   21,    0
  3950,120350,19540518,   23,    0
  3950,120350,19540519,    0,    0
  3950,120350,19540520,    0,    0
  3950,120350,19540521,    0,    0
  3950,120350,19540522,    0,    0
  3950,120350,19540523,    0,    0
  3950,120350,19540524,    0,    0
  3950,120350,19540525,    0,    0
  3950,120350,19540526,    0,    0
  3950,120350,19540527,    0,    0
  3950,120350,19540528,    0,    0
  3950,120350,19540529,    0,    0
  3950,120350,19540530,    0,    0
  3950,120350,19540531,    0,    0
  3950,120350,19540601,    0,    0
  3950,120350,19540602,   40,    0
  3950,120350,19540603,  177,    0
  3950,120350,19540604,    0,    0
  3950,120350,19540605,    0,    0
  3950,120350,19540606,    0,    0
  3950,120350,19540607,    0,    0
  3950,120350,19540608,-9999,    9
  3950,120350,19540609,   17,    0
  3950,120350,19540610,    0,    0
  3950,120350,19540611,    0,    0
  3950,120350,19540612,   23,    0
  3950,120350,19540613,   70,    0
  3950,120350,19540614,    0,    0
  3950,120350,19540615,    0,    0
  3950,120350,19540616,    0,    0
  3950,120350,19540617,    0,    0
  3950,120350,19540618,    0,    0
  3950,120350,19540619,    0,    0
  3950,120350,19540620,    0,    0
  3950,120350,19540621,   10,    0
  3950,120350,19540622,    0,    0
  3950,120350,19540623,    0,    0
  3950,120350,19540624,    0,    0
  3950,120350,19540625,    0,    0
  3950,120350,19540626,    0,    0
