EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 120368) of station OURENSE, SPAIN (STAID:   3951)

 STAID,    SOUID,    DATE,   RR, Q_RR
  3951,120368,19600801,    0,    0
  3951,120368,19600802,    0,    0
  3951,120368,19600803,    0,    0
  3951,120368,19600804,   65,    0
  3951,120368,19600805,   72,    0
  3951,120368,19600806,    0,    0
  3951,120368,19600807,   30,    0
  3951,120368,19600808,    0,    0
  3951,120368,19600809,    0,    0
  3951,120368,19600810,    0,    0
  3951,120368,19600811,    8,    0
  3951,120368,19600812,    0,    0
  3951,120368,19600813,    0,    0
  3951,120368,19600814,    0,    0
  3951,120368,19600815,    0,    0
  3951,120368,19600816,    0,    0
  3951,120368,19600817,  471,    0
  3951,120368,19600818,   92,    0
  3951,120368,19600819,    4,    0
  3951,120368,19600820,    0,    0
  3951,120368,19600821,    0,    0
  3951,120368,19600822,    0,    0
  3951,120368,19600823,    0,    0
  3951,120368,19600824,    0,    0
  3951,120368,19600825,   50,    0
  3951,120368,19600826,    0,    0
  3951,120368,19600827,    0,    0
  3951,120368,19600828,    0,    0
  3951,120368,19600829,    0,    0
  3951,120368,19600830,    0,    0
  3951,120368,19600831,    0,    0
  3951,120368,19600901,    0,    0
  3951,120368,19600902,    0,    0
  3951,120368,19600903,    0,    0
  3951,120368,19600904,    1,    0
  3951,120368,19600905,    0,    0
  3951,120368,19600906,    0,    0
  3951,120368,19600907,    0,    0
  3951,120368,19600908,    0,    0
  3951,120368,19600909,    0,    0
  3951,120368,19600910,    0,    0
  3951,120368,19600911,    0,    0
  3951,120368,19600912,    0,    0
  3951,120368,19600913,    0,    0
  3951,120368,19600914,    0,    0
  3951,120368,19600915,  130,    0
  3951,120368,19600916,   70,    0
  3951,120368,19600917,   10,    0
  3951,120368,19600918,    4,    0
  3951,120368,19600919,   15,    0
  3951,120368,19600920,    0,    0
  3951,120368,19600921,    0,    0
  3951,120368,19600922,    0,    0
  3951,120368,19600923,    0,    0
  3951,120368,19600924,    0,    0
  3951,120368,19600925,  150,    0
  3951,120368,19600926,   10,    0
  3951,120368,19600927,   37,    0
  3951,120368,19600928,   32,    0
  3951,120368,19600929,   75,    0
  3951,120368,19600930,   40,    0
  3951,120368,19601001,    0,    0
  3951,120368,19601002,   44,    0
  3951,120368,19601003,  200,    0
  3951,120368,19601004,   76,    0
  3951,120368,19601005,   30,    0
  3951,120368,19601006,  200,    0
  3951,120368,19601007,  129,    0
  3951,120368,19601008,   15,    0
  3951,120368,19601009,   70,    0
  3951,120368,19601010,   50,    0
  3951,120368,19601011,    0,    0
  3951,120368,19601012,    0,    0
  3951,120368,19601013,  345,    0
  3951,120368,19601014,    0,    0
  3951,120368,19601015,    0,    0
  3951,120368,19601016,    0,    0
  3951,120368,19601017,    0,    0
  3951,120368,19601018,    0,    0
  3951,120368,19601019,  120,    0
  3951,120368,19601020,  240,    0
  3951,120368,19601021,   45,    0
  3951,120368,19601022,  220,    0
  3951,120368,19601023,  170,    0
  3951,120368,19601024,   30,    0
  3951,120368,19601025,  129,    0
  3951,120368,19601026,   64,    0
  3951,120368,19601027,   20,    0
  3951,120368,19601028,   12,    0
  3951,120368,19601029,   30,    0
  3951,120368,19601030,   70,    0
  3951,120368,19601031,    0,    0
  3951,120368,19601101,  100,    0
  3951,120368,19601102,  247,    0
  3951,120368,19601103,    8,    0
  3951,120368,19601104,  110,    0
  3951,120368,19601105,   32,    0
  3951,120368,19601106,    0,    0
  3951,120368,19601107,    0,    0
  3951,120368,19601108,    0,    0
  3951,120368,19601109,    0,    0
  3951,120368,19601110,   22,    0
  3951,120368,19601111,    0,    0
  3951,120368,19601112,   84,    0
  3951,120368,19601113,   40,    0
  3951,120368,19601114,    0,    0
  3951,120368,19601115,  440,    0
  3951,120368,19601116,   70,    0
  3951,120368,19601117,  206,    0
  3951,120368,19601118,   56,    0
  3951,120368,19601119,  184,    0
  3951,120368,19601120,    0,    0
  3951,120368,19601121,  300,    0
  3951,120368,19601122,    0,    0
  3951,120368,19601123,   32,    0
  3951,120368,19601124,    5,    0
  3951,120368,19601125,   75,    0
  3951,120368,19601126,   13,    0
  3951,120368,19601127,   49,    0
  3951,120368,19601128,    0,    0
  3951,120368,19601129,    0,    0
  3951,120368,19601130,    0,    0
  3951,120368,19601201,    0,    0
  3951,120368,19601202,  115,    0
  3951,120368,19601203,    5,    0
  3951,120368,19601204,    0,    0
  3951,120368,19601205,   25,    0
  3951,120368,19601206,  185,    0
  3951,120368,19601207,  110,    0
  3951,120368,19601208,    0,    0
  3951,120368,19601209,   45,    0
  3951,120368,19601210,    0,    0
  3951,120368,19601211,    0,    0
  3951,120368,19601212,    0,    0
  3951,120368,19601213,    0,    0
  3951,120368,19601214,  216,    0
  3951,120368,19601215,    0,    0
  3951,120368,19601216,    0,    0
  3951,120368,19601217,    0,    0
  3951,120368,19601218,    0,    0
  3951,120368,19601219,    0,    0
  3951,120368,19601220,   80,    0
  3951,120368,19601221,   60,    0
  3951,120368,19601222,    0,    0
  3951,120368,19601223,   90,    0
  3951,120368,19601224,  118,    0
  3951,120368,19601225,    0,    0
  3951,120368,19601226,   80,    0
  3951,120368,19601227,   35,    0
  3951,120368,19601228,    0,    0
  3951,120368,19601229,   50,    0
  3951,120368,19601230,   60,    0
  3951,120368,19601231,  180,    0
  3951,120368,19610101,-9999,    9
  3951,120368,19610102,-9999,    9
  3951,120368,19610103,-9999,    9
  3951,120368,19610104,-9999,    9
  3951,120368,19610105,-9999,    9
  3951,120368,19610106,-9999,    9
  3951,120368,19610107,-9999,    9
  3951,120368,19610108,-9999,    9
  3951,120368,19610109,-9999,    9
  3951,120368,19610110,-9999,    9
  3951,120368,19610111,-9999,    9
  3951,120368,19610112,-9999,    9
  3951,120368,19610113,-9999,    9
  3951,120368,19610114,-9999,    9
  3951,120368,19610115,-9999,    9
  3951,120368,19610116,-9999,    9
  3951,120368,19610117,-9999,    9
  3951,120368,19610118,-9999,    9
  3951,120368,19610119,-9999,    9
  3951,120368,19610120,-9999,    9
  3951,120368,19610121,-9999,    9
  3951,120368,19610122,-9999,    9
  3951,120368,19610123,-9999,    9
  3951,120368,19610124,-9999,    9
  3951,120368,19610125,-9999,    9
  3951,120368,19610126,-9999,    9
  3951,120368,19610127,-9999,    9
  3951,120368,19610128,-9999,    9
  3951,120368,19610129,-9999,    9
  3951,120368,19610130,-9999,    9
  3951,120368,19610131,-9999,    9
  3951,120368,19610201,   33,    0
  3951,120368,19610202,    0,    0
  3951,120368,19610203,    5,    0
  3951,120368,19610204,    0,    0
  3951,120368,19610205,    0,    0
  3951,120368,19610206,    0,    0
  3951,120368,19610207,    0,    0
  3951,120368,19610208,    0,    0
  3951,120368,19610209,    0,    0
  3951,120368,19610210,    0,    0
  3951,120368,19610211,    0,    0
  3951,120368,19610212,    0,    0
  3951,120368,19610213,    0,    0
  3951,120368,19610214,    0,    0
  3951,120368,19610215,    0,    0
  3951,120368,19610216,    0,    0
  3951,120368,19610217,    0,    0
  3951,120368,19610218,    0,    0
  3951,120368,19610219,    0,    0
  3951,120368,19610220,    0,    0
  3951,120368,19610221,    0,    0
  3951,120368,19610222,   20,    0
  3951,120368,19610223,    0,    0
  3951,120368,19610224,   10,    0
  3951,120368,19610225,  105,    0
  3951,120368,19610226,  450,    0
  3951,120368,19610227,    0,    0
  3951,120368,19610228,   22,    0
  3951,120368,19610301,    0,    0
  3951,120368,19610302,    0,    0
  3951,120368,19610303,    0,    0
  3951,120368,19610304,    0,    0
  3951,120368,19610305,    0,    0
  3951,120368,19610306,    8,    0
  3951,120368,19610307,    0,    0
  3951,120368,19610308,    0,    0
  3951,120368,19610309,    0,    0
  3951,120368,19610310,    0,    0
  3951,120368,19610311,    0,    0
  3951,120368,19610312,    0,    0
  3951,120368,19610313,    0,    0
  3951,120368,19610314,    0,    0
  3951,120368,19610315,    0,    0
  3951,120368,19610316,    0,    0
  3951,120368,19610317,    0,    0
  3951,120368,19610318,    0,    0
  3951,120368,19610319,    0,    0
  3951,120368,19610320,   92,    0
  3951,120368,19610321,    0,    0
  3951,120368,19610322,    0,    0
  3951,120368,19610323,    0,    0
  3951,120368,19610324,    0,    0
  3951,120368,19610325,    0,    0
  3951,120368,19610326,    0,    0
  3951,120368,19610327,    0,    0
  3951,120368,19610328,    0,    0
  3951,120368,19610329,    0,    0
  3951,120368,19610330,    0,    0
  3951,120368,19610331,    0,    0
  3951,120368,19610401,    0,    0
  3951,120368,19610402,    0,    0
  3951,120368,19610403,    0,    0
  3951,120368,19610404,    0,    0
  3951,120368,19610405,   46,    0
  3951,120368,19610406,  432,    0
  3951,120368,19610407,   23,    0
  3951,120368,19610408,    8,    0
  3951,120368,19610409,    0,    0
  3951,120368,19610410,    0,    0
  3951,120368,19610411,    0,    0
  3951,120368,19610412,    0,    0
  3951,120368,19610413,   10,    0
  3951,120368,19610414,   45,    0
  3951,120368,19610415,   20,    0
  3951,120368,19610416,   67,    0
  3951,120368,19610417,   16,    0
  3951,120368,19610418,    0,    0
  3951,120368,19610419,    0,    0
  3951,120368,19610420,    3,    0
  3951,120368,19610421,    0,    0
  3951,120368,19610422,   46,    0
  3951,120368,19610423,  195,    0
  3951,120368,19610424,   30,    0
  3951,120368,19610425,  190,    0
  3951,120368,19610426,   22,    0
  3951,120368,19610427,    0,    0
  3951,120368,19610428,   80,    0
  3951,120368,19610429,   40,    0
  3951,120368,19610430,    0,    0
  3951,120368,19610501,    0,    0
  3951,120368,19610502,    0,    0
  3951,120368,19610503,    4,    0
  3951,120368,19610504,    0,    0
  3951,120368,19610505,   60,    0
  3951,120368,19610506,   10,    0
  3951,120368,19610507,    0,    0
  3951,120368,19610508,    0,    0
  3951,120368,19610509,    0,    0
  3951,120368,19610510,    0,    0
  3951,120368,19610511,    0,    0
  3951,120368,19610512,    0,    0
  3951,120368,19610513,    0,    0
  3951,120368,19610514,    0,    0
  3951,120368,19610515,    0,    0
  3951,120368,19610516,   65,    0
  3951,120368,19610517,    0,    0
  3951,120368,19610518,    0,    0
  3951,120368,19610519,    0,    0
  3951,120368,19610520,    0,    0
  3951,120368,19610521,    0,    0
  3951,120368,19610522,    0,    0
  3951,120368,19610523,   10,    0
  3951,120368,19610524,   80,    0
  3951,120368,19610525,  172,    0
  3951,120368,19610526,  143,    0
  3951,120368,19610527,    6,    0
  3951,120368,19610528,   80,    0
  3951,120368,19610529,  210,    0
  3951,120368,19610530,    0,    0
  3951,120368,19610531,    0,    0
  3951,120368,19610601,-9999,    9
  3951,120368,19610602,-9999,    9
  3951,120368,19610603,-9999,    9
  3951,120368,19610604,-9999,    9
  3951,120368,19610605,-9999,    9
  3951,120368,19610606,-9999,    9
  3951,120368,19610607,-9999,    9
  3951,120368,19610608,-9999,    9
  3951,120368,19610609,-9999,    9
  3951,120368,19610610,-9999,    9
  3951,120368,19610611,-9999,    9
  3951,120368,19610612,-9999,    9
  3951,120368,19610613,-9999,    9
  3951,120368,19610614,-9999,    9
  3951,120368,19610615,-9999,    9
  3951,120368,19610616,-9999,    9
  3951,120368,19610617,-9999,    9
  3951,120368,19610618,-9999,    9
  3951,120368,19610619,-9999,    9
  3951,120368,19610620,-9999,    9
  3951,120368,19610621,-9999,    9
  3951,120368,19610622,-9999,    9
  3951,120368,19610623,-9999,    9
  3951,120368,19610624,-9999,    9
  3951,120368,19610625,-9999,    9
  3951,120368,19610626,-9999,    9
  3951,120368,19610627,-9999,    9
  3951,120368,19610628,-9999,    9
  3951,120368,19610629,-9999,    9
  3951,120368,19610630,-9999,    9
  3951,120368,19610701,    0,    0
  3951,120368,19610702,    0,    0
  3951,120368,19610703,    0,    0
  3951,120368,19610704,    0,    0
  3951,120368,19610705,    0,    0
  3951,120368,19610706,    0,    0
  3951,120368,19610707,    0,    0
  3951,120368,19610708,    0,    0
  3951,120368,19610709,    0,    0
  3951,120368,19610710,    0,    0
  3951,120368,19610711,    0,    0
  3951,120368,19610712,   10,    0
  3951,120368,19610713,    0,    0
  3951,120368,19610714,    0,    0
  3951,120368,19610715,    5,    0
  3951,120368,19610716,    0,    0
  3951,120368,19610717,    0,    0
  3951,120368,19610718,    0,    0
  3951,120368,19610719,    0,    0
  3951,120368,19610720,    0,    0
  3951,120368,19610721,    0,    0
  3951,120368,19610722,    0,    0
  3951,120368,19610723,    0,    0
  3951,120368,19610724,    0,    0
  3951,120368,19610725,    0,    0
  3951,120368,19610726,   25,    0
  3951,120368,19610727,   50,    0
  3951,120368,19610728,    0,    0
  3951,120368,19610729,    0,    0
  3951,120368,19610730,    0,    0
  3951,120368,19610731,   34,    0
  3951,120368,19610801,    0,    0
  3951,120368,19610802,    0,    0
  3951,120368,19610803,    0,    0
  3951,120368,19610804,    0,    0
  3951,120368,19610805,    0,    0
  3951,120368,19610806,    0,    0
  3951,120368,19610807,    0,    0
  3951,120368,19610808,   25,    0
  3951,120368,19610809,    0,    0
  3951,120368,19610810,    0,    0
  3951,120368,19610811,    0,    0
  3951,120368,19610812,    0,    0
  3951,120368,19610813,    0,    0
  3951,120368,19610814,    0,    0
  3951,120368,19610815,    0,    0
  3951,120368,19610816,    0,    0
  3951,120368,19610817,    0,    0
  3951,120368,19610818,    0,    0
  3951,120368,19610819,    0,    0
  3951,120368,19610820,    0,    0
  3951,120368,19610821,    0,    0
  3951,120368,19610822,    0,    0
  3951,120368,19610823,    0,    0
  3951,120368,19610824,    0,    0
  3951,120368,19610825,    0,    0
  3951,120368,19610826,    0,    0
  3951,120368,19610827,    0,    0
  3951,120368,19610828,    0,    0
  3951,120368,19610829,    0,    0
  3951,120368,19610830,    0,    0
  3951,120368,19610831,   18,    0
  3951,120368,19610901,-9999,    9
  3951,120368,19610902,-9999,    9
  3951,120368,19610903,-9999,    9
  3951,120368,19610904,-9999,    9
  3951,120368,19610905,-9999,    9
  3951,120368,19610906,-9999,    9
  3951,120368,19610907,-9999,    9
  3951,120368,19610908,-9999,    9
  3951,120368,19610909,-9999,    9
  3951,120368,19610910,-9999,    9
  3951,120368,19610911,-9999,    9
  3951,120368,19610912,-9999,    9
  3951,120368,19610913,-9999,    9
  3951,120368,19610914,-9999,    9
  3951,120368,19610915,-9999,    9
  3951,120368,19610916,-9999,    9
  3951,120368,19610917,-9999,    9
  3951,120368,19610918,-9999,    9
  3951,120368,19610919,-9999,    9
  3951,120368,19610920,-9999,    9
  3951,120368,19610921,-9999,    9
  3951,120368,19610922,-9999,    9
  3951,120368,19610923,-9999,    9
  3951,120368,19610924,-9999,    9
  3951,120368,19610925,-9999,    9
  3951,120368,19610926,-9999,    9
  3951,120368,19610927,-9999,    9
  3951,120368,19610928,-9999,    9
  3951,120368,19610929,-9999,    9
  3951,120368,19610930,-9999,    9
  3951,120368,19611001,    0,    0
  3951,120368,19611002,    5,    0
  3951,120368,19611003,   43,    0
  3951,120368,19611004,    0,    0
  3951,120368,19611005,  119,    0
  3951,120368,19611006,   35,    0
  3951,120368,19611007,   32,    0
  3951,120368,19611008,    0,    0
  3951,120368,19611009,    0,    0
  3951,120368,19611010,    0,    0
  3951,120368,19611011,    0,    0
  3951,120368,19611012,    0,    0
  3951,120368,19611013,    0,    0
  3951,120368,19611014,   49,    0
  3951,120368,19611015,    0,    0
  3951,120368,19611016,    0,    0
  3951,120368,19611017,    0,    0
  3951,120368,19611018,    6,    0
  3951,120368,19611019,    0,    0
  3951,120368,19611020,    0,    0
  3951,120368,19611021,    3,    0
  3951,120368,19611022,   80,    0
  3951,120368,19611023,   62,    0
  3951,120368,19611024,  136,    0
  3951,120368,19611025,   25,    0
  3951,120368,19611026,  344,    0
  3951,120368,19611027,  120,    0
  3951,120368,19611028,  160,    0
  3951,120368,19611029,  120,    0
  3951,120368,19611030,   42,    0
  3951,120368,19611031,    0,    0
  3951,120368,19611101,    0,    0
  3951,120368,19611102,    0,    0
  3951,120368,19611103,    0,    0
  3951,120368,19611104,    0,    0
  3951,120368,19611105,    0,    0
  3951,120368,19611106,    0,    0
  3951,120368,19611107,    0,    0
  3951,120368,19611108,    0,    0
  3951,120368,19611109,  160,    0
  3951,120368,19611110,   21,    0
  3951,120368,19611111,  117,    0
  3951,120368,19611112,   86,    0
  3951,120368,19611113,    4,    0
  3951,120368,19611114,   10,    0
  3951,120368,19611115,    4,    0
  3951,120368,19611116,    0,    0
  3951,120368,19611117,    0,    0
  3951,120368,19611118,    0,    0
  3951,120368,19611119,    0,    0
  3951,120368,19611120,    0,    0
  3951,120368,19611121,    0,    0
  3951,120368,19611122,  100,    0
  3951,120368,19611123,  140,    0
  3951,120368,19611124,   80,    0
  3951,120368,19611125,   30,    0
  3951,120368,19611126,  160,    0
  3951,120368,19611127,  130,    0
  3951,120368,19611128,    0,    0
  3951,120368,19611129,    0,    0
  3951,120368,19611130,    0,    0
  3951,120368,19611201,    0,    0
  3951,120368,19611202,   56,    0
  3951,120368,19611203,   60,    0
  3951,120368,19611204,   84,    0
  3951,120368,19611205,   93,    0
  3951,120368,19611206,   61,    0
