EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 120503) of station MORON DE LA FRONTERA, SPAIN (STAID:   3963)

 STAID,    SOUID,    DATE,   RR, Q_RR
  3963,120503,19460201,    0,    0
  3963,120503,19460202,    0,    0
  3963,120503,19460203,    0,    0
  3963,120503,19460204,    0,    0
  3963,120503,19460205,    0,    0
  3963,120503,19460206,    0,    0
  3963,120503,19460207,    0,    0
  3963,120503,19460208,    0,    0
  3963,120503,19460209,    0,    0
  3963,120503,19460210,    0,    0
  3963,120503,19460211,    0,    0
  3963,120503,19460212,    0,    0
  3963,120503,19460213,    0,    0
  3963,120503,19460214,    0,    0
  3963,120503,19460215,    0,    0
  3963,120503,19460216,    0,    0
  3963,120503,19460217,    0,    0
  3963,120503,19460218,    0,    0
  3963,120503,19460219,    0,    0
  3963,120503,19460220,    0,    0
  3963,120503,19460221,   10,    0
  3963,120503,19460222,    0,    0
  3963,120503,19460223,    0,    0
  3963,120503,19460224,    0,    0
  3963,120503,19460225,    0,    0
  3963,120503,19460226,    0,    0
  3963,120503,19460227,    0,    0
  3963,120503,19460228,  252,    0
  3963,120503,19460301,-9999,    9
  3963,120503,19460302,-9999,    9
  3963,120503,19460303,-9999,    9
  3963,120503,19460304,-9999,    9
  3963,120503,19460305,-9999,    9
  3963,120503,19460306,-9999,    9
  3963,120503,19460307,-9999,    9
  3963,120503,19460308,-9999,    9
  3963,120503,19460309,-9999,    9
  3963,120503,19460310,-9999,    9
  3963,120503,19460311,-9999,    9
  3963,120503,19460312,-9999,    9
  3963,120503,19460313,-9999,    9
  3963,120503,19460314,-9999,    9
  3963,120503,19460315,-9999,    9
  3963,120503,19460316,-9999,    9
  3963,120503,19460317,-9999,    9
  3963,120503,19460318,-9999,    9
  3963,120503,19460319,-9999,    9
  3963,120503,19460320,-9999,    9
  3963,120503,19460321,-9999,    9
  3963,120503,19460322,-9999,    9
  3963,120503,19460323,-9999,    9
  3963,120503,19460324,-9999,    9
  3963,120503,19460325,-9999,    9
  3963,120503,19460326,-9999,    9
  3963,120503,19460327,-9999,    9
  3963,120503,19460328,-9999,    9
  3963,120503,19460329,-9999,    9
  3963,120503,19460330,-9999,    9
  3963,120503,19460331,-9999,    9
  3963,120503,19460401,    0,    0
  3963,120503,19460402,    0,    0
  3963,120503,19460403,    0,    0
  3963,120503,19460404,    0,    0
  3963,120503,19460405,    0,    0
  3963,120503,19460406,    0,    0
  3963,120503,19460407,    0,    0
