EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 120530) of station REUS AEROPUERTO, SPAIN (STAID:   1401)

 STAID,    SOUID,    DATE,   RR, Q_RR
  1401,120530,19450201,    0,    0
  1401,120530,19450202,    0,    0
  1401,120530,19450203,    0,    0
  1401,120530,19450204,    0,    0
  1401,120530,19450205,    0,    0
  1401,120530,19450206,    0,    0
  1401,120530,19450207,    0,    0
  1401,120530,19450208,    1,    0
  1401,120530,19450209,    0,    0
  1401,120530,19450210,    0,    0
  1401,120530,19450211,    0,    0
  1401,120530,19450212,    0,    0
  1401,120530,19450213,    0,    0
  1401,120530,19450214,    0,    0
  1401,120530,19450215,    0,    0
  1401,120530,19450216,   25,    0
  1401,120530,19450217,    0,    0
  1401,120530,19450218,    0,    0
  1401,120530,19450219,    0,    0
  1401,120530,19450220,    0,    0
  1401,120530,19450221,   10,    0
  1401,120530,19450222,    0,    0
  1401,120530,19450223,    0,    0
  1401,120530,19450224,    0,    0
  1401,120530,19450225,    0,    0
  1401,120530,19450226,    0,    0
  1401,120530,19450227,    0,    0
  1401,120530,19450228,    0,    0
  1401,120530,19450301,    0,    0
  1401,120530,19450302,    0,    0
  1401,120530,19450303,    0,    0
  1401,120530,19450304,    0,    0
  1401,120530,19450305,    0,    0
  1401,120530,19450306,    0,    0
  1401,120530,19450307,    0,    0
  1401,120530,19450308,    0,    0
  1401,120530,19450309,    0,    0
  1401,120530,19450310,    0,    0
  1401,120530,19450311,    0,    0
  1401,120530,19450312,    0,    0
  1401,120530,19450313,    0,    0
  1401,120530,19450314,    0,    0
  1401,120530,19450315,    0,    0
  1401,120530,19450316,    0,    0
  1401,120530,19450317,    0,    0
  1401,120530,19450318,    0,    0
  1401,120530,19450319,    0,    0
  1401,120530,19450320,    0,    0
  1401,120530,19450321,    0,    0
  1401,120530,19450322,    0,    0
  1401,120530,19450323,    0,    0
  1401,120530,19450324,   90,    0
  1401,120530,19450325,    6,    0
  1401,120530,19450326,   61,    0
  1401,120530,19450327,    0,    0
  1401,120530,19450328,    0,    0
  1401,120530,19450329,    0,    0
  1401,120530,19450330,    0,    0
  1401,120530,19450331,    0,    0
  1401,120530,19450401,    0,    0
  1401,120530,19450402,    0,    0
  1401,120530,19450403,    0,    0
  1401,120530,19450404,    0,    0
  1401,120530,19450405,    0,    0
  1401,120530,19450406,    0,    0
  1401,120530,19450407,    0,    0
  1401,120530,19450408,   20,    0
  1401,120530,19450409,    0,    0
  1401,120530,19450410,    0,    0
  1401,120530,19450411,   31,    0
  1401,120530,19450412,    0,    0
  1401,120530,19450413,    0,    0
  1401,120530,19450414,    0,    0
  1401,120530,19450415,    0,    0
  1401,120530,19450416,    0,    0
  1401,120530,19450417,    0,    0
  1401,120530,19450418,    0,    0
  1401,120530,19450419,    0,    0
  1401,120530,19450420,    0,    0
  1401,120530,19450421,    0,    0
  1401,120530,19450422,    0,    0
  1401,120530,19450423,    0,    0
  1401,120530,19450424,    0,    0
  1401,120530,19450425,    2,    0
  1401,120530,19450426,    5,    0
  1401,120530,19450427,    0,    0
  1401,120530,19450428,    0,    0
  1401,120530,19450429,    0,    0
  1401,120530,19450430,   92,    0
  1401,120530,19450501,    0,    0
  1401,120530,19450502,    0,    0
