EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 120548) of station CALAMOCHA  AERODROMO, SPAIN (STAID:   3965)

 STAID,    SOUID,    DATE,   RR, Q_RR
  3965,120548,19420101,    0,    0
  3965,120548,19420102,    0,    0
  3965,120548,19420103,    0,    0
  3965,120548,19420104,    0,    0
  3965,120548,19420105,    0,    0
  3965,120548,19420106,   88,    0
  3965,120548,19420107,    0,    0
  3965,120548,19420108,    0,    0
  3965,120548,19420109,    0,    0
  3965,120548,19420110,   15,    0
  3965,120548,19420111,    0,    0
  3965,120548,19420112,    0,    0
  3965,120548,19420113,   13,    0
  3965,120548,19420114,   15,    0
  3965,120548,19420115,    6,    0
  3965,120548,19420116,    0,    0
  3965,120548,19420117,    0,    0
  3965,120548,19420118,    0,    0
  3965,120548,19420119,    0,    0
  3965,120548,19420120,    0,    0
  3965,120548,19420121,    0,    0
  3965,120548,19420122,    0,    0
  3965,120548,19420123,    0,    0
  3965,120548,19420124,   21,    0
  3965,120548,19420125,  122,    0
  3965,120548,19420126,    0,    0
  3965,120548,19420127,    0,    0
  3965,120548,19420128,   16,    0
  3965,120548,19420129,    0,    0
  3965,120548,19420130,    0,    0
  3965,120548,19420131,   11,    0
  3965,120548,19420201,   24,    0
  3965,120548,19420202,    0,    0
  3965,120548,19420203,    0,    0
  3965,120548,19420204,    5,    0
  3965,120548,19420205,    0,    0
  3965,120548,19420206,    0,    0
  3965,120548,19420207,    0,    0
  3965,120548,19420208,   15,    0
  3965,120548,19420209,    0,    0
  3965,120548,19420210,    0,    0
  3965,120548,19420211,    0,    0
  3965,120548,19420212,    0,    0
  3965,120548,19420213,    0,    0
  3965,120548,19420214,    0,    0
  3965,120548,19420215,    0,    0
  3965,120548,19420216,    0,    0
  3965,120548,19420217,    0,    0
  3965,120548,19420218,    0,    0
  3965,120548,19420219,    0,    0
  3965,120548,19420220,    0,    0
  3965,120548,19420221,   75,    0
  3965,120548,19420222,  220,    0
  3965,120548,19420223,    0,    0
  3965,120548,19420224,    0,    0
  3965,120548,19420225,    0,    0
  3965,120548,19420226,    0,    0
  3965,120548,19420227,   27,    0
  3965,120548,19420228,    0,    0
  3965,120548,19420301,    0,    0
  3965,120548,19420302,    0,    0
  3965,120548,19420303,    7,    0
  3965,120548,19420304,    0,    0
  3965,120548,19420305,    9,    0
  3965,120548,19420306,   47,    0
  3965,120548,19420307,    0,    0
  3965,120548,19420308,    0,    0
  3965,120548,19420309,    0,    0
  3965,120548,19420310,    0,    0
  3965,120548,19420311,    0,    0
  3965,120548,19420312,    4,    0
  3965,120548,19420313,    0,    0
  3965,120548,19420314,    0,    0
  3965,120548,19420315,    0,    0
  3965,120548,19420316,    0,    0
  3965,120548,19420317,   15,    0
  3965,120548,19420318,    0,    0
  3965,120548,19420319,    0,    0
  3965,120548,19420320,   32,    0
  3965,120548,19420321,   43,    0
  3965,120548,19420322,   11,    0
  3965,120548,19420323,    0,    0
  3965,120548,19420324,    5,    0
  3965,120548,19420325,    0,    0
  3965,120548,19420326,    0,    0
  3965,120548,19420327,  264,    0
  3965,120548,19420328,   22,    0
  3965,120548,19420329,    0,    0
  3965,120548,19420330,    0,    0
  3965,120548,19420331,    0,    0
  3965,120548,19420401,    0,    0
  3965,120548,19420402,    6,    0
  3965,120548,19420403,   15,    0
  3965,120548,19420404,    0,    0
  3965,120548,19420405,    0,    0
  3965,120548,19420406,   12,    0
  3965,120548,19420407,    0,    0
  3965,120548,19420408,    0,    0
  3965,120548,19420409,    0,    0
  3965,120548,19420410,    0,    0
  3965,120548,19420411,    0,    0
  3965,120548,19420412,    0,    0
  3965,120548,19420413,  102,    0
  3965,120548,19420414,   56,    0
  3965,120548,19420415,   73,    0
  3965,120548,19420416,    0,    0
  3965,120548,19420417,   32,    0
  3965,120548,19420418,    0,    0
  3965,120548,19420419,    0,    0
  3965,120548,19420420,    0,    0
  3965,120548,19420421,   43,    0
  3965,120548,19420422,   10,    0
  3965,120548,19420423,  105,    0
  3965,120548,19420424,   25,    0
  3965,120548,19420425,    0,    0
  3965,120548,19420426,   22,    0
  3965,120548,19420427,   16,    0
  3965,120548,19420428,   40,    0
  3965,120548,19420429,   36,    0
  3965,120548,19420430,   10,    0
  3965,120548,19420501,    5,    0
  3965,120548,19420502,    0,    0
  3965,120548,19420503,    0,    0
  3965,120548,19420504,    0,    0
  3965,120548,19420505,    0,    0
  3965,120548,19420506,    0,    0
  3965,120548,19420507,    0,    0
  3965,120548,19420508,  124,    0
  3965,120548,19420509,    0,    0
  3965,120548,19420510,    0,    0
  3965,120548,19420511,    0,    0
  3965,120548,19420512,    9,    0
  3965,120548,19420513,   34,    0
  3965,120548,19420514,    0,    0
  3965,120548,19420515,    0,    0
  3965,120548,19420516,    0,    0
  3965,120548,19420517,    0,    0
  3965,120548,19420518,    0,    0
  3965,120548,19420519,    0,    0
  3965,120548,19420520,    0,    0
  3965,120548,19420521,    0,    0
  3965,120548,19420522,    0,    0
  3965,120548,19420523,    0,    0
  3965,120548,19420524,   33,    0
  3965,120548,19420525,   67,    0
  3965,120548,19420526,    0,    0
  3965,120548,19420527,    0,    0
  3965,120548,19420528,    0,    0
  3965,120548,19420529,    0,    0
  3965,120548,19420530,    0,    0
  3965,120548,19420531,    0,    0
  3965,120548,19420601,    0,    0
  3965,120548,19420602,    0,    0
  3965,120548,19420603,    0,    0
  3965,120548,19420604,    0,    0
  3965,120548,19420605,    0,    0
  3965,120548,19420606,    0,    0
  3965,120548,19420607,    0,    0
  3965,120548,19420608,    0,    0
  3965,120548,19420609,   12,    0
  3965,120548,19420610,    0,    0
  3965,120548,19420611,    0,    0
  3965,120548,19420612,    0,    0
  3965,120548,19420613,    0,    0
  3965,120548,19420614,   25,    0
  3965,120548,19420615,    0,    0
  3965,120548,19420616,   20,    0
  3965,120548,19420617,  135,    0
