EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 120620) of station ZAMORA, SPAIN (STAID:   1399)

 STAID,    SOUID,    DATE,   RR, Q_RR
  1399,120620,19200201,    0,    0
  1399,120620,19200202,    0,    0
  1399,120620,19200203,    0,    0
  1399,120620,19200204,    0,    0
  1399,120620,19200205,    0,    0
  1399,120620,19200206,    0,    0
  1399,120620,19200207,    0,    0
  1399,120620,19200208,    0,    0
  1399,120620,19200209,    0,    0
  1399,120620,19200210,    0,    0
  1399,120620,19200211,    0,    0
  1399,120620,19200212,    0,    0
  1399,120620,19200213,    0,    0
  1399,120620,19200214,    0,    0
  1399,120620,19200215,    0,    0
  1399,120620,19200216,   20,    0
  1399,120620,19200217,    0,    0
  1399,120620,19200218,   20,    0
  1399,120620,19200219,   70,    0
  1399,120620,19200220,    0,    0
  1399,120620,19200221,    0,    0
  1399,120620,19200222,    0,    0
  1399,120620,19200223,    0,    0
  1399,120620,19200224,    0,    0
  1399,120620,19200225,   30,    0
  1399,120620,19200226,   30,    0
  1399,120620,19200227,    0,    0
  1399,120620,19200228,    0,    0
  1399,120620,19200229,   20,    0
  1399,120620,19200301,-9999,    9
  1399,120620,19200302,-9999,    9
  1399,120620,19200303,-9999,    9
  1399,120620,19200304,-9999,    9
  1399,120620,19200305,-9999,    9
  1399,120620,19200306,-9999,    9
  1399,120620,19200307,-9999,    9
  1399,120620,19200308,-9999,    9
  1399,120620,19200309,-9999,    9
  1399,120620,19200310,-9999,    9
  1399,120620,19200311,-9999,    9
  1399,120620,19200312,-9999,    9
  1399,120620,19200313,-9999,    9
  1399,120620,19200314,-9999,    9
  1399,120620,19200315,-9999,    9
  1399,120620,19200316,-9999,    9
  1399,120620,19200317,-9999,    9
  1399,120620,19200318,-9999,    9
  1399,120620,19200319,-9999,    9
  1399,120620,19200320,-9999,    9
  1399,120620,19200321,-9999,    9
  1399,120620,19200322,-9999,    9
  1399,120620,19200323,-9999,    9
  1399,120620,19200324,-9999,    9
  1399,120620,19200325,-9999,    9
  1399,120620,19200326,-9999,    9
  1399,120620,19200327,-9999,    9
