EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 120629) of station DAROCA, SPAIN (STAID:   3971)

 STAID,    SOUID,    DATE,   RR, Q_RR
  3971,120629,19200101,   18,    0
  3971,120629,19200102,    0,    0
  3971,120629,19200103,    0,    0
  3971,120629,19200104,   52,    0
  3971,120629,19200105,    0,    0
  3971,120629,19200106,   21,    0
  3971,120629,19200107,   55,    0
  3971,120629,19200108,    5,    0
  3971,120629,19200109,    0,    0
  3971,120629,19200110,    0,    0
  3971,120629,19200111,    0,    0
  3971,120629,19200112,    0,    0
  3971,120629,19200113,    0,    0
  3971,120629,19200114,    0,    0
  3971,120629,19200115,    0,    0
  3971,120629,19200116,    0,    0
  3971,120629,19200117,    0,    0
  3971,120629,19200118,    0,    0
  3971,120629,19200119,    0,    0
  3971,120629,19200120,    0,    0
  3971,120629,19200121,    0,    0
  3971,120629,19200122,    0,    0
  3971,120629,19200123,    0,    0
  3971,120629,19200124,    0,    0
  3971,120629,19200125,    0,    0
  3971,120629,19200126,    0,    0
  3971,120629,19200127,    0,    0
  3971,120629,19200128,   15,    0
  3971,120629,19200129,    0,    0
  3971,120629,19200130,    0,    0
  3971,120629,19200131,    0,    0
  3971,120629,19200201,    0,    0
  3971,120629,19200202,    0,    0
  3971,120629,19200203,    0,    0
  3971,120629,19200204,    0,    0
  3971,120629,19200205,    0,    0
  3971,120629,19200206,    0,    0
  3971,120629,19200207,    0,    0
  3971,120629,19200208,    0,    0
  3971,120629,19200209,    0,    0
  3971,120629,19200210,    0,    0
  3971,120629,19200211,    0,    0
  3971,120629,19200212,    0,    0
  3971,120629,19200213,    0,    0
  3971,120629,19200214,    0,    0
  3971,120629,19200215,    0,    0
  3971,120629,19200216,    0,    0
  3971,120629,19200217,    0,    0
  3971,120629,19200218,    0,    0
  3971,120629,19200219,  103,    0
  3971,120629,19200220,    0,    0
  3971,120629,19200221,   27,    0
  3971,120629,19200222,    0,    0
  3971,120629,19200223,    0,    0
  3971,120629,19200224,    0,    0
  3971,120629,19200225,   95,    0
  3971,120629,19200226,    0,    0
  3971,120629,19200227,    0,    0
  3971,120629,19200228,    0,    0
  3971,120629,19200229,    0,    0
  3971,120629,19200301,   20,    0
  3971,120629,19200302,   28,    0
  3971,120629,19200303,    0,    0
  3971,120629,19200304,    0,    0
  3971,120629,19200305,    0,    0
  3971,120629,19200306,  122,    0
  3971,120629,19200307,   21,    0
  3971,120629,19200308,    0,    0
  3971,120629,19200309,    0,    0
