EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 135039) of station Oran-Hopital Militaire, ALGERIA (STAID:   4980)

 STAID,    SOUID,    DATE,   RR, Q_RR
  4980,135039,18520101,    0,    0
  4980,135039,18520102,    0,    0
  4980,135039,18520103,  255,    0
  4980,135039,18520104,  220,    0
  4980,135039,18520105,    0,    0
  4980,135039,18520106,    0,    0
  4980,135039,18520107,    0,    0
  4980,135039,18520108,    0,    0
  4980,135039,18520109,   15,    0
  4980,135039,18520110,   20,    0
  4980,135039,18520111,    0,    0
  4980,135039,18520112,    0,    0
  4980,135039,18520113,    0,    0
  4980,135039,18520114,    0,    0
  4980,135039,18520115,    0,    0
  4980,135039,18520116,    0,    0
  4980,135039,18520117,    0,    0
  4980,135039,18520118,    0,    0
  4980,135039,18520119,    0,    0
  4980,135039,18520120,   50,    0
  4980,135039,18520121,    0,    0
  4980,135039,18520122,   25,    0
  4980,135039,18520123,   10,    0
  4980,135039,18520124,   68,    0
  4980,135039,18520125,    0,    0
  4980,135039,18520126,    0,    0
  4980,135039,18520127,   43,    0
  4980,135039,18520128,    0,    0
  4980,135039,18520129,   43,    0
  4980,135039,18520130,   28,    0
  4980,135039,18520131,    0,    0
  4980,135039,18520201,    0,    0
  4980,135039,18520202,    0,    0
  4980,135039,18520203,    0,    0
  4980,135039,18520204,    0,    0
  4980,135039,18520205,    0,    0
  4980,135039,18520206,    0,    0
  4980,135039,18520207,    0,    0
  4980,135039,18520208,    0,    0
  4980,135039,18520209,    0,    0
  4980,135039,18520210,    0,    0
  4980,135039,18520211,  255,    0
  4980,135039,18520212,   50,    0
  4980,135039,18520213,    0,    0
  4980,135039,18520214,   38,    0
  4980,135039,18520215,    0,    0
  4980,135039,18520216,    0,    0
  4980,135039,18520217,    0,    0
  4980,135039,18520218,    0,    0
  4980,135039,18520219,   13,    0
  4980,135039,18520220,    0,    0
  4980,135039,18520221,    0,    0
  4980,135039,18520222,    0,    0
  4980,135039,18520223,    0,    0
  4980,135039,18520224,   20,    0
  4980,135039,18520225,    0,    0
  4980,135039,18520226,   85,    0
  4980,135039,18520227,    0,    0
  4980,135039,18520228,   80,    0
  4980,135039,18520229,-9999,    9
  4980,135039,18520301,    0,    0
  4980,135039,18520302,    0,    0
  4980,135039,18520303,    0,    0
  4980,135039,18520304,    0,    0
  4980,135039,18520305,    0,    0
  4980,135039,18520306,  220,    0
  4980,135039,18520307,    0,    0
  4980,135039,18520308,    0,    0
  4980,135039,18520309,    0,    0
  4980,135039,18520310,   40,    0
  4980,135039,18520311,    0,    0
  4980,135039,18520312,    0,    0
  4980,135039,18520313,    0,    0
  4980,135039,18520314,  110,    0
  4980,135039,18520315,    0,    0
  4980,135039,18520316,    0,    0
  4980,135039,18520317,    0,    0
  4980,135039,18520318,    0,    0
  4980,135039,18520319,    0,    0
  4980,135039,18520320,    0,    0
  4980,135039,18520321,    0,    0
  4980,135039,18520322,    0,    0
  4980,135039,18520323,    0,    0
  4980,135039,18520324,    0,    0
  4980,135039,18520325,    0,    0
  4980,135039,18520326,    0,    0
  4980,135039,18520327,    0,    0
  4980,135039,18520328,    0,    0
  4980,135039,18520329,    0,    0
  4980,135039,18520330,    0,    0
  4980,135039,18520331,    0,    0
  4980,135039,18520401,    0,    0
  4980,135039,18520402,    0,    0
  4980,135039,18520403,    0,    0
  4980,135039,18520404,    0,    0
  4980,135039,18520405,    0,    0
  4980,135039,18520406,   40,    0
  4980,135039,18520407,    0,    0
  4980,135039,18520408,   40,    0
  4980,135039,18520409,    0,    0
  4980,135039,18520410,    0,    0
  4980,135039,18520411,    0,    0
  4980,135039,18520412,    0,    0
  4980,135039,18520413,  165,    0
  4980,135039,18520414,   95,    0
  4980,135039,18520415,    5,    0
  4980,135039,18520416,    0,    0
  4980,135039,18520417,    0,    0
  4980,135039,18520418,    0,    0
  4980,135039,18520419,    0,    0
  4980,135039,18520420,    0,    0
  4980,135039,18520421,    0,    0
  4980,135039,18520422,    0,    0
  4980,135039,18520423,    0,    0
  4980,135039,18520424,    0,    0
  4980,135039,18520425,    0,    0
  4980,135039,18520426,   28,    0
  4980,135039,18520427,  315,    0
  4980,135039,18520428,    0,    0
  4980,135039,18520429,    0,    0
  4980,135039,18520430,    0,    0
  4980,135039,18520501,    0,    0
  4980,135039,18520502,    0,    0
  4980,135039,18520503,    0,    0
  4980,135039,18520504,    0,    0
  4980,135039,18520505,  225,    0
  4980,135039,18520506,   15,    0
  4980,135039,18520507,    0,    0
  4980,135039,18520508,  205,    0
  4980,135039,18520509,    0,    0
  4980,135039,18520510,  180,    0
  4980,135039,18520511,    0,    0
  4980,135039,18520512,    0,    0
