EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 135060) of station Lisboa Geofisica, PORTUGAL (STAID:    214)

 STAID,    SOUID,    DATE,   RR, Q_RR
   214,135060,19401201,-9999,    9
   214,135060,19401202,-9999,    9
   214,135060,19401203,-9999,    9
   214,135060,19401204,-9999,    9
   214,135060,19401205,-9999,    9
   214,135060,19401206,-9999,    9
   214,135060,19401207,-9999,    9
   214,135060,19401208,-9999,    9
   214,135060,19401209,-9999,    9
   214,135060,19401210,-9999,    9
   214,135060,19401211,-9999,    9
   214,135060,19401212,-9999,    9
   214,135060,19401213,-9999,    9
   214,135060,19401214,-9999,    9
   214,135060,19401215,-9999,    9
   214,135060,19401216,-9999,    9
   214,135060,19401217,-9999,    9
   214,135060,19401218,-9999,    9
   214,135060,19401219,-9999,    9
   214,135060,19401220,-9999,    9
   214,135060,19401221,-9999,    9
   214,135060,19401222,-9999,    9
   214,135060,19401223,-9999,    9
   214,135060,19401224,-9999,    9
   214,135060,19401225,-9999,    9
   214,135060,19401226,-9999,    9
   214,135060,19401227,-9999,    9
   214,135060,19401228,-9999,    9
   214,135060,19401229,-9999,    9
   214,135060,19401230,-9999,    9
   214,135060,19401231,  190,    0
   214,135060,19410101,   92,    0
   214,135060,19410102,    0,    0
   214,135060,19410103,    0,    0
   214,135060,19410104,    0,    0
   214,135060,19410105,    0,    0
   214,135060,19410106,    0,    0
   214,135060,19410107,  115,    0
   214,135060,19410108,    0,    0
   214,135060,19410109,   57,    0
   214,135060,19410110,   21,    0
   214,135060,19410111,   49,    0
   214,135060,19410112,   94,    0
   214,135060,19410113,    4,    0
   214,135060,19410114,   26,    0
   214,135060,19410115,   55,    0
   214,135060,19410116,   12,    0
   214,135060,19410117,    1,    0
   214,135060,19410118,   54,    0
   214,135060,19410119,  114,    0
   214,135060,19410120,  280,    0
   214,135060,19410121,  256,    0
   214,135060,19410122,   93,    0
   214,135060,19410123,  175,    0
   214,135060,19410124,    0,    0
   214,135060,19410125,   64,    0
   214,135060,19410126,   18,    0
   214,135060,19410127,   44,    0
   214,135060,19410128,   54,    0
   214,135060,19410129,    8,    0
   214,135060,19410130,  113,    0
