EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 147724) of station Salloum, EGYPT (STAID:   7925)

 STAID,    SOUID,    DATE,   RR, Q_RR
  7925,147724,18840101,-9999,    9
  7925,147724,18840102,-9999,    9
  7925,147724,18840103,-9999,    9
  7925,147724,18840104,-9999,    9
  7925,147724,18840105,-9999,    9
  7925,147724,18840106,-9999,    9
  7925,147724,18840107,-9999,    9
  7925,147724,18840108,-9999,    9
  7925,147724,18840109,-9999,    9
  7925,147724,18840110,-9999,    9
  7925,147724,18840111,-9999,    9
  7925,147724,18840112,-9999,    9
  7925,147724,18840113,-9999,    9
  7925,147724,18840114,-9999,    9
  7925,147724,18840115,-9999,    9
  7925,147724,18840116,-9999,    9
  7925,147724,18840117,-9999,    9
  7925,147724,18840118,-9999,    9
  7925,147724,18840119,-9999,    9
  7925,147724,18840120,-9999,    9
  7925,147724,18840121,-9999,    9
  7925,147724,18840122,-9999,    9
  7925,147724,18840123,-9999,    9
  7925,147724,18840124,-9999,    9
  7925,147724,18840125,-9999,    9
  7925,147724,18840126,-9999,    9
  7925,147724,18840127,-9999,    9
  7925,147724,18840128,-9999,    9
  7925,147724,18840129,-9999,    9
  7925,147724,18840130,-9999,    9
  7925,147724,18840131,-9999,    9
  7925,147724,18840201,-9999,    9
  7925,147724,18840202,-9999,    9
  7925,147724,18840203,-9999,    9
  7925,147724,18840204,-9999,    9
  7925,147724,18840205,-9999,    9
  7925,147724,18840206,-9999,    9
  7925,147724,18840207,-9999,    9
  7925,147724,18840208,-9999,    9
  7925,147724,18840209,-9999,    9
