EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 147725) of station Mersa Matruh, EGYPT (STAID:    314)

 STAID,    SOUID,    DATE,   RR, Q_RR
   314,147725,18840101,-9999,    9
   314,147725,18840102,-9999,    9
   314,147725,18840103,-9999,    9
   314,147725,18840104,-9999,    9
   314,147725,18840105,-9999,    9
   314,147725,18840106,-9999,    9
   314,147725,18840107,-9999,    9
   314,147725,18840108,-9999,    9
   314,147725,18840109,-9999,    9
   314,147725,18840110,-9999,    9
   314,147725,18840111,-9999,    9
   314,147725,18840112,-9999,    9
   314,147725,18840113,-9999,    9
   314,147725,18840114,-9999,    9
   314,147725,18840115,-9999,    9
   314,147725,18840116,-9999,    9
   314,147725,18840117,-9999,    9
   314,147725,18840118,-9999,    9
   314,147725,18840119,-9999,    9
   314,147725,18840120,-9999,    9
   314,147725,18840121,-9999,    9
   314,147725,18840122,-9999,    9
   314,147725,18840123,-9999,    9
   314,147725,18840124,-9999,    9
   314,147725,18840125,-9999,    9
   314,147725,18840126,-9999,    9
   314,147725,18840127,-9999,    9
   314,147725,18840128,-9999,    9
   314,147725,18840129,-9999,    9
   314,147725,18840130,-9999,    9
   314,147725,18840131,-9999,    9
   314,147725,18840201,-9999,    9
   314,147725,18840202,-9999,    9
   314,147725,18840203,-9999,    9
   314,147725,18840204,-9999,    9
   314,147725,18840205,-9999,    9
   314,147725,18840206,-9999,    9
   314,147725,18840207,-9999,    9
   314,147725,18840208,-9999,    9
   314,147725,18840209,-9999,    9
   314,147725,18840210,-9999,    9
   314,147725,18840211,-9999,    9
   314,147725,18840212,-9999,    9
   314,147725,18840213,-9999,    9
   314,147725,18840214,-9999,    9
   314,147725,18840215,-9999,    9
   314,147725,18840216,-9999,    9
   314,147725,18840217,-9999,    9
   314,147725,18840218,-9999,    9
   314,147725,18840219,-9999,    9
   314,147725,18840220,-9999,    9
   314,147725,18840221,-9999,    9
   314,147725,18840222,-9999,    9
   314,147725,18840223,-9999,    9
   314,147725,18840224,-9999,    9
   314,147725,18840225,-9999,    9
   314,147725,18840226,-9999,    9
   314,147725,18840227,-9999,    9
   314,147725,18840228,-9999,    9
   314,147725,18840229,-9999,    9
   314,147725,18840301,-9999,    9
   314,147725,18840302,-9999,    9
   314,147725,18840303,-9999,    9
   314,147725,18840304,-9999,    9
   314,147725,18840305,-9999,    9
   314,147725,18840306,-9999,    9
   314,147725,18840307,-9999,    9
   314,147725,18840308,-9999,    9
   314,147725,18840309,-9999,    9
   314,147725,18840310,-9999,    9
   314,147725,18840311,-9999,    9
   314,147725,18840312,-9999,    9
   314,147725,18840313,-9999,    9
   314,147725,18840314,-9999,    9
   314,147725,18840315,-9999,    9
   314,147725,18840316,-9999,    9
   314,147725,18840317,-9999,    9
   314,147725,18840318,-9999,    9
   314,147725,18840319,-9999,    9
   314,147725,18840320,-9999,    9
   314,147725,18840321,-9999,    9
   314,147725,18840322,-9999,    9
   314,147725,18840323,-9999,    9
   314,147725,18840324,-9999,    9
   314,147725,18840325,-9999,    9
   314,147725,18840326,-9999,    9
   314,147725,18840327,-9999,    9
   314,147725,18840328,-9999,    9
   314,147725,18840329,-9999,    9
   314,147725,18840330,-9999,    9
   314,147725,18840331,-9999,    9
   314,147725,18840401,-9999,    9
   314,147725,18840402,-9999,    9
   314,147725,18840403,-9999,    9
   314,147725,18840404,-9999,    9
   314,147725,18840405,-9999,    9
   314,147725,18840406,-9999,    9
   314,147725,18840407,-9999,    9
   314,147725,18840408,-9999,    9
   314,147725,18840409,-9999,    9
   314,147725,18840410,-9999,    9
   314,147725,18840411,-9999,    9
   314,147725,18840412,-9999,    9
   314,147725,18840413,-9999,    9
   314,147725,18840414,-9999,    9
   314,147725,18840415,-9999,    9
   314,147725,18840416,-9999,    9
   314,147725,18840417,-9999,    9
   314,147725,18840418,-9999,    9
   314,147725,18840419,-9999,    9
   314,147725,18840420,-9999,    9
   314,147725,18840421,-9999,    9
   314,147725,18840422,-9999,    9
   314,147725,18840423,-9999,    9
   314,147725,18840424,-9999,    9
   314,147725,18840425,-9999,    9
   314,147725,18840426,-9999,    9
   314,147725,18840427,-9999,    9
   314,147725,18840428,-9999,    9
   314,147725,18840429,-9999,    9
   314,147725,18840430,-9999,    9
   314,147725,18840501,-9999,    9
   314,147725,18840502,-9999,    9
   314,147725,18840503,-9999,    9
   314,147725,18840504,-9999,    9
   314,147725,18840505,-9999,    9
   314,147725,18840506,-9999,    9
   314,147725,18840507,-9999,    9
   314,147725,18840508,-9999,    9
   314,147725,18840509,-9999,    9
   314,147725,18840510,-9999,    9
   314,147725,18840511,-9999,    9
   314,147725,18840512,-9999,    9
   314,147725,18840513,-9999,    9
   314,147725,18840514,-9999,    9
   314,147725,18840515,-9999,    9
   314,147725,18840516,-9999,    9
   314,147725,18840517,-9999,    9
   314,147725,18840518,-9999,    9
   314,147725,18840519,-9999,    9
   314,147725,18840520,-9999,    9
   314,147725,18840521,-9999,    9
   314,147725,18840522,-9999,    9
   314,147725,18840523,-9999,    9
   314,147725,18840524,-9999,    9
   314,147725,18840525,-9999,    9
   314,147725,18840526,-9999,    9
   314,147725,18840527,-9999,    9
   314,147725,18840528,-9999,    9
   314,147725,18840529,-9999,    9
   314,147725,18840530,-9999,    9
   314,147725,18840531,-9999,    9
   314,147725,18840601,-9999,    9
   314,147725,18840602,-9999,    9
   314,147725,18840603,-9999,    9
   314,147725,18840604,-9999,    9
   314,147725,18840605,-9999,    9
   314,147725,18840606,-9999,    9
   314,147725,18840607,-9999,    9
   314,147725,18840608,-9999,    9
   314,147725,18840609,-9999,    9
   314,147725,18840610,-9999,    9
   314,147725,18840611,-9999,    9
   314,147725,18840612,-9999,    9
   314,147725,18840613,-9999,    9
   314,147725,18840614,-9999,    9
   314,147725,18840615,-9999,    9
   314,147725,18840616,-9999,    9
   314,147725,18840617,-9999,    9
   314,147725,18840618,-9999,    9
   314,147725,18840619,-9999,    9
   314,147725,18840620,-9999,    9
   314,147725,18840621,-9999,    9
   314,147725,18840622,-9999,    9
   314,147725,18840623,-9999,    9
   314,147725,18840624,-9999,    9
   314,147725,18840625,-9999,    9
   314,147725,18840626,-9999,    9
   314,147725,18840627,-9999,    9
   314,147725,18840628,-9999,    9
   314,147725,18840629,-9999,    9
   314,147725,18840630,-9999,    9
   314,147725,18840701,-9999,    9
   314,147725,18840702,-9999,    9
   314,147725,18840703,-9999,    9
   314,147725,18840704,-9999,    9
   314,147725,18840705,-9999,    9
   314,147725,18840706,-9999,    9
   314,147725,18840707,-9999,    9
   314,147725,18840708,-9999,    9
   314,147725,18840709,-9999,    9
   314,147725,18840710,-9999,    9
   314,147725,18840711,-9999,    9
   314,147725,18840712,-9999,    9
   314,147725,18840713,-9999,    9
   314,147725,18840714,-9999,    9
   314,147725,18840715,-9999,    9
   314,147725,18840716,-9999,    9
   314,147725,18840717,-9999,    9
   314,147725,18840718,-9999,    9
   314,147725,18840719,-9999,    9
   314,147725,18840720,-9999,    9
   314,147725,18840721,-9999,    9
   314,147725,18840722,-9999,    9
   314,147725,18840723,-9999,    9
   314,147725,18840724,-9999,    9
   314,147725,18840725,-9999,    9
   314,147725,18840726,-9999,    9
   314,147725,18840727,-9999,    9
   314,147725,18840728,-9999,    9
   314,147725,18840729,-9999,    9
   314,147725,18840730,-9999,    9
   314,147725,18840731,-9999,    9
   314,147725,18840801,-9999,    9
   314,147725,18840802,-9999,    9
   314,147725,18840803,-9999,    9
   314,147725,18840804,-9999,    9
   314,147725,18840805,-9999,    9
   314,147725,18840806,-9999,    9
   314,147725,18840807,-9999,    9
   314,147725,18840808,-9999,    9
   314,147725,18840809,-9999,    9
   314,147725,18840810,-9999,    9
   314,147725,18840811,-9999,    9
   314,147725,18840812,-9999,    9
   314,147725,18840813,-9999,    9
   314,147725,18840814,-9999,    9
   314,147725,18840815,-9999,    9
   314,147725,18840816,-9999,    9
   314,147725,18840817,-9999,    9
   314,147725,18840818,-9999,    9
   314,147725,18840819,-9999,    9
   314,147725,18840820,-9999,    9
   314,147725,18840821,-9999,    9
   314,147725,18840822,-9999,    9
   314,147725,18840823,-9999,    9
   314,147725,18840824,-9999,    9
   314,147725,18840825,-9999,    9
   314,147725,18840826,-9999,    9
   314,147725,18840827,-9999,    9
   314,147725,18840828,-9999,    9
   314,147725,18840829,-9999,    9
   314,147725,18840830,-9999,    9
   314,147725,18840831,-9999,    9
   314,147725,18840901,-9999,    9
   314,147725,18840902,-9999,    9
   314,147725,18840903,-9999,    9
   314,147725,18840904,-9999,    9
   314,147725,18840905,-9999,    9
   314,147725,18840906,-9999,    9
   314,147725,18840907,-9999,    9
   314,147725,18840908,-9999,    9
   314,147725,18840909,-9999,    9
   314,147725,18840910,-9999,    9
   314,147725,18840911,-9999,    9
   314,147725,18840912,-9999,    9
   314,147725,18840913,-9999,    9
   314,147725,18840914,-9999,    9
   314,147725,18840915,-9999,    9
   314,147725,18840916,-9999,    9
   314,147725,18840917,-9999,    9
   314,147725,18840918,-9999,    9
   314,147725,18840919,-9999,    9
   314,147725,18840920,-9999,    9
   314,147725,18840921,-9999,    9
   314,147725,18840922,-9999,    9
   314,147725,18840923,-9999,    9
   314,147725,18840924,-9999,    9
   314,147725,18840925,-9999,    9
   314,147725,18840926,-9999,    9
   314,147725,18840927,-9999,    9
   314,147725,18840928,-9999,    9
   314,147725,18840929,-9999,    9
   314,147725,18840930,-9999,    9
   314,147725,18841001,-9999,    9
   314,147725,18841002,-9999,    9
   314,147725,18841003,-9999,    9
   314,147725,18841004,-9999,    9
   314,147725,18841005,-9999,    9
   314,147725,18841006,-9999,    9
   314,147725,18841007,-9999,    9
   314,147725,18841008,-9999,    9
   314,147725,18841009,-9999,    9
   314,147725,18841010,-9999,    9
   314,147725,18841011,-9999,    9
   314,147725,18841012,-9999,    9
   314,147725,18841013,-9999,    9
   314,147725,18841014,-9999,    9
   314,147725,18841015,-9999,    9
   314,147725,18841016,-9999,    9
   314,147725,18841017,-9999,    9
   314,147725,18841018,-9999,    9
   314,147725,18841019,-9999,    9
   314,147725,18841020,-9999,    9
   314,147725,18841021,-9999,    9
   314,147725,18841022,-9999,    9
   314,147725,18841023,-9999,    9
   314,147725,18841024,-9999,    9
   314,147725,18841025,-9999,    9
   314,147725,18841026,-9999,    9
   314,147725,18841027,-9999,    9
   314,147725,18841028,-9999,    9
   314,147725,18841029,-9999,    9
   314,147725,18841030,-9999,    9
   314,147725,18841031,-9999,    9
