EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 147746) of station Sirte, LIBYAN ARAB JAMAHIRIYA (STAID:   7945)

 STAID,    SOUID,    DATE,   RR, Q_RR
  7945,147746,19160101,-9999,    9
  7945,147746,19160102,-9999,    9
  7945,147746,19160103,-9999,    9
  7945,147746,19160104,-9999,    9
  7945,147746,19160105,-9999,    9
  7945,147746,19160106,-9999,    9
  7945,147746,19160107,-9999,    9
  7945,147746,19160108,-9999,    9
  7945,147746,19160109,-9999,    9
  7945,147746,19160110,-9999,    9
  7945,147746,19160111,-9999,    9
  7945,147746,19160112,-9999,    9
  7945,147746,19160113,-9999,    9
  7945,147746,19160114,-9999,    9
  7945,147746,19160115,-9999,    9
  7945,147746,19160116,-9999,    9
  7945,147746,19160117,-9999,    9
  7945,147746,19160118,-9999,    9
  7945,147746,19160119,-9999,    9
  7945,147746,19160120,-9999,    9
  7945,147746,19160121,-9999,    9
  7945,147746,19160122,-9999,    9
  7945,147746,19160123,-9999,    9
  7945,147746,19160124,-9999,    9
  7945,147746,19160125,-9999,    9
  7945,147746,19160126,-9999,    9
  7945,147746,19160127,-9999,    9
  7945,147746,19160128,-9999,    9
  7945,147746,19160129,-9999,    9
  7945,147746,19160130,-9999,    9
  7945,147746,19160131,-9999,    9
  7945,147746,19160201,-9999,    9
  7945,147746,19160202,-9999,    9
  7945,147746,19160203,-9999,    9
  7945,147746,19160204,-9999,    9
  7945,147746,19160205,-9999,    9
  7945,147746,19160206,-9999,    9
  7945,147746,19160207,-9999,    9
  7945,147746,19160208,-9999,    9
  7945,147746,19160209,-9999,    9
  7945,147746,19160210,-9999,    9
  7945,147746,19160211,-9999,    9
  7945,147746,19160212,-9999,    9
  7945,147746,19160213,-9999,    9
  7945,147746,19160214,-9999,    9
  7945,147746,19160215,-9999,    9
  7945,147746,19160216,-9999,    9
  7945,147746,19160217,-9999,    9
  7945,147746,19160218,-9999,    9
  7945,147746,19160219,-9999,    9
  7945,147746,19160220,-9999,    9
  7945,147746,19160221,-9999,    9
  7945,147746,19160222,-9999,    9
  7945,147746,19160223,-9999,    9
  7945,147746,19160224,-9999,    9
  7945,147746,19160225,-9999,    9
  7945,147746,19160226,-9999,    9
  7945,147746,19160227,-9999,    9
  7945,147746,19160228,-9999,    9
  7945,147746,19160229,-9999,    9
  7945,147746,19160301,-9999,    9
  7945,147746,19160302,-9999,    9
  7945,147746,19160303,-9999,    9
  7945,147746,19160304,-9999,    9
  7945,147746,19160305,-9999,    9
  7945,147746,19160306,-9999,    9
  7945,147746,19160307,-9999,    9
  7945,147746,19160308,-9999,    9
  7945,147746,19160309,-9999,    9
  7945,147746,19160310,-9999,    9
  7945,147746,19160311,-9999,    9
  7945,147746,19160312,-9999,    9
  7945,147746,19160313,-9999,    9
  7945,147746,19160314,-9999,    9
  7945,147746,19160315,-9999,    9
  7945,147746,19160316,-9999,    9
  7945,147746,19160317,-9999,    9
  7945,147746,19160318,-9999,    9
  7945,147746,19160319,-9999,    9
  7945,147746,19160320,-9999,    9
  7945,147746,19160321,-9999,    9
  7945,147746,19160322,-9999,    9
  7945,147746,19160323,-9999,    9
  7945,147746,19160324,-9999,    9
  7945,147746,19160325,-9999,    9
  7945,147746,19160326,-9999,    9
  7945,147746,19160327,-9999,    9
  7945,147746,19160328,-9999,    9
  7945,147746,19160329,-9999,    9
  7945,147746,19160330,-9999,    9
  7945,147746,19160331,-9999,    9
  7945,147746,19160401,-9999,    9
  7945,147746,19160402,-9999,    9
  7945,147746,19160403,-9999,    9
  7945,147746,19160404,-9999,    9
  7945,147746,19160405,-9999,    9
  7945,147746,19160406,-9999,    9
  7945,147746,19160407,-9999,    9
  7945,147746,19160408,-9999,    9
  7945,147746,19160409,-9999,    9
  7945,147746,19160410,-9999,    9
  7945,147746,19160411,-9999,    9
  7945,147746,19160412,-9999,    9
  7945,147746,19160413,-9999,    9
  7945,147746,19160414,-9999,    9
  7945,147746,19160415,-9999,    9
  7945,147746,19160416,-9999,    9
  7945,147746,19160417,-9999,    9
  7945,147746,19160418,-9999,    9
  7945,147746,19160419,-9999,    9
  7945,147746,19160420,-9999,    9
  7945,147746,19160421,-9999,    9
  7945,147746,19160422,-9999,    9
  7945,147746,19160423,-9999,    9
  7945,147746,19160424,-9999,    9
  7945,147746,19160425,-9999,    9
  7945,147746,19160426,-9999,    9
  7945,147746,19160427,-9999,    9
  7945,147746,19160428,-9999,    9
  7945,147746,19160429,-9999,    9
  7945,147746,19160430,-9999,    9
  7945,147746,19160501,-9999,    9
  7945,147746,19160502,-9999,    9
  7945,147746,19160503,-9999,    9
  7945,147746,19160504,-9999,    9
  7945,147746,19160505,-9999,    9
  7945,147746,19160506,-9999,    9
  7945,147746,19160507,-9999,    9
  7945,147746,19160508,-9999,    9
  7945,147746,19160509,-9999,    9
  7945,147746,19160510,-9999,    9
  7945,147746,19160511,-9999,    9
  7945,147746,19160512,-9999,    9
  7945,147746,19160513,-9999,    9
  7945,147746,19160514,-9999,    9
  7945,147746,19160515,-9999,    9
  7945,147746,19160516,-9999,    9
  7945,147746,19160517,-9999,    9
  7945,147746,19160518,-9999,    9
  7945,147746,19160519,-9999,    9
  7945,147746,19160520,-9999,    9
  7945,147746,19160521,-9999,    9
  7945,147746,19160522,-9999,    9
  7945,147746,19160523,-9999,    9
  7945,147746,19160524,-9999,    9
  7945,147746,19160525,-9999,    9
  7945,147746,19160526,-9999,    9
  7945,147746,19160527,-9999,    9
  7945,147746,19160528,-9999,    9
  7945,147746,19160529,-9999,    9
  7945,147746,19160530,-9999,    9
  7945,147746,19160531,-9999,    9
  7945,147746,19160601,-9999,    9
  7945,147746,19160602,-9999,    9
  7945,147746,19160603,-9999,    9
  7945,147746,19160604,-9999,    9
  7945,147746,19160605,-9999,    9
  7945,147746,19160606,-9999,    9
  7945,147746,19160607,-9999,    9
  7945,147746,19160608,-9999,    9
  7945,147746,19160609,-9999,    9
  7945,147746,19160610,-9999,    9
  7945,147746,19160611,-9999,    9
  7945,147746,19160612,-9999,    9
  7945,147746,19160613,-9999,    9
  7945,147746,19160614,-9999,    9
  7945,147746,19160615,-9999,    9
  7945,147746,19160616,-9999,    9
  7945,147746,19160617,-9999,    9
  7945,147746,19160618,-9999,    9
  7945,147746,19160619,-9999,    9
  7945,147746,19160620,-9999,    9
  7945,147746,19160621,-9999,    9
  7945,147746,19160622,-9999,    9
  7945,147746,19160623,-9999,    9
  7945,147746,19160624,-9999,    9
  7945,147746,19160625,-9999,    9
  7945,147746,19160626,-9999,    9
  7945,147746,19160627,-9999,    9
  7945,147746,19160628,-9999,    9
  7945,147746,19160629,-9999,    9
  7945,147746,19160630,-9999,    9
  7945,147746,19160701,-9999,    9
  7945,147746,19160702,-9999,    9
  7945,147746,19160703,-9999,    9
  7945,147746,19160704,-9999,    9
  7945,147746,19160705,-9999,    9
  7945,147746,19160706,-9999,    9
  7945,147746,19160707,-9999,    9
  7945,147746,19160708,-9999,    9
  7945,147746,19160709,-9999,    9
  7945,147746,19160710,-9999,    9
  7945,147746,19160711,-9999,    9
  7945,147746,19160712,-9999,    9
  7945,147746,19160713,-9999,    9
  7945,147746,19160714,-9999,    9
  7945,147746,19160715,-9999,    9
  7945,147746,19160716,-9999,    9
  7945,147746,19160717,-9999,    9
  7945,147746,19160718,-9999,    9
  7945,147746,19160719,-9999,    9
  7945,147746,19160720,-9999,    9
  7945,147746,19160721,-9999,    9
  7945,147746,19160722,-9999,    9
  7945,147746,19160723,-9999,    9
  7945,147746,19160724,-9999,    9
  7945,147746,19160725,-9999,    9
  7945,147746,19160726,-9999,    9
  7945,147746,19160727,-9999,    9
  7945,147746,19160728,-9999,    9
  7945,147746,19160729,-9999,    9
  7945,147746,19160730,-9999,    9
  7945,147746,19160731,-9999,    9
  7945,147746,19160801,-9999,    9
  7945,147746,19160802,-9999,    9
  7945,147746,19160803,-9999,    9
  7945,147746,19160804,-9999,    9
  7945,147746,19160805,-9999,    9
  7945,147746,19160806,-9999,    9
  7945,147746,19160807,-9999,    9
  7945,147746,19160808,-9999,    9
  7945,147746,19160809,-9999,    9
  7945,147746,19160810,-9999,    9
  7945,147746,19160811,-9999,    9
  7945,147746,19160812,-9999,    9
  7945,147746,19160813,-9999,    9
  7945,147746,19160814,-9999,    9
  7945,147746,19160815,-9999,    9
  7945,147746,19160816,-9999,    9
  7945,147746,19160817,-9999,    9
  7945,147746,19160818,-9999,    9
  7945,147746,19160819,-9999,    9
  7945,147746,19160820,-9999,    9
  7945,147746,19160821,-9999,    9
  7945,147746,19160822,-9999,    9
  7945,147746,19160823,-9999,    9
  7945,147746,19160824,-9999,    9
  7945,147746,19160825,-9999,    9
  7945,147746,19160826,-9999,    9
  7945,147746,19160827,-9999,    9
  7945,147746,19160828,-9999,    9
  7945,147746,19160829,-9999,    9
  7945,147746,19160830,-9999,    9
  7945,147746,19160831,-9999,    9
  7945,147746,19160901,-9999,    9
  7945,147746,19160902,-9999,    9
  7945,147746,19160903,-9999,    9
  7945,147746,19160904,-9999,    9
  7945,147746,19160905,-9999,    9
  7945,147746,19160906,-9999,    9
  7945,147746,19160907,-9999,    9
  7945,147746,19160908,-9999,    9
  7945,147746,19160909,-9999,    9
  7945,147746,19160910,-9999,    9
  7945,147746,19160911,-9999,    9
  7945,147746,19160912,-9999,    9
  7945,147746,19160913,-9999,    9
  7945,147746,19160914,-9999,    9
  7945,147746,19160915,-9999,    9
  7945,147746,19160916,-9999,    9
  7945,147746,19160917,-9999,    9
  7945,147746,19160918,-9999,    9
  7945,147746,19160919,-9999,    9
  7945,147746,19160920,-9999,    9
  7945,147746,19160921,-9999,    9
  7945,147746,19160922,-9999,    9
  7945,147746,19160923,-9999,    9
  7945,147746,19160924,-9999,    9
  7945,147746,19160925,-9999,    9
  7945,147746,19160926,-9999,    9
  7945,147746,19160927,-9999,    9
  7945,147746,19160928,-9999,    9
  7945,147746,19160929,-9999,    9
  7945,147746,19160930,-9999,    9
  7945,147746,19161001,-9999,    9
  7945,147746,19161002,-9999,    9
  7945,147746,19161003,-9999,    9
  7945,147746,19161004,-9999,    9
  7945,147746,19161005,-9999,    9
  7945,147746,19161006,-9999,    9
  7945,147746,19161007,-9999,    9
  7945,147746,19161008,-9999,    9
  7945,147746,19161009,-9999,    9
  7945,147746,19161010,-9999,    9
  7945,147746,19161011,-9999,    9
  7945,147746,19161012,-9999,    9
  7945,147746,19161013,-9999,    9
  7945,147746,19161014,-9999,    9
  7945,147746,19161015,-9999,    9
  7945,147746,19161016,-9999,    9
  7945,147746,19161017,-9999,    9
  7945,147746,19161018,-9999,    9
  7945,147746,19161019,-9999,    9
  7945,147746,19161020,-9999,    9
  7945,147746,19161021,-9999,    9
  7945,147746,19161022,-9999,    9
  7945,147746,19161023,-9999,    9
  7945,147746,19161024,-9999,    9
  7945,147746,19161025,-9999,    9
  7945,147746,19161026,-9999,    9
  7945,147746,19161027,-9999,    9
  7945,147746,19161028,-9999,    9
  7945,147746,19161029,-9999,    9
  7945,147746,19161030,-9999,    9
  7945,147746,19161031,-9999,    9
  7945,147746,19161101,-9999,    9
  7945,147746,19161102,-9999,    9
  7945,147746,19161103,-9999,    9
  7945,147746,19161104,-9999,    9
  7945,147746,19161105,-9999,    9
  7945,147746,19161106,-9999,    9
  7945,147746,19161107,-9999,    9
  7945,147746,19161108,-9999,    9
  7945,147746,19161109,-9999,    9
  7945,147746,19161110,-9999,    9
  7945,147746,19161111,-9999,    9
