EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 147749) of station Agedabia, LIBYAN ARAB JAMAHIRIYA (STAID:   7948)

 STAID,    SOUID,    DATE,   RR, Q_RR
  7948,147749,19160101,-9999,    9
  7948,147749,19160102,-9999,    9
  7948,147749,19160103,-9999,    9
  7948,147749,19160104,-9999,    9
  7948,147749,19160105,-9999,    9
  7948,147749,19160106,-9999,    9
  7948,147749,19160107,-9999,    9
  7948,147749,19160108,-9999,    9
  7948,147749,19160109,-9999,    9
  7948,147749,19160110,-9999,    9
  7948,147749,19160111,-9999,    9
  7948,147749,19160112,-9999,    9
  7948,147749,19160113,-9999,    9
  7948,147749,19160114,-9999,    9
  7948,147749,19160115,-9999,    9
  7948,147749,19160116,-9999,    9
  7948,147749,19160117,-9999,    9
  7948,147749,19160118,-9999,    9
  7948,147749,19160119,-9999,    9
  7948,147749,19160120,-9999,    9
  7948,147749,19160121,-9999,    9
  7948,147749,19160122,-9999,    9
  7948,147749,19160123,-9999,    9
  7948,147749,19160124,-9999,    9
  7948,147749,19160125,-9999,    9
  7948,147749,19160126,-9999,    9
  7948,147749,19160127,-9999,    9
  7948,147749,19160128,-9999,    9
  7948,147749,19160129,-9999,    9
  7948,147749,19160130,-9999,    9
  7948,147749,19160131,-9999,    9
  7948,147749,19160201,-9999,    9
  7948,147749,19160202,-9999,    9
  7948,147749,19160203,-9999,    9
  7948,147749,19160204,-9999,    9
  7948,147749,19160205,-9999,    9
  7948,147749,19160206,-9999,    9
  7948,147749,19160207,-9999,    9
  7948,147749,19160208,-9999,    9
  7948,147749,19160209,-9999,    9
  7948,147749,19160210,-9999,    9
  7948,147749,19160211,-9999,    9
  7948,147749,19160212,-9999,    9
  7948,147749,19160213,-9999,    9
  7948,147749,19160214,-9999,    9
  7948,147749,19160215,-9999,    9
  7948,147749,19160216,-9999,    9
  7948,147749,19160217,-9999,    9
  7948,147749,19160218,-9999,    9
  7948,147749,19160219,-9999,    9
  7948,147749,19160220,-9999,    9
  7948,147749,19160221,-9999,    9
  7948,147749,19160222,-9999,    9
  7948,147749,19160223,-9999,    9
  7948,147749,19160224,-9999,    9
  7948,147749,19160225,-9999,    9
  7948,147749,19160226,-9999,    9
  7948,147749,19160227,-9999,    9
  7948,147749,19160228,-9999,    9
  7948,147749,19160229,-9999,    9
  7948,147749,19160301,-9999,    9
  7948,147749,19160302,-9999,    9
  7948,147749,19160303,-9999,    9
  7948,147749,19160304,-9999,    9
  7948,147749,19160305,-9999,    9
  7948,147749,19160306,-9999,    9
  7948,147749,19160307,-9999,    9
  7948,147749,19160308,-9999,    9
  7948,147749,19160309,-9999,    9
  7948,147749,19160310,-9999,    9
  7948,147749,19160311,-9999,    9
  7948,147749,19160312,-9999,    9
  7948,147749,19160313,-9999,    9
  7948,147749,19160314,-9999,    9
  7948,147749,19160315,-9999,    9
  7948,147749,19160316,-9999,    9
  7948,147749,19160317,-9999,    9
  7948,147749,19160318,-9999,    9
  7948,147749,19160319,-9999,    9
  7948,147749,19160320,-9999,    9
  7948,147749,19160321,-9999,    9
  7948,147749,19160322,-9999,    9
  7948,147749,19160323,-9999,    9
  7948,147749,19160324,-9999,    9
  7948,147749,19160325,-9999,    9
  7948,147749,19160326,-9999,    9
  7948,147749,19160327,-9999,    9
  7948,147749,19160328,-9999,    9
  7948,147749,19160329,-9999,    9
  7948,147749,19160330,-9999,    9
  7948,147749,19160331,-9999,    9
  7948,147749,19160401,-9999,    9
  7948,147749,19160402,-9999,    9
  7948,147749,19160403,-9999,    9
  7948,147749,19160404,-9999,    9
  7948,147749,19160405,-9999,    9
  7948,147749,19160406,-9999,    9
  7948,147749,19160407,-9999,    9
  7948,147749,19160408,-9999,    9
  7948,147749,19160409,-9999,    9
  7948,147749,19160410,-9999,    9
  7948,147749,19160411,-9999,    9
  7948,147749,19160412,-9999,    9
  7948,147749,19160413,-9999,    9
  7948,147749,19160414,-9999,    9
  7948,147749,19160415,-9999,    9
  7948,147749,19160416,-9999,    9
  7948,147749,19160417,-9999,    9
  7948,147749,19160418,-9999,    9
  7948,147749,19160419,-9999,    9
  7948,147749,19160420,-9999,    9
  7948,147749,19160421,-9999,    9
  7948,147749,19160422,-9999,    9
  7948,147749,19160423,-9999,    9
  7948,147749,19160424,-9999,    9
  7948,147749,19160425,-9999,    9
  7948,147749,19160426,-9999,    9
  7948,147749,19160427,-9999,    9
  7948,147749,19160428,-9999,    9
  7948,147749,19160429,-9999,    9
  7948,147749,19160430,-9999,    9
  7948,147749,19160501,-9999,    9
  7948,147749,19160502,-9999,    9
  7948,147749,19160503,-9999,    9
  7948,147749,19160504,-9999,    9
  7948,147749,19160505,-9999,    9
  7948,147749,19160506,-9999,    9
  7948,147749,19160507,-9999,    9
  7948,147749,19160508,-9999,    9
  7948,147749,19160509,-9999,    9
  7948,147749,19160510,-9999,    9
  7948,147749,19160511,-9999,    9
  7948,147749,19160512,-9999,    9
  7948,147749,19160513,-9999,    9
  7948,147749,19160514,-9999,    9
  7948,147749,19160515,-9999,    9
  7948,147749,19160516,-9999,    9
  7948,147749,19160517,-9999,    9
  7948,147749,19160518,-9999,    9
  7948,147749,19160519,-9999,    9
  7948,147749,19160520,-9999,    9
  7948,147749,19160521,-9999,    9
  7948,147749,19160522,-9999,    9
  7948,147749,19160523,-9999,    9
  7948,147749,19160524,-9999,    9
  7948,147749,19160525,-9999,    9
  7948,147749,19160526,-9999,    9
  7948,147749,19160527,-9999,    9
  7948,147749,19160528,-9999,    9
  7948,147749,19160529,-9999,    9
  7948,147749,19160530,-9999,    9
  7948,147749,19160531,-9999,    9
  7948,147749,19160601,-9999,    9
  7948,147749,19160602,-9999,    9
  7948,147749,19160603,-9999,    9
  7948,147749,19160604,-9999,    9
  7948,147749,19160605,-9999,    9
  7948,147749,19160606,-9999,    9
